,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-02 00:41:01, ?? You mean cherry coke and mcdonalds with extra salt is not a wise diet plan?,0,1,0,0,0,5,0.041456148,0.046472847,0.912071,Neu,-0.0050166994,callum_thomas
1,2018-04-01 21:48:05,That gap...  ,0,0,0,0,2,5,0.14214027,0.17003775,0.687822,Neu,-0.027897477,callum_thomas
2,2018-04-01 20:21:00,"On the bond side looks like investors slowly reassessing their bearish fundamentals view...  if these guys are right, could see a rally in bonds... 10-year to dip below 2.5??  ",0,1,1,2,0,4,0.10047744,0.8167629,0.08275962,Neg,-0.71628547,callum_thomas
3,2018-04-01 20:18:05,Slight rebound in overall net-bullishness this week - indecisive would be the key word here...  ,0,0,1,0,1,2,0.14026532,0.39142707,0.4683076,Neu,-0.25116175,callum_thomas
4,2018-04-01 20:05:00," thanks, appreciate you saying!",0,1,0,0,0,0,0.72614574,0.026271105,0.24758315,Pos,0.69987464,callum_thomas
5,2018-04-01 19:41:02,RT-REplay on the way!  ,0,0,0,0,0,0,0.07500355,0.021389827,0.90360665,Neu,0.053613722,callum_thomas
6,2018-04-01 19:40:02, just go with your primary timeframe,0,0,0,0,0,1,0.02477531,0.033723477,0.9415012,Neu,-0.008948168,callum_thomas
7,2018-04-01 19:40:00,  mentioned here:   may well just be a contrarian signal.... shows at least heightened bearishness/fear,1,1,1,0,1,2,0.074771,0.29172257,0.6335065,Neu,-0.21695156,callum_thomas
8,2018-04-01 19:36:02," elements of truth, but a number of indicators are truly in fear mode. we shall see!",0,1,1,0,0,0,0.072449215,0.21554954,0.71200126,Neu,-0.14310032,callum_thomas
9,2018-04-01 19:35:00,  seems to be less skittish to noise than stocks...,0,1,0,0,0,2,0.106644176,0.5014103,0.3919456,Neg,-0.39476612,callum_thomas
10,2018-04-01 06:00:04, here you go  ,0,1,0,0,1,0,0.06238356,0.034113064,0.9035034,Neu,0.028270494,callum_thomas
11,2018-04-01 05:59:01,VIDEO: youtube walkthrough of the latest Weekly S&P500 ChartStorm   ,0,0,0,0,5,3,0.026331702,0.0543138,0.9193545,Neu,-0.027982099,callum_thomas
12,2018-03-31 22:00:00,Weekly S&P500 ChartStorm - THE WRITE UP       $SPX $SPY $ES_F $VIX $STUDY,0,0,0,1,7,14,0.14758223,0.10187171,0.7505461,Neu,0.045710526,callum_thomas
13,2018-03-31 20:13:01,Your *bonds* view/positioning is (primary reason in brackets): [Bearish = rising yields] [Bullish = falling yields],0,1,0,1,4,5,0.0429661,0.58009136,0.37694257,Neg,-0.53712523,callum_thomas
14,2018-03-31 20:12:02,Your equities view/positioning is (primary reason in brackets):,0,1,0,4,5,5,0.028929437,0.022533905,0.9485367,Neu,0.006395532,callum_thomas
15,2018-03-31 20:11:00,⚡️ “Weekly S&P500 ChartStorm -1 April 2018”   ,0,0,0,0,4,9,0.038014643,0.054639027,0.9073463,Neu,-0.016624384,callum_thomas
16,2018-03-31 20:09:00,10. Important to keep buybacks in perspective vs dividends:     $STUDY  ,0,0,0,1,20,21,0.076757476,0.020200834,0.90304166,Neu,0.056556642,callum_thomas
17,2018-03-31 20:06:04,9. Tying in with that previous divergence is another gap here - catch up time for credit spreads?    $JNK $HYG  ,0,1,0,0,15,11,0.09488429,0.108402684,0.7967131,Neu,-0.013518393,callum_thomas
18,2018-03-31 20:04:04,8. Notable divergence between equity risk vs credit risk pricing...     $VIX $JNK $HYG  ,0,0,0,2,23,20,0.5255316,0.07810529,0.39636308,Pos,0.4474263,callum_thomas
19,2018-03-31 20:02:04,7. Trump tweets vs the market... maybe he's just busy with other things.......  h/t   $SPX $SPY  ,0,1,0,3,12,46,0.029666124,0.23893982,0.731394,Neu,-0.2092737,callum_thomas
20,2018-03-31 20:00:01,6. Put-call-panic: are put buyers going to get caught wrong-footed? or are they justifiably fearful?  h/t @ WillieDelwiche  $SPX $SPY  ,1,1,0,2,13,25,0.026817545,0.58644634,0.38673615,Neg,-0.5596288,callum_thomas
21,2018-03-31 19:57:04,5. The surge in inverse ETF demand shows a element of panic in the market - contrarian indicator?  h/t   ,0,1,0,3,24,44,0.048559856,0.8103087,0.14113146,Neg,-0.76174885,callum_thomas
22,2018-03-31 19:56:03,"4. Thanks to the drop in prices and rise in forward earnings, the forward PE ratio looks cheaper...  h/t   $SPX $SPY  ",0,1,0,1,22,51,0.8827661,0.026919123,0.0903147,Pos,0.855847,callum_thomas
23,2018-03-31 19:54:03,"3. North American institutional investors appear to be ""buying the dip""    $SPX $SPY  ",0,1,0,1,14,20,0.4416708,0.023241632,0.5350876,Neu,0.41842917,callum_thomas
25,2018-03-31 19:51:03,1. First up is some perspective on corrections - they can take anywhere from 97 to 417 days to fully run their course. h/t  $SPX  ,0,1,1,2,53,69,0.046166435,0.017738717,0.9360948,Neu,0.028427718,callum_thomas
26,2018-03-31 19:50:00,Weekly S&P500 ChartStorm on the way!    $SPX $SPY $ES_F $VIX $STUDY,0,0,0,0,0,8,0.17137885,0.024346946,0.8042742,Neu,0.1470319,callum_thomas
27,2018-03-31 05:14:01,A few key macro variables rolling over...  ,0,1,0,0,1,8,0.12485545,0.24721436,0.62793016,Neu,-0.12235891,callum_thomas
28,2018-03-30 03:55:00,Sneak preview of the latest weekly report (warning: goldbugs - parental guidance is recommended)  ,1,1,0,0,1,1,0.037782665,0.036109302,0.92610806,Neu,0.0016733631,callum_thomas
29,2018-03-30 03:53:05,"You've heard of the PMI, but what about the CMI?  ",1,1,0,0,0,2,0.032979067,0.042187426,0.92483354,Neu,-0.009208359,callum_thomas
30,2018-03-29 12:01:01, Gold is on borrowed time,0,1,0,1,0,1,0.19666404,0.050622344,0.7527136,Neu,0.14604169,callum_thomas
31,2018-03-29 11:27:04,triangle of doom  ,0,0,0,0,15,33,0.047980152,0.045740873,0.90627897,Neu,0.0022392794,callum_thomas
32,2018-03-29 11:23:04,"Theory on KJU: -He started listening to podcasts --started to improve his diet, lift weights, intermittent fasting --set goals --massive action plan --reinvents self --normalizes global diplomatic relations --brings NK into a cn-style econ miracle ---then he starts a podcast",1,1,0,1,0,6,0.10238825,0.01349046,0.88412124,Neu,0.08889779,callum_thomas
33,2018-03-28 22:49:04," Markets party talk: BTFD = buy the feta dip BTFAH = bring the fruit alcohol, homie STFR = snag that french rye",0,1,0,1,0,2,0.0981714,0.012666987,0.88916165,Neu,0.08550441,callum_thomas
34,2018-03-28 22:40:04," ""onion soup and reduced cream""",0,0,0,0,0,1,0.05134095,0.02433196,0.924327,Neu,0.027008988,callum_thomas
35,2018-03-28 22:31:00,Are you buying the dip?,0,1,0,7,5,5,0.06345521,0.030045498,0.9064993,Neu,0.03340971,callum_thomas
36,2018-03-28 01:22:05, The trick is to do an IPO - that way you don't need to have earnings,0,1,0,0,0,2,0.04416612,0.02664895,0.9291849,Neu,0.017517172,callum_thomas
37,2018-03-26 23:00:01,  I have a hotmail account i exclusively use for when i travel to china because its not blocked yet,1,1,0,2,1,0,0.028954888,0.041754726,0.9292904,Neu,-0.012799839,callum_thomas
38,2018-03-26 22:46:05,FYI  ,0,0,0,0,1,4,0.05986786,0.06013042,0.8800018,Neu,-0.0002625622,callum_thomas
39,2018-03-26 02:14:05,  Yup.,0,0,0,0,0,0,0.04714393,0.03597796,0.91687816,Neu,0.011165969,callum_thomas
40,2018-03-25 21:35:03, will let you know when/if it goes above that line :),0,1,1,1,0,2,0.02370939,0.044934854,0.9313558,Neu,-0.021225464,callum_thomas
41,2018-03-25 21:34:05,I don't think it will be - but this chart is going to be key as to how this correction plays out  ,0,1,1,1,3,7,0.10584627,0.016319403,0.8778344,Neu,0.08952687,callum_thomas
42,2018-03-25 21:33:05,"bond sentiment still on the bearish side, but slightly less so lately...  ",0,0,0,1,1,3,0.53639406,0.28765026,0.17595564,Pos,0.2487438,callum_thomas
45,2018-03-25 20:40:04,.,0,0,0,0,0,0,0.0652045,0.03774088,0.8970546,Neu,0.027463622,callum_thomas
46,2018-03-25 18:53:04, 💯,0,0,0,0,0,0,0.03719407,0.0575872,0.9052188,Neu,-0.02039313,callum_thomas
47,2018-03-25 18:31:04,RT-Replay on the way  ,0,0,0,0,0,1,0.05190846,0.047679935,0.9004116,Neu,0.004228525,callum_thomas
48,2018-03-25 03:11:03,Some warm fuzzy thoughts on global macro/trade...  ,0,0,0,0,0,2,0.09465924,0.021499196,0.88384163,Neu,0.073160045,callum_thomas
49,2018-03-25 03:10:01, Thanks!,0,0,0,0,0,0,0.415072,0.03523682,0.5496912,Neu,0.3798352,callum_thomas
50,2018-03-24 22:31:03,VIDEO: youtube walkthrough of the latest weekly S&P500 ChartStorm -      $SPX $SPY $ES_F $VIX $STUDY,0,0,0,0,3,5,0.052169964,0.030738728,0.91709137,Neu,0.021431236,callum_thomas
51,2018-03-24 21:28:04, suppose it depends what you look at...  ,0,1,0,1,6,12,0.03566681,0.041627053,0.9227062,Neu,-0.0059602447,callum_thomas
52,2018-03-24 21:23:03,  I will have a dig around on TR DS later and see if I can replicate,0,0,1,0,0,1,0.053235833,0.019550892,0.9272133,Neu,0.03368494,callum_thomas
53,2018-03-24 21:22:05,  1994 vs 2007,0,0,0,1,0,0,0.07955552,0.09559004,0.82485443,Neu,-0.016034521,callum_thomas
54,2018-03-24 21:22:02, lol thanks,0,0,0,0,0,0,0.043088503,0.029358221,0.92755324,Neu,0.013730282,callum_thomas
55,2018-03-24 21:21:04, yep - price & news/noise have a habit of doing that...,0,1,0,0,0,1,0.02739763,0.25478953,0.71781284,Neu,-0.2273919,callum_thomas
56,2018-03-24 21:21:01, why's that?,0,0,0,1,0,0,0.040775638,0.12680243,0.83242196,Neu,-0.08602679,callum_thomas
57,2018-03-24 21:11:04,Weekly S&P500 ChartStorm - THE WRITEUP:  ,0,0,0,0,6,14,0.03286439,0.36729392,0.59984165,Neu,-0.33442953,callum_thomas
58,2018-03-24 19:58:01, Wait till theres at least 2-300 votes before making conclusions,0,1,0,0,0,0,0.03593224,0.03747219,0.92659557,Neu,-0.0015399493,callum_thomas
59,2018-03-24 19:57:02, I repeat it every week and post charts of the movement/trends :),0,1,0,0,0,0,0.023904607,0.041015435,0.93508,Neu,-0.017110828,callum_thomas
60,2018-03-24 19:50:04, not my stats... ,0,0,0,0,0,2,0.05125663,0.13884316,0.8099002,Neu,-0.08758654,callum_thomas
61,2018-03-24 19:49:04,Your *bonds* view/positioning is (primary reason in brackets): [Bearish = rising yields] [Bullish = falling yields],0,1,0,1,3,5,0.0429661,0.58009136,0.37694257,Neg,-0.53712523,callum_thomas
62,2018-03-24 19:48:05,Your equities view/positioning is (primary reason in brackets):,0,1,0,4,4,8,0.028929437,0.022533905,0.9485367,Neu,0.006395532,callum_thomas
63,2018-03-24 19:47:05,⚡️ “Weekly S&P500 ChartStorm - 25 Mar 2018”   ,0,0,0,0,3,16,0.039867386,0.05804258,0.90209,Neu,-0.018175192,callum_thomas
64,2018-03-24 19:45:03,10. US Equity Risk Premium has tightened up a lot...     $SPX $EWU  ,1,1,0,0,11,14,0.83458596,0.12914068,0.03627331,Pos,0.7054453,callum_thomas
65,2018-03-24 19:42:04,9. ZombieApocalypse on the horizon for these Russell 3000 companies as rates rise?   h/t   $FED $MACRO  ,0,1,0,3,6,11,0.132791,0.035313066,0.83189595,Neu,0.09747793,callum_thomas
67,2018-03-24 19:33:05,7. What will Monday do?  ... it's 50/50  h/t   $SPX $SPY  ,0,1,1,1,7,16,0.042775646,0.042353578,0.91487086,Neu,0.00042206794,callum_thomas
68,2018-03-24 19:30:02," ""if you see a fork in the road, tweet it""",0,1,0,0,0,1,0.033965304,0.09419049,0.87184423,Neu,-0.06022519,callum_thomas
69,2018-03-24 19:27:03,6. The Euphoriameter is back to April 2017 levels:   $SPX $VIX  ,0,1,0,0,18,15,0.1982285,0.04902367,0.7527479,Neu,0.14920482,callum_thomas
70,2018-03-24 19:23:04,5. This alternative view of volatility is now at the same level as 2007...     $SPX $SPY  ,0,1,0,1,22,28,0.08560982,0.062486216,0.851904,Neu,0.023123607,callum_thomas
71,2018-03-24 19:22:01,That tweet is going to look good if Monday rebounds tho,0,1,0,3,0,8,0.8508726,0.016984586,0.13214289,Pos,0.833888,callum_thomas
72,2018-03-24 19:21:04,*FRIDAY close... contrary to what some might suggest I do not know the future...,0,1,1,1,0,9,0.067975745,0.43849412,0.4935301,Neu,-0.3705184,callum_thomas
73,2018-03-24 19:19:03, ah gadammit - this is what happens when you try to tweet at 7am without your coffee,0,1,0,0,0,1,0.019747999,0.22125317,0.7589989,Neu,-0.20150517,callum_thomas
74,2018-03-24 19:17:00,4. More stocks making 52-week lows now (albeit still lower than the 2015/16 turmoil).  $SPX $SPY  ,0,1,0,0,16,21,0.013089328,0.9603474,0.026563276,Neg,-0.9472581,callum_thomas
75,2018-03-24 19:13:05,3. According to democracy the S&P500 is actually breaking below the 200dma (53% of stocks trading below).  $SPX $SPY  ,0,1,0,0,28,22,0.16698767,0.44447222,0.3885401,Neg,-0.27748454,callum_thomas
