,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-29 15:58:02,"Top 20 Cryptocurrencies...  Market Cap, Dec 31, 2017: $512 billion  Market Cap, Today: $240 billion  $ Change: -$272 billion  % Change: -53%  ",0,0,0,7,76,88,0.026727164,0.09382099,0.87945193,Neu,-0.06709383,charliebilello
1,2018-03-29 14:55:01,Jobless claims number much stronger than it looks... US Labor Force in 1973: 87 million. US Labor Force in 2018: 162 million.,0,1,0,1,13,21,0.13553986,0.75505996,0.10940023,Neg,-0.61952007,charliebilello
2,2018-03-29 14:50:03,"US Initial Jobless claims hit their lowest level in 45 years: 215,000.  ",0,1,0,5,65,74,0.007312538,0.9708076,0.021879775,Neg,-0.9634951,charliebilello
3,2018-03-29 00:04:01,"1-Year US Treasury Yield closes at its highest level since September 8, 2008: 2.12%.  ",0,1,0,8,89,96,0.18123218,0.7715943,0.04717345,Neg,-0.5903621,charliebilello
4,2018-03-29 00:02:01,US Yield Curve at its flattest level of the expansion: 49 bps spread b/t 10-yr and 2-yr yields.  ,0,0,0,6,76,110,0.49268994,0.40094754,0.10636251,Pos,0.0917424,charliebilello
5,2018-03-28 15:39:02,Global Equity Returns...  ,0,0,0,1,42,54,0.32093534,0.02327823,0.6557864,Neu,0.2976571,charliebilello
6,2018-03-28 15:25:04,Largest/broadest equity correction since early 2016. Only 20% of sectors above their 50-day moving average.  ,0,0,0,2,103,169,0.054650646,0.9237285,0.021620838,Neg,-0.86907786,charliebilello
7,2018-03-28 15:02:00,"It would also bring the expansion to 105 months, 2 months shy of being the 2nd longest expansion in US history...  ",0,1,1,1,2,7,0.8163277,0.011280318,0.17239198,Pos,0.8050474,charliebilello
8,2018-03-28 14:59:05,Latest Atlanta Fed estimate is for 1.8% growth in Q1 2018. That would bring year-over-year number up to 2.7%.  ,0,1,1,2,4,6,0.9073554,0.016129978,0.07651456,Pos,0.89122546,charliebilello
9,2018-03-28 14:56:03,"Final Q4 GDP edges higher, growth now running at 2.6% year-over-year.  ",0,1,0,1,2,7,0.9527437,0.026687592,0.020568669,Pos,0.92605615,charliebilello
10,2018-03-28 14:50:00,Spread b/t 10-year and 3-month Treasury Yields at narrowest level of the expansion: 101 bps.  ,0,0,0,0,2,7,0.029568058,0.8619335,0.1084983,Neg,-0.83236545,charliebilello
11,2018-03-28 14:36:04,"Country ETF, Average Returns...  2017: +28%   2018 YTD: +0.1%  ",0,0,0,0,10,19,0.1722765,0.10794224,0.71978134,Neu,0.06433426,charliebilello
