,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 00:31:04,U.S. OFFICIAL SAYS NO FORMAL NEGOTIATING SESSION HAS BEEN SET YET FOR CHINA TRADE TALKS: RTRS,0,0,0,2,13,6,0.040179793,0.064205565,0.8956146,Neu,-0.024025772,deitaone
1,2018-04-06 00:30:03,"U.S. OFFICIAL SAYS TRUMP WILL INSIST ON ""VERIFIABLE, ENFORCEABLE AND MEASURABLE DELIVERABLES"" FROM CHINA IN ANY TRADE NEGOTIATIONS: RTRS",0,0,0,0,5,2,0.12689011,0.0151703665,0.8579395,Neu,0.11171974,deitaone
2,2018-04-06 00:26:04,"U.S. IS WILLING TO NEGOTIATE WITH CHINA ON TRADE BUT ONLY IF IT'S SERIOUS BECAUSE PREVIOUS ATTEMPTS HAVE PRODUCED LITTLE PROGRESS, SENIOR U.S. OFFICIAL TELLS REUTERS",1,1,0,0,9,11,0.2197731,0.57554895,0.20467797,Neg,-0.35577583,deitaone
3,2018-04-06 00:04:02,DOW E-MINI FUTURES DOWN 1.5 PCT AFTER TRUMP COMMENTS ABOUT TRADE TARIFFS ON CHINA,0,0,0,0,4,4,0.01015587,0.9655555,0.024288626,Neg,-0.95539963,deitaone
4,2018-04-06 00:00:05,S&P 500 E-MINI FUTURES DOWN 1.1 PCT,0,0,0,0,2,1,0.010471856,0.9667176,0.022810444,Neg,-0.9562457,deitaone
5,2018-04-06 00:00:04,- TRUMP SAYS HE HAS INSTRUCTED AGRICULTURE SECRETARY TO USE HIS AUTHORITY TO IMPLEMENT A PLAN TO PROTECT U.S. FARMERS AND AGRICULTURAL INTERESTS: RTRS,0,0,0,0,9,4,0.10190901,0.013770905,0.8843201,Neu,0.0881381,deitaone
6,2018-04-05 23:58:02,USTR LIGHTHIZER SAYS ANY ADDITIONAL TARIFFS WOULD NOT GO INTO EFFECT UNTIL PUBLIC COMMENT PROCESS IS COMPLETED: RTRS,0,0,0,0,3,3,0.031195957,0.032241352,0.93656266,Neu,-0.0010453947,deitaone
7,2018-04-05 23:55:03,weeee  $dji  ,0,0,0,0,5,8,0.045232344,0.034227375,0.9205403,Neu,0.0110049695,deitaone
8,2018-04-05 23:54:00,"TRUMP SAYS CHINA ""HAS REPEATEDLY ENGAGED IN PRACTICES TO UNFAIRLY OBTAIN AMERICA’S INTELLECTUAL PROPERTY"": RTRS",0,0,0,0,11,13,0.026047021,0.46969852,0.5042544,Neu,-0.4436515,deitaone
9,2018-04-05 23:52:02,"TRUMP SAYS ""STILL PREPARED TO HAVE DISCUSSIONS"" WITH CHINA ON TRADE: RTRS",0,0,0,0,3,6,0.14132096,0.012447345,0.84623176,Neu,0.12887362,deitaone
10,2018-04-05 23:49:04,"TRUMP SAYS INSTRUCTED USTR TO CONSIDER $100 BILLION IN ADDITIONAL TARIFFS ON CHINA, ""IN LIGHT OF CHINA'S UNFAIR RETALIATION"": RTRS",0,0,0,1,22,11,0.11799542,0.12425259,0.757752,Neu,-0.006257169,deitaone
11,2018-04-05 22:32:02,BRITISH INTELLIGENCE BRIEFING FOR ITS ALLIES WAS USED TO PERSUADE WORLD LEADERS THAT MOSCOW WAS BEHIND THE POISONING - TIMES‍,0,0,0,0,2,0,0.146946,0.07952247,0.77353156,Neu,0.06742353,deitaone
12,2018-04-05 22:29:01,SALISBURY POISON MADE AT RUSSIA’S PORTON DOWN - THE TIMES ‍,0,0,0,1,2,2,0.08199347,0.12042396,0.79758257,Neu,-0.03843049,deitaone
14,2018-04-05 21:54:03,TRUMP SAYS HE WOULD PROBABLY KEEP NATIONAL GUARD AT THE BORDER UNTIL THE WALL IS BUILT: RTRS,0,0,0,0,2,4,0.06578846,0.023910051,0.91030157,Neu,0.04187841,deitaone
15,2018-04-05 21:54:01,"ASKED IF HE WILL MAKE CHANGES TO AFFECT AMAZON, TRUMP SAYS HE IS STUDYING IT AND WILL TAKE A VERY SERIOUS LOOK AT THAT: RTRS $AMZN",0,1,0,0,6,6,0.060017347,0.013652442,0.92633015,Neu,0.046364903,deitaone
16,2018-04-05 21:53:05,"TRUMP SAYS AMAZON DOES NOT USE A LEVEL PLAYING FIELD, IT HAS TO BE LEVEL FOR EVERYONE: RTRS $AMZN",0,0,0,1,1,1,0.034856774,0.021040138,0.94410306,Neu,0.013816636,deitaone
17,2018-04-05 21:53:01,"TRUMP SAYS HE DID NOT KNOW ABOUT $130,000 PAYMENT TO STORMY DANIELS: RTRS",0,0,0,1,4,3,0.027677737,0.1070848,0.8652375,Neu,-0.079407066,deitaone
18,2018-04-05 21:17:02,CBOE VOLATILITY INDEX CLOSES DOWN 1.12 PTS AT 18.94; LOWEST CLOSE IN MORE THAN WEEKS,0,0,0,0,3,3,0.0077346233,0.9716679,0.020597411,Neg,-0.9639333,deitaone
19,2018-04-05 20:51:05,TURKISH LIRA WEAKENS TO RECORD LOW OF 4.05 AGAINST DOLLAR,0,0,0,0,2,0,0.012187165,0.96962297,0.018189812,Neg,-0.9574358,deitaone
