,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-29 17:50:03,"DowJonesDNA won BIG at the 2018 BIGGIES, taking home first place for Excellence in Data Strategy and further proving the power of premium news data! Congratulations to our DNA team. bigdatamedia  ",1,1,0,2,7,9,0.81275934,0.008787089,0.17845349,Pos,0.80397224,dowjones
1,2018-03-22 15:35:04,"Tonight, Niranjan Thomas, Thani Sokka and  will be representing Dow Jones at the 2018 BIGGIES Awards Ceremony and Gala where DowJonesDNA has been selected as a finalist for Excellence in Data Strategy. bigdatamedia  ",1,1,1,1,8,5,0.17850466,0.008769341,0.81272596,Neu,0.16973531,dowjones
3,2018-03-01 14:50:05,"At the  Data & Analytics Summit 2018, leaders will learn to transform businesses through new teams, data and thinking. As your business looks to external data sources, have you considered how news data can power productivity? GartnerDA",1,1,1,2,5,6,0.16819686,0.011597156,0.82020605,Neu,0.1565997,dowjones
4,2018-02-20 19:39:03,"Much like  who strives to help businesses make analytics and insight part of their makeup, Dow Jones DNA proudly enables data powered decisions with its diverse set. Don’t miss us at Booth 1105 at the gartnerDA Summit 2018!",1,1,0,2,1,2,0.11975922,0.011577423,0.8686633,Neu,0.1081818,dowjones
5,2018-02-20 13:25:00,"Delve into the power of data-driven transformation with Simon Smith, Chief Data Officer of  at “Setting Organizational Data Strategy”, the first of our CDO webinar series today at 11am ET! Reserve your spot:  ",0,0,0,1,1,1,0.08364981,0.011987713,0.9043625,Neu,0.07166209,dowjones
6,2018-02-14 19:44:01,"As the world of BigData is revolutionized, is your strategy for third party data keeping up? Register for your exclusive FREE ticket to BigDataParis here:   and meet us at booth C38 to learn how premium news data can fuel your diversified dataset.  ",1,1,1,1,6,10,0.12284534,0.010046119,0.8671085,Neu,0.11279922,dowjones
7,2018-02-09 21:45:00,"Maintaining a successful data program is complicated but its foundations lie in a data-driven culture. Peek further into the world of a CDO with Simon Smith, Chief Data Officer of  at our “Setting Organizational Data Strategy"" Webinar:  ",1,1,0,2,7,9,0.09074179,0.013463826,0.89579433,Neu,0.077277966,dowjones
8,2017-12-20 15:18:00,$25.3 billion generated in a single day? That’s Singles’ Day for you. Chinese giant  made history last month.    ,1,1,0,4,13,15,0.115508884,0.017002262,0.8674888,Neu,0.09850662,dowjones
9,2017-12-19 19:02:03,"Uber’s wild ride continues, long after Travis Kalanick has left the wheel.    ",1,1,0,1,2,5,0.13645592,0.018930264,0.8446138,Neu,0.11752566,dowjones
10,2017-12-18 17:24:00,"Remember the much publicized IPO of   is taking a different path, and it’s paying off.    ",1,1,0,1,0,5,0.4219804,0.016982054,0.56103754,Neu,0.40499836,dowjones
11,2017-12-12 22:39:02,"During his panel at  David Kiron, Executive Editor of  Sloan Management Review, shared his insights emphasizing the value of DNA. aiworld aitrends  ",1,1,0,0,1,4,0.14550838,0.00946454,0.845027,Neu,0.13604385,dowjones
12,2017-12-11 17:16:00,"Don’t miss Niranjan Thomas, GM Platforms & Technology Partnership at Dow Jones, speak on AI in FinTech. Follow us as we share key takeaways from the panel tomorrow at 2 PM or learn more here:   aiworld  ",0,0,0,0,0,5,0.05783565,0.015208925,0.9269554,Neu,0.042626724,dowjones
13,2017-12-09 19:31:02,Schedule a personal consultation with a Dow Jones DNA specialist while at  Book a meeting now and visit us at Booth 408:   aiworld ai  ,0,0,0,0,2,4,0.045247983,0.014839111,0.9399129,Neu,0.030408872,dowjones
14,2017-12-08 16:08:05,"Join us at  Our very own Niranjan Thomas, GM Platforms & Technology Partnerships, will be speaking on AI in FinTech. Connect with us at the event by booking a meeting now. aiworld    ",0,1,1,0,1,5,0.07477376,0.010444929,0.91478133,Neu,0.06432883,dowjones
