,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-02 20:54:00,  Weekly stochastics do not have to get oversold during every pullback/correction.,0,1,0,0,0,0,0.035383895,0.11658096,0.84803516,Neu,-0.08119707,markarbeter
1,2018-04-02 19:58:04," A neighbors. Here's the front. '69 Z/28, 454, 600+ hp. Still waiting for my ride.  ",0,1,0,1,0,1,0.0637642,0.025817769,0.91041803,Neu,0.037946433,markarbeter
2,2018-04-02 18:19:02,You gotta love the headlines today: $SPX slide may be fueled partly by traders cutting long bets. AND: Stocks Q2 start is worst since Great Depression.,1,1,1,1,2,14,0.008004772,0.9688376,0.023157507,Neg,-0.96083283,markarbeter
3,2018-04-02 18:10:02, Come on. All divergences are based on closing data.,1,1,0,0,0,0,0.028155182,0.0790679,0.89277697,Neu,-0.05091272,markarbeter
5,2018-04-02 17:49:01, For sure. Not many other double bottom examples comparable to today's.,0,0,0,1,0,0,0.10462743,0.021008201,0.8743644,Neu,0.08361923,markarbeter
6,2018-04-02 16:50:03,"Finally, 2008/2009 double bottom for nasdaq. No looking back.  ",0,1,0,0,0,1,0.041796092,0.5523086,0.4058953,Neg,-0.51051253,markarbeter
7,2018-04-02 16:49:03,"2016 example of double bottom for $SPX. Retest, off to the races!  ",0,0,0,1,0,8,0.08806558,0.048840918,0.86309355,Neu,0.039224662,markarbeter
8,2018-04-02 16:48:04,Another double bottom example of $SPX from 2015. Quick and dirty.  ,0,0,0,0,0,0,0.08096171,0.06532116,0.8537172,Neu,0.01564055,markarbeter
9,2018-04-02 16:47:01,"As talked about in last week's ""On The Mark."" Double bottoms are generally quick on/after the test, not hesitant like last week's $SPX action. 1998 double bottom. No hesitation!  ",1,1,0,1,1,5,0.06723383,0.03799243,0.8947738,Neu,0.029241402,markarbeter
10,2018-04-01 23:17:02,One of the best goals this season. risingstar  ,0,0,0,0,0,2,0.60569966,0.01765144,0.37664884,Pos,0.5880482,markarbeter
11,2018-03-30 18:01:04, You too Marco!,0,0,0,0,0,1,0.1563678,0.06300635,0.7806259,Neu,0.093361445,markarbeter
12,2018-03-29 21:27:02,"              Thank you! Enjoy the long weekend. NOVA, SIXERS, FLYERS",0,0,0,0,0,3,0.07454761,0.014765284,0.910687,Neu,0.059782326,markarbeter
13,2018-03-29 19:19:04, Those type of establishments are down in the lower and very seedy part of the county. Not areas I frequent very often.,0,1,0,2,0,1,0.026015192,0.45531014,0.5186747,Neu,-0.42929494,markarbeter
14,2018-03-29 18:23:02,Porn star coming to a town near you! Something you don't ever expect to see on the front page of your local and once respected newspaper. Stormy Daniels bringing strip club tour to Bucks County.,1,1,0,2,0,6,0.053984877,0.044068474,0.90194666,Neu,0.009916402,markarbeter
15,2018-03-28 23:18:04,       I have no clue what you are talking about.,0,1,0,0,0,0,0.032290444,0.23479025,0.73291934,Neu,-0.2024998,markarbeter
16,2018-03-28 23:15:01, 2737? 2537?,0,0,0,0,0,0,0.05328661,0.11748091,0.8292324,Neu,-0.06419431,markarbeter
17,2018-03-28 20:29:03,  What is a jump drop hole?,0,1,0,1,0,1,0.024254592,0.14997293,0.82577246,Neu,-0.12571834,markarbeter
18,2018-03-28 18:46:03,"While the market $SPX can and will do anything, the second bottom (test) of a ""potential"" double bottom is usually quick and dirty (1998, '08/'09 $COMPQ, 2015, 2016). Not full of indecision like last couple of days. Lower testing coming?  ",0,1,1,3,23,47,0.03872224,0.13808772,0.82319003,Neu,-0.09936548,markarbeter
19,2018-03-28 16:11:03, Thank you Suri!,0,1,0,0,0,0,0.6196621,0.021084845,0.35925302,Pos,0.59857726,markarbeter
20,2018-03-28 15:39:03," Hi John, I don't like using trendlines like this. Trendlines supposed to define a trend. The 2003-2007 trend has nothing to do with today's trend. Just my opinion.",1,1,0,1,0,1,0.031977963,0.10808647,0.8599356,Neu,-0.0761085,markarbeter
21,2018-03-28 14:45:05,"Talked about the semiconductors $SOX in my On The Mark newsletter a couple weeks ago. Learned this bearish ""3 drives"" pattern from an excellent technician and very under followed poster Suri Duddella  I guess you can teach a dog new tricks. Always learning!  ",1,1,1,2,4,10,0.11813733,0.019083794,0.86277884,Neu,0.09905353,markarbeter
22,2018-03-27 22:40:02,"Love the labeling on some wine. From our ""private selection."" But only costs $9.99.",0,1,0,0,0,3,0.06474631,0.013867381,0.92138636,Neu,0.05087893,markarbeter
23,2018-03-27 22:36:04,"Always love the commentary of the day: Mid/Late February $TNX headed over 3%, sell stocks $SPX. Today, $TNX breaks below 2.8%, economy must be slowing, sell stocks. During a correction/bear market, everything perceived as being negative. Opposite during uptrends. perception",1,1,1,0,2,3,0.042809714,0.6722805,0.28490975,Neg,-0.62947077,markarbeter
24,2018-03-27 21:24:03,Today should have happened Monday and Monday should have happened today. Would look better on the charts. $SPX,1,0,1,2,0,11,0.16758029,0.024045147,0.8083746,Neu,0.14353514,markarbeter
25,2018-03-27 02:47:01, Almost as much as my first house.,0,0,0,1,0,0,0.04848506,0.023427589,0.9280874,Neu,0.02505747,markarbeter
26,2018-03-27 02:36:01, The new(er) trucks (Chevy/Ford) fully loaded with V8 are ridiculously expensive. $45 - $60K.,1,1,0,2,0,0,0.06793028,0.17535694,0.7567128,Neu,-0.10742666,markarbeter
27,2018-03-27 02:31:04, First round playoff win?,0,0,0,1,0,1,0.09442196,0.06387563,0.8417024,Neu,0.03054633,markarbeter
28,2018-03-27 02:30:01," That's what I need, a juiced up pickup.",1,1,0,1,0,0,0.24631503,0.0130475005,0.7406375,Neu,0.23326753,markarbeter
29,2018-03-27 02:23:00,Market peels some rubber today! Bulls leave bears in the dust! Z/28 tubbedout $SPX $QQQ  ,0,1,0,2,0,6,0.068140976,0.09398321,0.8378758,Neu,-0.025842234,markarbeter
30,2018-03-26 21:23:00, Only a few of us on here probably remember.,0,0,0,1,0,0,0.04709679,0.0542732,0.89863,Neu,-0.0071764104,markarbeter
31,2018-03-26 21:21:03," This is the company that used to complain that its stock was being held down by ""naked"" short selling many, many moons ago. Same CEO.",1,1,0,1,0,0,0.015252733,0.7480386,0.23670875,Neg,-0.7327859,markarbeter
32,2018-03-26 20:39:02,This guy just can't get a break. Someday!  ,0,0,1,2,2,25,0.04024599,0.16635945,0.7933945,Neu,-0.12611346,markarbeter
33,2018-03-26 19:32:05,   Thanks David,0,0,0,0,0,1,0.3556803,0.025911238,0.6184085,Neu,0.32976905,markarbeter
34,2018-03-26 14:45:00,"You gotta love the market. Nobody, well I'm sure somebody, saw this Monday opening. Some even looking for a crash. Play the odds and always stay humble. Leave your ego at the door. $SPX",1,1,0,2,6,20,0.04252066,0.026805399,0.9306739,Neu,0.015715262,markarbeter
35,2018-03-26 14:42:04,  Thank you very much Karl!,0,0,0,0,0,1,0.6274901,0.02001318,0.3524967,Pos,0.60747695,markarbeter
36,2018-03-25 20:22:01, Need new numbers with last week's late weakness.,0,0,0,0,0,0,0.025033137,0.9136785,0.06128825,Neg,-0.8886454,markarbeter
37,2018-03-25 19:13:03,"  Yea, I've been looking at the data since the '80's.",1,1,0,0,0,0,0.05673153,0.03300173,0.91026676,Neu,0.023729801,markarbeter
