,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 10:22:01,Hon Hai 's profit beats estimates thanks to demand for the iPhone X    ,0,1,0,0,3,3,0.9533765,0.021938326,0.024685236,Pos,0.93143815,markets
2,2018-03-31 09:59:03,China cuts taxes for chipmakers in a bid to boost the pivotal industry    ,0,0,0,1,5,11,0.35811785,0.46479747,0.17708464,Neg,-0.10667962,markets
3,2018-03-31 09:34:04,"China factory gauge jumps in March, services remain robust    ",0,1,0,0,7,4,0.42445058,0.54090154,0.034647886,Neg,-0.116450965,markets
4,2018-03-31 09:12:05,Facebook's former employees open up about the data scandal    ,0,0,0,0,9,11,0.034447316,0.30947453,0.65607816,Neu,-0.27502722,markets
5,2018-03-31 08:49:04,Encrypted messaging app Telegram raises $1.7 billion from the world's largest initial coin offering    ,1,1,0,6,60,80,0.8723578,0.009006578,0.11863568,Pos,0.8633512,markets
6,2018-03-30 16:49:01,"Russia kicks out more U.K. envoys, hits back at other states    ",0,1,0,1,18,6,0.039767403,0.9106739,0.04955867,Neg,-0.87090653,markets
8,2018-03-30 13:10:00,"As U.S. soy and corn areas shrink, other crops are expanding    ",0,1,0,0,9,8,0.055522107,0.5424013,0.4020767,Neg,-0.4868792,markets
9,2018-03-30 12:09:03,"Bitcoin drops below $7,000    ",0,1,0,4,65,76,0.067617446,0.74321246,0.18917005,Neg,-0.67559505,markets
10,2018-03-30 11:40:05,Amazon severs ties with top lobbying firms in Washington    ,0,0,0,0,3,7,0.015716704,0.94960916,0.034674153,Neg,-0.9338924,markets
11,2018-03-30 10:48:01,Here’s a fresh reason to celebrate the end of a lousy quarter in global equities - a $400 billion dividend boost    ,0,1,0,1,5,9,0.52482283,0.09599098,0.3791862,Pos,0.42883185,markets
12,2018-03-30 09:08:01,Trump may delay Seoul trade pact until North Korea resolved    ,1,0,1,0,7,2,0.019011429,0.63873154,0.34225708,Neg,-0.6197201,markets
13,2018-03-30 08:33:01,VIX up 81% shows extent of stock market pain in jarring quarter   via   ,0,1,0,1,20,18,0.1758025,0.80534005,0.018857382,Neg,-0.6295376,markets
14,2018-03-30 08:07:03,Stocks are about to get a $400 billion dividend boost    ,0,1,0,0,22,24,0.14898987,0.037690446,0.81331974,Neu,0.111299425,markets
16,2018-03-30 00:34:02,"The world's biggest solar project comes with a ""batteries included"" sticker    ",1,1,0,0,11,13,0.070909224,0.014229183,0.9148617,Neu,0.056680042,markets
17,2018-03-30 00:12:01,Amazon’s next challenge is getting teens without credit or debit cards to buy online    ,1,1,0,0,8,10,0.10531917,0.01195514,0.8827257,Neu,0.09336403,markets
18,2018-03-29 23:49:01,Google has a plan to upend the U.S. wireless industry    ,0,1,0,0,9,4,0.3404004,0.008001815,0.65159786,Neu,0.3323986,markets
19,2018-03-29 23:25:01,Germany’s fighting to preserve its industrial future. Hint: It probably won't be diesel    ,1,1,1,0,3,4,0.14456636,0.090594314,0.76483935,Neu,0.053972043,markets
20,2018-03-29 22:48:00,"SoFi’s Noto can fix your student debt, but can he sell you a mortgage?    ",1,0,1,0,2,3,0.06773627,0.015478252,0.9167855,Neu,0.052258015,markets
21,2018-03-29 22:41:03,Almost half of fund allocators don't know what to make of crypto    ,0,1,0,0,7,9,0.023616128,0.20358014,0.7728037,Neu,-0.179964,markets
23,2018-03-29 22:17:02,Gold forges its best run since 2011    ,0,1,0,0,5,7,0.65032035,0.15662518,0.1930545,Pos,0.49369517,markets
24,2018-03-29 21:53:00,"Buffett’s real estate brokerage is booming, with the No. 1 ranking in sight    ",0,1,0,1,7,4,0.8898437,0.009980452,0.10017592,Pos,0.87986326,markets
25,2018-03-29 21:42:00,Incomes are rising but Americans remain cautious on spending    ,0,1,0,0,5,1,0.43146747,0.42421588,0.1443166,Pos,0.0072515905,markets
27,2018-03-29 21:30:00,Wall Street’s biggest bank is hiring more than just business and finance graduates    ,1,1,0,1,15,12,0.23884879,0.017271515,0.74387974,Neu,0.22157727,markets
28,2018-03-29 21:18:00,Trade experts offer Trump alternatives for closing the trade gap    ,0,1,0,0,0,1,0.07050342,0.04021189,0.8892847,Neu,0.030291531,markets
29,2018-03-29 21:04:01,Stocks rally to close out a wild first quarter    ,0,0,0,0,11,7,0.7214227,0.17494307,0.10363429,Pos,0.5464796,markets
30,2018-03-29 20:53:01,U.S. suspends duty-free benefits for Rwandan textile imports    ,0,1,0,0,3,1,0.010297677,0.94395065,0.045751784,Neg,-0.933653,markets
31,2018-03-29 20:51:00,King of the (Bond) World: Terry Duffy makes his biggest trade    ,0,1,0,0,3,0,0.13030869,0.014929226,0.85476214,Neu,0.11537946,markets
32,2018-03-29 20:36:00,The diesel cheating scandal that almost killed VW also probably saved its life    ,1,1,0,0,6,7,0.2475593,0.16616218,0.5862785,Neu,0.081397116,markets
