,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-07 16:14:00,"Anyway, the point is that these guys have been deliberately misleading the public, exploiting their professional reputations to shill for a political agenda, for many years. Nobody should be surprised to see them do it again 6/",1,1,1,18,228,867,0.035599146,0.35483274,0.6095681,Neu,-0.3192336,paulkrugman
1,2018-04-07 16:12:05,"In fact, the amazing thing is how little spending has risen -- the modest additional costs from Obamacare were more than offset by the slowdown in Medicare spending. 5/",1,1,0,7,144,568,0.763206,0.13865697,0.09813701,Pos,0.62454903,paulkrugman
2,2018-04-07 16:11:05,"True, spending is now slightly higher than before the crisis. But that's basically demography: with retiring baby boomers, you expect more spending on Social Security and Medicare (the US govt is an insurance company with an army) 4/",0,1,0,5,84,309,0.41074738,0.052859303,0.53639334,Neu,0.35788807,paulkrugman
4,2018-04-07 16:07:04,"But this isn't new. Way back in Obama's first term, Taylor kept insisting that Obama was presiding over a huge expansion of government spending, when he has to have known full well that this was just not true 2/  ",1,1,0,2,109,341,0.07033925,0.082056075,0.8476047,Neu,-0.011716828,paulkrugman
5,2018-04-07 16:04:02,"Justin Fox is justifiably angry at supposedly respectable Republican economists making blatantly dishonest arguments to pretend that we have an entitlement crisis, and that tax cuts have nothing to do with deficits 1/  ",0,1,0,57,951,1831,0.010697243,0.947024,0.04227874,Neg,-0.93632674,paulkrugman
6,2018-04-06 23:39:00,What I've been obsessively listening to lately  ,1,1,0,41,52,254,0.030853605,0.20403439,0.76511204,Neu,-0.17318079,paulkrugman
7,2018-04-06 22:00:01,"Well, maybe not. But the bottom line is that negotiated trade agreements probably make a big difference; unilateral policy would lead to much higher tariffs, much less trade, and a significantly poorer world 3/",0,1,1,14,119,368,0.14070304,0.77568406,0.08361289,Neg,-0.63498104,paulkrugman
8,2018-04-06 21:56:05,Don't worry -- it's all very simple 2/  ,0,1,0,41,159,496,0.070410304,0.0137827685,0.9158069,Neu,0.056627534,paulkrugman
9,2018-04-06 21:56:00,"I have to admit, as a trade theory nerd of a certain age there's a part of me that is loving the opportunity to pull all that old optimum tariff and trade war stuff off the shelf 1/  ",1,1,0,34,216,583,0.12451801,0.019035393,0.85644656,Neu,0.105482616,paulkrugman
10,2018-04-06 20:34:01,"As I said, markets really, really don't like the idea of a trade war  ",1,1,0,45,254,750,0.036594093,0.48423386,0.47917208,Neg,-0.44763976,paulkrugman
11,2018-04-06 18:20:00,"Indeed. We do teach income distribution effects of trade, and don’t hide that high ed people like us are winners. But an aside: economists face lots of competition from high skill immigrants!  ",0,1,0,14,24,111,0.23325868,0.07420903,0.69253224,Neu,0.15904966,paulkrugman
12,2018-04-06 12:21:02,Do I disapprove of Trump's trade methods? I don't see any method  ,0,1,0,71,460,1597,0.04111131,0.32982823,0.62906045,Neu,-0.2887169,paulkrugman
13,2018-04-05 21:51:00,"You have a job that lets you shower favors on polluters, guaranteeing a hugely lucrative lobbying job a couple of years from now -- and you can't help being a total pig while in office. Amazing  ",0,1,1,99,984,2653,0.105573915,0.07258812,0.8218379,Neu,0.03298579,paulkrugman
14,2018-04-05 16:38:05,"Rural voters overwhelmingly favored Trump. If he takes us into a trade war, they're going to have a rude awakening    ",1,1,0,170,390,1039,0.051993325,0.6701109,0.2778958,Neg,-0.6181176,paulkrugman
15,2018-04-05 15:13:03,"So Trump attempts to push Obamacare into a death spiral, while they have hurt the program and slightly rolled back the improvements in coverage, have also turned it into a program that looks more and more like government insurance rather than a regulated private market",1,1,0,17,109,411,0.024216246,0.904711,0.07107277,Neg,-0.8804948,paulkrugman
16,2018-04-05 15:11:05,And the great majority of those buying private insurance on the marketplaces are heavily subsidized -- in effect insulated from premium increases  ,1,1,0,16,71,273,0.042206965,0.03789471,0.91989833,Neu,0.0043122545,paulkrugman
17,2018-04-05 15:10:03,"Here's what I mean: the majority of the newly insured under the ACA got their coverage through Medicaid, i.e., government insurance  ",1,1,0,10,71,324,0.055324525,0.025798213,0.9188773,Neu,0.029526312,paulkrugman
18,2018-04-05 14:36:04,"The ACA was better designed than even its supporters realized: it's been robust to Trumpian efforts at sabotage, largely thanks to the structure of subsidies. Interesting point: it's looking more and more like stealth single-payer  ",1,1,0,97,1001,3126,0.2548291,0.022476202,0.7226947,Neu,0.23235291,paulkrugman
19,2018-04-04 22:49:01,"Ahem -- I claim property rights on that term, in a very different context    ",0,1,0,26,59,281,0.04551054,0.01828984,0.9361996,Neu,0.027220702,paulkrugman
20,2018-04-04 15:40:01,"Why most people don't see the tax cut in their paychecks: because for most people the benefit, if any, is trivial  ",0,1,0,50,531,1105,0.09131497,0.05824704,0.850438,Neu,0.03306793,paulkrugman
