,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 19:51:02,$spx never reclaimed 2649 and if the active bulls had any control from Wednesday’s Reversal low 2620 should have held.  ,1,0,1,5,10,25,0.13746227,0.1324303,0.7301074,Neu,0.005031973,reddogt3
1,2018-04-06 05:50:03,I love teaching traders around the World!  Technical analysis is the language that unites Continents  ,0,1,0,7,6,70,0.090204,0.016665833,0.8931302,Neu,0.07353817,reddogt3
2,2018-04-05 20:23:03,If you learned how to Fish you still did well while I’m away. A ton of RDR’s to buy and nice upside follow thru today. learn $qqq $spx  ,1,1,0,2,15,44,0.23803934,0.013255899,0.7487048,Neu,0.22478345,reddogt3
3,2018-04-05 14:00:05, u will have to be in for earnings. But not bad,0,0,1,0,0,0,0.21683459,0.04401646,0.7391489,Neu,0.17281812,reddogt3
4,2018-04-04 20:00:00,And then some!!!  ,0,0,0,1,0,7,0.048657294,0.12356865,0.8277741,Neu,-0.074911356,reddogt3
6,2018-04-04 17:26:01,Lots of RDR’s today. The power of reclaiming levels,0,0,0,3,4,18,0.122963235,0.015784884,0.8612519,Neu,0.10717835,reddogt3
7,2018-04-04 16:07:05,$spx Held 2530 2/9 low and Monday’s low or 2555 for the morning Trade.  Now gets more difficult  ,1,1,0,2,1,14,0.009873352,0.9297802,0.060346402,Neg,-0.91990685,reddogt3
9,2018-04-04 14:23:03,Miss-Direction moves are hard.,0,1,0,4,0,7,0.02449893,0.4979159,0.4775852,Neg,-0.47341695,reddogt3
10,2018-04-04 14:14:02,I’m glad I kept u ways from $spot  ,1,1,0,0,0,6,0.71673244,0.05917486,0.22409265,Pos,0.6575576,reddogt3
11,2018-04-04 14:13:05,$spx futures -40.  Recent low is 2530ish to see if we hold above.  ,0,1,0,1,3,16,0.035913628,0.70480895,0.25927743,Neg,-0.6688953,reddogt3
12,2018-04-03 19:38:01,I’m glad this $spot tweet helped u. It was $165 then. Now $153  ,1,1,0,0,0,11,0.14614895,0.014269134,0.8395819,Neu,0.13187982,reddogt3
14,2018-04-03 19:30:01,$spx Is hard to tell here.  My 200day M/A rule! Is it needs to stay under it 2-4 sessions. Then u know if more selling happens.,0,1,0,6,5,24,0.041655272,0.04656073,0.911784,Neu,-0.0049054585,reddogt3
15,2018-04-03 18:29:00,$spx is having a pretty big battle in this 2580-2590 area. A close above 2611 gets uncommitted shorts to cover,0,1,0,6,9,32,0.31942862,0.42251796,0.25805342,Neg,-0.10308933,reddogt3
16,2018-04-03 18:21:01,Now we’ll see where it closes. It never got back above the $168-$169 Level showing tons of supply  ,1,1,0,2,0,5,0.34238628,0.1511737,0.50644,Neu,0.19121258,reddogt3
17,2018-04-03 17:54:04,They opened $spot way too high IMHOP - I wouldn’t buy it and I’m not,1,1,1,2,2,22,0.09508171,0.39769888,0.50721943,Neu,-0.30261716,reddogt3
18,2018-04-03 17:15:01,So they don’t mind driving on Sidewalks in Eastern Europe  ,0,1,0,6,2,17,0.040987086,0.042336125,0.91667676,Neu,-0.0013490394,reddogt3
19,2018-04-02 19:19:04,$spx quick visual as the 2585ish gets taken out  ,1,1,0,3,16,26,0.24341124,0.04401759,0.7125711,Neu,0.19939366,reddogt3
20,2018-04-02 17:03:05,From afar it looks like Thursdays window dresses got cracked.  Now see if $spx stays below 2580-2590. Or not!!  2530ish is 2/9 lows,1,1,0,5,8,20,0.010866493,0.9254034,0.063730076,Neg,-0.91453695,reddogt3
21,2018-04-02 10:49:01,On our way  ,0,0,0,10,0,41,0.09839253,0.03570962,0.86589783,Neu,0.06268291,reddogt3
22,2018-04-01 23:15:02,Lol  ,0,0,0,2,3,16,0.044016626,0.029844426,0.92613894,Neu,0.0141722,reddogt3
23,2018-04-01 20:20:05,  you should come out with a news conference as you have a Ton of negative stories circling & the shorts have control,0,1,1,2,1,12,0.026262982,0.46417904,0.509558,Neu,-0.43791607,reddogt3
24,2018-04-01 18:39:04,Happy Easter  ,0,0,0,5,0,173,0.17826363,0.06465376,0.75708264,Neu,0.11360987,reddogt3
25,2018-04-01 17:43:05, I still think about Andy   Must be tough for u.,0,1,0,0,0,0,0.042205147,0.8040272,0.15376769,Neg,-0.76182204,reddogt3
26,2018-04-01 17:39:02, I miss this guy.    I still think about Andy.,0,1,0,0,0,1,0.044707738,0.2453423,0.7099499,Neu,-0.20063457,reddogt3
27,2018-04-01 17:35:00,This must have been fun  ,1,0,1,0,0,7,0.07022895,0.10436079,0.82541025,Neu,-0.03413184,reddogt3
28,2018-04-01 15:18:00, a few places in that area,0,0,0,0,0,0,0.059270393,0.022917772,0.9178118,Neu,0.03635262,reddogt3
29,2018-04-01 14:16:05,Always read the language on the charts as it’s good to see the level.  But I always give some quick thoughts as well  ,0,1,0,0,4,14,0.04615306,0.030788556,0.9230584,Neu,0.015364505,reddogt3
30,2018-04-01 14:15:05,Measuring the levels in $aapl and $amzn could help u figure out complexion  ,0,1,1,3,3,24,0.07636977,0.013873228,0.90975696,Neu,0.062496543,reddogt3
32,2018-04-01 14:14:04,Next week should be interesting -I’ll be out of Country coaching and visiting subscribers with less interaction with the online community  ,0,1,1,8,8,40,0.06970046,0.038545385,0.89175415,Neu,0.031155072,reddogt3
33,2018-04-01 14:03:00, ,0,0,0,1,0,9,0.35916328,0.21665184,0.4241849,Neu,0.14251144,reddogt3
34,2018-04-01 01:08:00,Cinderella loses her shoe. Great run,0,1,0,0,0,5,0.05758107,0.28154722,0.6608717,Neu,-0.22396615,reddogt3
