,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 00:30:04,"Learn to swing trade,best for those that work full time!!! Alerts / Chat   or complete training   ",0,1,0,0,1,2,0.06995092,0.014855302,0.9151938,Neu,0.05509562,super_trades
1,2018-04-03 00:29:04,$UAVS 300k float.   Drones.  Sexy.    ,0,0,0,1,3,5,0.059579067,0.014354587,0.92606634,Neu,0.04522448,super_trades
2,2018-04-02 20:56:01,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,0,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
3,2018-04-02 17:13:03,With my strategy you do not need to be glued to a computer. Perfect for those that work full time.  Newsletter   or complete training   ,1,1,0,0,1,3,0.0383152,0.025369657,0.9363151,Neu,0.012945542,super_trades
4,2018-04-02 15:54:01,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,1,2,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
5,2018-04-02 14:37:03,Join Me !! Watch List/Chat/Educational Alerts -&gt;   and Be Personally Mentored By Me -&gt;  ,0,0,0,0,1,0,0.18571945,0.0091486415,0.8051319,Neu,0.1765708,super_trades
8,2018-04-02 02:10:00,Work a full time job???  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,2,0.20452327,0.009189001,0.7862877,Neu,0.19533427,super_trades
9,2018-04-01 20:43:00,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,1,1,3,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
10,2018-04-01 16:39:04,Join Me !! Watch List/Chat/Educational Alerts -&gt;   and Be Personally Mentored By Me -&gt;  ,0,0,0,0,1,3,0.18571945,0.0091486415,0.8051319,Neu,0.1765708,super_trades
11,2018-03-31 23:00:00,"  $1,170 profit $NVTR See my track record, daily watch lists & realtime alerts:  ",0,0,0,0,3,7,0.035304315,0.035883524,0.92881215,Neu,-0.00057920814,super_trades
12,2018-03-31 21:44:04,Work a full time job????  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,3,4,0.21492949,0.009119008,0.77595145,Neu,0.20581049,super_trades
13,2018-03-31 19:29:00,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,2,1,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
14,2018-03-31 18:19:00,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,2,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
15,2018-03-31 14:56:01,Join Me !! Watch List/Chat/Educational Alerts -&gt;   and Be Personally Mentored By Me -&gt;  ,0,0,0,0,1,0,0.18571945,0.0091486415,0.8051319,Neu,0.1765708,super_trades
16,2018-03-30 22:52:02,With my strategy you do not need to be glued to a computer. Perfect for those that work full time.  Newsletter   or complete training   ,1,1,0,0,1,4,0.0383152,0.025369657,0.9363151,Neu,0.012945542,super_trades
17,2018-03-30 19:15:04,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,2,7,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
