,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 21:47:01,Sentiment shifting on the bond market...    $TLT $IEF  ,0,1,0,0,5,10,0.20714957,0.1280334,0.66481704,Neu,0.079116166,topdowncharts
1,2018-04-01 21:46:02,Fundamentals Sentiment: bonds vs equities... DIVERGENCE    $MACRO $SPX $TNX  ,0,1,0,1,11,10,0.13053325,0.11815143,0.7513153,Neu,0.012381822,topdowncharts
2,2018-04-01 21:44:02,Sentiment Snapshot: Of Two Minds     ,0,0,0,0,9,8,0.06525642,0.06869757,0.866046,Neu,-0.003441155,topdowncharts
3,2018-04-01 20:38:03,Friendly reminder to join the (free) email list for the weekly top 5 charts mail-out [goes out tomorrow]  ,0,1,0,0,2,1,0.051917277,0.02484723,0.9232355,Neu,0.027070047,topdowncharts
4,2018-03-31 02:42:01,Latest thoughts on China macro view + copper and bond yields:    ,0,0,0,1,19,37,0.037046086,0.03596223,0.92699164,Neu,0.0010838546,topdowncharts
5,2018-03-31 02:39:02,"China official PMIs rebound from a distorted shocker result in February, yet momentum has not improved:    ",1,1,0,0,15,20,0.8023591,0.17687239,0.020768536,Pos,0.62548673,topdowncharts
6,2018-03-30 20:17:05,Institutional investor confidence indexes across regions:    ,0,0,0,0,1,4,0.07032461,0.032363065,0.89731234,Neu,0.037961543,topdowncharts
7,2018-03-30 00:09:00,ChartBrief no.200 - Credit Managers' Index    $JNK $HYG  ,0,0,0,0,5,8,0.08165129,0.05047357,0.86787516,Neu,0.031177722,topdowncharts
9,2018-03-29 11:55:01,"Weekly Report:    (EM macro, EM equity valuations, global property prices, US HY credit, Gold vs silver)",0,0,0,0,3,2,0.030956263,0.04071445,0.9283293,Neu,-0.009758187,topdowncharts
10,2018-03-28 19:36:04,Institutional investors are buying the dip - here's why:    ,0,1,0,0,18,22,0.056662712,0.041343022,0.9019943,Neu,0.01531969,topdowncharts
11,2018-03-28 18:51:00,Weekly freight cost indexes have been trending downwards...    ,1,1,0,0,19,30,0.010283086,0.96121603,0.028500954,Neg,-0.9509329,topdowncharts
12,2018-03-27 19:51:01,"VIDEO: Top 5 Charts of the Week:    (US HY credit, the TED spread, emerging market imports, US Oil production, investor sentiment)",0,1,0,1,5,4,0.041880917,0.032792337,0.92532676,Neu,0.00908858,topdowncharts
13,2018-03-27 18:44:04,Global Equities Bargain Bin (Developed Markets Edition)     ,0,0,0,0,0,7,0.05436294,0.028112017,0.917525,Neu,0.026250925,topdowncharts
14,2018-03-26 22:45:00,"About to send out the free weekly newsletter ""top 5 charts of the week"" - get on the mail list if you want to receive:  ",0,1,0,0,0,2,0.034649186,0.029289896,0.9360609,Neu,0.00535929,topdowncharts
15,2018-03-26 19:29:03,Chart Of The Week: US Crude Oil Flows     ,0,0,0,1,11,13,0.04386624,0.044930585,0.91120315,Neu,-0.0010643452,topdowncharts
16,2018-03-26 19:23:04,Global Equities Country Breadth: looking oversold at this point - question is does it get more oversold or does this cat still have 8 lives?    ,0,1,0,1,7,9,0.038642246,0.2292415,0.7321163,Neu,-0.19059926,topdowncharts
17,2018-03-26 10:26:05,52-week New Highs minus New Lows for global equities:    ,0,1,0,1,0,10,0.07023404,0.8554591,0.074306846,Neg,-0.78522503,topdowncharts
18,2018-03-26 10:21:04,"As of Friday, 9 countries were trading at a 52-week low:    ",1,1,0,0,12,9,0.009747206,0.9438847,0.046368066,Neg,-0.93413746,topdowncharts
19,2018-03-25 21:21:01,"Is ""fundamentals"" sentiment the next shoe to drop?    $MACRO  ",0,1,0,0,7,12,0.013128768,0.891503,0.09536824,Neg,-0.8783742,topdowncharts
20,2018-03-25 21:17:04,Sentiment Snapshot: Technically Bearish     $SPX $SPY  ,0,0,0,0,9,6,0.07926616,0.86015743,0.06057645,Neg,-0.7808913,topdowncharts
21,2018-03-25 18:15:00,Meanwhile back in the real world - global trade is in the middle of a synchronized upturn:    ,0,1,0,1,22,19,0.014813122,0.95952106,0.025665786,Neg,-0.94470793,topdowncharts
22,2018-03-25 03:09:00,Check out emerging market import volumes....     ,0,1,0,0,27,26,0.08367846,0.017646836,0.8986747,Neu,0.06603163,topdowncharts
23,2018-03-25 03:04:03,5 Charts on the Global Trade Boom     $MACRO  ,0,0,0,0,20,22,0.2704435,0.052221604,0.67733485,Neu,0.2182219,topdowncharts
24,2018-03-23 21:26:02,ChartBrief no.198 - Two Major S&P500 Extremes     $SPX $VIX  ,0,0,0,1,9,14,0.09821165,0.03546706,0.86632127,Neu,0.062744595,topdowncharts
25,2018-03-23 21:21:04," looks at the 17 CDS sector indexes from Thomson Reuters Datastream and overweights extremes (max minus min, average, upper quartile, etc)",0,0,0,1,0,0,0.027570754,0.035690233,0.93673897,Neu,-0.008119479,topdowncharts
26,2018-03-23 05:40:04,"Weekly report preview:    (global data pulse, Fed and markets, China property and metals, Aussie credit spreads, and MLPs)",0,0,0,0,3,3,0.023874748,0.04452281,0.9316025,Neu,-0.020648062,topdowncharts
27,2018-03-22 18:18:00, problem is when you divide by near-zero,0,1,0,1,0,1,0.038351495,0.23874882,0.7228997,Neu,-0.20039733,topdowncharts
28,2018-03-22 18:16:04,Corporate CDS Pressure Index remains elevated:    ,1,1,0,2,18,23,0.88420796,0.07289278,0.042899307,Pos,0.8113152,topdowncharts
29,2018-03-22 18:10:02,Where things are sitting with the big bond yield breakout...    ,0,1,0,0,10,14,0.11378092,0.22269376,0.6635253,Neu,-0.10891283,topdowncharts
30,2018-03-21 23:17:02,"History shows when the Fed tightens monetary policy, ultimately credit conditions end up tightening too:    $HYG $JNK  ",0,1,0,1,22,27,0.22501516,0.37413067,0.40085417,Neu,-0.1491155,topdowncharts
31,2018-03-21 23:12:01,"ChartBrief no.197 - TED, Fed, Credit     ",0,0,0,1,8,6,0.040008,0.027747136,0.9322449,Neu,0.012260865,topdowncharts
32,2018-03-20 20:50:01,VIDEO: Top 5 Charts of the Week - 21 Mar 2018  ,0,0,0,0,2,1,0.06351793,0.033732235,0.90274984,Neu,0.029785693,topdowncharts
33,2018-03-20 18:25:05,200 dma breadth version of that chart...  ,0,0,0,0,7,22,0.095336385,0.011324293,0.89333934,Neu,0.08401209,topdowncharts
34,2018-03-20 18:05:05,Global Equity Country Breadth: 49 out of 70 countries are trading below their respective 50-day moving averages...    ,0,1,0,2,12,21,0.013583431,0.9117841,0.074632466,Neg,-0.8982007,topdowncharts
35,2018-03-19 23:31:00,"Will be sending out the free weekly email later today -- ""The Top 5 Charts of the Week""  ... get on the mailing list to receive:  ",0,1,1,0,0,2,0.033282828,0.027653813,0.9390634,Neu,0.005629014,topdowncharts
36,2018-03-19 22:50:03,Chart Of The Week: DM Equity Risk Premiums    ,0,0,0,0,8,11,0.045645624,0.053017613,0.9013368,Neu,-0.007371988,topdowncharts
37,2018-03-19 05:25:02,Some extremes starting to emerge in the bond market...    ,0,1,0,0,21,23,0.16480553,0.0399086,0.7952858,Neu,0.12489693,topdowncharts
38,2018-03-18 22:47:03,Treasuries Sentiment Index at a bearish extreme - raises odds of a short term reversal in bond yields...    ,0,1,0,0,14,23,0.07679165,0.85190207,0.07130632,Neg,-0.7751104,topdowncharts
39,2018-03-18 22:45:01,Still seeing some disagreement between bond market and equity market fundamentals sentiment:    $MACRO $BONDS $SPX  ,0,1,0,0,13,17,0.08465068,0.6268309,0.2885184,Neg,-0.5421802,topdowncharts
40,2018-03-18 19:02:01,Weekly equity sentiment survey: both technical and fundamental net-bulls down on the week  ,0,0,0,0,1,4,0.008251186,0.9697346,0.02201415,Neg,-0.9614834,topdowncharts
41,2018-03-18 18:51:01,Bitcoin futures positioning:    $BTC.X $BTC_F HODL  ,0,1,0,0,2,2,0.029637715,0.02529856,0.94506377,Neu,0.004339155,topdowncharts
42,2018-03-17 00:25:03, pleasure.  One thing I would point out is that dot com this line moved up over 30% vs about 15% so far from early 2017,1,1,1,1,0,0,0.95759314,0.021062339,0.021344539,Pos,0.9365308,topdowncharts
43,2018-03-16 21:43:04,Seasonality in Bitcoin prices?     HODL Bitcoin $BTC.X  ,0,0,0,0,9,8,0.032081887,0.12415704,0.8437611,Neu,-0.092075154,topdowncharts
44,2018-03-16 21:41:02,Crypto Charting: 5 More Charts on the Outlook for Bitcoin prices    ,0,0,0,0,20,20,0.03227338,0.028277138,0.9394494,Neu,0.00399624,topdowncharts
45,2018-03-16 21:38:04, yes  ,0,0,0,1,0,2,0.10770593,0.03593013,0.85636395,Neu,0.071775794,topdowncharts
46,2018-03-16 06:34:02,"Weekly report preview:    asset valuations, governance risk premium, global equity valuations, UK equities, NZD & AUD)",0,0,0,0,2,0,0.022724563,0.041138686,0.9361367,Neu,-0.018414123,topdowncharts
47,2018-03-14 23:07:02,Some salient stockmarket seasonal statistics...    ,0,0,0,0,8,13,0.08639167,0.14903499,0.76457334,Neu,-0.06264332,topdowncharts
48,2018-03-14 23:03:03,ChartBrief no.196 - Seasonal Surge     $SPX $SPY  ,0,0,0,0,15,23,0.61449546,0.14666474,0.23883976,Pos,0.46783072,topdowncharts
49,2018-03-13 22:22:04,VIDEO: Top 5 Charts of the Week  ,0,0,0,0,3,3,0.1565843,0.036241323,0.8071744,Neu,0.12034297,topdowncharts
50,2018-03-12 20:23:05,Chart Of The Week: Energy Stocks     ,0,0,0,0,9,13,0.024153184,0.04147796,0.9343689,Neu,-0.017324775,topdowncharts
51,2018-03-12 19:13:01,Economic confidence booming in the USA:    $MACRO  ,0,0,0,2,25,33,0.91162515,0.030871151,0.057503674,Pos,0.880754,topdowncharts
52,2018-03-12 19:06:00,"Positive economic surprises and uptrending earnings revisions = fundamental support, at least short-term:    ",0,1,0,0,6,8,0.9460565,0.017989552,0.035954013,Pos,0.9280669,topdowncharts
53,2018-03-11 22:40:01,"Still seeing some disagreement between bond investors and equity investors on ""fundamentals"" sentiment:    $MACRO  ",0,1,0,0,7,15,0.18445902,0.591271,0.22427,Neg,-0.40681195,topdowncharts
54,2018-03-11 22:38:05,Sentiment Snapshot: Fundamentally Sound    $SPX $MACRO  ,0,0,0,0,7,8,0.8223499,0.11298556,0.0646646,Pos,0.70936435,topdowncharts
55,2018-03-10 17:34:03,OECD Composite Leading Indicators point to potential slowing of momentum in global growth    ,0,0,0,0,10,27,0.029838327,0.95698065,0.01318106,Neg,-0.9271423,topdowncharts
56,2018-03-10 02:23:02,Latest OECD CLIs show DM tentatively topping out vs EM still ticking along...    ,0,1,0,0,7,13,0.78308785,0.058357146,0.15855506,Pos,0.72473073,topdowncharts
58,2018-03-10 02:11:03,OECD Leading Indicators point to a potential turning point for the global economic expansion...    $MACRO $ACWI  ,0,0,0,2,21,16,0.7182313,0.018244956,0.26352367,Pos,0.69998634,topdowncharts
59,2018-03-09 08:25:00,"Weekly report preview:    (Global equities, global cyclicals vs defensives, income asset tactics, energy stocks, European equities)",0,1,0,0,2,1,0.023288952,0.058366075,0.9183449,Neu,-0.035077125,topdowncharts
60,2018-03-08 17:16:04,S&P500 returns have been all about Financials and IT .... FinTech?     ,1,1,0,0,7,6,0.04870332,0.09071259,0.8605841,Neu,-0.04200927,topdowncharts
