,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 00:16:00,"Dow dives, trade war worries rise    ",0,1,0,0,1,0,0.021162283,0.9139735,0.0648642,Neg,-0.89281124,usatodaymoney
1,2018-04-02 23:43:05,Hyperloop One makes its way to Saudi Arabia one tube at a time    ,0,1,0,0,2,1,0.0633892,0.017631225,0.9189795,Neu,0.04575797,usatodaymoney
2,2018-04-02 23:11:00,Mega Millions jackpot really was $12 million more — $533M — lottery officials say    ,1,1,0,0,0,1,0.2584803,0.056691635,0.68482804,Neu,0.20178868,usatodaymoney
3,2018-04-02 22:54:00,Is a juicer better than a blender for making juice    ,0,1,0,2,0,1,0.26368514,0.011331356,0.72498345,Neu,0.2523538,usatodaymoney
4,2018-04-02 22:38:00,Virgin Hyperloop One's Saudi Arabia tube travel is on track    ,0,1,0,0,0,1,0.19218752,0.009960864,0.7978516,Neu,0.18222666,usatodaymoney
6,2018-04-02 22:05:00,Your Crock-Pot can crack while cooking—here's what you should do if it happens    ,0,1,1,1,0,0,0.03186217,0.10839842,0.8597394,Neu,-0.07653625,usatodaymoney
7,2018-04-02 21:48:05,This popular home decor store is having a massive furniture sale    ,0,1,0,1,1,1,0.08375444,0.021550113,0.89469546,Neu,0.06220433,usatodaymoney
8,2018-04-02 21:32:03,Thousands of older workers each year say age discrimination is real    ,0,1,0,0,1,6,0.018515334,0.88890857,0.09257606,Neg,-0.8703932,usatodaymoney
10,2018-04-02 20:59:05,"Trump's EPA seeks to cut Obama rules on gas mileage in cars, trucks    ",0,1,0,0,1,0,0.085705146,0.3454553,0.5688395,Neu,-0.25975013,usatodaymoney
11,2018-04-02 20:43:05,10 affordable storage bins that will make your home look like Pottery Barn    ,0,0,1,0,0,0,0.14973927,0.011148762,0.83911204,Neu,0.1385905,usatodaymoney
12,2018-04-02 20:28:00,"Iowa town asks: If you give them free land, will they come?    ",0,1,1,0,1,1,0.068396434,0.016881688,0.9147219,Neu,0.051514745,usatodaymoney
13,2018-04-02 20:11:00,Supreme Court rules for car dealerships in overtime case    ,0,0,0,1,0,1,0.05332749,0.13004929,0.8166233,Neu,-0.0767218,usatodaymoney
14,2018-04-02 19:53:04,"Texas Meat Packers recalls more than 7,000 pounds of raw beef shipped to nine states    ",1,1,0,1,0,0,0.23685311,0.30143645,0.46171048,Neu,-0.064583346,usatodaymoney
15,2018-04-02 19:48:00,"For Elon Musk and Tesla, March Madness continues into April:  ",0,1,0,0,0,0,0.02284949,0.11627779,0.8608727,Neu,-0.0934283,usatodaymoney
17,2018-04-02 19:20:00,Jesse Jackson calls on big tech to redouble diversity efforts — and figure out what's not working    ,0,1,0,0,1,0,0.09152653,0.01908754,0.88938594,Neu,0.07243899,usatodaymoney
18,2018-04-02 19:03:00,ESPN to launch streaming service ESPN+ on April 12    ,0,1,0,1,3,0,0.04665323,0.012877438,0.94046926,Neu,0.03377579,usatodaymoney
19,2018-04-02 18:47:00,Sinclair defends itself over uproar after local news anchors read anti 'false news' screed    ,0,1,0,1,0,3,0.032050177,0.93818253,0.029767193,Neg,-0.90613234,usatodaymoney
20,2018-04-02 18:29:00,"Stocks in selloff mode as trade, tech worries drag prices down    ",0,1,0,0,1,1,0.026094753,0.93017983,0.04372545,Neg,-0.9040851,usatodaymoney
