,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
32,2018-04-05 20:05:00,"Stormy and cold weather will continue for the Midwest and Northeast through the weekend, with more snow expected.    ",1,0,1,7,23,37,0.10079523,0.7849022,0.11430246,Neg,-0.684107,abc
37,2018-04-05 19:32:04,"Special counsel Robert Mueller will navigate uncharted waters when wrapping Russia probe, legal experts tell     ",0,1,1,19,25,64,0.094257794,0.020258581,0.8854836,Neu,0.07399921,abc
40,2018-04-05 19:14:00,"Senators from major soybean-producing states, including Republicans, are blaming Pres. Trump's aggressive actions against China for trade retaliation that could hit farmers and ranchers particularly hard.    ",0,1,1,446,419,625,0.016567672,0.9525999,0.03083247,Neg,-0.93603224,abc
45,2018-04-05 17:59:02,"“Nothing’s been enacted,"" Larry Kudlow tells  about farmers' concerns over proposed tariffs.  ""I appreciate the concerns, absolutely, but give us some time to play this out...We can fix this thing, this could have a great ending.”    ",1,1,1,34,31,35,0.71387863,0.063331805,0.22278956,Pos,0.65054685,abc
57,2018-04-05 15:56:00,"Father of alleged YouTube shooter apologizes: ""I am sorry. I can't believe it.""    ",0,1,1,15,26,65,0.021429759,0.8295906,0.14897959,Neg,-0.80816084,abc
64,2018-04-05 14:14:00,"Former Brazilian President Luiz Inacio da Silva can be jailed for upheld corruption conviction, Brazil's top court rules.    ",1,0,1,4,22,50,0.025431573,0.71644616,0.25812227,Neg,-0.6910146,abc
75,2018-04-05 12:40:00,Facebook now says up to 87 million users' data may have been improperly shared with Cambridge Analytica.    ,1,1,1,42,69,77,0.010080997,0.92278326,0.06713578,Neg,-0.91270226,abc
76,2018-04-05 12:39:00,"Pruitt's EPA should not have paid for busted condo door, congresswoman Betty McCollum says.   “I know that Congress appropriates money for the EPA to protect human health and the environment -- not for repairs to the administrator's residence.”    ",1,1,1,17,67,156,0.08941817,0.049765613,0.86081624,Neu,0.03965256,abc
82,2018-04-05 11:24:00,"Florida newspaper executive says new tariffs could add more than $3 million to paper's newsprint bill. ""Important stories will go uncovered.""    ",0,1,1,23,46,63,0.09031231,0.2530258,0.6566619,Neu,-0.1627135,abc
87,2018-04-05 10:22:00,Facebook now says up to 87 million users' data may have been improperly shared with Cambridge Analytica.    ,1,1,1,32,82,61,0.010080997,0.92278326,0.06713578,Neg,-0.91270226,abc
