,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
5,2018-04-05 11:09:03,A trade war will increase average tariffs by 32 percentage points - VOX  ,0,0,1,0,0,0,0.78790754,0.081741564,0.13035096,Pos,0.70616597,activiststocks
40,2018-03-23 22:10:01,Now would be a good time for Mark Zuckerberg to resign | TechCrunch  ,0,0,1,0,0,0,0.024866551,0.3502788,0.6248546,Neu,-0.32541224,activiststocks
55,2018-03-22 01:08:04,"""Will deletefacebook become a thing?""   ",0,0,1,0,1,2,0.028569626,0.051019162,0.9204113,Neu,-0.022449536,activiststocks
66,2018-03-19 20:55:00,"Cabernet wines are just as complex as a pinots, just not as delicate and fussy. The real thing about cabs is that they're the most adaptable of vines. You can plant them just about anywhere, and as long as you tend it, they'll always give you something beautiful.",0,1,1,0,0,0,0.078026436,0.02315196,0.89882165,Neu,0.054874476,activiststocks
105,2018-03-08 17:41:01,Who'll Be The Amazon Of Housing? - The Basis Point  ,0,0,1,0,0,0,0.039641354,0.032514572,0.9278441,Neu,0.007126782,activiststocks
106,2018-03-08 17:37:03,Will Apple Buy Snap? | Vanity Fair   $SNAP $AAPL,0,0,1,0,0,0,0.047581486,0.015643815,0.93677473,Neu,0.031937674,activiststocks
134,2018-03-03 21:12:03,"Finally, some insider trading justice ... Ex-security guard must face SEC charges over 2013 Heinz takeover  ",0,0,1,0,0,0,0.029023545,0.5911178,0.37985867,Neg,-0.5620943,activiststocks
157,2018-02-24 21:33:03,What Can Save General Electric?  -  ,0,0,1,0,0,1,0.05139676,0.032226868,0.91637635,Neu,0.019169893,activiststocks
181,2018-02-12 16:56:05,The Best Business Book You’ll Read All Year Will Be A Novel  ,0,1,1,0,0,0,0.052845858,0.019798288,0.9273559,Neu,0.03304757,activiststocks
186,2018-02-12 02:04:05,    Can confirm. This is the only question that matters.,0,1,1,0,0,2,0.03960475,0.03257222,0.92782307,Neu,0.0070325285,activiststocks
192,2018-02-07 22:17:02,Should You Buy Bitcoin? by Adair Turner - Project Syndicate  ,0,0,1,0,0,0,0.038150642,0.022361686,0.93948764,Neu,0.015788956,activiststocks
202,2018-02-05 20:03:01,"Sooner or later, God'll cut you down  ",0,0,1,0,0,0,0.03698596,0.5166362,0.44637787,Neg,-0.47965023,activiststocks
203,2018-02-05 20:02:05,You can run on for a long time ...  ,0,0,1,0,0,0,0.05825617,0.048049603,0.8936942,Neu,0.010206569,activiststocks
208,2018-02-03 16:17:04,"This ... -&gt; The investment business is perhaps the only area of the economy that can rival health care in complexity, low quality, opacity and unreasonable cost",0,1,1,0,0,0,0.17639072,0.029923487,0.7936858,Neu,0.14646724,activiststocks
211,2018-02-02 04:23:00, Over/under on when we can buy bitcoins via Snap app?,0,0,1,0,0,2,0.044348896,0.017376581,0.93827456,Neu,0.026972314,activiststocks
223,2018-01-31 15:19:03,"""JIM CHANOS: Charity Can Be A Sign Of Fraud - Business Insider""   ",0,0,1,0,0,1,0.058798816,0.10803001,0.8331711,Neu,-0.04923119,activiststocks
297,2018-01-10 20:17:04,"""There is a big difference between being right about something and being right about when something will happen. To benefit from being right you either have to get the timing right or you have to hang in there until the timing is right.""  perspective",0,1,1,0,1,1,0.08632505,0.0485899,0.86508507,Neu,0.03773515,activiststocks
301,2018-01-10 14:33:03,"""Buffett on cryptocurrencies: ’I can say almost with certainty that they will come to a bad ending’ - CNBC""   ",0,1,1,0,0,0,0.052212194,0.48246798,0.4653198,Neg,-0.43025577,activiststocks
354,2018-01-03 15:55:01,"Tiny company which owns some Hooter's restaurants says it will use blockchain, boosting stock by 50%  ",0,1,1,0,1,3,0.9280886,0.011100491,0.060810864,Pos,0.91698813,activiststocks
359,2018-01-02 14:01:01,"There is a 40% chance Apple will acquire Netflix, according to Citi  ",0,1,1,0,0,0,0.12292299,0.011274358,0.86580265,Neu,0.11164863,activiststocks
366,2017-12-26 21:55:00,Bitcoin as Money? Here's a Roadmap for How It'll Happen  ,0,1,1,0,0,0,0.039253145,0.018112792,0.94263405,Neu,0.021140354,activiststocks
389,2017-12-21 15:20:01,"A Million-Dollar Bet That Bitcoin Will Hit $50,000 - Wall Street Journal  ",0,0,1,0,1,0,0.4186096,0.01854563,0.5628448,Neu,0.40006396,activiststocks
409,2017-12-16 15:40:01,Bitcoin may now be the biggest financial bubble of all time  ,0,0,1,0,0,0,0.033033643,0.21624933,0.750717,Neu,-0.1832157,activiststocks
441,2017-12-12 22:01:00,Batteries can’t solve all our energy-storage problem. Here’s the solution - Quartz  ,0,1,1,0,1,0,0.046784036,0.04181018,0.9114058,Neu,0.004973855,activiststocks
453,2017-12-11 21:45:01,"Activist will push for Whitbread split, investor predicts  ",0,0,1,0,0,1,0.33833092,0.082470745,0.5791983,Neu,0.25586018,activiststocks
456,2017-12-11 20:05:01,Nassim ‘Black Swan’ Taleb says bitcoin can’t be shorted properly as futures debut  ,1,1,1,0,0,0,0.041917246,0.13961633,0.8184664,Neu,-0.097699076,activiststocks
459,2017-12-11 17:55:01,Activists threaten to push for a sale of Alexion if execs can't jack up stock price  ,0,1,1,0,0,0,0.013097912,0.883119,0.10378304,Neg,-0.8700211,activiststocks
466,2017-12-09 14:15:01,"Josh Brown: Here's how to buy bitcoin, but realize it could be one giant bubble  ",0,1,1,0,0,2,0.03294443,0.038390294,0.92866534,Neu,-0.005445864,activiststocks
471,2017-12-08 17:10:01,The Bitcoin bubble – how we know it will burst  ,0,1,1,0,0,0,0.11034824,0.025169972,0.8644818,Neu,0.08517827,activiststocks
502,2017-12-03 21:54:02,"CVS agrees to buy Aetna in $69 billion deal that could shake up health-care industry, people familiar with the deal  ",0,1,1,0,1,0,0.51908594,0.016927855,0.46398625,Pos,0.5021581,activiststocks
527,2017-11-28 21:15:01,"Bitcoin could 'easily' reach $40,000 by the end of 2018, hedge fund legend Novogratz says  ",0,1,1,0,0,3,0.7926633,0.0115036,0.19583312,Pos,0.7811597,activiststocks
563,2017-11-21 14:15:02,Can bitcoin survive an apocalypse?  ,0,0,1,0,0,1,0.0836676,0.020683957,0.8956485,Neu,0.06298364,activiststocks
570,2017-11-20 17:10:04,Nelson Peltz will bring 'fresh perspective' to P&G: CalSTRS   $PG,0,0,1,0,1,1,0.3297127,0.00685255,0.66343474,Neu,0.32286015,activiststocks
581,2017-11-15 21:05:01,"Major US mall owner rallies on $14.8 billion bid, but some say offer should be sweeter  ",0,1,1,0,0,0,0.56393373,0.27076095,0.16530527,Pos,0.29317278,activiststocks
602,2017-11-08 16:55:02,Can Bitcoin be Tamed?  ,1,0,1,0,0,0,0.09945402,0.023001004,0.877545,Neu,0.076453015,activiststocks
