,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-02-28 20:30:01,Well there we have it... Badger will go Bust..  ,0,1,1,0,1,5,0.059437554,0.45247647,0.488086,Neu,-0.39303893,alderlaneeggs
1,2018-02-28 20:17:02,There is a day out there that Badger Daylight is down 80% Illegal Toxic Dumping in California will Bankrupt them.. $BAD now they are selling trucks? Burning the furniture to heat the house is not a strategy,0,1,1,0,3,14,0.014268051,0.8095128,0.1762192,Neg,-0.79524475,alderlaneeggs
2,2018-02-28 20:13:04,The Long Arm of the Law will Wind Sheer these Lowlifes.. $MDXG  ,1,0,1,0,0,1,0.055564906,0.096977875,0.84745723,Neu,-0.04141297,alderlaneeggs
6,2018-02-28 17:56:01,"If Badger Daylight’s business is So Good, why are they having a firesale on used trucks? $BAD... I think I will buy one and drive it to Marietta to do a little “clean” up.     ",1,1,1,2,1,10,0.082641274,0.05099725,0.86636144,Neu,0.031644024,alderlaneeggs
8,2018-02-28 17:28:05,Quite sure its the last we will hear from the Rented Mule  in $HLF... OFF to take dictation in another name...   ,0,0,1,1,0,11,0.023143182,0.14157428,0.8352825,Neu,-0.1184311,alderlaneeggs
16,2018-02-28 01:14:00,"I wonder what her connection is to $MDXG , Nascar and Cockrell? The Feds will figure it out one day      ",0,1,1,4,1,12,0.030975474,0.031781275,0.9372432,Neu,-0.0008058008,alderlaneeggs
20,2018-02-27 20:25:03,One day soon there will be a Periscope on $MDXG shipments without Purchase Orders at quarter end...  mdxgisfucked    Problem is it was never shipped to a Customer..,1,1,1,3,4,18,0.0131448535,0.9218611,0.0649941,Neg,-0.90871626,alderlaneeggs
25,2018-02-27 16:29:03,More Parker Petite Bullshit...  $mdxg    . He is like a little child..   and  are News organizations who dont print unless they can prove.   Question is when does  run out of Cash which is at hand,0,1,1,1,2,13,0.024902927,0.15063614,0.8244609,Neu,-0.12573321,alderlaneeggs
30,2018-02-27 14:40:03,"If you want to collect unemployment and you work for $MDXG, just wrote a Dear Pete letter and you will be fired within 3 days..  ",1,1,1,0,0,8,0.008680817,0.93610287,0.055216245,Neg,-0.92742205,alderlaneeggs
35,2018-02-27 04:14:00,This will be one for the Ages  ,0,0,1,1,0,16,0.10147506,0.021616075,0.87690884,Neu,0.07985899,alderlaneeggs
36,2018-02-27 04:12:05,"I will be there when they rip down the signage, Parker sure has been recognized Nationally alright. $MDXG peteprisonparty     ",1,1,1,3,1,12,0.13603744,0.014086811,0.8498757,Neu,0.12195063,alderlaneeggs
39,2018-02-27 03:42:05, Will not take too long or too much,0,0,1,0,0,2,0.043902665,0.028940419,0.9271569,Neu,0.014962247,alderlaneeggs
54,2018-02-26 20:20:01,Periscope of $MDXG will begin in 10 minutes..    You dont want to miss this,0,1,1,0,4,9,0.029898122,0.057724334,0.91237754,Neu,-0.027826212,alderlaneeggs
55,2018-02-26 19:24:01,"People like sound bytes and I will do that on Periscope,  but everything I talk about today will eventually make it to   website $MDXG  ",0,1,1,0,0,7,0.053517886,0.015958142,0.93052405,Neu,0.037559744,alderlaneeggs
56,2018-02-26 19:03:02,I have Hard Evidence thst will be discussed on my Periscope at 3:30pm EST and 12:30 PST  $MDXG  ,1,1,1,3,10,29,0.047348022,0.021202782,0.9314492,Neu,0.02614524,alderlaneeggs
57,2018-02-26 18:57:00,  He is a child... should be ignored,1,1,1,0,0,1,0.038556803,0.16740043,0.7940428,Neu,-0.12884364,alderlaneeggs
58,2018-02-26 18:47:00,I could care less about the stock price on a day to day basis.. Parker Petite made this a war and he will end up in Prison $MDXG  ,1,0,1,0,1,9,0.031528857,0.6326658,0.33580527,Neg,-0.601137,alderlaneeggs
60,2018-02-26 18:41:03,The upcoming Periscope on $MDXG will commence at 3:30pm EST 12:30 Pacific.. Was meeting with a New Long This am and have just returned to HQ.      parker Petite should resign immediately... mdxgisfucked,1,1,1,1,4,15,0.020455709,0.5988116,0.38073272,Neg,-0.5783559,alderlaneeggs
61,2018-02-26 18:01:04,I will be wearing Proper Good Business Acumen Attire $mdxg    for the Periscope,0,1,1,3,1,30,0.0927121,0.011917857,0.89537,Neu,0.08079424,alderlaneeggs
71,2018-02-26 14:03:01,   People need to subscribe to   so they can understand whats teally going on with names... Best money one can Invest...,0,1,1,4,3,41,0.052715223,0.018191235,0.92909354,Neu,0.034523986,alderlaneeggs
79,2018-02-26 01:09:01,Joe Munda Deserves High Praise... He is a tremendous hire for any Hedge Fund looking for the next Superstar Analyst.. He is wasting his time at First Analysis.. If I had a Fund I would hire him in a second $MDXG,1,1,1,0,0,17,0.11646301,0.019015277,0.8645217,Neu,0.09744774,alderlaneeggs
80,2018-02-26 01:06:03,Feel bad for the Kid but I also feel bad for the formers whose lives have been ruined by Parker... Stories will be told... Lexie got greedy and believed his Bullshit bit she ruined people $MDXG  ,1,1,1,1,0,4,0.019552128,0.7979855,0.18246242,Neg,-0.7784334,alderlaneeggs
82,2018-02-26 00:54:00,"I cant wait to see Cashman,Carlton, Braly, Palmer,and Lilly arrested... Should I play a ME2 tape next week? Name that Doc may be more fun.. $MDXG",1,1,1,1,1,8,0.029993016,0.09227389,0.8777332,Neu,-0.062280875,alderlaneeggs
95,2018-02-25 19:02:01,"Is Proof in the $MDXG Fraud, product showing up at the end of the Quarter without a PO? If Yes I have proof and will be discussed and shown on my next Periscope?     Just come clean now Parker,Cashman,Palmer mdxgisfucked",1,1,1,1,1,12,0.055987593,0.023184992,0.92082745,Neu,0.0328026,alderlaneeggs
97,2018-02-25 18:22:05, This guy is a must Follow!,0,1,1,0,0,0,0.10299972,0.015604361,0.88139594,Neu,0.087395355,alderlaneeggs
99,2018-02-25 16:28:05,"  $MDXG knows of him and other ILLEGAL PODS in NEVADA.. I will expose them shortly... What say you Ricky Palmer, Chris Cashman, Parker Petite?  Big Reveal Coming   I know how the scheme works and who the players are..",0,1,1,0,3,10,0.040525407,0.04237709,0.91709745,Neu,-0.0018516816,alderlaneeggs
101,2018-02-25 15:50:03,"Funny, I thought I would be invited to speak.. LMFAO  ",1,0,1,3,3,25,0.07461091,0.01748362,0.90790546,Neu,0.05712729,alderlaneeggs
103,2018-02-25 15:17:03,Maybe the$MDXG doctors who I will begin naming..  ,0,1,1,0,0,2,0.060584504,0.015048881,0.92436653,Neu,0.045535624,alderlaneeggs
