,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-01 02:44:03,sounds depressing. The data suggests to me they will be on the losing side of this second quarter move. I like buying strong stocks here  ,0,1,1,3,5,12,0.046235394,0.7569653,0.19679935,Neg,-0.7107299,allstarcharts
5,2018-03-31 22:47:05,a lot of charts for me this weekend. It's been very eye opening. J Pierpont Morgan was right: Stocks will fluctuate,1,1,1,3,3,26,0.041355707,0.84208655,0.116557695,Neg,-0.8007308,allstarcharts
6,2018-03-30 19:38:01,"6 hours per year will make you a better investor. Take 30 minutes at the end of every month to go thru monthly charts, 30 min x 12 months. It will be the most valuable 6 hours of your entire year. Here's my list, I encourage everyone to make their own  ",0,1,1,3,48,257,0.053835474,0.021315606,0.9248489,Neu,0.03251987,allstarcharts
7,2018-03-30 19:00:04,"This is the perfect time to re-evaluate any prior thesis you may have had: 3 day weekend, end of week, end of month, end of quarter. What is Q2 going to look like and will you win or will you complain like the losers do?",1,1,1,1,6,20,0.048114445,0.111489765,0.8403958,Neu,-0.063375324,allstarcharts
18,2018-03-30 06:08:00,    I couldn't agree more,0,0,1,0,0,0,0.1800424,0.20263195,0.6173256,Neu,-0.02258955,allstarcharts
23,2018-03-29 23:53:00,On my way to San Francisco! Are you coming to hang with  and me tonight? Should be a lot of fun!      ,0,1,1,2,1,9,0.093535684,0.027644778,0.87881947,Neu,0.06589091,allstarcharts
26,2018-03-29 23:13:02,Yea just give your money to a robot. I'm sure that will end well. What could possibly go wrong?,0,1,1,3,5,22,0.033539582,0.34352928,0.6229312,Neu,-0.3099897,allstarcharts
37,2018-03-28 21:26:01,"Guys just do yourselves a favor and stop. Just stop. Whatever you're doing, stop it. And look at price. Even for just a minute. I promise you it will help.   Ok now go back to whatever less valuable work you were doing before.",1,1,1,6,3,36,0.044818595,0.071376964,0.88380444,Neu,-0.02655837,allstarcharts
43,2018-03-27 22:47:01,Sentiment follows price. Funny how I'm not getting random phone calls from friends asking me which (not if) coins they should buy  ,0,1,1,1,2,14,0.063512884,0.06040325,0.87608385,Neu,0.003109634,allstarcharts
54,2018-03-27 14:49:02,Who thinks Euro resolution is higher &gt; 126? That would set the stage for a move towards 1.40 right? How would Precious Metals do in that environment? Pretty good I'd say.... $GC_F $GLD $SI_F $SLV $EURUSD $UUP $DXY  ,0,1,1,0,10,33,0.45128548,0.020141004,0.5285735,Neu,0.43114448,allstarcharts
61,2018-03-27 00:44:00,"You know their best interests conflict with ours as investors when they choose to quote the historic ""point"" moves while conveniently ignoring the % changes and how normal they are historically. I can't see how these people add any value to society",0,1,1,0,1,25,0.044161733,0.22602996,0.72980833,Neu,-0.18186823,allstarcharts
62,2018-03-27 00:31:01,"If you're in the Bay Area, join me and  in San Francsico this Thursday night. Him and I will be chatting about the current market environment and what we're doing to try and profit from it  ",0,1,1,3,0,7,0.08147799,0.012935892,0.9055861,Neu,0.0685421,allstarcharts
90,2018-03-23 19:01:00, yes i would agree,0,0,1,0,0,0,0.17831218,0.018364564,0.8033233,Neu,0.15994762,allstarcharts
92,2018-03-23 18:43:00,let me ask you this: Do new highs and a new leg higher in Crude Oil mean S&Ps should follow? Or do correlations now change? what do u guys think $CL_F $USO $SPY $SPX $ES_F  ,0,1,1,10,8,35,0.06289583,0.025728386,0.91137576,Neu,0.03716744,allstarcharts
105,2018-03-23 03:29:05,But is absolute total Searches a fair apples to apples comparison? Or is a % of total searches more fair? Can we even get that data? Or are total searches the same today as back then?  ,0,1,1,2,0,10,0.0680435,0.026197951,0.9057585,Neu,0.04184555,allstarcharts
116,2018-03-21 21:59:02,"if all you stock market bears are wrong, once again, and another new leg higher is upon us, I think Latin America will be a leader the next few quarters. Look at $ILF today. And its cousins $EWW $EWZ $EEM $EPU",0,1,1,5,5,53,0.3614249,0.036341738,0.6022334,Neu,0.32508317,allstarcharts
119,2018-03-21 20:50:02,"they would tell you that your candlestick settings are wrong. That should be a red candle, not green. It was down from the previous day  ",1,1,1,5,0,14,0.121292986,0.6620532,0.21665376,Neg,-0.5407602,allstarcharts
120,2018-03-21 18:34:03,it would make perfect sense for gold to finally start to rally on the news that Paulson closes his Gold fund. Too perfect?  ,0,1,1,2,5,19,0.17730938,0.07072684,0.7519638,Neu,0.10658254,allstarcharts
125,2018-03-21 03:48:00,"5.5% according to S&P Dow Jones, but for me it's more than that. If energy stocks ripping with oil, is that happening while S&Ps are getting crushed? I'd say probably not. Higher likelihood it's a simultaneous rally  ",1,1,1,1,2,3,0.12553973,0.29821095,0.57624936,Neu,-0.17267121,allstarcharts
137,2018-03-19 19:25:04,Stocks go up and they go down. Not all of us need make up reasons for every 1% move just so we can sell ads to sponsors. Most of us can just appreciate how normal it is instead.,0,1,1,5,8,78,0.07662748,0.15718539,0.76618713,Neu,-0.08055791,allstarcharts
139,2018-03-19 16:12:00, Hasn't done anything. That's fine. Bigger the base the more explosive the resolution. If above 1300 I think it's fine. If not then we'll look elsewhere 👍,1,1,1,1,1,0,0.17729205,0.03348226,0.7892257,Neu,0.1438098,allstarcharts
141,2018-03-19 15:22:03, You must not get my research,0,0,1,1,0,0,0.02940094,0.41490576,0.5556933,Neu,-0.3855048,allstarcharts
155,2018-03-15 00:45:03,This is a daily line chart. Is this one you would buy today? Or would you say it's too extended?  ,1,1,1,53,3,19,0.02613921,0.09847627,0.87538445,Neu,-0.07233706,allstarcharts
157,2018-03-14 20:35:01,"In the Industrials, Eaton is one where I would err on the long side if we're above the 2014 highs $ETN  ",0,1,1,0,1,10,0.5303151,0.1400879,0.32959706,Pos,0.3902272,allstarcharts
160,2018-03-14 16:04:01,"""People won't have time for you if you're always angry or complaining""   ""Remember to look up at the stars and not down at your feet""   Prof Stephen Hawking 1942-2018",0,1,1,0,20,69,0.03831576,0.10954788,0.85213643,Neu,-0.071232125,allstarcharts
180,2018-03-13 00:42:00,"Respectfully, I'll take the other side of this. I think we see 200 first. We want to be buying any weakness if we're above 175 $FB  ",0,1,1,12,7,35,0.18013561,0.0193915,0.8004729,Neu,0.1607441,allstarcharts
190,2018-03-11 17:30:04,I should be reading Technical Analysis and Stock Market Profits by Schabaker today but I'm reading Sous Vide recipe books instead  ,0,1,1,5,1,25,0.034693167,0.052630704,0.91267616,Neu,-0.017937537,allstarcharts
193,2018-03-10 18:10:00,"If you've never attended one of our Live Monthly Conference Calls for Premium Members, this Wednesday might be our most important Call ever. You can access this live video call by starting a risk Free 30-day trial. I encourage you to join us for this one!  ",1,1,1,0,0,4,0.09721841,0.012768054,0.8900135,Neu,0.08445036,allstarcharts
198,2018-03-09 21:08:03,Yup. It must have been the jobs report  ,1,0,1,1,0,11,0.04915984,0.43773022,0.51311,Neu,-0.38857037,allstarcharts
202,2018-03-09 19:34:00,Why does everything need to be a bubble. Why can't it just be an uptrend?,0,1,1,11,3,45,0.034025844,0.28095564,0.68501854,Neu,-0.2469298,allstarcharts
211,2018-03-09 17:31:01," makes sense right? now, we need to see how long it will take the demand to absorb all that supply. I'm happy to wait.",0,1,1,0,0,0,0.07666739,0.022985732,0.9003468,Neu,0.053681657,allstarcharts
219,2018-03-09 15:46:02,"We can put this in the ""things we don't see in downtrends"" column  ",0,1,1,1,0,13,0.038108088,0.04341472,0.9184772,Neu,-0.0053066313,allstarcharts
224,2018-03-08 20:53:01,"This $TWTR can still see $50, but first it needs to prove it can stay above this 37 level that is very significant for the lifetime of this stock  ",0,1,1,0,15,69,0.66804236,0.014212348,0.31774533,Pos,0.65383,allstarcharts
229,2018-03-08 17:09:05,"how come markets are only in ""turmoil"" when they drop a normal amount. But when they go up a normal amount, we don't see any late night or weekend specials? Do sponsors not pay extra for ads when markets rise? The sensationalism business must be tough",0,1,1,2,2,21,0.02697555,0.6083546,0.3646698,Neg,-0.58137906,allstarcharts
236,2018-03-07 20:18:01,"I very much disagree, but we can still be friends.  ",0,0,1,4,0,8,0.31535384,0.018511387,0.66613483,Neu,0.29684246,allstarcharts
