,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
19,2018-03-29 20:20:00,A High Credit Score Can Save You Thousands Per Year  ,0,0,1,0,0,0,0.4266829,0.050748732,0.52256835,Neu,0.37593415,benzinga
63,2018-03-28 20:35:00,Should Investors Be Worried About Apple's Declining ROE?   $AAPL,1,1,1,0,0,0,0.062774904,0.68767774,0.24954732,Neg,-0.62490284,benzinga
102,2018-03-27 20:45:04,"Correction: The analyst said the fine could reach up to $1-2 billion, a record fine from the FTC.",1,0,1,2,0,1,0.03274042,0.95054144,0.016718173,Neg,-0.917801,benzinga
186,2018-03-23 18:25:00,Here's Why It Could Be A Big Year For Nike   $NKE,0,1,1,0,0,0,0.096796446,0.03841059,0.864793,Neu,0.058385856,benzinga
424,2018-03-15 23:31:00,Why Investors Can Be Optimistic Following Chipotle's CMO Resignation   $CMG,0,0,1,0,0,0,0.09907317,0.027328776,0.87359804,Neu,0.0717444,benzinga
484,2018-03-14 18:25:00,Raymond James Upgrades RH With A Disclaimer: Stock 'Not For The Faint Of Heart'   $RH,0,0,1,0,0,1,0.044275247,0.026625277,0.9290995,Neu,0.01764997,benzinga
513,2018-03-13 21:01:00,Elections Could Test Colombia ETFs   $ICOL $GXG,0,0,1,0,1,0,0.106957726,0.025380652,0.8676616,Neu,0.08157708,benzinga
527,2018-03-13 17:45:00,How You Can Make A Difference With Impact Investing  ,0,1,1,0,0,1,0.15944897,0.015131359,0.82541966,Neu,0.14431761,benzinga
530,2018-03-13 16:50:00,KeyBanc: Mixed Responses From Tesla Salespeople 'Do Not Bode Well' For Long-Term Demand   $TSLA,0,0,1,0,0,0,0.012537734,0.9683404,0.019121883,Neg,-0.9558027,benzinga
538,2018-03-13 14:25:00,Elections Could Test Colombia ETFs   $GXG $ICOL,0,0,1,0,0,2,0.11983058,0.024428207,0.85574126,Neu,0.095402375,benzinga
594,2018-03-11 20:28:03,Helios And Matheson CEO: MoviePass 'Will Be The Biggest Theater Company Without Owning Any Theaters'   $HMNY $FB $NFLX,0,0,1,2,4,8,0.08072545,0.011261132,0.90801346,Neu,0.06946431,benzinga
657,2018-03-08 19:10:00,Thor's 'Solid Quarter' Not Strong Enough For This Analyst To Turn Bullish   $THO,0,0,1,0,0,0,0.15515274,0.6369331,0.20791422,Neg,-0.48178035,benzinga
663,2018-03-08 17:15:00,Should Amazon Buy Wayfair? Loop Capital Makes The Case   $AMZN $W,0,0,1,0,0,0,0.050795086,0.015093714,0.9341112,Neu,0.03570137,benzinga
730,2018-03-07 00:31:00,Dear Activists: Buying Stock Can Effect More Change Than Selling It   $RGR $AOBC $VSTO,0,1,1,0,1,0,0.066672385,0.018696021,0.9146316,Neu,0.047976363,benzinga
743,2018-03-06 20:30:00,Dear Activists: Buying Stock Can Effect More Change Than Selling It   $AOBC $RGR $VSTO $SEAS $LLY,0,1,1,0,3,2,0.08195945,0.015442877,0.90259767,Neu,0.06651657,benzinga
791,2018-03-05 19:35:00,BofA: Should Apple Cut iPhone Prices This Year?   $AAPL,0,0,1,0,1,0,0.079268694,0.23040286,0.6903285,Neu,-0.15113416,benzinga
