,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
16,2018-03-30 14:11:00,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
60,2018-03-24 03:41:04,Could be the next big drop...Stocks near breakdown     8:41pm pst,0,0,1,0,0,0,0.011257043,0.92955816,0.059184764,Neg,-0.9183011,breakoutstocks
129,2018-03-15 04:30:04,Could be the next big one...Stocks near breakout     9:30pm pst,0,0,1,0,0,0,0.030866312,0.07652885,0.8926048,Neu,-0.045662537,breakoutstocks
138,2018-03-14 05:14:02,Could be the next big one...Stocks near breakout    10:14pm pst,0,0,1,0,0,1,0.029808756,0.097028464,0.87316275,Neu,-0.067219704,breakoutstocks
171,2018-03-09 05:56:03,Could be the next big one...Stocks near breakout     9:56pm pst,0,0,1,0,0,0,0.028681705,0.08926756,0.88205075,Neu,-0.060585856,breakoutstocks
186,2018-03-07 14:10:04,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
189,2018-03-07 05:06:02,Could be the next big one...Stocks near breakout     9:06pm pst,0,0,1,0,0,0,0.028613847,0.09350686,0.87787926,Neu,-0.06489301,breakoutstocks
223,2018-03-02 02:06:04,Could be the next big drop...Stocks near breakdown     6:06pm pst,0,0,1,0,0,0,0.011493909,0.92860764,0.059898365,Neg,-0.9171137,breakoutstocks
278,2018-02-22 14:11:01,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
281,2018-02-22 05:17:05,Could be the next big one...Stocks near breakout   $$  9:17pm pst,0,0,1,0,0,0,0.13623436,0.11147728,0.75228834,Neu,0.02475708,breakoutstocks
297,2018-02-19 01:47:00,Could be the next big one...Stocks near breakout     5:46pm pst,0,0,1,0,0,1,0.029363003,0.087839484,0.88279754,Neu,-0.05847648,breakoutstocks
362,2018-02-09 02:04:05,Could be the next big drop...Stocks near breakdown     6:04pm pst,0,0,1,0,0,1,0.011364032,0.9313321,0.057303824,Neg,-0.91996807,breakoutstocks
430,2018-01-31 01:59:04,Could be the next big drop...Stocks near breakdown     5:59pm pst,0,0,1,0,0,0,0.011115036,0.92737204,0.06151288,Neg,-0.916257,breakoutstocks
439,2018-01-30 02:01:03,Could be the next big one...Stocks near breakout     6:01pm pst,0,0,1,0,0,0,0.028822096,0.09059347,0.8805845,Neu,-0.061771378,breakoutstocks
444,2018-01-29 14:11:03,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
464,2018-01-25 21:50:00,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,1,1,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
471,2018-01-25 02:27:04,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,3,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
518,2018-01-18 14:08:04,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,1,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
603,2018-01-05 02:22:02,Could be the next big one...Stocks near breakout     6:22pm pst,0,0,1,1,0,0,0.030244252,0.09360638,0.87614936,Neu,-0.06336213,breakoutstocks
675,2017-12-23 05:39:05,Could be the next big one...Stocks near breakout     9:39pm pst,0,0,1,0,0,0,0.030274367,0.0956346,0.874091,Neu,-0.06536023,breakoutstocks
766,2017-12-11 14:07:05,Could be the next big one...Stocks near breakout     6:07am pst,0,0,1,0,0,0,0.03869612,0.07527765,0.88602626,Neu,-0.036581527,breakoutstocks
789,2017-12-07 14:10:02,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,1,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
833,2017-11-30 21:52:01,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,3,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
846,2017-11-29 14:11:03,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
952,2017-11-13 22:51:02,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,0,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
970,2017-11-10 14:09:00,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
1079,2017-10-26 14:07:04,Could be the next big one...Stocks near breakout   $$  6:07am pst,0,0,1,0,0,0,0.19615588,0.0960635,0.7077806,Neu,0.100092374,breakoutstocks
1131,2017-10-19 12:39:00,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,1,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
1273,2017-09-28 21:52:00,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,4,1,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
1295,2017-09-26 14:08:01,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,1,1,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
1460,2017-09-01 14:10:04,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
1520,2017-08-24 14:08:03,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,1,1,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
1574,2017-08-17 01:53:02,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,4,7,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
1689,2017-08-01 14:07:00,Could be the next big one...Stocks near breakout     6:07am pst,0,0,1,0,0,0,0.03869612,0.07527765,0.88602626,Neu,-0.036581527,breakoutstocks
1698,2017-07-31 14:09:00,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
1733,2017-07-26 14:11:02,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
1792,2017-07-18 14:08:00,Could be the next big one...Stocks near breakout     6:07am pst,0,0,1,0,0,0,0.03869612,0.07527765,0.88602626,Neu,-0.036581527,breakoutstocks
1809,2017-07-15 06:03:05,Could be the next big one...Stocks near breakout    10:03pm pst,0,0,1,0,0,0,0.029595304,0.095678784,0.8747259,Neu,-0.066083476,breakoutstocks
1815,2017-07-14 14:12:00,Could be the next big one...Stocks near breakout   $$  6:11am pst,0,0,1,0,0,0,0.13937582,0.08202906,0.77859503,Neu,0.05734676,breakoutstocks
1910,2017-06-30 04:48:00,Could be the next big drop...Stocks near breakdown     8:47pm pst,0,0,1,0,0,0,0.011456413,0.922118,0.06642557,Neg,-0.9106616,breakoutstocks
1980,2017-06-20 14:07:01,Could be the next big one...Stocks near breakout     6:07am pst,0,0,1,0,0,1,0.03869612,0.07527765,0.88602626,Neu,-0.036581527,breakoutstocks
1983,2017-06-20 06:14:03,Could be the next big one...Stocks near breakout    10:14pm pst,0,0,1,0,0,0,0.029808756,0.097028464,0.87316275,Neu,-0.067219704,breakoutstocks
2033,2017-06-12 14:08:03,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
2067,2017-06-07 14:08:01,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
2073,2017-06-06 14:11:00,Could be the next big one...Stocks near breakout     6:10am pst  stocks,0,0,1,0,0,0,0.024964018,0.08173849,0.89329743,Neu,-0.056774467,breakoutstocks
2163,2017-05-23 14:14:03,Could be the next big one...Stocks near breakout     6:09am pst,0,0,1,0,0,0,0.03773672,0.078647606,0.8836157,Neu,-0.040910885,breakoutstocks
2172,2017-05-22 14:20:04,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
2245,2017-05-11 14:20:01,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
2283,2017-05-05 23:45:04,Malcolm Gladwell: Here's why you should slow down and do less -  ,0,1,1,0,0,0,0.05406635,0.039548825,0.9063848,Neu,0.014517523,breakoutstocks
2347,2017-04-27 14:23:02,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
2351,2017-04-27 02:24:00,Could be the next big one...Stocks near breakout     6:24pm pst,0,0,1,0,0,0,0.03009312,0.08541697,0.88448983,Neu,-0.055323854,breakoutstocks
2358,2017-04-26 06:13:05,Could be the next big one...Stocks near breakout    10:13pm pst,0,0,1,0,1,0,0.0303088,0.096900165,0.87279105,Neu,-0.06659137,breakoutstocks
2374,2017-04-24 01:13:02,Could be the next big one...Stocks near breakout     5:01pm pst,0,0,1,0,0,0,0.028262047,0.086165145,0.8855728,Neu,-0.057903096,breakoutstocks
2439,2017-04-13 08:18:04,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,0,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
2524,2017-04-01 05:09:04,Could be the next big one...Stocks near breakout     9:09pm pst,0,0,1,0,0,0,0.030016275,0.09606119,0.8739226,Neu,-0.06604492,breakoutstocks
2589,2017-03-23 13:19:01,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
2642,2017-03-16 03:57:01,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,0,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
2658,2017-03-14 13:17:02,Could be the next big one...Stocks near breakout     6:09am pst,0,0,1,0,0,1,0.03773672,0.078647606,0.8836157,Neu,-0.040910885,breakoutstocks
2677,2017-03-11 01:02:02,"Big ETF sees epic bounce, and the best could still be ahead -   $IBB",0,1,1,0,0,0,0.7441651,0.020591605,0.23524328,Pos,0.7235735,breakoutstocks
2700,2017-03-08 14:18:05,Could be the next big one...Stocks near breakout     6:10am pst,0,0,1,0,0,0,0.035803527,0.08041502,0.8837815,Neu,-0.04461149,breakoutstocks
2743,2017-03-02 05:40:03,Could be the next big one...Stocks near breakout   $$  9:40pm pst,0,0,1,0,0,0,0.12311452,0.09166779,0.7852177,Neu,0.031446725,breakoutstocks
2883,2017-02-10 05:16:04,"""Markets can stay irrational longer than you can stay solvent"" - John Maynard Keynes",0,0,1,0,0,0,0.064404234,0.06611672,0.86947906,Neu,-0.0017124861,breakoutstocks
2966,2017-01-30 14:20:00,Could be the next big one...Stocks near breakout     6:11am pst,0,0,1,0,0,0,0.0349298,0.07298012,0.89209014,Neu,-0.03805032,breakoutstocks
2990,2017-01-26 14:16:01,Could be the next big one...Stocks near breakout   $$  6:08am pst,0,0,1,0,0,0,0.20509115,0.094483666,0.7004252,Neu,0.11060748,breakoutstocks
3017,2017-01-23 14:16:04,Could be the next big one...Stocks near breakout     6:08am pst,0,0,1,0,0,0,0.03813893,0.07243056,0.8894305,Neu,-0.03429163,breakoutstocks
3022,2017-01-21 20:01:05,Will 2017 Turn Into Another 1982 Bull Market Breakout?   $SPY $SPX $QQQ $DJI,0,0,1,0,1,0,0.05274353,0.051538855,0.8957176,Neu,0.0012046769,breakoutstocks
3121,2017-01-06 14:17:05,Could be the next big one...Stocks near breakout     6:09am pst,0,0,1,0,1,0,0.03773672,0.078647606,0.8836157,Neu,-0.040910885,breakoutstocks
