,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
7,2018-03-28 15:02:00,"It would also bring the expansion to 105 months, 2 months shy of being the 2nd longest expansion in US history...  ",0,1,1,1,2,7,0.8163277,0.011280318,0.17239198,Pos,0.8050474,charliebilello
8,2018-03-28 14:59:05,Latest Atlanta Fed estimate is for 1.8% growth in Q1 2018. That would bring year-over-year number up to 2.7%.  ,0,1,1,2,4,6,0.9073554,0.016129978,0.07651456,Pos,0.89122546,charliebilello
15,2018-03-27 16:47:04,Bitcoin is down 42% thus far in 2018. It would need to go down another 88% from here to erase the gains from 2017. $BTC.X  ,0,1,1,1,31,21,0.007855534,0.9639448,0.028199691,Neg,-0.95608926,charliebilello
23,2018-03-22 16:23:05,The Fed is now projecting a Fed Funds rate of 3.375% by December 2020. The market is pricing in 2.625%. What will the Fed Funds Rate be closer to at that time?,0,1,1,6,9,12,0.037317757,0.04493839,0.9177438,Neu,-0.0076206326,charliebilello
25,2018-03-21 03:43:01,"When the Fed hikes tomorrow, it will move Fed Funds Rate to 150-175 bps. In September 2008, after the Lehman Bankruptcy and during the worst recession since the Great Depression, the Fed Funds rate was at 200 bps. StillEasy",1,0,1,5,32,83,0.0397772,0.08781864,0.8724041,Neu,-0.048041437,charliebilello
27,2018-03-19 14:34:05,"Between now and Dec 2020, the Fed is projecting 6.75 more 25 bps rate hikes versus a market expectation of 4.75 hikes. Focus at Wednesday's FOMC meeting will be on dot plot shifts (more hawkish or dovish stance).  ",0,1,1,2,27,29,0.06255847,0.16857387,0.7688676,Neu,-0.1060154,charliebilello
44,2018-03-14 01:52:01,"By the time the Fed hikes rates next Wednesday, the bond market will have fully priced it in. That has been the case for each of the prior 5 Fed hikes starting in December 2015, all completely telegraphed, no surprises.",1,1,1,2,15,27,0.19090661,0.020020982,0.7890724,Neu,0.17088564,charliebilello
50,2018-03-09 15:13:05,Past performance may not be indicative of future results.  ,0,0,1,7,41,65,0.045508903,0.04511967,0.90937144,Neu,0.00038923323,charliebilello
70,2018-03-05 16:52:04,The annualized total return for the S&P 500 over the next 5 years will be...,1,0,1,6,0,5,0.10585219,0.013170474,0.88097733,Neu,0.09268171,charliebilello
75,2018-03-02 01:40:04,"Interesting, so far more saying the correction will deepen before new highs.",0,1,1,6,3,9,0.53372246,0.045408826,0.42086872,Pos,0.48831365,charliebilello
83,2018-03-01 16:10:01,What will the S&P 500 hit first?,0,0,1,4,9,9,0.030541873,0.05238897,0.9170692,Neu,-0.021847097,charliebilello
85,2018-03-01 15:16:01," Would be an interesting exercise for sure, difficulty is finding long-term returns for asset classes outside of equities and weights for the ""market portfolio"" over time.",0,1,1,1,0,0,0.06502302,0.015803766,0.9191732,Neu,0.049219254,charliebilello
91,2018-02-28 18:37:04,"Growth may very well increase in the next few quarters, but you can't pretend that we haven't seen 3% YoY growth in decades. We saw it just 3 years ago in Q1-Q2 2015. The question is whether that growth rate is sustainable.",1,1,1,1,3,5,0.14094795,0.027643252,0.8314088,Neu,0.113304704,charliebilello
95,2018-02-28 17:28:05,"If mortgage rates continue to rise, will this start to impact the pace of appreciation (currently running at 6.3% YoY)?  ",0,1,1,3,12,11,0.15156364,0.08420392,0.76423246,Neu,0.06735972,charliebilello
99,2018-02-28 15:05:04,"Will Yields Break on Through to the Other Side?   Join me today at 4:15pm EST for a discussion on this and more. Register here, open to all.     ",0,0,1,1,11,17,0.054664135,0.01433398,0.93100184,Neu,0.040330157,charliebilello
112,2018-02-26 19:47:01,Will be doing a presentation on markets tomorrow night at the  in NYC. Register here.  ,0,1,1,2,2,7,0.02637315,0.033862956,0.9397639,Neu,-0.007489806,charliebilello
115,2018-02-26 19:22:00,To match the run-up above the 200-day moving avg prior to the 1929/1987 crashes the Dow would have to advance another 43%/34% from here and last another 17/14 months.,0,0,1,5,14,33,0.7434721,0.06208989,0.19443807,Pos,0.6813822,charliebilello
155,2018-02-15 16:01:03,"For those Adjustable Rate Mortgage holders with Libor as the reference rate, this could continue to rise as we approach the next Fed hike in March...  ",0,1,1,1,3,8,0.86046493,0.06834687,0.07118813,Pos,0.7921181,charliebilello
181,2018-02-09 15:53:02,"If this decline deepens, would expect the Fed will come out with dovish language at some point, pushing back hike expectations. They only hiked 3 times in 2017 and there wasn't a pullback &gt;3%. Likely that they hike 3x this year if market conditions aren't as benign?",1,1,1,0,13,36,0.109912686,0.76958513,0.12050216,Neg,-0.65967244,charliebilello
197,2018-02-07 17:24:05,"For those ARM holders with Libor as the reference rate, this should continue to rise as we approach the next Fed hike in March.  ",0,1,1,2,6,7,0.93191785,0.019264106,0.04881801,Pos,0.91265374,charliebilello
201,2018-02-07 15:32:04,"In the past few years a correction of this magnitude would have an immediate impact on Fed hike expectations. Not seeing that just yet, market still expecting Fed to hike 3 times this year (March, June & December) to a year-end range of 200-225 bps.",0,1,1,2,10,16,0.8123732,0.035714112,0.15191266,Pos,0.77665913,charliebilello
250,2018-02-01 03:57:01,"After March, market is expecting the next hike to occur in June, a move to 175-200 bps. The expansion will hit 9 years at that point with extraordinarily easy money policies still firmly in place.  ",0,1,1,2,7,13,0.7870769,0.0132101895,0.19971292,Pos,0.7738667,charliebilello
251,2018-02-01 03:53:03,"Odds of a Fed hike in March rises 80%, highest this year. Would bring Fed Funds rate to 150-175 bps. In September 2008 after the Lehman Bankruptcy and during the worst recession since the Great Depression, the Fed Funds rate was at 200 bps.  ",1,1,1,1,27,43,0.84195906,0.06859082,0.089450166,Pos,0.77336824,charliebilello
269,2018-01-30 03:14:03,"If market starts to believe Fed will be more aggressive either this year or in 2019/2020, you would likely see an immediate jump in 2-3 yr yields. Market today doesn't believe the Fed will hit their median dot plot projection of 3% at end of 2020.",0,1,1,0,6,16,0.5379357,0.325634,0.1364303,Pos,0.21230167,charliebilello
272,2018-01-30 03:01:05,Where would US 10-yr yields be if the ECB/BOJ were not still playing their negative interest rate games?,1,1,1,1,3,13,0.030910581,0.26649815,0.70259124,Neu,-0.23558757,charliebilello
285,2018-01-27 20:25:03,"The Fed has been more dovish than expected at every meeting over the past 10 years. One could argue that could change this year, unless you believe that growth/inflation will not pickup and the Fed will be essentially done w/ its hiking cycle at the end of this year...",1,1,1,1,2,12,0.04726571,0.6451175,0.30761665,Neg,-0.5978518,charliebilello
286,2018-01-27 20:18:02,The case for a much higher 3-year yield: if you believe the Fed will hike more than 4-5 times in the next 3 years. Market is currently pricing in 3 hikes in 2018 and only 1-2 more hikes in 2019-2020...,0,1,1,1,2,6,0.7682294,0.021157954,0.2106127,Pos,0.74707144,charliebilello
289,2018-01-27 19:55:01,"The U.S. economic expansion will hit 9.5 years at the end of 2018 and the Fed Funds rate at that time is expected to be back at the same level it was after the Lehman Bankruptcy, when the economy was in the midst of the worst recession since the Great Depression.",1,1,1,3,10,27,0.40839797,0.46995366,0.12164832,Neg,-0.061555684,charliebilello
