,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-03 17:29:00,"It was last Tuesday when the intraday bear bias was reversed&gt;2670, only to see buyers fail to step up & mkt fell back to expand into new lows. Rare event. 1 week later, intraday bear bias reversed &gt;2595. Buyers failed to step up again, must hold 84 to prevent another run at lows  ",1,1,1,0,3,3,0.07709288,0.84910834,0.0737988,Neg,-0.77201545,chicagostock
9,2018-04-02 21:16:01, That would be a gift.,0,0,1,1,0,4,0.18766755,0.0113822725,0.8009502,Neu,0.17628528,chicagostock
17,2018-04-02 15:51:04,Bulls dropped the ball again after Thursday's short squeeze. Who could have seen this coming!? We talked about this in last week's Periscope.,1,1,1,1,0,8,0.07389427,0.19248804,0.73361766,Neu,-0.118593775,chicagostock
25,2018-03-29 21:57:03,Time's up.  SP500 closes below January's low.  Today's squeeze tested and rejected Tuesday's attempted recovery.  New longs on the hook from today &gt;2740 that can be used as fuel should today's 2609 low fail.   April Showers  ,1,1,1,1,7,14,0.8461486,0.0729045,0.08094688,Pos,0.77324414,chicagostock
31,2018-03-29 15:40:00, I think we at least test yesterday's high at 2630.  New shorts stuck today &lt;13 can help fuel squeeze over that high.,1,1,1,2,0,1,0.8324374,0.05023004,0.11733267,Pos,0.78220737,chicagostock
32,2018-03-29 15:36:04,"$ES_F Shorts caught on the hook &lt;2613.  Bull need to overcome Reversal window to trap shorts and attempt another squeeze. 3 reversals this week, today would be the 4th. Tuesday/Wednesday unable to expand lack of fuel, today has fuel from yesterday's bear trap.  ",1,1,1,1,3,2,0.32027546,0.49996042,0.1797641,Neg,-0.17968497,chicagostock
34,2018-03-29 02:49:05,"$ES_F Another squeeze, bull trap, handle. Monday-Tuesday's reversal down followed by chop/consolidation. Buyers left trapped above, forced to defend 2600. Thurs: Open &lt;2597 give way to expand inv c/h range 2593-2676 to 2510. Bull need open &gt;2620 to try and retest upside bulltrap  ",1,0,1,3,5,12,0.048777696,0.84243983,0.10878248,Neg,-0.79366213,chicagostock
35,2018-03-28 20:40:03,"  That would be great.  Would def whip a bunch of shorts from today.  Today's reversal holding much better, no expansion below 2600.",0,1,1,1,1,2,0.9190797,0.016821105,0.06409915,Pos,0.90225863,chicagostock
45,2018-03-28 16:34:01,"$ES_F Chop chop chop... Chipping away at 200DMA.  This week's bounce came in Globex, lured in buyers on Tuesday's higher open, back to 200day should be heavier to flush stops below. Need back over 2625 for retest of 2650.  ",1,1,1,1,2,3,0.5538899,0.2808829,0.1652273,Pos,0.27300698,chicagostock
51,2018-03-28 03:38:00,$ZB_F 30 Year bonds come along way from since July 2016 fib test of 176 with recent lows of 142/testing bottom of multi-yr channel. Through 2018 highs needed for reversal in attempt to target test of 170. Next major support into 132 should current round bottom attempt fail.  ,1,1,1,1,2,3,0.7105254,0.24735416,0.042120397,Pos,0.46317124,chicagostock
55,2018-03-27 20:46:02,You have to take out the FOMC high for any real change.  Long way to go. You can see NQ rejected retest of FOMC today.,1,1,1,0,2,4,0.086917326,0.02903543,0.88404727,Neu,0.057881895,chicagostock
62,2018-03-27 19:02:01," No, they were forced to pay up with the higher open, then fought to defend the p/b, but could not b/o without shorts to squeeze.  Failure to overcome 60 leaves longs on the hook for shakeout.",1,0,1,0,0,0,0.028580101,0.8881909,0.08322894,Neg,-0.8596108,chicagostock
65,2018-03-27 18:47:02,"$ES_F Failed expansion &gt;2672, not enough fuel, all the shorts got squeezed yesterday. Bull must hold session low or room to test pivot at 42, followed by 22.  ",1,0,1,3,3,5,0.05568677,0.7052678,0.23904547,Neg,-0.649581,chicagostock
70,2018-03-27 16:15:00," Weakness should be bought, needs to close &gt; 1340 on the week.",1,1,1,0,0,0,0.11051217,0.13843155,0.7510563,Neu,-0.027919382,chicagostock
71,2018-03-27 15:25:04,"Can we have two reversals in a row? Yesterday fueled by short squeeze, today needs fuel... $ES_F  ",1,0,1,3,1,5,0.35941857,0.15896094,0.48162052,Neu,0.20045763,chicagostock
72,2018-03-27 14:49:03,$ES_F Tight 3D pivots. Will need to close above to show market can hold yesterday's reversal attempt. Failure to hold pivots gives room to retest 2620s.  ,0,1,1,2,5,4,0.18915488,0.50455254,0.30629256,Neg,-0.31539768,chicagostock
73,2018-03-27 14:38:00,"Yesterday's move was fueled by short covering. Based off that squeeze, buyers are supposed to defend pullbacks today. Story of year has been short squeeze and right back down as new buyers fail to hold, will that change today?  ",1,1,1,2,2,7,0.04361496,0.53030705,0.42607802,Neg,-0.4866921,chicagostock
75,2018-03-26 23:18:04,$ES_F First close above 3D pivot since 03/12. Attempt to reverse negative momentum. Tuesday's pivots very tight = bulls must close above to sustain reversal attempt.  ,0,0,1,1,7,7,0.083518974,0.88738424,0.029096868,Neg,-0.80386525,chicagostock
78,2018-03-26 18:48:00,Can we make it back to this?  ,0,0,1,0,1,3,0.17447972,0.016366124,0.80915415,Neu,0.1581136,chicagostock
88,2018-03-23 19:49:03,Nobody could have seen today's move coming.  $DBX  ,1,1,1,1,0,6,0.033214513,0.064598516,0.90218693,Neu,-0.031384002,chicagostock
102,2018-03-22 22:34:04,The race back to the 2016 election. Who will make it back first?  ,0,0,1,3,2,4,0.047445253,0.026319439,0.9262354,Neu,0.021125814,chicagostock
104,2018-03-22 22:17:05,"Everyone will be looking for a bounce, will be one, but let the dust settle from sell off before trying to step in.",0,1,1,0,4,8,0.086727366,0.017699916,0.89557266,Neu,0.06902745,chicagostock
111,2018-03-22 18:23:00, Would first need to fill gap back to 14-18 and overcome that as new resistance.,0,0,1,0,0,1,0.3086613,0.026906796,0.66443187,Neu,0.28175452,chicagostock
112,2018-03-22 17:30:02,"$ES_F Late sellers &lt; 2677 caught on the hook as retest fails to make new lows. Over 95 needed for reversal bias.   Vol windows = When big move down overnight, break of intraday vol window can create traps as late sellers lured in.  ",1,1,1,1,1,8,0.021531958,0.9160307,0.06243739,Neg,-0.89449877,chicagostock
132,2018-03-21 20:54:02," Excellent work. You can see that with today's intraday vol windows. Buyers lured in over 24, forced to defend reversal window 15, failure to hold above 24 trap intraday buyers. Reversal window key for Globex. Loss of level give way to expand 2715-2744 range into 2686.  ",1,1,1,0,1,3,0.26904756,0.6445407,0.08641178,Neg,-0.37549317,chicagostock
137,2018-03-21 19:55:04," Intraday buyers trapped above 25.  Close below will be negative. 3Day pivot at 29, also need to close above that or trend remains negative.",1,1,1,1,0,0,0.011543146,0.92542744,0.06302939,Neg,-0.9138843,chicagostock
143,2018-03-21 17:09:04,"$ES_F Squeeze retesting broken NFP low from Monday at 2735.  Buyers caught above from last week.  Will have to overcome level to recover Monday's 2745 high to trap shorts below 2735.  Down to 2722 new support, sellers need to kill 2720 for another shot down.  ",1,1,1,0,0,9,0.09235403,0.82847065,0.07917535,Neg,-0.73611665,chicagostock
145,2018-03-21 14:33:05,"$ES_F Cash market stuck range bound retesting prior session lows. Buyers must overcome 22 for shot at 28-35.  Sellers still in control, below 16 gives room to retest Monday's low.  ",1,1,1,1,2,6,0.050035786,0.923372,0.026592197,Neg,-0.8733362,chicagostock
148,2018-03-20 17:47:03,Knock knock 2714.  Can someone clear traffic for bears to pass?  ,0,0,1,4,0,3,0.043795824,0.05809908,0.8981051,Neu,-0.014303256,chicagostock
149,2018-03-20 16:10:05, We'll see if sellers can recover below 2716 to expand lower.,0,0,1,0,0,0,0.2087196,0.5313731,0.2599074,Neg,-0.32265347,chicagostock
159,2018-03-19 21:58:04,"SP500 Relives February 2nd, Will it Relive February 5th? ",0,0,1,1,2,1,0.02614364,0.03575752,0.9380988,Neu,-0.009613879,chicagostock
160,2018-03-19 19:51:02,"If I were to buy $FB, would be 130 level.",1,0,1,1,1,3,0.038130406,0.02562708,0.93624246,Neu,0.012503326,chicagostock
169,2018-03-19 17:01:01, Perfect. They will be soon.,0,0,1,0,0,0,0.08578743,0.016206957,0.8980056,Neu,0.06958047,chicagostock
197,2018-03-16 17:08:04,"$ES_F 3D pivots acting as a lid, bulls will need to close above range to overcome resistance and trap shorts below.  Sellers need to take out last low 5325 to reject test of pivots.  ",0,1,1,2,1,3,0.069494225,0.08360128,0.8469045,Neu,-0.014107056,chicagostock
