,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
8,2018-04-05 23:54:02,". on border security: ""When you send the [ to the border, they cannot protect the border in the way that you think a border patrolman does. They can't arrest people."" SpecialReport  ",0,1,1,203,31,108,0.031233883,0.16148369,0.8072824,Neu,-0.13024981,foxnews
11,2018-04-05 23:28:00,Liberal magazine The Atlantic drops writer who claimed abortions should be 'treated like homicide'  ,1,0,1,143,84,189,0.046928197,0.38907173,0.56400007,Neu,-0.34214354,foxnews
28,2018-04-05 21:27:04,OPINION:  and the US need Scott Pruitt to stay at EPA  ,0,0,1,255,289,955,0.0750525,0.016464185,0.9084833,Neu,0.058588315,foxnews
35,2018-04-05 20:23:02,". on  at the border: ""We know for sure that they won't have physical contact with immigrants and they won't help process any illegal immigrants who are trying to come through.""   ",0,1,1,147,29,93,0.046775743,0.55550617,0.397718,Neg,-0.5087304,foxnews
38,2018-04-05 20:01:03,. will only play supporting role to agents at the border  ,0,1,1,67,62,167,0.031127546,0.018245691,0.95062673,Neu,0.012881855,foxnews
44,2018-04-05 19:33:00,". on trade with China: ""You understand the concept of being taken advantage of and we can't be taken advantage of any longer.""  ",1,1,1,48,75,328,0.059517696,0.052418936,0.8880633,Neu,0.0070987605,foxnews
53,2018-04-05 18:30:00,"2018 hurricane season will be 'slightly above-average,' researchers say (via    ",0,1,1,38,52,90,0.28892413,0.14856347,0.56251234,Neu,0.14036065,foxnews
66,2018-04-05 17:10:04,". ""This idea that we could never militarize the border is ridiculous considering it's an international space that we have to protect."" Outnumbered  ",1,1,1,114,124,488,0.060123928,0.23788743,0.7019886,Neu,-0.17776349,foxnews
67,2018-04-05 17:10:00,"Facebook's Zuckerberg says he made 'huge mistake,' must take 'broader view' of responsibility   (via ",1,1,1,81,58,92,0.043053288,0.47583747,0.48110923,Neu,-0.43278417,foxnews
84,2018-04-05 15:09:05,". ""We need to stop the illegal immigrant flows...  should give  $25 billion for the wall and Republicans and the President should give Democrats and the nation DACA.""  ",0,1,1,166,80,272,0.2096769,0.020240977,0.7700821,Neu,0.18943593,foxnews
