,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-20 13:34:03,"If Criteo were to experience 1% of the scrutiny that Facebook currently is, for their privacy violations, most of the company's revenues would simply go away, At least Facebook gives back something to users and has their affirmative consent. cc:  $CRTO $FB",1,1,1,1,6,12,0.027199024,0.12139898,0.8514019,Neu,-0.094199955,gothamresearch
13,2017-11-09 15:02:02,"The IRS is going after Criteo: “the amount assessed may be material” according to $CRTO   (see page 19)  Also, there’s a material accounting error in the 10Q (released yesterday after 4 pm EST...)",1,1,1,2,1,7,0.017848924,0.6585307,0.3236204,Neg,-0.6406818,gothamresearch
25,2017-09-25 20:44:00,"  Why else would Criteo refuse to disclose (to clients) where ads are being placed? Makes no sense, unless placed on junk/hate/malware sites",1,1,1,0,1,0,0.023078658,0.32724208,0.64967924,Neu,-0.30416343,gothamresearch
27,2017-09-21 19:57:00,"Clarification: Gotham City Research will be releasing Criteo material, including but not limited to reports, over several weeks' time.",0,1,1,1,6,9,0.027528629,0.02024775,0.9522236,Neu,0.0072808787,gothamresearch
28,2017-09-21 16:38:00,"Our analysis would explain why P&G, Chase Bank, Restoration Hardware, Unilver, Uber, etc could cut spend 40-100% w/ no impact on sales",0,0,1,1,4,11,0.11198869,0.5795906,0.30842066,Neg,-0.46760193,gothamresearch
30,2017-09-21 16:33:04,Gotham City Research was initially skeptical of the skeptics: how bad could Criteo be? Aren’t all adtech vendors fleecing clients? $CRTO,1,1,1,1,3,5,0.0546521,0.24028957,0.70505834,Neu,-0.18563747,gothamresearch
33,2017-09-20 21:18:02,"Last Friday, we released Method Media Intelligence's Criteo report. Tomorrow we will release our first report on $CRTO . Stay tuned.",1,0,1,0,3,12,0.031937025,0.0197449,0.94831806,Neu,0.012192126,gothamresearch
50,2017-08-10 14:53:02,"(cont'd) We leave you with a question: How is Office Depot Europe, Aurelius largest ever acquisition, faring? $ODP stock down -24% yesterday",0,1,1,2,1,0,0.0072636516,0.9716842,0.02105206,Neg,-0.96442056,gothamresearch
51,2017-08-10 14:49:02,"(cont'd)  - ISOCHEM SAS, an Aurelius subsidiary,  filed an application to initiate insolvency proceedings due to insolvency under French law",1,0,1,1,2,1,0.02962127,0.88074905,0.08962971,Neg,-0.8511278,gothamresearch
52,2017-08-10 14:47:01,(cont'd)   - Negative cash flow from financing activities   - Aurelius' cash balance declined from EUR 468 mm to EUR 256 mm  -  ISOCHEM SAS,1,0,1,2,1,2,0.010318315,0.9722601,0.017421516,Neg,-0.9619418,gothamresearch
59,2017-05-11 03:56:03,"(4) Unlike certain schemes that can last indefinitely, Gotham City Research believes AAC’s apparent schemes will come to an end shortly.",1,1,1,1,1,3,0.05241529,0.29132605,0.65625864,Neu,-0.23891076,gothamresearch
60,2017-05-11 03:53:04,"As a result, AAC’s profit margins will decline, converging to its peers’ levels. Consequently, shares will decline to the 40-50 HKD levels",0,1,1,1,0,2,0.007035214,0.9685523,0.024412517,Neg,-0.9615171,gothamresearch
61,2017-05-11 03:52:04,"specified in the Apple Supplier Code of Conduct.   (3) Apple $AAPL & others will conduct investigations into AAC, & validate our findings.",1,0,1,1,1,0,0.06638467,0.0126618,0.9209535,Neu,0.053722873,gothamresearch
70,2017-04-27 13:25:05,Aurelius' share price does not seem to reflect any “dishonesty discount” unlike Home Capital Group's share price. We would understand this,0,1,1,1,4,2,0.05072445,0.051316526,0.897959,Neu,-0.0005920753,gothamresearch
74,2017-04-27 12:52:04,"Does Aurelius' (ticker = AR4) CEO hold a PHD from Harvard, as claimed? Can Dirk Markus be trusted? Part I  ",1,1,1,4,6,14,0.03427555,0.04006828,0.92565614,Neu,-0.0057927296,gothamresearch
76,2017-04-05 14:34:02,Gotham City Research believes that Aurelius Equity Opportunities SE & Co KGaA should post a recording & transcript of last week's call.,0,1,1,1,3,6,0.05080424,0.012355813,0.93683994,Neu,0.038448427,gothamresearch
78,2017-03-28 12:09:01," OPINIONS  (2) AR4 may face similar scrutiny as Philip Green did in the UK, who was accused of systematically plundering BHS.",1,1,1,1,6,4,0.041266277,0.4461263,0.51260746,Neu,-0.40486002,gothamresearch
