,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
32,2018-03-30 17:39:00," Thats awesome! I won't be going, but plan on going in the next couple years.",0,1,1,0,0,0,0.07949521,0.017134055,0.9033708,Neu,0.06236115,johnscharts
57,2018-03-29 12:34:02,Remember: You can review fresh monthly charts after closing today charts stocks,0,1,1,0,0,12,0.031821072,0.022637911,0.94554096,Neu,0.009183161,johnscharts
155,2018-03-21 01:53:01,Great story by  showing that you should never give up! rockybalboa1976 rambo  ,0,1,1,0,0,6,0.1477916,0.01896933,0.8332391,Neu,0.12882227,johnscharts
159,2018-03-21 00:52:04,Yes it should...lol Thanks  ,0,0,1,0,0,0,0.107922494,0.015275948,0.8768016,Neu,0.09264655,johnscharts
198,2018-03-19 08:37:03,$MNST monthly may bounce as its forming hammer on trend line. Still time in candle  ,0,1,1,0,2,9,0.22291803,0.32157853,0.45550346,Neu,-0.0986605,johnscharts
213,2018-03-17 14:55:05," No😀 but may be forming a double top. If it does, less probability of a breakdown during a bullish market",0,1,1,0,0,1,0.060779776,0.27546635,0.66375387,Neu,-0.21468657,johnscharts
228,2018-03-17 12:23:00,$CRSP weekly. Dark Cloud Cover on volume. You may see a reversal  ,0,0,1,1,2,8,0.21866432,0.40116242,0.3801732,Neg,-0.1824981,johnscharts
252,2018-03-16 10:36:01,$OSTK Maybe there is a chance this will go green today😀  ,0,1,1,3,1,11,0.19556539,0.021018036,0.7834166,Neu,0.17454734,johnscharts
260,2018-03-15 23:04:04,Thursday's Stock Watchlist is updated. Log into review. I may add one more.  ,1,1,1,1,0,0,0.027073499,0.058113288,0.91481316,Neu,-0.03103979,johnscharts
272,2018-03-15 10:55:04,Thank you Donnie! I still use the charts. If I like a chart and it has good options then I am interested. Not all stocks have options and even if they do they might not be good options  ,0,1,1,1,0,2,0.05630667,0.03715696,0.90653634,Neu,0.01914971,johnscharts
315,2018-03-11 10:44:01,              Yes I did. I will be reviewing my IBD weekly this morning😀,1,1,1,0,0,0,0.03991228,0.029742496,0.9303452,Neu,0.010169784,johnscharts
323,2018-03-10 15:51:03,$MNST close above 200 MA on 1.5x. It may fill gap  ,0,0,1,3,10,44,0.926656,0.029259546,0.044084422,Pos,0.89739645,johnscharts
411,2018-03-03 16:35:05,$CAT if it breaks support it may fill gap. Worth watching 👀  ,0,1,1,3,13,47,0.065454416,0.09771923,0.8368263,Neu,-0.032264814,johnscharts
