,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-04-06 22:50:00,"By the power vested in me by Scott Pruitt—who just fired an aide for not buying Dom Perignon to mark the occasion—I declare it beer o'clock, and would invite you around to my place to celebrate, but a $50 per night rental in DC only gets me some kid's top bunk.  ",1,1,1,5,16,209,0.07929406,0.020692559,0.9000134,Neu,0.058601506,"justinwolfers,"
2,2018-04-06 17:59:02," There's data on this from  and coauthors, suggesting much bigger numbers.   Their estimate: ""50% of the Facebook users in our sample would give up all access to Facebook for one month if we paid them about $50 or more.""    ",1,1,1,1,1,12,0.043412205,0.11754939,0.83903843,Neu,-0.07413718,"justinwolfers,"
5,2018-04-06 15:48:00," This looks awesome!  I've long thought about doing this, but was worried that women might feel excluded. Glad to see that's not the case. Might do it for Econ 101 next year.",1,1,1,1,0,2,0.1219523,0.01549035,0.8625573,Neu,0.10646195,"justinwolfers,"
7,2018-04-06 13:41:02,"BTW, if you're depressed by this payrolls report, don't be. Payrolls growth of around 100k, and unemployment slowly falling, is exactly what we should expect at this stage of the business cycle.  Get used to numbers like this.",1,1,1,3,26,75,0.065634966,0.65526974,0.2790953,Neg,-0.5896348,"justinwolfers,"
9,2018-04-06 13:36:04,"If you got over-excited about strong growth last month, this report should undo it: Payrolls about 100k below expectations, and revisions subtract another 50k.  Put it together: Over the past 3 months, job growth averaged a more reasonable +202k.  Roughly same as it has for years",1,1,1,8,132,195,0.3103793,0.57977796,0.10984268,Neg,-0.26939866,"justinwolfers,"
18,2018-04-06 01:03:01,"The question is, which superpower can continue punching its own people in the face for the longest?",0,1,1,18,27,113,0.029063066,0.19207872,0.7788582,Neu,-0.16301566,"justinwolfers,"
26,2018-04-04 21:07:02,"It's been exciting to see cost accounting twitter step forward, but talk of how best to allocate the costs of the postal service misses the key economic point that only marginal cost should be relevant to pricing.  (Lesson 34,253 in the series Economics &gt; Accounting)  ",1,1,1,7,11,61,0.0850822,0.016835611,0.89808214,Neu,0.06824659,"justinwolfers,"
32,2018-04-04 00:53:03,"I'm not really one for government picking winners, but if it's going to do so, I would prefer to bet on global leadership in e-commerce and web services than on brick-and-mortar retail.",0,1,1,8,27,162,0.08527299,0.018562246,0.8961648,Neu,0.06671074,"justinwolfers,"
44,2018-03-30 22:57:00,"By the power vested in me by my personal physician—and with gratitude that he won't mention that special rash, and armed with the obvious inference that he can manage 377,000 people—I declare it beer o'clock.  ",1,0,1,5,4,85,0.09028553,0.015300809,0.89441365,Neu,0.07498472,"justinwolfers,"
46,2018-03-26 02:04:02,John would be a fantastic pick.  ,0,0,1,1,2,25,0.18700586,0.013218987,0.7997751,Neu,0.17378688,"justinwolfers,"
49,2018-03-24 16:27:03,"Come senators, congressmen Please heed the call Don't stand in the doorway Don't block up the hall For he that gets hurt Will be he who has stalled There's a battle outside And it is ragin'. It'll soon shake your windows And rattle your walls For the times they are a-changin'.",1,1,1,10,135,441,0.021744149,0.66896516,0.30929062,Neg,-0.647221,"justinwolfers,"
51,2018-03-24 04:36:00," I just looked online to see if we should do it again this year... Sadly, it looks like it's been cancelled.",1,1,1,1,0,0,0.018244479,0.8289371,0.15281837,Neg,-0.8106926,"justinwolfers,"
59,2018-03-23 17:39:02,"""I will never sign another bill like this again.""  Guy, it's time for some game theory.",0,1,1,8,13,107,0.05434017,0.06643477,0.8792251,Neu,-0.012094602,"justinwolfers,"
60,2018-03-23 17:31:03,Call every bluff. He'll fold every time.,0,0,1,4,19,104,0.0376305,0.088657185,0.8737123,Neu,-0.051026687,"justinwolfers,"
