,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
63,2018-03-27 20:36:04,I was stuck in traffic this morning - couldn't believe the blather I was hearing from Old Wall Media,1,1,1,0,1,14,0.037932653,0.5807065,0.38136092,Neg,-0.54277384,keithmccullough
64,2018-03-27 20:35:00,"Up next, rewind of Joe Kernen - who couldn't have been more arrogant and dismissive of market risk this morning  ",1,0,1,3,1,13,0.05330497,0.15214074,0.7945543,Neu,-0.09883577,keithmccullough
71,2018-03-27 15:16:02,BREAKING: US Consumer Confidence finally slows from its recent cycle high to 127.7 vs. 130  Is the top in that chart in? Good question that those who chased the Futures higher this morning should be asking themselves,1,1,1,1,3,15,0.06839967,0.7727503,0.15884998,Neg,-0.70435065,keithmccullough
75,2018-03-27 13:53:04,"“We must play as if there are no more games, no more tomorrows.” – Jock Stein",0,1,1,0,0,0,0.08999652,0.052553687,0.85744977,Neu,0.03744283,keithmccullough
91,2018-03-27 10:03:05,European regulation? &gt; EU Parliament will look into Facebook's alleged misuse of personal data   $FB remains Bearish TREND ,0,1,1,1,2,7,0.015145496,0.8646194,0.12023514,Neg,-0.8494739,keithmccullough
122,2018-03-23 14:27:05,You cannot be long $FB and $GOOGL with the same level of conviction without watching this  presentation wow  ,0,1,1,0,6,25,0.032644574,0.042728335,0.92462707,Neu,-0.010083761,keithmccullough
144,2018-03-23 10:09:01,Your risk management process shouldn't change this morning - do what you do every day,0,1,1,0,0,4,0.04652536,0.029587327,0.9238874,Neu,0.016938033,keithmccullough
193,2018-03-21 18:58:00,As of now I believe Powell is data dependent - he doesn't seem to have a view on where the data should go - he'll go where it goes,0,1,1,3,4,16,0.04112411,0.13143048,0.8274454,Neu,-0.09030637,keithmccullough
197,2018-03-21 18:49:05,"""Changes in trade policy shouldn't affect the current outlook"" -Jay Powell GoodAnswer  ",0,0,1,0,4,1,0.1561467,0.03635461,0.8074987,Neu,0.1197921,keithmccullough
198,2018-03-21 18:48:03,Here come the media's political tourist questions that the Fed shouldn't have answers to,1,0,1,0,0,2,0.051678937,0.23163648,0.7166846,Neu,-0.17995754,keithmccullough
201,2018-03-21 18:40:01,I'll be surprised if the high of the day for the UST 10yr Yield isn't in,1,1,1,0,1,11,0.12742524,0.024875775,0.847699,Neu,0.10254946,keithmccullough
221,2018-03-21 17:59:04,"Deep breaths. Post FOMC decision, Mr. Market will lead the way",0,0,1,0,0,3,0.11203828,0.012187984,0.8757738,Neu,0.0998503,keithmccullough
222,2018-03-21 17:58:05,2 mins and Macro Tourists will unite under Joey's lead,0,0,1,0,0,3,0.5396611,0.014621341,0.44571754,Pos,0.5250398,keithmccullough
230,2018-03-21 10:15:05,Dollar Down pre what could be  (should be if Powell is data dependent) a DovishHike  ,0,1,1,1,2,6,0.071417734,0.722717,0.20586526,Neg,-0.65129924,keithmccullough
231,2018-03-21 10:13:03,"US Yield Spread put in its 2018 highs when inflation expectations peaked in FEB - Powell should respect inflation expectations rolling over, but we'll see  ",1,1,1,0,1,8,0.6460918,0.04289944,0.31100875,Pos,0.6031924,keithmccullough
235,2018-03-21 10:04:01,"OIL: +0.4% to $63.79, but can it beat its FEB &gt; $64 level? How about JAN's $67 level? reflation  ",0,0,1,1,0,4,0.7980029,0.025765609,0.1762315,Pos,0.7722373,keithmccullough
245,2018-03-20 14:02:04,The Old Wall won't cover this - we will  IPO  ,0,0,1,0,0,0,0.047556326,0.018879762,0.93356395,Neu,0.028676564,keithmccullough
261,2018-03-20 08:59:02,JAPAN: could've been worse - Nikkei closes down -0.5% and remains Bearish TREND ,1,1,1,0,2,3,0.010439407,0.9724573,0.017103402,Neg,-0.9620179,keithmccullough
334,2018-03-14 19:07:00,4 Things Investors Should Know About Inflation   via ,0,0,1,0,1,1,0.04083347,0.027448086,0.93171847,Neu,0.013385383,keithmccullough
355,2018-03-13 11:18:01,"In today's Early Look ""Decision Making"" I review how I'd be risk managing both inflation expectations and the 10yr",0,1,1,1,0,2,0.086281024,0.028847344,0.88487166,Neu,0.05743368,keithmccullough
365,2018-03-13 09:08:05,INDONESIA: led losers in Asia (again) overnight with stocks down another -1.3% and -2.4% in the last month GlobalDivergences,1,0,1,0,0,0,0.008542177,0.9732835,0.018174319,Neg,-0.96474135,keithmccullough
390,2018-03-12 08:57:03,they don't want one &gt; China says trade war with US will only bring disaster to global economy - Reuters,0,1,1,0,0,0,0.031131594,0.70379686,0.26507157,Neg,-0.6726653,keithmccullough
403,2018-03-09 13:59:02,A big part of being data dependent is being educated on the time series of data ...  I'll do that for your LIVE at 9AM EST on The Macro Show   ,1,1,1,0,1,2,0.03370556,0.025937831,0.9403566,Neu,0.0077677276,keithmccullough
408,2018-03-09 13:44:04,"Be honest with yourself...   How many times, in the last 15 months, have you sold US stocks on your political fears?   If you were data (instead of politically) dependent, you'd have bought every damn dip",1,1,1,5,5,33,0.09292055,0.15051386,0.75656563,Neu,-0.05759331,keithmccullough
414,2018-03-09 11:39:02,UST 10yr Yield +3bps to 2.88% ahead of what could be a hawkish US jobs report   WageInflation should be the component of the report driving yields this am,0,1,1,0,2,5,0.23904641,0.28703547,0.4739182,Neu,-0.047989056,keithmccullough
416,2018-03-09 11:28:05,OIL: is the most consensus net LONG position (inflation expectations) in all of macro breaking down?   I'll review the math LIVE on The Macro Show  9am  ,0,1,1,0,0,1,0.033561792,0.061840996,0.9045972,Neu,-0.028279204,keithmccullough
430,2018-03-08 14:25:03,“If you never fall how will you know how good getting up feels?”  –Steph Curry,0,1,1,3,7,14,0.0952856,0.031130148,0.8735843,Neu,0.06415545,keithmccullough
431,2018-03-08 13:57:04,"Tune into what markets are actually doing, not what political hacks think they should be doing  ",0,1,1,0,0,1,0.024921972,0.0642318,0.91084623,Neu,-0.039309826,keithmccullough
453,2018-03-08 00:12:00,Haha! Mike has had a tough go on that narrative - he should stick to selling terminal subscriptions  ,1,1,1,0,0,10,0.10351699,0.10097776,0.7955053,Neu,0.002539225,keithmccullough
456,2018-03-07 20:46:01,Nice day for Macro Tourist pundits who would have shorted the US Futures 44 handles lower on the GaryCohnResigns headline  LosingMoney,1,0,1,3,1,7,0.02096333,0.9222252,0.05681151,Neg,-0.90126187,keithmccullough
465,2018-03-07 10:26:01,UST 10yr Yield pulls back another 3 basis points to 2.86% as inflation expectations pull back from the FEB overbought highs,0,1,1,0,0,7,0.23365083,0.7409623,0.025386844,Neg,-0.50731146,keithmccullough
533,2018-02-28 18:46:01,“Success will continue only as long as the commitment to the process of being successful remains in place.” –Nick Saban,0,1,1,2,5,17,0.15687099,0.011322018,0.831807,Neu,0.14554897,keithmccullough
534,2018-02-28 07:28:02,*he meant the SEP-JAN data (i.e. yesterday's news); FEB-MAR inflation data should rollover   Powell: incoming data may increase confidence inflation is moving toward target  ,1,1,1,2,6,15,0.9397855,0.024042279,0.036172193,Pos,0.91574323,keithmccullough
550,2018-02-27 10:23:01,believe him! he's going to go dovish &gt; Bundesbank chief Weidmann says policy normalization in Eurozone will take quite some time,0,1,1,1,0,2,0.0635803,0.45108852,0.4853312,Neu,-0.3875082,keithmccullough
572,2018-02-26 00:59:03,My boys ended their season on a high note this afternoon. I couldn't be more proud of them!   07' Elite  ,1,0,1,3,5,85,0.52703094,0.030532077,0.44243693,Pos,0.49649888,keithmccullough
579,2018-02-22 14:48:02,Down -38% in a day? That'll leave a mark. Great SELL call by  on $MIC  ,0,0,1,1,5,23,0.08551702,0.8389193,0.07556369,Neg,-0.75340223,keithmccullough
587,2018-02-22 14:02:05,"The independent research we do on names like Macquarie Infrastructure $MIC, Linn Energy $LNGG (pink sheets now), etc.  Is not the conflict of interest investment banking ""research"" you'll see on   etc.  That's why we're winning  evolve OldWall",0,1,1,0,1,8,0.058412462,0.01999518,0.92159235,Neu,0.03841728,keithmccullough
589,2018-02-22 13:52:02,Macquarie Infrastructure $MIC - another SELL Idea brought to you buy the fine folks    Down  -25% this morning - and the Old Wall will downgrade it after the crash,1,0,1,1,1,8,0.0114597175,0.9195203,0.069019966,Neg,-0.9080606,keithmccullough
600,2018-02-21 11:10:02,"SPAIN: leads European losers this morning, -1.0% and I'll reiterate Bearish TREND  there",0,0,1,0,0,3,0.08426886,0.857777,0.057954114,Neg,-0.77350813,keithmccullough
604,2018-02-21 10:57:02,We'll stay with 3 hikes or less during Reflation's Rollover II &gt; Economists raise expectations for Fed tightening following budget deal - WSJ,0,1,1,0,0,8,0.8759965,0.08113105,0.042872496,Pos,0.7948654,keithmccullough
615,2018-02-20 12:17:00,“Some would say this was the most volatile period ever.” -  (on 1979-81),1,0,1,0,1,4,0.024960982,0.10511151,0.86992747,Neu,-0.08015053,keithmccullough
617,2018-02-20 10:30:05,US DOLLAR: is a bottoming process underway? Many macro markets would not like that  ,0,1,1,3,21,53,0.029951897,0.7702388,0.19980921,Neg,-0.74028695,keithmccullough
673,2018-02-15 10:15:00,"Post Day 5 of the rally, this is the consensus cheer - I'd fade it this morning and risk manage the range  ",0,1,1,0,0,8,0.13444707,0.020601785,0.84495115,Neu,0.11384528,keithmccullough
