,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2018-03-29 20:11:05," A little small for us, but we'll take a look",0,0,1,1,0,2,0.13764775,0.012186347,0.8501659,Neu,0.1254614,kerrisdalecap
10,2018-03-20 13:30:02,"$PTI claims its ""amplifier"" drug for CF improves lung function, but patients on the drug barely improved on average; they only looked good in comparison with an anomalously bad placebo group. A normal placebo group would reveal that the drug is ineffective (2/5)",1,1,1,1,3,4,0.25991,0.6893156,0.05077435,Neg,-0.42940563,kerrisdalecap
18,2018-02-07 14:30:03,"The KODAKOne team has zero credibility. AppCoin head has checkered, stock promoter past & prior securities law violations. WENN Digital team unknown, unproven. And $KODK board members awarded shares to themselves day before announcement -- could be an SEC violation (4/5)",1,1,1,6,13,51,0.010429276,0.9025851,0.08698563,Neg,-0.8921558,kerrisdalecap
19,2018-02-07 14:29:05,"Cryptographically hashing an image into a blockchain doesn’t prove the provenance of intellectual property, a blockchain does not reduce the resources necessary for copyright enforcement, no photographer would rather be paid in KODAKCoins over real money. (3/5)",1,1,1,4,7,35,0.034813527,0.080113634,0.8850728,Neu,-0.045300107,kerrisdalecap
20,2018-02-07 14:29:04,KODAKOne and KODAKCoin are PR stunts. A cryptocurrency for image rights licensing makes no sense. Blockchain cannot fix the problem of IP ownership and does nothing for enforcement. (2/5),0,1,1,1,10,33,0.021328358,0.34065205,0.63801956,Neu,-0.3193237,kerrisdalecap
22,2018-02-06 21:18:03,Crypto. We haven't come across a theme this big since the Chinese frauds. First report coming tomorrow – blockchain fever won't save this company from bankruptcy.,1,1,1,9,12,61,0.040256128,0.7378053,0.22193857,Neg,-0.69754916,kerrisdalecap
27,2017-11-17 20:08:05,"The auto vertical ($LXFT’s 2nd largest now at 18% of revenue) grew 76% y-o-y on strength of autonomous driving. OEMs will continue to rely on high-end vendors like $LXFT. Company is a long term growth story worth $100+. Developers, developers, developers! (2/2)  ",1,1,1,0,0,9,0.92499393,0.009097231,0.0659089,Pos,0.9158967,kerrisdalecap
28,2017-11-17 20:07:02,"$LXFT reported strongs s, shares up 14%. Updated report at   Revenue growth of 38% excluding DB/UBS. Despite fear that DB/UBS would fall further, sales from DB/UBS increased sequentially 14% and 7%. Businesses outside of top 5 grew &gt;40% (1/2)",1,1,1,3,2,9,0.9459282,0.037362732,0.016709097,Pos,0.90856546,kerrisdalecap
29,2017-11-09 18:11:00,"$VSAT reported another weak quarter last night. Revenue fell -3% y/y, EBITDA -34%. Subs declined -14% y/y, -6% q/q to 589k. Mgmt said Dec qtr would return to sub growth, on ccall revised Dec to be neg again.   How low will subs ultimately go?",1,0,1,0,3,5,0.008363402,0.9601578,0.031478684,Neg,-0.9517944,kerrisdalecap
31,2017-11-08 14:32:01,"PRX002 also showed no positive trend in Ph. 1b despite shotgun approach to endpoints, Ph. 2 is merely longer Ph. 1b & will be no different. We will publish separate report on PRX002. Reasons it does not work likely same as why amyloid-beta mAbs for Alzheimer’s failed $PRTA",1,1,1,0,0,1,0.09478289,0.03308314,0.8721339,Neu,0.061699748,kerrisdalecap
34,2017-11-08 14:30:04,"Ph. 1/2 results for NEOD001 missing all elements of efficacy — no actual clinical response, no dose response, no improvement over time. Amyloid researchers believe it will fail; coinventors of NEOD001 predecessor & others told us “almost zero” prob of clinical success $PRTA",1,1,1,2,1,3,0.19031847,0.16885172,0.64082986,Neu,0.021466747,kerrisdalecap
40,2017-11-01 13:03:02,$ADMS is also a tempting M&A target for other pharma co's. Cutting redundant SG&A & accelerating the sales ramp would deliver add'l upside.,0,1,1,0,1,3,0.7177464,0.21100466,0.07124891,Pos,0.5067417,kerrisdalecap
56,2017-08-29 15:06:01,$SAGE SRSE results should be out soon  ,0,0,1,1,0,1,0.10829463,0.034219585,0.8574857,Neu,0.07407504,kerrisdalecap
71,2017-06-27 23:54:05,  We'll subscribe if you cover my next biotech short. Deal?,0,1,1,1,0,2,0.07813881,0.015384067,0.9064771,Neu,0.06275475,kerrisdalecap
72,2017-06-27 14:28:02,"$VSAT: With Mark attending, we expect majority of top 10 holders (excluding index funds) to join Thurs event. Should be a spirited debate",0,1,1,0,2,3,0.15983081,0.012762504,0.8274067,Neu,0.1470683,kerrisdalecap
73,2017-06-26 23:27:02, For an event like this - which will likely attract major holders now given the presence of the CEO - debate will be private & confidential,1,0,1,0,0,1,0.033356883,0.023134217,0.94350886,Neu,0.010222666,kerrisdalecap
74,2017-06-26 14:46:04," Arguments that disprove our thesis would make us rethink the short. With years of mgmt call, event transcripts, we think we know his views",0,1,1,1,0,5,0.06070489,0.059065938,0.8802292,Neu,0.0016389526,kerrisdalecap
75,2017-06-26 14:00:02,"$VSAT CEO coming to Thursday's investor dinner to debate us. Kudos to Mark Dankberg, he'll be first in short activism history to do so",0,1,1,7,11,42,0.062202144,0.016784908,0.92101294,Neu,0.045417234,kerrisdalecap
78,2017-06-20 14:16:05,$VSAT: We've launched   where we'll keep an ongoing FAQ and post more detailed follow-ups on specific topics,1,1,1,1,1,4,0.043711063,0.0147241475,0.9415648,Neu,0.028986916,kerrisdalecap
83,2017-06-14 23:49:01,   I sense sarcasm. Why don't we talk through the arguments for an hr. It'll be clear pretty quick who's done the work. What are you afraid of?,1,1,1,2,0,0,0.038613077,0.12683628,0.8345507,Neu,-0.088223204,kerrisdalecap
85,2017-06-14 21:05:00,"  And our $DISH target px was $20, so you can make that red band for DISH just as long as the green one :)",1,0,1,2,0,0,0.048216168,0.018338706,0.9334451,Neu,0.029877461,kerrisdalecap
88,2017-06-13 14:35:01,"Sat internet imposes data caps on customers. As streaming booms, all subs will migrate to providers with no caps. $VSAT's $5B EV will vanish",0,1,1,1,0,1,0.041089974,0.032169323,0.92674077,Neu,0.008920651,kerrisdalecap
90,2017-06-13 14:30:04,"$VSAT is free cash flow negative every yr from 2009 to 2022+, constantly re-investing in a biz that will go extinct by 2023",0,1,1,1,0,3,0.20198716,0.14357328,0.65443957,Neu,0.058413878,kerrisdalecap
103,2017-05-09 14:00:03,"Conf call today 10:30am: 888-567-1602, reference Kerrisdale. We'll also experiment with insta-live at 9:45am:  on instagram",0,0,1,0,1,1,0.037310336,0.014032595,0.94865704,Neu,0.02327774,kerrisdalecap
104,2017-05-08 21:30:01,"We'll publish on a new short tomorrow. Entranced by a billionaire investor, investors haven't done their homework on this one.",1,1,1,10,19,59,0.0790412,0.11824542,0.80271333,Neu,-0.039204225,kerrisdalecap
105,2017-04-13 20:35:01,"$DISH: We'll state the obvious. DISH bought so much in incentive auction and $VZ, $T so little because... there's no actual rational answer",1,1,1,5,7,10,0.034633394,0.09461427,0.8707524,Neu,-0.059980873,kerrisdalecap
109,2017-02-17 20:17:04,$NAK's response effectively admits that Pebble personnel DID conclude costs would be uneconomically high. See also:  ,0,1,1,3,5,4,0.06690294,0.5430703,0.3900268,Neg,-0.47616738,kerrisdalecap
