,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-30 16:32:03, Just put your entire hand down on the keyboard and press enter...that ought to do it,0,0,1,1,0,2,0.061011698,0.020022951,0.91896534,Neu,0.040988747,lizannsonders
12,2018-03-29 12:00:01,Deficit as far as the eye can see: a YAWNING gap between the expected CBO budget path vs. the path we are actually on      ,0,1,1,0,8,9,0.027530866,0.87001634,0.10245279,Neg,-0.8424855,lizannsonders
13,2018-03-29 11:42:01, I think it will drive out a lot of the “FOMO” (fear of missing out) investors who plowed in in December/January; but won’t necessarily freak out the longer-term investors,1,1,1,0,0,1,0.69350606,0.15193897,0.15455492,Pos,0.5415671,lizannsonders
22,2018-03-28 12:34:02,"And if it does, history also shows it will likely close at 4pm  ",0,1,1,6,3,49,0.038000222,0.05014438,0.91185534,Neu,-0.0121441595,lizannsonders
28,2018-03-27 20:08:01,What a ratings bonanza that will be if they’re right  ,0,1,1,2,1,7,0.18501583,0.04115251,0.7738316,Neu,0.14386332,lizannsonders
37,2018-03-26 23:09:03,"   ""We are committed to ensuring the safety of the Twitter community. As such, we have added a new policy for Twitter Ads relating to cryptocurrency. Under this new policy, the advertisement of Initial Coin Offerings (ICOs) and token sales will be prohibited globally.""",1,1,1,0,0,1,0.05786571,0.036788583,0.9053457,Neu,0.021077126,lizannsonders
49,2018-03-26 12:51:01,"Today will help (assuming strength holds), but as of Friday’s close, more than 35% of S&P 500 stocks closed below their February 9 lows",1,1,1,1,9,25,0.016351487,0.96521044,0.018438116,Neg,-0.948859,lizannsonders
61,2018-03-23 11:31:04,Consensus forward P/E for S&P 500 dipped below 17x again ... analysts may begin revising down forecasts in response to trade-policy headwinds    ,1,1,1,0,25,32,0.01816463,0.9583491,0.02348633,Neg,-0.9401845,lizannsonders
67,2018-03-22 16:10:01,Many are wondering who represents the high dot in 2020; and who thinks rates should remain unchanged until then  ,0,1,1,2,2,11,0.038080048,0.08228123,0.87963873,Neu,-0.044201184,lizannsonders
71,2018-03-22 13:47:04, Will NOT be talking politics,0,1,1,0,0,0,0.028255573,0.070080034,0.90166444,Neu,-0.04182446,lizannsonders
72,2018-03-22 11:08:02,Fed Chair Powell downplayed importance of FOMC DotsPlot : “We made one decision at this meeting…the projections are just individual projections that are submitted and compiled…those forecasts will change over time”,1,1,1,4,4,18,0.03530003,0.17679705,0.7879029,Neu,-0.14149702,lizannsonders
75,2018-03-21 20:22:04,"Every restaurant in the world needs these tables (would save money on matchbooks, folded napkins, sugar packets; and everything else used to put underneath unsteady table legs)  ",1,1,1,4,11,31,0.032334935,0.02781299,0.93985206,Neu,0.0045219455,lizannsonders
76,2018-03-21 20:13:00,My last tweet on this subject:  post-GFC economy has been constrained by factors beyond scope of monetary policy and Fed’s policies may have caused financial distortions & unintended (or unkown) consequences (echoing Peter Fisher’s thinking),1,1,1,0,2,16,0.014859875,0.8570131,0.12812704,Neg,-0.84215325,lizannsonders
77,2018-03-21 19:49:05," Perhaps, but every side being debated is a counter-factual ... we will never know whether the economy would be better or worse if the Fed (or politicians, or business leaders) had done something different ... I like to think in shades of gray, not black-and-white",1,1,1,2,0,1,0.053667307,0.16968761,0.77664506,Neu,-0.11602031,lizannsonders
85,2018-03-21 18:48:03,"  How did ZIRP and a $4.5t balance sheet do in terms of boosting growth?  All that said, speculating on what would’ve been is simply counter factual analysis.",1,1,1,1,0,2,0.037678532,0.039982945,0.92233855,Neu,-0.0023044124,lizannsonders
86,2018-03-21 18:45:05,  I guess I would just posit that the Fed keeping rates so low for so long (treating the economic patient like it was perpetually in the ER) actually contributed to what has been the weakest recovery/expansion (including wages) in history,1,1,1,3,1,6,0.024125332,0.9580434,0.01783125,Neg,-0.93391806,lizannsonders
101,2018-03-21 12:23:05,Joining  Special Fed Day Coverage from 1:00-2:30pm ET today (fingers crossed I can get to the studio in the snow),1,1,1,3,1,22,0.07829689,0.018927164,0.902776,Neu,0.059369728,lizannsonders
106,2018-03-21 10:16:04,"Yet another snow day, yet another move of my daughter’s HS graduation date (why I joked that she may start college before she officially graduates HS)",1,1,1,2,3,32,0.055787135,0.045956153,0.89825666,Neu,0.0098309815,lizannsonders
113,2018-03-20 19:07:05,I grew up with the wonderful and kind Mister Rogers and I will rush to see MrRogersMovie  ,1,0,1,2,7,39,0.09309715,0.017749537,0.88915336,Neu,0.07534762,lizannsonders
117,2018-03-20 16:19:00," Private sector has some interesting initiatives (apprenticeships, etc.); community colleges are on the front lines; “votech” programs coming back into high schools ... but it will take time",0,1,1,1,0,1,0.196364,0.013999799,0.7896362,Neu,0.1823642,lizannsonders
121,2018-03-20 11:07:00, survey of economists on how many jobs will be lost if Tariffs morph into TradeWar  ,1,1,1,1,3,4,0.019829968,0.81032926,0.16984074,Neg,-0.79049927,lizannsonders
125,2018-03-19 22:11:01,"At this rate, my daughter will be graduating high school AFTER she starts college  ",0,1,1,5,1,18,0.10818575,0.017350774,0.87446344,Neu,0.090834975,lizannsonders
130,2018-03-19 14:33:05,"“One of the most critical career strengths is a belief that can’t be taught—self-confidence. And for many women, it’s in short supply.”  ",0,1,1,1,3,10,0.19960757,0.09820157,0.7021909,Neu,0.10140599,lizannsonders
143,2018-03-16 21:31:04,"Try not to cry, try not to be touched to your core, try not to be inspired...you will fail...this is beautiful  wouldntchangeathing    ",1,1,1,4,3,14,0.065150805,0.05682179,0.8780274,Neu,0.008329015,lizannsonders
160,2018-03-15 12:55:01, Tariffs and protectionist policies reduce labor productivity and increase the cost of living: trade barriers raise prices of imported goods to consumers AND prices of domestically produced goods (which could lead to tighter monetary policy),1,1,1,1,0,0,0.011042118,0.95172673,0.037231162,Neg,-0.9406846,lizannsonders
180,2018-03-13 20:17:04, I am not a trader.  We went to neutral US stocks last fall ... recommending rebalancing & diversification ... neither “get in” nor “get out” are investing strategies ... investing should ALWAYS be a process over time ... never a moment in time.,1,1,1,0,0,2,0.046734545,0.023781613,0.9294838,Neu,0.022952933,lizannsonders
186,2018-03-13 19:00:00,      Not writing them off- just making point that many latter stages of bull markets have been missed by an overly-dogmatic focus on valuation- valuation should be one of many tools in the market analysis toolbox,1,1,1,0,3,11,0.03030359,0.07281613,0.89688027,Neu,-0.042512543,lizannsonders
204,2018-03-09 19:11:02,And she may have taken a step back in with this morning’s jobs report  ,1,0,1,1,3,19,0.09743111,0.50526667,0.3973023,Neg,-0.40783554,lizannsonders
214,2018-03-08 21:13:05,Goldilocks may be leaving the building     ,0,1,1,6,5,15,0.02694989,0.64188945,0.33116066,Neg,-0.6149396,lizannsonders
233,2018-03-07 12:06:04,"House price increases since bubble peak, by metro region (I’m presently in Denver and I can attest to this)     ",0,1,1,1,6,11,0.114771925,0.03196606,0.853262,Neu,0.082805865,lizannsonders
256,2018-03-04 21:21:00, Yum ... except the dessert ... can’t stand pecan pie  ,0,0,1,0,0,0,0.03762988,0.11424172,0.8481284,Neu,-0.07661184,lizannsonders
259,2018-03-02 19:18:02,"“If the U.S. uses a broad interpretation of national security nothing will hold back others. And Trump may end up rethinking whether his tariffs on steel are worth duties on Florida oranges, Wisconsin Harleys, and Kentucky bourbon.” ",0,1,1,8,8,43,0.12614441,0.084956184,0.7888994,Neu,0.041188225,lizannsonders
262,2018-03-02 11:37:03,What will AI be able to do in next 30 years?     ,0,0,1,8,6,17,0.09574852,0.011603658,0.8926478,Neu,0.08414486,lizannsonders
268,2018-03-01 20:20:04,Smoot-Hawley should be remembered by all when understanding risks of going down the tariffs path,1,1,1,23,34,104,0.16956347,0.025002463,0.805434,Neu,0.14456101,lizannsonders
274,2018-03-01 14:20:00,Since Fed began tightening (December 2015) financial conditions mostly loosened ... but recently they’ve (finally) begun to tighten ... could be an important difference between Yellen and Powell eras  ,1,1,1,5,18,26,0.18576936,0.077529885,0.7367007,Neu,0.10823948,lizannsonders
279,2018-03-01 13:13:03,"If recent history (2015, 2012 & 2011) repeats, the S&P’s test of its 200DMA will be followed by a retest and possibly a lower low  KevinBrekke   ",1,0,1,4,11,37,0.14118576,0.08448762,0.7743266,Neu,0.056698143,lizannsonders
289,2018-02-28 12:26:02,WH Budget Director Mick Mulvaney: the tax cuts/new budget is “not a fiscal stimulus; not a sugar high”  Fed Chair Jay Powell said twice yesterday that fiscal policy is becoming “more stimulative”   I must side with JP,1,1,1,12,10,55,0.12724759,0.2124412,0.6603112,Neu,-0.08519362,lizannsonders
295,2018-02-27 20:42:02, Phillips Curve has been MIA so far in this expansion; but perhaps because nominal growth has been below the unemployment rate over the entire expansion ... not anymore (could change trajectory of PC as has been the case historically)  ,1,1,1,1,1,3,0.18307485,0.50790274,0.3090224,Neg,-0.3248279,lizannsonders
296,2018-02-27 18:57:02,I actually think the FOMC will be more tolerant of (less reactionary to) market volatility/pullbacks/corrections than they’ve been in many years NoPowellPut  ,1,1,1,8,4,21,0.6267483,0.05266909,0.3205825,Pos,0.5740792,lizannsonders
298,2018-02-27 18:38:04,"2 keys (in all caps) in JayPowell testimony today: “FOMC will continue to strike balance between avoiding an overheated economy AND bringing PCE price inflation to 2% on SUSTAINED basis:” Fed still worried about too low inflation & 2% will have to be persistent, not temporary",1,1,1,5,16,28,0.9019411,0.030467391,0.067591466,Pos,0.8714737,lizannsonders
299,2018-02-27 16:41:01,Weigh in:  Do you think the streak of 15 months without a down month for the S&P will become 16 months at tomorrow’s close or will the streak be broken?    ,1,1,1,21,22,30,0.0366711,0.38226834,0.5810605,Neu,-0.34559724,lizannsonders
336,2018-02-17 14:05:03,"Hello Tweeps- on vacation next week so I WILL BE ON TWITTER LESS- celebrating many milestones this year: our daughter's 18th, my mom's 80th, my parents' 60th, my dad's 88th, my hubby's 55th, our 25th, our daughter becoming a Clemson Tiger",0,1,1,76,5,481,0.053310577,0.030435696,0.91625375,Neu,0.02287488,lizannsonders
345,2018-02-16 12:28:03,Gold’s divergence from real rates another indicator that inflation may be taking hold    ,1,1,1,2,22,35,0.18324047,0.49795514,0.31880435,Neg,-0.31471467,lizannsonders
352,2018-02-15 12:51:04,Expecting that some of the leading economic indicators will disappoint a bit in the near term (if only because the expectations bar has been set fairly high),1,1,1,2,3,13,0.87122065,0.10291128,0.025868116,Pos,0.76830935,lizannsonders
353,2018-02-15 12:32:05,"“Edge computing” (sensors) invading the cloud:   Research estimates that the number of devices connected to the Internet will hit 20.4 billion by 2020, up from 8.4 billion last year ... wow  ",1,1,1,0,5,8,0.9490653,0.021932203,0.029002454,Pos,0.92713314,lizannsonders
405,2018-02-08 23:11:00, I have been in non-stop meetings and on calls with our clients ... must take precedence over social media,1,1,1,0,0,3,0.034983385,0.04191969,0.9230969,Neu,-0.0069363043,lizannsonders
423,2018-02-06 01:36:04,Couldn't agree more  ,0,0,1,4,3,42,0.22658111,0.17831421,0.5951047,Neu,0.048266903,lizannsonders
429,2018-02-05 19:13:01," ISMs have definitely over-performed actual growth (IP, GDP, etc.) but the gap may narrow given late-cycle tendencies",1,1,1,1,0,0,0.1918894,0.7646933,0.04341724,Neg,-0.5728039,lizannsonders
432,2018-02-05 15:13:01,A “normal” pullback based on technical factors such as 50DMA and/or “miles driven” would bring the S&P down to slightly under 2700 (-6% or so from high) ... now I’m going to take off my technician’s hat because I don’t wear it very well,1,1,1,9,11,76,0.008055451,0.9631538,0.028790843,Neg,-0.95509833,lizannsonders
434,2018-02-02 20:28:01, That day in 1987 would equate to about a 6k point drop in the Dow,0,0,1,0,0,0,0.013236277,0.9658103,0.02095335,Neg,-0.952574,lizannsonders
440,2018-02-02 19:45:02," Weak dollar, rising rates, very strong January, overly optimistic sentiment (this week may solve that problem) ... and questions about “market structure” (portfolio insurance then, algos now)",0,1,1,1,1,8,0.029019319,0.8074747,0.16350599,Neg,-0.7784554,lizannsonders
445,2018-02-02 17:51:04,"Uptick in  Financial Stress Index and higher yields could portend move up from all-time lows in  Financial Conditions Index, among others, like   ",0,0,1,0,0,3,0.9003797,0.08031734,0.01930301,Pos,0.8200624,lizannsonders
446,2018-02-02 17:17:03,2018 may be the first year since pre-financial crisis that Main Street feels better than Wall Street,0,0,1,4,10,47,0.91985613,0.011701335,0.06844255,Pos,0.9081548,lizannsonders
448,2018-02-02 14:46:02,Interesting speculation that the FOMC could move to press conferences at every meeting vs. every other meeting,0,1,1,4,4,10,0.04122845,0.024758752,0.9340128,Neu,0.016469698,lizannsonders
471,2018-01-30 11:36:00,"Financial conditions have rarely been easier, but the question is how long this will last with inflation heating up, bond yields breaking out, and the Fed set to hike at least 3 times this year  ",1,1,1,1,16,24,0.076507196,0.17997195,0.74352086,Neu,-0.10346475,lizannsonders
478,2018-01-29 19:41:05,I always wonder what Marty would be saying ... he and his wisdom left us too soon  ,1,1,1,2,1,18,0.023658944,0.5484445,0.42789656,Neg,-0.5247856,lizannsonders
485,2018-01-29 15:48:05,"Through Friday, we’ve had 18 trading days this year (this year is among top-10 best, and best since 1 1987) ... history suggests this year could have more potholes  ",1,1,1,6,27,58,0.44449154,0.20515843,0.35035002,Pos,0.23933311,lizannsonders
499,2018-01-25 14:27:01,"Over the past 15 years, yields dropped when economic surprises tapered off ... will it be different this time?    ",1,0,1,1,0,18,0.051772732,0.5592714,0.38895583,Neg,-0.5074987,lizannsonders
519,2018-01-22 13:25:02,"Barring a 5% correction today (let’s hope not!), today will mark the longest span in history without one.",0,1,1,11,29,75,0.10548695,0.46808326,0.42642984,Neg,-0.3625963,lizannsonders
545,2018-01-18 13:40:00,"1/2 Remarkable: Since 1993, if you bought SPY on open/sold on close each day, return would be -5.2%...but if you did opposite & bought on close/sold on open next day, return would be 568% (meaning more than ALL performance came in after-hours trading) Source:   ",1,1,1,91,667,1306,0.029156469,0.046508316,0.9243352,Neu,-0.017351847,lizannsonders
