,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-02 15:35:01,Where will the S&P 500 go from here?  ,0,0,1,0,0,1,0.03008447,0.09454599,0.8753695,Neu,-0.06446152,marketclub
6,2018-03-30 16:15:02,"Rebalancing may not be something all investors want to do because it will increase transaction costs and tax liabilities at the end of the year. But, it is a simple, easy way to reduce risk.   Trading Investing Stocks",0,1,1,0,0,0,0.07029758,0.022194665,0.9075078,Neu,0.04810291,marketclub
16,2018-03-27 17:16:01,"“Like Starbucks is to coffee, we believe Chalice will be to cannabis,” said William Simpson, Golden Leaf’s chief executive officer.    Canada Marijuana Potstocks CannabisCommunity",1,1,1,0,0,0,0.036393702,0.019371638,0.94423467,Neu,0.017022064,marketclub
18,2018-03-27 13:15:01,"“Raising rates too slowly would raise the risk that monetary policy would need to tighten abruptly down the road, which could jeopardize the economic expansion.” - Jerome Powell   Fed FOMC",0,1,1,0,0,0,0.07140578,0.5958742,0.33271998,Neg,-0.5244684,marketclub
50,2018-03-15 16:01:05,This one word can protect your portfolio from the pending TradeWar   Trump Trading ThursdayThoughts,0,1,1,0,0,0,0.06609343,0.023102993,0.91080356,Neu,0.04299044,marketclub
65,2018-03-12 15:00:04,I would like to give you some insight about the global map for the pair of the single currency against the king currency (EUR/USD) to let you know where other opportunities could emerge as time goes by.   Forex EURUSD Euro Dollar,0,1,1,0,0,0,0.121314354,0.012007861,0.86667776,Neu,0.10930649,marketclub
85,2018-03-03 15:36:01,Trump announced on Thursday that the U.S. would implement a 25 percent tariff on steel imports and a 10 percent tariff on aluminum imports next week.   SaturdayMorning,1,1,1,0,0,0,0.21393038,0.026077274,0.7599923,Neu,0.18785311,marketclub
89,2018-03-01 16:56:01,"In a volatile marketplace, you can place your trust in this stock   SOTW Stocks",0,0,1,0,0,1,0.15067893,0.008874725,0.8404464,Neu,0.1418042,marketclub
115,2018-02-20 16:55:01,Will this robust recovery continue further or are we setting up to head lower?   Stocks,0,1,1,0,1,2,0.41341516,0.15567616,0.4309086,Neu,0.257739,marketclub
121,2018-02-15 16:45:01,It's green as far as the eye can see on the TopStocks list this morning   Stocks  ,0,1,1,0,1,1,0.11475578,0.02412279,0.8611214,Neu,0.09063299,marketclub
138,2018-02-07 15:35:02,Happy Humpday! It's green as far as the eye can see on the TopStocks list   Stocks  ,0,1,1,0,0,0,0.103072025,0.015865298,0.8810626,Neu,0.08720673,marketclub
140,2018-02-06 18:14:04, Please send and email to support and we'll get you fixed up straight away. Thx,1,0,1,0,0,0,0.065242,0.021796813,0.9129612,Neu,0.043445185,marketclub
145,2018-02-05 17:05:01,Will a stronger dollar put even more downward pressure on oil prices in the coming years?   Oil Dollar,1,1,1,0,0,0,0.022957595,0.80716735,0.16987509,Neg,-0.7842097,marketclub
153,2018-02-01 15:20:04,Even on a down day in the markets the TopStocks list will find the winners for you   Stocks  ,0,0,1,0,0,1,0.22709231,0.016899003,0.75600874,Neu,0.2101933,marketclub
161,2018-01-29 17:49:01,Will Jerome Powell be a little more hawkish in raising interest rates?  Fed FOMC Interest Rates,0,1,1,0,0,0,0.064645156,0.090549305,0.84480554,Neu,-0.025904149,marketclub
173,2018-01-23 16:54:01,Some ETF's saw their investments nearly disappear during what will be referred to as an “up” year for investors and the stock market.   Trading Investing,1,1,1,0,0,0,0.0108868,0.9397198,0.049393382,Neg,-0.928833,marketclub
180,2018-01-19 16:55:01,"Disruptions can drive oil prices up in the short-term, ample strategic petroleum reserves exist in the U.S., Europe, and China to take care of any major, unexpected shortfall.   OPEC",0,1,1,0,0,0,0.25015327,0.6362593,0.11358736,Neg,-0.38610604,marketclub
187,2018-01-17 13:43:05,Heating oil will beat wheat in our next pendulum experiment?   Futures Wheat HeatingOil,0,1,1,0,0,0,0.20941575,0.012456124,0.77812815,Neu,0.19695963,marketclub
