,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
12,2018-03-30 09:08:01,Trump may delay Seoul trade pact until North Korea resolved    ,1,0,1,0,7,2,0.019011429,0.63873154,0.34225708,Neg,-0.6197201,markets
19,2018-03-29 23:25:01,Germany’s fighting to preserve its industrial future. Hint: It probably won't be diesel    ,1,1,1,0,3,4,0.14456636,0.090594314,0.76483935,Neu,0.053972043,markets
20,2018-03-29 22:48:00,"SoFi’s Noto can fix your student debt, but can he sell you a mortgage?    ",1,0,1,0,2,3,0.06773627,0.015478252,0.9167855,Neu,0.052258015,markets
41,2018-03-29 18:51:01,Why the U.K. won't punish Russia by going after its debt markets    ,0,1,1,2,4,2,0.055293147,0.29587144,0.6488354,Neu,-0.2405783,markets
48,2018-03-29 17:16:05,"For the first time in 35 years, American farmers will plant more acres of soybean than corn    ",0,0,1,1,9,8,0.656809,0.012052734,0.33113822,Pos,0.64475626,markets
81,2018-03-28 23:23:00,Any deeply indebted city might want the bailout deal that Hartford just got    ,1,0,1,0,4,3,0.15443432,0.020408718,0.8251569,Neu,0.1340256,markets
85,2018-03-28 22:29:02,Australia's foreign investment watchdog says the country should chill out about Chinese cash    ,0,1,1,0,3,6,0.12315481,0.32983133,0.5470138,Neu,-0.20667651,markets
100,2018-03-28 18:12:03,The Argentine government rebuffed a proposal that it should request a flexible credit line from the IMF to shore up the nation's finances    ,1,0,1,2,15,20,0.6383801,0.2646024,0.09701743,Pos,0.37377772,markets
106,2018-03-28 16:29:05,"U.S. stocks are having their worst quarter since 2015, but without the tech sector... it would have been even worse    ",1,1,1,0,28,19,0.0093653435,0.97231054,0.018324243,Neg,-0.9629452,markets
134,2018-03-28 04:21:01,You can add Libor to the list of factors pressuring Treasury yields      ,0,1,1,0,15,18,0.032033574,0.025467593,0.9424988,Neu,0.0065659806,markets
136,2018-03-28 03:07:05,The China Beige Book shows the nation's economy may be losing some steam    ,0,1,1,1,4,7,0.020115117,0.95603037,0.0238546,Neg,-0.93591523,markets
