,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-31 15:40:05,We’ve had awesome response to words to probability survey. But our respondents are 8-to-1 men to women. We would love to have more women participate! Check out   to understand how people translate words into probabilities.  ,1,1,1,7,11,50,0.112811774,0.014178098,0.87301016,Neu,0.09863368,mjmauboussin
6,2018-03-12 07:54:01," Phil, along the same lines of considering different contributions from skill and luck, it might be fun to play with this little simulation by   ",1,1,1,0,0,1,0.08300406,0.013412389,0.9035836,Neu,0.06959167,mjmauboussin
7,2018-03-11 21:05:02,"  For the record, I got this from  “There’s a quick and easy way to test whether an activity involves skill: ask whether you can lose on purpose.”  (ht ",1,1,1,2,11,47,0.05969247,0.03553865,0.9047689,Neu,0.024153817,mjmauboussin
10,2018-03-04 21:39:04,"     Steve, can this result be explained with Gibrat’s Law?",1,0,1,1,0,0,0.05231794,0.023454525,0.92422754,Neu,0.028863415,mjmauboussin
16,2018-02-23 15:52:02,Words to probability. We need your help! Inspired by work by   and I created   to understand how people translate words into probabilities. Take a moment to complete the survey - you'll see results when you submit. Please share!,1,1,1,18,113,169,0.08847284,0.013334305,0.8981929,Neu,0.07513854,mjmauboussin
74,2017-10-03 18:11:02,The Real Value of Your Company - (authors should have cited Al Rappaport's Creating Shareholder Value)  ,1,0,1,2,19,86,0.05702827,0.015982484,0.9269893,Neu,0.041045785,mjmauboussin
77,2017-09-16 12:04:00,"Investors interested in the idea of time arbitrage should (re)read Jack Treynor's paper ""Long-Term Investing"" -  ",1,0,1,1,77,383,0.076779276,0.012915868,0.9103049,Neu,0.06386341,mjmauboussin
80,2017-09-08 00:55:01, Awesome - you should go into the business of making probabilistic forecasts about future performance!,0,1,1,1,0,6,0.061773136,0.021001307,0.91722554,Neu,0.040771827,mjmauboussin
85,2017-09-04 17:58:02,Want a *rigorous* understanding of how diversity can add value? Read The Diversity Bonus by Scott Page   ,0,0,1,3,6,61,0.07012912,0.017122503,0.91274834,Neu,0.053006615,mjmauboussin
107,2017-07-16 15:56:04,2/ All the more reason to marvel at Federer's accomplishments. I was skeptical he could do it but celebrate his success.,1,0,1,1,12,35,0.29357436,0.028489137,0.67793643,Neu,0.26508522,mjmauboussin
129,2017-05-26 01:33:02, You can get a sense of this material with this video:  ,0,0,1,1,8,47,0.051485386,0.01853044,0.9299842,Neu,0.032954946,mjmauboussin
139,2017-04-29 14:40:00,"Only a few chapters into  's new book, Adaptive Markets, but can say already that serious students of the market should read it",0,0,1,3,33,142,0.067835525,0.018430363,0.9137341,Neu,0.04940516,mjmauboussin
157,2017-04-01 06:01:00,You Can’t Be Fooled by a Con? Don’t Count On It  ,1,0,1,0,5,39,0.048814498,0.081156574,0.8700289,Neu,-0.032342076,mjmauboussin
177,2017-02-17 23:14:04,"""if the Mandelbrot hypothesis is upheld, it will radically revise our thinking concerning . . .speculative markets""  ",0,1,1,0,8,55,0.13497353,0.22155803,0.6434684,Neu,-0.08658451,mjmauboussin
196,2017-01-28 23:01:04,"2/ ""He added that the closer one came to behavioral finance, the hotter one could feel the fires of Hell on one's feet.""",1,0,1,1,2,15,0.05311836,0.07581536,0.8710663,Neu,-0.022696998,mjmauboussin
216,2017-01-05 22:27:02," I would recommend you read the piece, especially the section on wealth transfers.",0,0,1,1,0,0,0.047282077,0.021829488,0.9308884,Neu,0.02545259,mjmauboussin
