,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2018-04-03 20:26:01,"*FACEBOOK MEMO OUTLINES TRUMP CAMPAIGN'S SUCCESS OVER CLINTON *TRUMP RAN 5.9 MILLION VERSIONS OF ADS VS. 66,000 FOR CLINTON  wow can't believe Hillary didn't retarget Wisconsin",1,0,1,0,2,23,0.23120642,0.04465406,0.7241395,Neu,0.18655236,modestproposal1
10,2018-04-02 21:08:05,"we can all agree that the most important part of today's hate read is that in the end, she name drops Tinder  ",1,1,1,5,0,5,0.060528774,0.021575749,0.91789544,Neu,0.038953025,modestproposal1
13,2018-04-01 19:18:02,"I'd be curious if the dollar weighted returns in BTC and ETH are now negative, given the magnitude of flows last year  ",1,1,1,1,3,22,0.013970998,0.91286254,0.07316654,Neg,-0.89889157,modestproposal1
14,2018-04-01 19:11:02,"I still think there will probably be a meaningful long term impact, but I hope people will look back at mid to late 2017 with some level of contrition. Although the ones that should won't.   ",0,1,1,2,0,17,0.30056965,0.23627508,0.46315533,Neu,0.06429458,modestproposal1
23,2018-03-31 20:29:03, Fair. That would be mixing like three different jokes but in retrospect was teed up nicely.,1,1,1,1,0,2,0.49664804,0.036793724,0.4665583,Pos,0.4598543,modestproposal1
30,2018-03-29 21:28:00,"Oh hey look, Comcast testified that yes of course they'd done a drop analysis of Turner, just as they'd done with every other network, because that's real life. So DOJ called a witness who discredited 2 of their previous witnesses. JFC.  ",1,1,1,0,1,5,0.056089148,0.14633767,0.79757315,Neu,-0.090248525,modestproposal1
37,2018-03-29 19:31:05," My favorite part tho is that even using this completely absurd methodology, the departure rate is below the capture rate AT&T would need to make it economically worthwhile AND below the loss rate to make it economically damaging to the MSO.",0,1,1,1,0,0,0.07542665,0.22162725,0.7029461,Neu,-0.1462006,modestproposal1
38,2018-03-29 19:30:05," yes, and surveys of media consumption are notoriously inaccurate. Discovery is often cited as the channel people could least do without and yet they aren't in most of the skinny bundles that are getting traction. Idea he wouldn't look to real world examples is just preposterous.",1,1,1,1,0,0,0.029862251,0.3131682,0.65696955,Neu,-0.28330594,modestproposal1
50,2018-03-29 00:15:04,"27 companies make up 50% of the NASDAQ. Median co is growing 11%, with 31% EBITDA margins and trading at 12.8x EBITDA with a 4.5% FCF yield. Make of that what you will.  ",0,1,1,4,11,77,0.24966012,0.008948689,0.7413911,Neu,0.24071144,modestproposal1
51,2018-03-28 21:58:01," it's the same underlying concern tho, that the structural advantage can be breached by wireless",1,1,1,1,0,3,0.027377991,0.6723668,0.30025527,Neg,-0.64498883,modestproposal1
53,2018-03-28 21:39:03,"Going back through my notes, the investment controversies are mostly the same 5, 7, even 10 years ago. Cord cutting, wireless substitution, only vMVPDs are new, but that's just cord cutting by another name. Which is exactly as it should be given the long duration of the assets.",1,1,1,2,1,15,0.027884578,0.03556313,0.9365523,Neu,-0.0076785516,modestproposal1
62,2018-03-27 20:28:01,Math of vertical foreclosure is so stupid that I can't get over it. DOJ assumes MSO's will lose 12% of their subs. That would leave the average MSO better off on cash flow. AT&T would need to gain at least 12% of the MSOs subs - or 100% of the departing subs - to be better off.,0,1,1,1,0,4,0.022074822,0.8971923,0.08073288,Neg,-0.8751175,modestproposal1
63,2018-03-27 20:20:02,"Anyway, DOJ testimony seems to be going great. First witness didn't have any hard data about how much damage would be incurred by dropping ""must have"" content and second witness was rebutted by his boss' own words.   ",1,1,1,0,4,7,0.22965576,0.5195237,0.25082055,Neg,-0.28986794,modestproposal1
65,2018-03-27 20:00:03,"hahaha, Ergen's posturing on past conference calls coming back to bite him. Here he is in the fall of 2014 talking about how dropping Turner would be cash flow positive to the biz.  ",0,1,1,1,2,11,0.090473965,0.024480077,0.88504595,Neu,0.06599389,modestproposal1
72,2018-03-22 00:35:03, 107% chance you’re trolling but might as well help ratio you  ,0,1,1,1,0,13,0.20495506,0.018207239,0.77683777,Neu,0.18674782,modestproposal1
