,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 16:55:00,"REMINDER:  Trump's nonsensical claim he can eliminate $19 trillion in debt in eight years, made 2 years ago this day    ",1,0,1,12,22,67,0.17357555,0.03796381,0.7884607,Neu,0.13561174,ritholtz
26,2018-03-30 12:18:05,"Of course, it would be better if he was never falsely imprisoned by a corrupt system. But I am looking at the glass half full that his false imprisonment was 1) discovered and 2) reversed.",1,1,1,2,2,31,0.07251312,0.12820001,0.79928684,Neu,-0.05568689,ritholtz
33,2018-03-30 04:25:00,"""It should not be this hard to serve your country.""    ",0,0,1,0,1,8,0.101871416,0.27847007,0.6196586,Neu,-0.17659865,ritholtz
37,2018-03-29 22:57:02,"  Germans have a variety of unique words and phrases that lose something in translation.  In addition to Sturm un drang, there is Schadenfreude, Wanderlust, Lebensmüde, Unwort, Schweinehund, and kuddle muddle.  With a last name like mine, I should know more of them...",0,1,1,1,0,0,0.03768346,0.09078619,0.87153035,Neu,-0.053102728,ritholtz
54,2018-03-29 15:44:01,"I see an ""R"" and a ""M"" if you can find a ""W"" I'll take the entire set . . .  ",0,1,1,1,0,11,0.057837453,0.018622687,0.9235399,Neu,0.039214768,ritholtz
58,2018-03-29 15:23:05,"   If only Amazon had profits to speak of, they might owe some taxes, lol . . .",1,0,1,1,0,0,0.10558363,0.10801833,0.786398,Neu,-0.0024347007,ritholtz
64,2018-03-29 13:00:03," I wish we had better data and intel on this entire subject -- the restrictions on Congressionally funded research are utterly absurd, and shows how completely corrupting an influence the NRA has become.   Would love to see that overturned, and NIH/CDC analysts set loose",1,1,1,0,0,5,0.034854367,0.23950791,0.72563773,Neu,-0.20465355,ritholtz
66,2018-03-29 12:23:00," We know correlation is not causation, but top and bottom quintiles here are compellingly different - this chart suggests at the very least we should be exploring the causes of gun deaths, and what might be done to help reduce them. Universal background checks should be explored",1,1,1,0,2,1,0.067196086,0.030815579,0.9019883,Neu,0.036380507,ritholtz
72,2018-03-29 11:20:02,Germany’s fighting to preserve its industrial future. Hint: It probably won't be diesel    via ,1,1,1,0,1,8,0.10101896,0.05692313,0.84205794,Neu,0.04409583,ritholtz
91,2018-03-28 14:26:02,"“Have I gone mad? I'm afraid so.  You're entirely Bonkers.  But I will tell you a secret,  All the best people are.”  ― Lewis Carroll, Alice in Wonderland",1,1,1,2,13,43,0.0345241,0.072231196,0.89324474,Neu,-0.037707094,ritholtz
101,2018-03-27 22:18:04,"  Agree Pixar (part now of Disney) beats Disney, but I would assert some availability bias is working against Coco and whatever else you didn't see . . .",1,1,1,0,0,0,0.21465379,0.034115013,0.7512312,Neu,0.18053877,ritholtz
119,2018-03-27 09:57:00,Wall Street wonders how long Kudlow will last in Trump's White House   via ,0,0,1,3,0,7,0.022176042,0.20349436,0.77432966,Neu,-0.18131831,ritholtz
123,2018-03-26 19:47:00,Trump’s sexual history could put him in peril if he testifies     via ,1,1,1,2,0,4,0.012066487,0.9220516,0.065881886,Neg,-0.9099851,ritholtz
124,2018-03-26 18:42:00,UH-OH:    Here is how the universe may end in 10 million trillion trillion trillion trillion trillion trillion trillion trillion trillion trillion trillion years   ,0,1,1,4,3,6,0.02955158,0.05366813,0.91678023,Neu,-0.02411655,ritholtz
126,2018-03-26 17:24:05,Half of all U.S. coal plants would lose money without regulation   via ,0,0,1,1,6,8,0.015611085,0.84214145,0.14224741,Neg,-0.82653034,ritholtz
131,2018-03-26 14:19:03,Why you can't invest like Warren Buffett   via ,0,0,1,1,3,7,0.034962375,0.06324683,0.90179086,Neu,-0.028284457,ritholtz
132,2018-03-26 14:11:00,The only way Zuck could have handled it worse is by paying a porn star to sign an NDA and purchasing a rare Wu Tang Clan album.       ,1,1,1,2,7,64,0.04397001,0.50492823,0.45110178,Neg,-0.4609582,ritholtz
135,2018-03-26 13:30:01,"Tim Cook speaks out on the Cambridge Analytica scandal, says Facebook's collection of user data 'shouldn't exist'   via ",0,1,1,0,5,14,0.021611674,0.55745614,0.42093214,Neg,-0.53584445,ritholtz
143,2018-03-25 19:32:00,Such lovely people . . . I cannot understand why so many people despise them (S)  The NRA is attacking the teen organizers of March for Our Lives   via ,0,1,1,7,14,53,0.013138994,0.8809569,0.10590407,Neg,-0.8678179,ritholtz
149,2018-03-25 13:42:02,Could be a good day to test this theory  ,0,0,1,1,3,19,0.57762855,0.014787127,0.40758428,Pos,0.5628414,ritholtz
169,2018-03-23 20:52:00, What will it take to get you to stop spamming me?,0,1,1,1,0,0,0.059065834,0.07685127,0.8640829,Neu,-0.017785437,ritholtz
170,2018-03-23 20:44:03,   It could also mean there’s so much private venture-capital money that companies don’t have to go public anymore,1,1,1,0,0,2,0.029577786,0.13054192,0.8398802,Neu,-0.10096414,ritholtz
172,2018-03-23 20:18:00," You can call that whatever you want but none of my USB connectors work with it  If I call a slice of Pizza a Burger-C, its still a slice of pizza",0,1,1,1,0,1,0.024915503,0.053615473,0.92146903,Neu,-0.02869997,ritholtz
173,2018-03-23 18:50:00,"How much of a fraud was Theranos? This much:  ""Theranos representatives approached me again, clearly nervous. They appeared worried. Unless I found a patient getting a finger prick, they would likely have to cancel my interview with Holmes.""   ",1,1,1,2,7,19,0.018245343,0.75293833,0.22881635,Neg,-0.734693,ritholtz
178,2018-03-23 17:50:01," ""Can you/I afford another headphone?"" is not the question I asked;   What I actually asked was ""Remind me again why I am a Mac Fanboy? If Apple keeps making its products less useful and usable people will seek alternatives.""",1,1,1,1,0,0,0.053750757,0.10483539,0.8414138,Neu,-0.051084634,ritholtz
186,2018-03-23 16:25:00,My iPhone does not have a headphone jack; my mackbooks doesn't have a USB port.    Remind me again why I am a Mac Fanboy?   If Apple keeps making its products less useful and usable people will seek alternatives.,0,1,1,39,18,128,0.049149763,0.1867139,0.7641364,Neu,-0.13756414,ritholtz
191,2018-03-23 14:05:00,"""I may have invented the web, but you make it what it is.""     ",1,1,1,1,3,7,0.055259097,0.03427148,0.9104694,Neu,0.020987619,ritholtz
200,2018-03-23 11:01:01,"As noted previously, Elizabeth Holmes should go to jail:  Shkreli vs. Holmes: 2 Frauds, 2 Divergent Outcomes. Were They Fair?  ",1,0,1,2,5,33,0.06231343,0.22486736,0.71281916,Neu,-0.16255394,ritholtz
209,2018-03-23 01:50:05,"You read stories about Cambridge Analytica + think ""Damn these guys are total geniuses who can control our minds."" You watch undercover video of Cambridge Analytica execs + think ""Damn these guys are seriously clown-ass schmucks.""   Believe what you see   ",0,1,1,7,32,126,0.029908914,0.054334417,0.9157567,Neu,-0.024425503,ritholtz
214,2018-03-22 22:34:00,Trump's lies will keep failing in court     via   ,0,1,1,2,1,16,0.01872401,0.89038885,0.090887174,Neg,-0.8716648,ritholtz
219,2018-03-22 16:02:00,"""On my desk in the Oval Office, I have a little sign that says: There is no limit to what a man can do or where he can go if he doesn't mind who gets the credit.""  -Ronald Reagan, 40th U.S. President",0,1,1,7,71,185,0.036019363,0.030708103,0.93327254,Neu,0.00531126,ritholtz
226,2018-03-22 13:53:04,"Trump administration says the entity could be a monopolist, but the internet is eroding barriers to entry in filmed content     via ",0,1,1,1,1,4,0.019440489,0.83049977,0.1500598,Neg,-0.8110593,ritholtz
227,2018-03-22 13:44:00,"Salvador Dali avoided paying restaurant tabs by using checks. He would draw on the back as the waiter watched, knowing no one would ever cash the art.       ",1,1,1,3,8,35,0.031193769,0.21785206,0.7509541,Neu,-0.1866583,ritholtz
239,2018-03-21 20:36:00, In that I can only drive them one at a time . . .,0,0,1,0,0,1,0.0370491,0.08029241,0.8826585,Neu,-0.04324331,ritholtz
241,2018-03-21 19:45:01,BBC News - Ringo Starr receives knighthood: 'I'll wear it at breakfast'  ,0,1,1,5,3,7,0.5077795,0.021996373,0.47022417,Pos,0.4857831,ritholtz
246,2018-03-21 18:00:00,Stop asking Fed officials questions they can easily sidestep     via ,0,1,1,0,1,8,0.033693116,0.10854747,0.85775936,Neu,-0.07485436,ritholtz
257,2018-03-20 23:32:00,"Actions have consequences; hence, the White House and POTUS can no longer hire A-list players.   Why would anyone post-(fill in the blank) risk destroying reputations it took a lifetime to build?    ",1,1,1,2,3,29,0.021426437,0.59521693,0.38335657,Neg,-0.5737905,ritholtz
277,2018-03-19 21:02:05,Supreme Court TODAY turned down request from Republican legislative leaders in Pennsylvania to block implementation of a redrawn congressional map that creates more parity between the political parties in the state.  SCOTUS may be done w/Gerrymandering...   ,1,1,1,4,6,50,0.041615937,0.67885363,0.2795304,Neg,-0.63723767,ritholtz
279,2018-03-19 18:39:00,The president’s outlook on service workers could have real economic consequences.   ,1,0,1,1,2,7,0.0120654,0.95235556,0.035579063,Neg,-0.94029015,ritholtz
282,2018-03-19 16:50:00,"Mapping apps could be driving the latest tragedy of the commons on our roads, writes     ",0,1,1,0,5,4,0.034779627,0.16372961,0.8014907,Neu,-0.12894998,ritholtz
294,2018-03-19 00:10:00,"President personal attorney Michael Cohen interceded in 2011 to prevent porn star Stormy Daniels from airing her story about an affair with Donald Trump, telling the agent who arranged for its publication that he could harm her career   ",1,1,1,3,5,18,0.06557351,0.5657512,0.36867532,Neg,-0.5001777,ritholtz
296,2018-03-18 21:59:00,This is the most interesting this I read this weekend -- via    The next-generation lithium-ion batteries are coming—and they could keep your smartphone going up to 30% longer   via ,0,1,1,2,17,44,0.2961006,0.011288918,0.6926105,Neu,0.28481168,ritholtz
300,2018-03-18 15:59:02," Alex, can I have”Classic False Equivalency” for $100, please",1,1,1,0,1,12,0.04728458,0.13566945,0.817046,Neu,-0.088384874,ritholtz
309,2018-03-17 18:46:00,"Ive learned not to be surprised by anything these days, but, even so, I did not expect that my wife + I would be flagged as possible financiers of international terrorism.  And here’s the really awkward part: The people who flagged us were right to do so.   ",1,0,1,3,8,37,0.07771794,0.069110945,0.8531711,Neu,0.008606993,ritholtz
312,2018-03-17 13:57:05,"Catching  tearing it up on CNN with  on why we should break up big tech and the big 4.  Even if you don't agree with him, it is intelligent, thought provoking conversation. Great stuff.",1,1,1,1,3,28,0.09480609,0.021108618,0.8840853,Neu,0.07369747,ritholtz
333,2018-03-16 15:01:04,Elizabeth Holmes should go to jail     via ,0,0,1,15,43,178,0.030909142,0.65925294,0.3098379,Neg,-0.6283438,ritholtz
343,2018-03-16 10:51:00,INTERESTING: This worldwide alliance of major-city mayors believe their cities must take the lead on fighting climate change.      ,0,1,1,0,2,9,0.2515958,0.010425216,0.737979,Neu,0.24117059,ritholtz
345,2018-03-16 10:41:00,"  I spend a lot of time exploring uncertainty -- most people & commentators simply do not understand what it is (they confuse ""unknown"" + ""uncertainty""). Context matters.   I'll dig up some instructive past examples . . .",0,1,1,0,0,0,0.032914754,0.11106866,0.8560166,Neu,-0.07815391,ritholtz
359,2018-03-15 13:41:02, I might have spoken too soon!  A quick look at the FRED data shows existing home sales versus median income prices looks pretty ugly as well.  Home prices accelerated much more quickly than did income,1,1,1,0,0,0,0.2200532,0.58686095,0.19308583,Neg,-0.36680776,ritholtz
362,2018-03-15 11:34:02, I'd love to see the same chart with median income versus median EXISTING home prices -- NOT median NEW HOME price.  Thats much more informative about the state of the economy,0,0,1,2,0,3,0.05200354,0.028617622,0.9193788,Neu,0.023385918,ritholtz
371,2018-03-14 21:47:02,"  The Amazon robot bees would arrive quicker, cost less, and come with outstanding streaming tv shows !",0,1,1,0,0,1,0.123349555,0.013709288,0.86294115,Neu,0.10964027,ritholtz
388,2018-03-14 10:40:00,Can these plucky hedge funds handle a bitcoin bust?     via ,0,1,1,0,0,8,0.10329755,0.022970088,0.8737323,Neu,0.08032746,ritholtz
394,2018-03-14 00:39:00,This is the kind of deal that conflict-of-interest rules seek to limit: Inappropriate entanglements + situations where potential favors might one day be paid back. Officials like Kushner are expected under US law to recuse themselves    via ,1,1,1,0,5,17,0.05525264,0.27302176,0.67172563,Neu,-0.21776912,ritholtz
413,2018-03-12 21:14:01,"   I see the confusion -- I was using those examples not to argue against share buybacks generally but why it should NOT be used to make a single individual stock purchase -- GE, IBM, XOM were my examples.  I should have made that clearer in the column",1,1,1,4,1,2,0.05432586,0.028278347,0.9173958,Neu,0.026047513,ritholtz
420,2018-03-12 18:33:00,"The speed of China's anti-pollution drive has raised important questions about its human costs. But if China sustains these reductions,  residents will see significant improvements to their health, extending their life spans by months or years   ",1,1,1,0,5,15,0.83344525,0.017974377,0.14858039,Pos,0.8154709,ritholtz
429,2018-03-12 10:02:00,Deal would create combine two areas—phone chips and data centers—Intel has targeted for growth    via ,1,1,1,0,2,9,0.25327313,0.007314429,0.7394125,Neu,0.2459587,ritholtz
439,2018-03-10 22:32:01,  Shouldn't you show Debt relative to disposable income?  Savings rate is not all that relevant here...,0,1,1,1,1,5,0.050002217,0.1395757,0.8104221,Neu,-0.08957349,ritholtz
445,2018-03-10 14:14:04, Our pal  has an interesting TV appearance tee'd up for later this week!  Cannot wait . . .,0,1,1,0,0,1,0.09746418,0.023009358,0.8795265,Neu,0.07445482,ritholtz
469,2018-03-09 10:14:04,"Trump may love Boeing and Caterpillar, but they and other U.S. corporations will be hurt by tariffs on steel and aluminum.    via ",1,0,1,2,7,11,0.046529364,0.6236182,0.3298525,Neg,-0.57708883,ritholtz
497,2018-03-08 13:43:00,The biggest risk you can take in life is taking no risk at all.       ,0,1,1,0,18,49,0.037672628,0.045286592,0.9170407,Neu,-0.0076139644,ritholtz
499,2018-03-08 12:42:00,"Hedge fund titan Ray Dalio has cautioned against a US trade war with China, which he believes would be “a tragedy.” His warning comes as the Trump administration has slapped tariffs on foreign-made goods, particularly Chinese ones.   ",1,1,1,1,2,13,0.023567796,0.9402443,0.03618782,Neg,-0.9166765,ritholtz
506,2018-03-08 03:57:00,This is pretty wild that a) something this crazy happens in space; b) we can observe and identify it.   Red giant brings its companion star back to life    ,0,1,1,1,4,18,0.053778894,0.022731092,0.92349,Neu,0.031047802,ritholtz
515,2018-03-07 23:16:00,"Finally, Trump does something Republicans can’t stomach    ",0,1,1,1,5,13,0.074042134,0.04508689,0.88087094,Neu,0.028955244,ritholtz
517,2018-03-07 22:18:02,You can’t really tell how much snow is sticking to the trees in photos other than to point out that the house behind us is invisible  ,0,1,1,0,0,13,0.035418473,0.09605359,0.868528,Neu,-0.06063512,ritholtz
520,2018-03-07 19:17:00,"Instead of taking on gun control, the Senate next week will focus on deregulating Wall Street     by ",0,1,1,2,6,15,0.05343525,0.02388555,0.9226792,Neu,0.029549701,ritholtz
522,2018-03-07 16:31:05,About a third of those kangeroo court arbitration awards go unpaid  Here is an idea for    FINRA has $1.6 billion investment portfolio (according to reports); THEY should pay it if it is uncollectible from broker     ,0,1,1,1,0,11,0.032038588,0.051320452,0.916641,Neu,-0.019281864,ritholtz
525,2018-03-07 15:35:00,The streaming giant will only ever make as much money as music producers let it    via ,0,1,1,4,1,7,0.023585012,0.050847948,0.925567,Neu,-0.027262935,ritholtz
530,2018-03-07 14:46:03, 😄  That Guardian story -- tee'd up for my weekend reads -- is quite astonishing,0,1,1,0,0,1,0.1149488,0.016075265,0.86897594,Neu,0.09887354,ritholtz
576,2018-03-05 21:11:04,"“If it weren’t for my kids, I’d totally move,” said Cyan Banister, a partner at Founders Fund. “This could be a really powerful ecosystem.”      ",1,1,1,0,1,9,0.63313997,0.025282057,0.341578,Pos,0.6078579,ritholtz
592,2018-03-05 03:25:00,Here’s when the universe’s first stars may have been born      ,1,1,1,0,2,7,0.041097663,0.03008851,0.9288138,Neu,0.011009153,ritholtz
594,2018-03-05 00:54:00,"For beleaguered commuters who ride trains into + out of NYC, plans to dig new rail tunnels under Hudson River must seem like a big tease.  Friday night it was revealed that President Trump had asked GOP leaders to withdraw federal funding for project.   ",1,1,1,2,7,16,0.021368949,0.86482805,0.11380305,Neg,-0.8434591,ritholtz
595,2018-03-05 00:03:00,"Why does  send a reminder the day before a Kurt Elling show, but cannot send an email when a show gets cancelled? This is basic customer service and is not that hard if you are not incompetent.",1,1,1,5,3,23,0.031621017,0.2209716,0.7474074,Neu,-0.18935058,ritholtz
620,2018-03-02 18:04:00,NRA should be worried about what's happening in their staunchest of gun-friendly states.   Missouri Moms Demand Action for Gun Sense group had to turn people away from their event Thursday night - SRO crowd exceeded!      via ,1,1,1,2,19,43,0.02723858,0.72156405,0.2511973,Neg,-0.69432545,ritholtz
623,2018-03-02 15:40:03, That must have been the 3rd referenced in the headline !,1,0,1,0,0,1,0.028661678,0.08821938,0.8831189,Neu,-0.059557706,ritholtz
627,2018-03-02 14:45:00,"""There is no training, classroom or otherwise, that can prepare for trading the last third of a move, whether it's the end of a bull market or the end of a bear market.""  via   ",0,1,1,1,6,14,0.038442906,0.03710568,0.9244514,Neu,0.0013372265,ritholtz
628,2018-03-02 14:18:01," I guess I am living in the NYC left wing bubble, cause I cannot imagine anyone giving a damn what films get nominated, certainly not having it affect their vote.   Guilty as charged",1,1,1,0,0,2,0.04816846,0.21780065,0.7340309,Neu,-0.16963218,ritholtz
629,2018-03-02 14:07:00," Because the movie industry likes small art films?  I was blaming 3 decades of no real wage growth, $2B in free media, bigly income inequality, 3rd party candidates & American gullibility for reality TV   If only Star Wars had been nominated, all of this could have been avoided…",1,1,1,1,0,6,0.04726158,0.25893462,0.6938038,Neu,-0.21167304,ritholtz
635,2018-03-02 12:37:00," The alternative -- ""Sorry, you cannot enforce your rights now"" -- would lead to creditors then refusing to lend money to less than the most creditworthy entities.  That would be very damaging to various countries (+ states + cities).  2/2",0,1,1,1,0,0,0.013368005,0.8807496,0.105882436,Neg,-0.8673816,ritholtz
636,2018-03-02 12:35:00, These 2 are not mutually exclusive:   -Charities raising money for distressed people is noble & valid goal;   -Creditors only lend money to debtors on the expectation that they will be repaid AND there are legal mechanisms to protect their investors' rights   1/,1,1,1,2,1,3,0.040224668,0.018455984,0.94131935,Neu,0.021768684,ritholtz
644,2018-03-02 08:16:00,"Like many states, Florida does not provide lost wages to first responders disabled with PTSD. A bill that would change that is now gaining momentum after 17 people were killed at Marjory Stoneman Douglas High School last month.       ",1,1,1,0,2,7,0.28255355,0.53592557,0.18152091,Neg,-0.253372,ritholtz
645,2018-03-02 06:33:00,"The White House has had an exceptionally tough month. “Not a fun time to say the least.""        ",1,1,1,3,1,9,0.025830368,0.9344175,0.03975209,Neg,-0.9085871,ritholtz
647,2018-03-02 01:35:00,"Hope Hicks is kidding herself if she thinks that her tenure in the Trump White House will be judged only for harmless, situational untruths.     ",1,1,1,2,13,48,0.025265194,0.6598589,0.31487587,Neg,-0.63459367,ritholtz
654,2018-03-01 22:22:00,I wish I had a  subscription so I could cancel it...    ,1,1,1,4,5,49,0.017113674,0.73750275,0.24538353,Neg,-0.72038907,ritholtz
655,2018-03-01 21:35:03,This is very exciting stuff!   via    A far-flung exoplanet may have thrown its sibling into its star    ,1,1,1,2,1,5,0.14906788,0.032296654,0.8186355,Neu,0.11677122,ritholtz
661,2018-03-01 19:46:00," Yes -- if it was static -- but its not: ""At the same price, higher earnings equal a lower price-to-earnings ratio, and the company appears cheaper. This could have the impact of attracting value buyers, including…""",1,1,1,1,0,1,0.81719995,0.067406304,0.11539377,Pos,0.74979365,ritholtz
666,2018-03-01 19:00:01, That is astonishing.   Traders who did not live through that period would find it hard to imagine just what a real bubble is like to live through.   Giant FOMO beyond words . . .,1,1,1,0,0,1,0.045724444,0.10251484,0.85176075,Neu,-0.056790397,ritholtz
672,2018-03-01 17:58:00," Nice thread from   Twitter still needs to do more -- I am willing to see how this new initiative plays out. Hopefully,  can save its own property from the people who have been devaluing/damaging/destroying it",1,1,1,1,1,4,0.16116284,0.018763868,0.82007325,Neu,0.14239897,ritholtz
680,2018-03-01 13:51:04,"How can I make my Macbook pro touchbar not launch apps or Siri on the merest incidental contact?  Moving Siri is a ST solution, but I'd prefer to make the touchbar less sensitive. (Yoiu do all sorts of cool customized things with the trackpad)",0,1,1,3,0,3,0.048176944,0.01868268,0.93314034,Neu,0.029494265,ritholtz
685,2018-03-01 11:44:05, I try to appreciate wisdom and/or insight where ever it may be found . . .,1,1,1,0,0,0,0.10077235,0.016011368,0.88321626,Neu,0.08476098,ritholtz
705,2018-02-28 11:56:03,WTF? Defective Guns are the only product that can’t be recalled    Taurus handguns are being blamed for accidentally injuring and killing people. Why won’t the government or NRA do anything about it?     via ,1,1,1,1,15,16,0.01934785,0.7057264,0.27492577,Neg,-0.68637854,ritholtz
735,2018-02-27 14:41:05, I bet you could cut a great deal with NYC to relocate your HQ there — including new terminals at LGA and JFK,0,1,1,2,1,8,0.7032675,0.010864859,0.28586757,Pos,0.69240266,ritholtz
766,2018-02-25 14:12:03,"      This chart covers 18 years of ultra-low rates, when capital was very cheap, almost free. It implies when money costs ~nothing companies give it to shareholders.  What do companies do when capital is dear?    I'd like to see a much longer time frame than this one particular era…",1,1,1,2,3,5,0.029764842,0.052282646,0.9179525,Neu,-0.022517804,ritholtz
769,2018-02-24 19:40:00,Mueller Is Gaining Steam. Should Trump Worry?      ,0,1,1,3,2,16,0.13182044,0.029513612,0.8386659,Neu,0.10230683,ritholtz
788,2018-02-23 19:23:00,We will bury you!  Matt Davies - Newsday  ,0,0,1,4,7,39,0.03198571,0.10417307,0.8638412,Neu,-0.072187364,ritholtz
798,2018-02-23 14:00:00,"What does is say about your ideology if you must consistently make intellectually dishonest arguments, engage in false rhetoric, and outright lie?   It is revealing of corrupted ideology . . .",0,1,1,7,19,104,0.018061671,0.72483957,0.2570988,Neg,-0.7067779,ritholtz
