,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
5,2018-04-02 20:54:02, Combine all the time frames and 3-2 simply means a further range expansion from the broadening formation that must occur to form a 3,0,1,1,1,0,0,0.1540881,0.0104560135,0.8354559,Neu,0.14363208,robintheblack
22,2018-04-01 00:03:04,"Never thought you'd get so much mileage out of that clip, did ya?? LOL Fortunately there's been plenty of Super Mario rev Strats in your favor!  ",1,1,1,0,0,1,0.1989551,0.020912496,0.7801324,Neu,0.1780426,robintheblack
24,2018-03-31 22:39:05,I like how finalfour2018 has separate biased broadcasts. That way you can cheer along with your team and if you’re really killing’em you can switch over to the other teams broadcast and laugh as they suffer,1,1,1,1,0,3,0.037881244,0.045569617,0.91654915,Neu,-0.0076883733,robintheblack
30,2018-03-30 23:09:03,It wouldn't be Good Friday without posting The Greatest Story Ever Sold now would it!! Be sure to share with your Technical Analysis Buddies!!   TheStrat,0,1,1,0,1,3,0.07979809,0.021389516,0.8988124,Neu,0.058408573,robintheblack
46,2018-03-29 01:28:01,"It is written, ""The greatest among you shall be your servant"" Most people, ESPESCIALLY in our business, just don't get that!  ",1,1,1,2,0,15,0.03285546,0.14193699,0.8252076,Neu,-0.10908153,robintheblack
52,2018-03-28 19:14:01,Can't it be both???!!! :)  ,0,0,1,1,1,2,0.024835588,0.12951338,0.84565103,Neu,-0.1046778,robintheblack
55,2018-03-28 18:42:03," Link should work, right?",0,0,1,0,0,0,0.085900314,0.021495279,0.8926044,Neu,0.06440504,robintheblack
60,2018-03-28 17:42:04,"Just follow the broadening formations. Draw a line off the highs and lows of the 15 minute today, you'll see it  ",0,0,1,0,0,3,0.06684631,0.03522574,0.89792794,Neu,0.03162057,robintheblack
70,2018-03-28 16:14:01,  Still very volatile so you can take your time frames down,0,1,1,3,0,0,0.038798414,0.053480394,0.90772116,Neu,-0.01468198,robintheblack
74,2018-03-28 13:35:04,It will be recorded so just register and you'll get that!  ,1,0,1,1,0,1,0.053235836,0.02306065,0.92370355,Neu,0.030175187,robintheblack
77,2018-03-27 21:01:05,$SPY still inside week/month so We may pop back for an inside day tomorrow but will be all over the 3-2 should it occur  ,0,0,1,3,1,8,0.062015656,0.033945564,0.9040387,Neu,0.028070092,robintheblack
83,2018-03-27 17:49:01,"Draw the lines off the highs and lows, you'll see the broadening formation  ",0,0,1,0,0,3,0.08225715,0.03656016,0.8811827,Neu,0.045696992,robintheblack
101,2018-03-26 18:10:03,$LFIN can't get a borrow but Rev Strat 15 down 3-2 60 minute down sure is Purdy to look at!  ,0,1,1,1,1,3,0.038528867,0.055809207,0.9056619,Neu,-0.01728034,robintheblack
124,2018-03-24 17:32:02,"After calculating the MACD with Stochastics combined with Fibonacci, I have determined that the price may go up or down TechnicalAnalysis101  ",1,1,1,6,21,54,0.19912921,0.6250103,0.17586045,Neg,-0.4258811,robintheblack
127,2018-03-24 00:49:03,"If you draw lines off the highs and lows of REALITY, you'll see the broadening formation!  ",0,1,1,0,1,4,0.07245173,0.039197624,0.88835067,Neu,0.03325411,robintheblack
130,2018-03-24 00:38:03,Heading home to watch some basketball after another great Strat/Scenario week! Let;s see if We can get this vid over 3000 views!   Can A Brother Get a RETWEET??!! HAGW,0,1,1,0,5,1,0.11675194,0.018196499,0.8650515,Neu,0.09855544,robintheblack
134,2018-03-23 20:58:03,These two will get you started and a webinar next week!!        ,1,0,1,2,1,7,0.06279185,0.018646201,0.91856194,Neu,0.044145644,robintheblack
157,2018-03-22 20:48:04,"Market will tell Us, We don't tell it!!  ",0,1,1,0,2,8,0.033017498,0.15973148,0.80725104,Neu,-0.12671398,robintheblack
158,2018-03-22 20:13:04, Could keep going,0,1,1,0,0,1,0.15210128,0.053935543,0.79396313,Neu,0.098165736,robintheblack
166,2018-03-22 17:31:05,I support WorldWaterDay  by giving to    You should consider it too!!,0,1,1,1,2,7,0.13069847,0.0107761575,0.85852534,Neu,0.11992232,robintheblack
177,2018-03-21 23:14:00,"I'll be doing a Webinar Next Wednesday but til then 2800 views and counting   Oncey ou understand that there are only 3 possible scenarios from bar to bar, match them up in multiple time frames, throw Time frame Continuity into the mix, you KNOW Up!",0,1,1,3,3,11,0.047585968,0.02134667,0.9310674,Neu,0.026239298,robintheblack
188,2018-03-21 16:38:03," you bet! usually 1 cent, price should just go",0,0,1,1,0,0,0.04202541,0.024985053,0.93298954,Neu,0.017040357,robintheblack
204,2018-03-20 23:47:02,"Push the L button on the elevator, that will take you to the lobby  ",0,0,1,1,2,9,0.048407957,0.01768679,0.93390524,Neu,0.030721167,robintheblack
