,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
18,2018-03-28 21:30:02,"Q1 will likely be down for the S&P 500 in '18.  The good news? Going back to 1980, when Q1 is lower and the economy isn't in a recession?   The final 9 months have been lower only once.",1,1,1,4,11,32,0.01949815,0.947767,0.032734815,Neg,-0.92826885,ryandetrick
19,2018-03-28 21:08:02,"I'll be on  radio coming up around 4:15pm ET.  If you are in Boston, tune in now!",0,1,1,1,1,1,0.037577152,0.032145895,0.930277,Neu,0.005431257,ryandetrick
20,2018-03-28 20:23:01,"The S&P 500 had been higher in Q1 for a record 8 years in a row. Assuming there isn't a huge move higher tomorrow, this streak will end.  Had to end eventually ...",1,1,1,4,32,66,0.4743666,0.22485243,0.30078092,Pos,0.24951418,ryandetrick
25,2018-03-28 15:56:03,"LIBOR has gone vertical. In the past it has marked trouble, will it again this time?  We take a look at this very important question in our latest BondMarketPerspectives ...      ",1,1,1,1,43,41,0.08374306,0.1191863,0.7970706,Neu,-0.03544324,ryandetrick
31,2018-03-27 13:38:04,LPLAdvisors We start in about 5 minutes. Hope you can make it!  LPLMorningCall  ,0,1,1,0,0,0,0.22857729,0.0113890935,0.7600336,Neu,0.2171882,ryandetrick
36,2018-03-26 19:59:02,S&P 500 could move 2% for three consecutive days if closes up 2% today.  Last happened in August '15 and October '11 before that.  Hasn't hit four in a row since the US debt downgrade in August '11.  Most ever? 7. Most recently in '08 and October '87.,1,1,1,2,29,48,0.12747343,0.5565749,0.31595165,Neg,-0.42910147,ryandetrick
38,2018-03-26 15:11:05,"Putting the trade tariffs in perspective.   The estimated impact of tariffs in 2018 is $36.5 billion.  Compare this to the $800 billion in fiscal policy (tax cuts/spending/repatriation) expected.  In other words, the new tariffs won't derail growth.     ",1,1,1,2,40,58,0.16328171,0.040298432,0.7964199,Neu,0.12298328,ryandetrick
40,2018-03-26 02:20:02,Two years ago this week my Mom lost her voice. We later found out it was a tumor on her vocal cords. Had tumors all over her chest cavity and was diagnosed as stage 4 cancer.   2 years later she spent the weekend with us down here. Amazing what faith and good Doctors can do!  ,1,1,1,25,20,569,0.053074807,0.050105464,0.8968198,Neu,0.0029693432,ryandetrick
47,2018-03-23 12:39:01,"TGIF  The S&P 500 has closed green on Friday the past 6 times.  Should it close green today it would be the longest win streak since a 10 Friday win streak in the summer of '14.  Incredibly, a 22 Friday win streak in '55 is the most ever.",1,1,1,2,7,16,0.0844954,0.18526752,0.730237,Neu,-0.10077212,ryandetrick
48,2018-03-23 12:26:01,Love today's PerspectiveProvider. What should you do when opportunity knocks?  ,0,0,1,0,2,1,0.034049284,0.051879004,0.91407174,Neu,-0.01782972,ryandetrick
