,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-31 23:31:01, wine and cats? what could be better?,0,0,1,0,0,4,0.04533089,0.044235494,0.91043365,Neu,0.0010953955,stockcats
3,2018-03-31 23:08:00," yeah, I'd love to tweak that a bit but it has so many likes already... not bad considering it's 4 yrs later",0,1,1,0,0,0,0.1458492,0.017111186,0.83703965,Neu,0.12873802,stockcats
4,2018-03-31 23:05:02, hey that window should really have a screen in it,0,0,1,1,0,3,0.08933406,0.017053908,0.893612,Neu,0.07228015,stockcats
7,2018-03-31 04:45:05," I'll work on that, in the mean time I have this ""collection""  ",0,1,1,1,0,0,0.10964518,0.011593936,0.8787609,Neu,0.09805124,stockcats
15,2018-03-30 19:13:05,this Kudlow - Krugman debate could make for some interesting theater,0,0,1,6,1,16,0.10949682,0.016848715,0.8736544,Neu,0.092648104,stockcats
16,2018-03-30 19:09:01,"   occasionally I notice a follow by a well respected individual with a blue check mark and think to myself ""I should probably start adding value"" then shortly thereafter it devolves back to me just being me",1,1,1,1,0,1,0.04540038,0.052781224,0.90181834,Neu,-0.007380843,stockcats
44,2018-03-30 17:11:03," if I recommended someone that primarily comments on the twists and turns of the of the intra-day market session, that might not be up your alley",1,0,1,1,0,0,0.042734828,0.05618101,0.9010842,Neu,-0.013446182,stockcats
45,2018-03-30 17:10:00, I knew that was coming - once day I'll make a list. The thing is that it depends on the topics / info one is most interested in,1,1,1,0,0,1,0.02634262,0.039998703,0.9336587,Neu,-0.0136560835,stockcats
49,2018-03-30 16:57:03," I posted a cat video yesterday and that sucker's had 5.5k views, I should start a YouTube channel",1,0,1,0,0,0,0.04400239,0.023852447,0.9321451,Neu,0.020149944,stockcats
53,2018-03-30 16:47:03," I'd just say ""top 'o the mornin' to ya"" to those people",0,0,1,0,0,1,0.039797332,0.057824895,0.90237784,Neu,-0.018027563,stockcats
56,2018-03-30 13:29:04," if I told you I'd be telling everyone, that was many years ago, like 6",1,1,1,0,0,0,0.03227237,0.043442473,0.9242852,Neu,-0.011170104,stockcats
58,2018-03-30 00:54:04," I'm certain all the worst ""privacy nightmare"" stuff we can think of is true, hope there's a big backlash",0,1,1,0,0,4,0.09430801,0.033565264,0.8721267,Neu,0.060742747,stockcats
59,2018-03-30 00:52:04," I do have their online tracking blocked in my browser though, gotta do what I can to fight back",1,1,1,0,0,2,0.053035438,0.23362441,0.71334016,Neu,-0.18058898,stockcats
78,2018-03-29 21:29:03," yes, I'll try a full speed one later and see if it looks better",0,1,1,0,0,0,0.09859175,0.012842238,0.888566,Neu,0.085749514,stockcats
79,2018-03-29 21:28:03," wow, that would be shocking - mine just bring toys up on the bed",0,1,1,0,0,0,0.040578343,0.04114466,0.91827697,Neu,-0.00056631863,stockcats
81,2018-03-29 21:22:04,"hmm, that's kinda low-quality... I'll have to work on that",0,1,1,3,0,8,0.027018247,0.6505633,0.32241848,Neg,-0.62354505,stockcats
99,2018-03-28 20:45:02,  if you can't dazzle them with brilliance...,0,0,1,1,0,10,0.07773368,0.039675727,0.8825906,Neu,0.038057953,stockcats
109,2018-03-28 19:25:00,hey  ask this guy how those of us that never joined Facebook can download our information,1,0,1,5,7,79,0.036703993,0.022987135,0.94030887,Neu,0.013716858,stockcats
114,2018-03-28 19:00:01, I'll work on it over the 3-day weekend and a few cocktails,0,0,1,2,0,5,0.04123376,0.022211108,0.9365551,Neu,0.019022651,stockcats
121,2018-03-28 16:49:02, maybe they can spin off their solar power shingle division,0,0,1,0,0,5,0.044062547,0.028634254,0.9273032,Neu,0.0154282935,stockcats
