,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
25,2018-03-28 16:18:03,Amazon slides as president said to take aim at tax treatment  Shares of Amazon (AMZN) are slipping this morning after Axios reported that President Donald Trump may want to go after the e-commerce giant rather...  ,1,1,1,0,0,0,0.009178499,0.972493,0.01832845,Neg,-0.9633145,stockwinnerscom
34,2018-03-28 12:40:01,"Plantronics to acquire Polycom for $2B in cash, stock deal Plantronics (PLT)  and Polycom announced that they have entered into a definitive agreement under which Plantronics will acquire Polycom in a...  ",1,1,1,0,0,0,0.8298584,0.012146731,0.15799488,Pos,0.8177117,stockwinnerscom
68,2018-03-20 20:47:00,MuleSoft to be acquired by Salesforce for $6.5B in cash and stock Salesforce (CRM) and MuleSoft (MULE) have entered into a definitive agreement under which Salesforce will acquire MuleSoft for an...  ,1,1,1,0,0,0,0.8348457,0.012478462,0.15267578,Pos,0.82236725,stockwinnerscom
100,2018-03-14 19:03:00,Stitch Fix shares could unravel at the seam   via   $SFIX,0,0,1,0,0,0,0.049911585,0.13219213,0.81789625,Neu,-0.08228055,stockwinnerscom
104,2018-03-14 14:43:03,Stitch Fix shares could unravel at the seam   via ,0,0,1,0,0,0,0.020926697,0.8179966,0.16107659,Neg,-0.7970699,stockwinnerscom
106,2018-03-13 16:25:01,Stitch Fix shares could unravel at the seam    ,0,0,1,0,0,0,0.03892848,0.6502098,0.31086177,Neg,-0.6112813,stockwinnerscom
119,2018-03-10 18:13:00,"S&P announces changes to S&P 400, 500, 600 indices S&P Dow Jones Indices will make the following index...  ",0,1,1,0,0,0,0.023120176,0.028926926,0.9479529,Neu,-0.0058067497,stockwinnerscom
122,2018-03-09 16:56:01,Netflix rises on report Obamas may produce series of shows Shares of Netflix (NFLX) are rising following a report...  ,0,1,1,0,0,0,0.91363525,0.0614783,0.024886485,Pos,0.85215694,stockwinnerscom
259,2018-02-07 01:22:00,"Changes to S&P MidCap 400, S&P SmallCap 600 indices S&P Dow Jones Indices will make the following changes to the...  ",0,0,1,0,0,0,0.031311464,0.017739262,0.9509493,Neu,0.013572201,stockwinnerscom
318,2018-01-25 16:26:05,Dick’s Sporting shares may have topped  ,1,0,1,0,0,0,0.052262638,0.07172417,0.8760132,Neu,-0.019461531,stockwinnerscom
341,2018-01-19 16:24:05,Kohl's shares could rally 50% from 'win-win' partnership with Amazon Shares of Kohl's Corp (KSS) rallied in...  ,1,0,1,0,0,0,0.95468813,0.020414777,0.024896976,Pos,0.93427336,stockwinnerscom
506,2017-12-07 21:16:04,Pfizer may buy Bristol-Myers  ,0,0,1,0,0,0,0.066326626,0.012426032,0.9212473,Neu,0.053900592,stockwinnerscom
534,2017-11-28 13:49:04,$AVGO should walk away from $QCOM and buy $NVDA instead. That would be a force that $INTC and $AMD and $QCOM have to be worried about See Stockwinners for more,1,1,1,0,0,0,0.04196136,0.16707395,0.7909647,Neu,-0.1251126,stockwinnerscom
607,2017-11-15 14:45:02,Envision Healthcare could be sold   via  $EVHC mergers Stockwinners,1,0,1,0,0,0,0.05424219,0.010622019,0.93513584,Neu,0.04362017,stockwinnerscom
613,2017-11-14 22:04:03,Envision Healthcare could be sold   via  $EVHC Stockwinners mergers,1,0,1,0,0,0,0.061787106,0.009699321,0.92851365,Neu,0.052087784,stockwinnerscom
615,2017-11-14 19:35:02,Envision Healthcare could be sold    ,1,0,1,0,0,0,0.07231894,0.010424602,0.91725653,Neu,0.06189434,stockwinnerscom
642,2017-11-09 12:52:04,"Nomura sees Tesla selling all it can produce after Model 3 sedan spin In a research note titled ""Better Than...  ",1,1,1,0,0,0,0.76218146,0.01437222,0.22344635,Pos,0.74780923,stockwinnerscom
656,2017-11-07 20:33:03,Broadcom $AVGO should give up on $QCOM and buy Skyworks instead $SWKS   mergerssemiconductors Stockwinners,0,0,1,0,0,2,0.04922724,0.016110007,0.9346628,Neu,0.033117235,stockwinnerscom
675,2017-11-03 17:03:00,Analyst says TherapeuticsMD could jump if FDA meeting goes well  Cantor Fitzgerald analyst William Tanner...  ,0,1,1,0,0,0,0.66069514,0.050393105,0.2889118,Pos,0.61030203,stockwinnerscom
702,2017-10-31 18:48:05,Could $AAPL buy $NFLX  That would be a great way to go after $DIS and $AMZN  Stockwinners  ,0,0,1,0,0,0,0.15333891,0.008995907,0.8376652,Neu,0.144343,stockwinnerscom
712,2017-10-31 11:34:02,"Apple develops iPhones, iPads that would drop Qualcomm components  Apple (AAPL) is developing iPhones and iPads...  ",0,1,1,0,0,0,0.05950437,0.015403497,0.92509216,Neu,0.044100873,stockwinnerscom
774,2017-10-24 12:44:03,Graphic Packaging forms partnership with IP's consumer packaging unit Graphic Packaging (GPK) said it will create...  ,1,0,1,0,0,0,0.6645276,0.0075799823,0.32789245,Pos,0.6569476,stockwinnerscom
801,2017-10-18 12:36:04,"Alnylam Pharmaceuticals could receive $1 billion in milestone payments Alnylam Pharmaceuticals, Inc. (ALNY)...  ",0,0,1,0,0,0,0.7990812,0.012785036,0.1881338,Pos,0.7862962,stockwinnerscom
816,2017-10-16 14:37:02,Nordstrom can’t find a buyer    ,0,0,1,0,0,0,0.020042159,0.6885726,0.29138523,Neg,-0.6685304,stockwinnerscom
840,2017-10-11 14:26:00,Coach to change name to Tapestry Coach (COH) announced that it will be changing its name to Tapestry (TPR)...  ,1,1,1,0,0,0,0.039298434,0.014869361,0.94583225,Neu,0.024429072,stockwinnerscom
887,2017-10-03 23:48:01,"Amgen will make an upfront payment of $40 million and purchase $20 million of CytomX shares. CytomX Therapeutics,...  ",0,0,1,0,0,0,0.059710875,0.010241574,0.9300476,Neu,0.0494693,stockwinnerscom
896,2017-10-03 12:33:01,"Jana: EQT investors should vote against 'overpriced' Rice Energy acquisition In a letter to EQT's (EQT) board,...  ",0,0,1,0,0,0,0.14130932,0.05540904,0.80328166,Neu,0.08590028,stockwinnerscom
913,2017-09-29 12:32:00,"Finish Line takeout could be in $14-$16 per share range Yesterday, the New York Post reported that British-based...  ",1,0,1,0,0,0,0.13139711,0.029453712,0.83914924,Neu,0.1019434,stockwinnerscom
927,2017-09-27 16:38:00,Huge Call Options trading on $TMUS merger with $S will help TMobile See Stockwinners for more. Traders are betting a deal should come,0,1,1,0,1,1,0.873553,0.012736839,0.113710195,Pos,0.8608161,stockwinnerscom
930,2017-09-27 13:36:01,"S&P announces changes to S&P MidCap 400, S&P SmallCap 600 indices S&P Dow Jones Indices will make the following...  ",0,1,1,0,0,0,0.028471366,0.028574964,0.94295365,Neu,-0.00010359846,stockwinnerscom
932,2017-09-27 12:40:05,"Sonic breach may have impacted 'millions' of cards, Krebs on Security says Sonic Drive-In (SONC) has acknowledged...  ",1,1,1,0,0,0,0.052961685,0.8208913,0.12614697,Neg,-0.7679296,stockwinnerscom
1015,2017-09-18 12:13:02,Wabco agrees to buyout of Meritor WABCO joint venture WABCO Holdings (WBC) announced that it will further expand...  ,1,1,1,0,0,0,0.9161491,0.009673029,0.07417786,Pos,0.906476,stockwinnerscom
1121,2017-09-05 20:53:04,"Watch Vanda ahead of pruritus data This month, Vanda Pharmaceuticals (VNDA) will report Phase II data in atopic...  ",0,0,1,0,0,0,0.187499,0.008105445,0.8043956,Neu,0.17939356,stockwinnerscom
1172,2017-08-29 22:59:01,Expedia shares falls on reports Khosrowshahi will be offered Uber CEO position Shares of Expedia (EXPE) fell on...  ,1,1,1,0,0,0,0.009684344,0.970698,0.019617748,Neg,-0.9610137,stockwinnerscom
1203,2017-08-26 16:55:04,"CBS will broadcast the fight on radio while its subsidiary, Showtime charges $100 for pay-per-view Tonight's...  ",0,1,1,0,0,0,0.03789806,0.01713344,0.94496846,Neu,0.02076462,stockwinnerscom
1217,2017-08-25 02:00:03,"S&P announces changes to S&P 100, 500 indices S&P Dow Jones Indices will make the following changes to the S&P...  ",0,1,1,0,0,0,0.02292898,0.02669438,0.9503767,Neu,-0.0037654005,stockwinnerscom
1342,2017-08-10 13:35:02,"RingCentral could be acquired for mid $50s per share, says SunTrust  After Bloomberg reported that RingCentral...  ",1,1,1,0,0,0,0.07657444,0.010762864,0.91266274,Neu,0.065811574,stockwinnerscom
1348,2017-08-09 19:08:04,"If a deal goes through, CHTR could fetch over $470 a share Altice (ATUS), the cable and telecoms group controlled...  ",1,1,1,0,0,0,0.56609815,0.009644928,0.42425695,Pos,0.5564532,stockwinnerscom
