,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
13,2018-03-29 17:33:05,Billionaire investor Jim Mellon says Facebook will be decimated by its disastrous data leak:   $FB $QQQ  ,1,1,1,8,16,16,0.015547838,0.94731694,0.037135232,Neg,-0.93176913,thebubblebubble
25,2018-03-28 22:53:02," Not that I'm aware of, but it sounds like a good theory. There is so much risk to future earnings that they should be discounted to some extent.",1,1,1,0,0,0,0.10796663,0.07922482,0.8128086,Neu,0.028741814,thebubblebubble
26,2018-03-28 22:49:04," ""OPEC could accidentally sink oil prices"" - that may be another reason why the ""smart money"" (commercial hedgers) are so bearish:   ",0,1,1,0,0,0,0.019337224,0.85290265,0.12776007,Neg,-0.8335654,thebubblebubble
27,2018-03-28 22:41:03,OPEC could accidentally sink oil prices:   by  $USO $WTI $OIL  ,0,0,1,1,0,4,0.021791786,0.85137,0.12683827,Neg,-0.82957816,thebubblebubble
31,2018-03-28 21:59:03," Free markets and sound currencies. Let the markets create sustainable jobs and businesses. You can't create a sustainable recovery and economic boom through brute force (monetary stimulus). They can create temporary growth, but it's doomed because it's driven by a bubble.",1,1,1,1,7,12,0.096034825,0.11241735,0.7915478,Neu,-0.016382523,thebubblebubble
35,2018-03-28 21:51:00," ""old man"" - ironically, I'm only 32. You will see, I will be right about the coming tech startup implosion. You will remember this convo.",0,1,1,1,0,2,0.05529517,0.038806222,0.9058986,Neu,0.016488947,thebubblebubble
36,2018-03-28 21:46:04,"Why is everyone getting into ""coding"" these days? Why are ""coding"" schools popping up everywhere? It's because of the Fed's Tech Bubble 2.0. Very few ""coding' school grads will ever work in that field, because the startup bubble will pop before then.  ",0,1,1,13,7,18,0.026367884,0.10364766,0.8699845,Neu,-0.07727978,thebubblebubble
37,2018-03-28 21:43:03,"It infuriates me when I hear gov't leaders saying ""we need to encourage more tech startups in our town/city/region."" No, you don't want that. They're cancer. You don't want central bank-encouraged malinvestments that will lead to another crisis.   ",0,1,1,1,3,19,0.03320313,0.80620694,0.1605899,Neg,-0.7730038,thebubblebubble
38,2018-03-28 21:40:02,"You think this is just about tech *stocks*? Hardly. I promise you this: the coming tech crash is going to wipe out thousands, if not tens of thousands, of tech startups, most of which will prove to be malinvestments (a byproduct of central banking).   ",1,1,1,1,13,28,0.027447142,0.7410149,0.231538,Neg,-0.71356773,thebubblebubble
41,2018-03-28 19:25:03,Who Needs Wall Street When You Can Have A Monetary Unicorn?:   by   ,0,1,1,0,4,11,0.071061864,0.02260808,0.90633,Neu,0.048453785,thebubblebubble
48,2018-03-28 17:39:05,Inverted Yield Curve - Will This Time Really Be Different?:   by  $TLT $SPY  ,0,0,1,4,4,8,0.05641029,0.035090733,0.90849894,Neu,0.021319557,thebubblebubble
50,2018-03-28 17:00:01,"The FANGs & other hot tech stocks NEED to crash...that's justice, that's a move toward rationality. Don't scratch your head in confusion about why they're crashing...you should've been scratching your head about why they rose so much in the first place.  ",1,1,1,3,7,16,0.081311285,0.28273377,0.6359549,Neu,-0.20142248,thebubblebubble
51,2018-03-28 16:56:01,"Amen. Let's face it: this tech stock/tech startup boom was *always* a Fed-driven bubble from Day 1. I've been saying it all along and people thought it was a big joke. You will learn. This bogus tech boom is one of the major drivers of our ""recovery.""   ",1,1,1,3,9,21,0.06547648,0.21816367,0.7163599,Neu,-0.15268719,thebubblebubble
52,2018-03-28 16:54:02,"A 'dumpster fire' in FANG stocks could scorch investors, $2.5 billion portfolio manager warns:   by  $FB $AMZN",0,0,1,2,7,11,0.010914015,0.94500947,0.04407654,Neg,-0.93409544,thebubblebubble
64,2018-03-28 02:56:01,"The ""smart money"" are still extremely bearish on crude oil, while the mainstream financial community is almost unanimously bullish on crude oil. If crude oil breaks down, it would help support the latest Treasury rebound.    ",0,1,1,3,19,16,0.6121732,0.2308733,0.15695357,Pos,0.3812999,thebubblebubble
84,2018-03-26 21:00:03, Thank you - I'll check it out.,0,0,1,0,0,0,0.079031534,0.016335314,0.90463316,Neu,0.06269622,thebubblebubble
87,2018-03-26 16:57:03,A bubble you didn't even know existed (the big data bubble) could be bursting:   by  $FB $GOOG,1,1,1,4,13,21,0.029728914,0.39432704,0.575944,Neu,-0.36459813,thebubblebubble
90,2018-03-26 16:46:04,Wall Street firm Stifel says a bear market will rock stocks in the next year:   by  $SPY $QQQ,0,1,1,3,3,7,0.11874355,0.83553684,0.045719642,Neg,-0.7167933,thebubblebubble
104,2018-03-24 01:37:05," Haha - I'm half-French, half-German. The Colombo family is from the south part of France, where there are many Italian family names. I was actually born in France. So, we may be part-Italian going way back, but I'm not a New York/Brooklyn Italian, like many people assume.",1,1,1,1,0,1,0.042520992,0.10182716,0.85565186,Neu,-0.059306167,thebubblebubble
112,2018-03-23 21:41:00," LOL. I just know that, whenever my future wife is giving birth, all hell would be breaking loose in the world.",0,1,1,1,0,0,0.029513858,0.32254472,0.6479414,Neu,-0.29303086,thebubblebubble
117,2018-03-23 21:12:04, I wouldn't even doubt it! ;),0,0,1,0,0,0,0.048322897,0.03989351,0.91178364,Neu,0.008429386,thebubblebubble
131,2018-03-23 17:53:05, Of course - I'm not saying the privacy story should be ignored. It IS an important issue.,1,1,1,1,1,0,0.046642933,0.049808454,0.90354866,Neu,-0.0031655207,thebubblebubble
132,2018-03-23 17:48:05, That's exactly what will happen.,0,1,1,1,1,1,0.038312316,0.05138748,0.91030025,Neu,-0.013075165,thebubblebubble
137,2018-03-23 17:35:01,It was the Fed that created Tech Bubble 2.0...and it was the Fed that created San Francisco's housing bubble. Both will prove to be the undoing of San Francisco's boom times.    ,1,0,1,0,4,5,0.14824027,0.031301204,0.8204585,Neu,0.11693907,thebubblebubble
138,2018-03-23 17:33:05,San Francisco is so expensive that more people are leaving than moving in - and it could mean disaster for the nation's tech capital:   by  $FB $XHB  ,0,1,1,5,15,16,0.011462073,0.9205758,0.067962214,Neg,-0.9091137,thebubblebubble
140,2018-03-23 17:17:04,How commodities may be signaling a global economic slowdown:   by  $RIO $BHP,0,1,1,2,3,5,0.03227277,0.6792914,0.28843576,Neg,-0.6470187,thebubblebubble
142,2018-03-23 16:47:02," Yes, that's a must-see. There are so many sights to see, but so little time! (she'll be here for 2 weeks - at least on this particular visit) :)",0,1,1,0,0,0,0.03943095,0.035652217,0.9249168,Neu,0.0037787333,thebubblebubble
143,2018-03-23 16:41:03,  Thank you - I'll check it out.,0,0,1,0,0,0,0.079031534,0.016335314,0.90463316,Neu,0.06269622,thebubblebubble
147,2018-03-23 16:21:03,"Also see - ""For consumers with credit-card debt, Fed rate hike will sting"":   by   ",0,1,1,1,1,2,0.11652641,0.143309,0.7401646,Neu,-0.026782587,thebubblebubble
156,2018-03-23 14:45:02,A Dow Theory sell signal could trigger a selling avalanche:   by  $DIA $DJIA,0,0,1,1,4,2,0.027108563,0.7574739,0.21541762,Neg,-0.73036534,thebubblebubble
163,2018-03-23 01:56:05,"Guggenheim's Minerd: ""Zombie Companies"" Will Be Crushed By Rising Libor:   ",1,1,1,0,3,9,0.016752275,0.9325131,0.050734635,Neg,-0.9157608,thebubblebubble
183,2018-03-22 21:46:04, I probably will! You know those Brits like to drink :),0,1,1,1,0,0,0.043523006,0.0296936,0.9267833,Neu,0.013829406,thebubblebubble
185,2018-03-22 21:42:05,"Remember I warned that a market panic could occur during my move/transition to Texas in Jan/Feb? Well, it happened! I was caught with my pants down. I was furious. Now, I'm going on vacation in 2 weeks, so start buying puts ;)   ",1,1,1,3,2,8,0.037794568,0.1492133,0.8129921,Neu,-0.11141873,thebubblebubble
187,2018-03-22 21:37:01,"In this piece, I explained that record low Libor rates (and other interest rates) are helping to fuel dangerous bubbles around the world. Libor is surging now. That should worry everyone.   ",1,1,1,4,11,10,0.029177615,0.83320683,0.13761558,Neg,-0.8040292,thebubblebubble
193,2018-03-22 18:42:02," Hey, I must be doing something right ;)",0,1,1,0,1,2,0.18191208,0.01928911,0.7987988,Neu,0.16262297,thebubblebubble
194,2018-03-22 18:13:00,"We are also looking forward to having well-known financial blogger Mike ""Mish"" Shedlock  on the Lance Roberts show this evening at 5:15 pm CST/6:15 pm EST. You can listen to it live here:    ",0,1,1,2,1,2,0.04416241,0.020376015,0.93546164,Neu,0.023786396,thebubblebubble
204,2018-03-22 16:16:04,"Facebook will become MySpace, says FANG-focused fund manager:   by  $FB $QQQ  ",0,1,1,5,10,12,0.05887368,0.014888591,0.9262377,Neu,0.043985087,thebubblebubble
207,2018-03-22 15:39:05,I agree with him 100%. You can't taper a Ponzi scheme...   ,0,1,1,3,11,24,0.13775878,0.03656869,0.8256725,Neu,0.10119009,thebubblebubble
214,2018-03-22 14:37:02,It's amazing what an asset bubble-driven wealth effect can do for sentiment...  ,0,1,1,0,6,10,0.24392498,0.03010031,0.7259748,Neu,0.21382466,thebubblebubble
221,2018-03-22 03:26:02,The Central Bank Bubble: It Will Be Ugly:    $FXI $EWJ  ,0,0,1,7,34,44,0.02887819,0.67031616,0.30080566,Neg,-0.64143795,thebubblebubble
236,2018-03-21 16:49:01,Wait until you see how these buffoons will be freaking out when the Fed-driven Tech Bubble 2.0 pops in earnest...   ,0,1,1,4,11,36,0.04646669,0.08607545,0.86745787,Neu,-0.039608758,thebubblebubble
242,2018-03-21 16:23:03,Overreacting?! This stock should never have reached those heights in the first place. Facebook falling = a step in the direction of rationality. Facebook was always a Fed-driven bubble stock. It should drop much more.   ,1,1,1,11,21,57,0.052760232,0.5048422,0.4423975,Neg,-0.45208198,thebubblebubble
249,2018-03-21 14:45:04,"For consumers with credit card debt, Fed rate hike will sting:   by  $COF $AXP  ",0,0,1,4,11,8,0.13939343,0.032222234,0.8283843,Neu,0.1071712,thebubblebubble
253,2018-03-20 21:09:05,"There's so much talk now about how ""Silicon Valley is doomed!"" (as if the startup bubble will thrive sustainably elsewhere). Newsflash: the entire startup fad itself is doomed. That's the story everyone needs to be focusing on.   ",1,1,1,0,5,5,0.036158226,0.3114381,0.6524037,Neu,-0.27527988,thebubblebubble
254,2018-03-20 21:04:01,"She has good points, but is missing the big picture: the current Silicon Valley/startup boom is doomed because it's fueled by the Fed. A high percentage of today's tech startups will prove to be what we Austrian economists call ""malinvestments.""   ",1,1,1,4,7,21,0.044668037,0.6071054,0.34822667,Neg,-0.56243736,thebubblebubble
256,2018-03-20 20:10:03, I'd watch the USD Index so that it's not so skewed by one particular currency:  ,1,1,1,0,0,0,0.037249416,0.048777144,0.9139734,Neu,-0.011527728,thebubblebubble
261,2018-03-20 19:56:05, I believe that the ultimate popping of this massive global debt bubble will certainly benefit precious metals.,0,1,1,0,0,1,0.8743546,0.028200133,0.09744526,Pos,0.84615445,thebubblebubble
262,2018-03-20 19:56:02," I'm definitely a fan of them in the long-run, for buying and holding physical. As far as short-term movements, they could be hurt by a rebound in the dollar.  ",1,1,1,2,1,2,0.0636165,0.8725072,0.0638763,Neg,-0.8088907,thebubblebubble
267,2018-03-20 19:45:04, I believe you should. There is so much randomness and whipsawing right now that it's hard to get a strong signal one way or another.,0,1,1,0,0,1,0.041466497,0.3316055,0.62692803,Neu,-0.290139,thebubblebubble
270,2018-03-20 19:34:04,"Also, the U.S. dollar doesn't confirm today's crude oil breakout. Normally, I'd like to see bearish dollar action before getting excited about bullish moves in crude oil:    ",1,1,1,2,3,8,0.09228857,0.24617438,0.6615371,Neu,-0.15388581,thebubblebubble
277,2018-03-20 15:50:01,The latest U.S. housing shortage/crisis meme is B.S. We have another Fed-driven housing bubble - case closed. Prices shouldn't be soaring like this.   ,1,1,1,1,7,9,0.039589565,0.8677991,0.09261125,Neg,-0.8282095,thebubblebubble
291,2018-03-19 20:41:05," Thank you. I'm just mindful of the fact that ""somebody"" keeps stepping in to prevent these breakdowns. We'll see if it happens this time...",0,1,1,0,0,2,0.09014906,0.048043467,0.86180747,Neu,0.042105593,thebubblebubble
296,2018-03-19 19:11:00,"Sure, it's all fun and games until this bubble pops and we go into a full-blown depression and these Millennials will be wearing rags.    ",0,1,1,2,2,6,0.037786946,0.2332062,0.7290068,Neu,-0.19541925,thebubblebubble
301,2018-03-19 18:29:01," My thoughts exactly. There is very little integrity in these markets, so you can't trust signals any more. It's frustrating as hell.",0,1,1,1,0,2,0.015507475,0.80489594,0.17959654,Neg,-0.7893885,thebubblebubble
308,2018-03-19 15:48:05,65% of Americans save little or nothing - and half could end up struggling in retirement:   by  $COF $AXP  ,0,1,1,2,4,8,0.028426154,0.46205208,0.5095218,Neu,-0.43362594,thebubblebubble
318,2018-03-19 15:01:01,"It *will* end in tears. It was never a boom driven primarily by new technology, but by Fed asset inflation. That's what happens when you try to create an economic recovery by brute force.    ",1,1,1,4,8,15,0.06055833,0.11241044,0.8270312,Neu,-0.05185211,thebubblebubble
319,2018-03-19 14:59:01,Wall Street's tech love affair might end in tears:   by  $NFLX $AMZN  ,0,0,1,7,6,19,0.027622022,0.113201685,0.8591763,Neu,-0.08557966,thebubblebubble
320,2018-03-19 14:39:05,"Recession: By the time you ""see"" it, it will be too late to do anything about it:   by  $SPY $QQQ  ",0,0,1,3,6,21,0.020942092,0.21784027,0.76121765,Neu,-0.19689818,thebubblebubble
322,2018-03-19 04:41:05," I've heard of it too, but I don't think it's likely...at least until there's another depression. It will take a major catalyst to make it happen.",1,1,1,0,0,0,0.09968125,0.054638267,0.8456805,Neu,0.045042984,thebubblebubble
333,2018-03-19 01:00:01,How debt could blow up the Trump economy:   by  $SPY $QQQ  ,0,0,1,12,106,132,0.04132671,0.33855057,0.62012273,Neu,-0.29722387,thebubblebubble
