,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-04-03 00:30:04,"    I don’t give FB a pass; I don’t like the company/platforms & therefore don’t own shares. But most people will keep on posting, privacy “concerns” be damned. The Apple reference was a simple note to Tim Cook to stay humble. That’s all. Thanks for listening!",1,1,1,1,0,1,0.039395977,0.061509553,0.89909446,Neu,-0.022113577,tmfjmo
4,2018-04-02 16:09:03,Probably the biggest problem (& perhaps opportunity) that will come of $TSLA's problems for investors is that the market will start valuing it like an actual car company. At least for a while. And that's ultimately a good thing. I love what Musk is doing but first things first.  ,0,1,1,0,1,6,0.17766966,0.017245729,0.8050846,Neu,0.16042393,tmfjmo
7,2018-04-02 01:59:04,"Not gonna lie, was so excited to see my  on the front porch after getting home today that I made guac for dinner so I could get the tree started asafp. Cc:  👍  ",1,1,1,2,0,6,0.08153086,0.021211717,0.89725745,Neu,0.060319144,tmfjmo
10,2018-04-01 12:10:03,"Now that we’re on our way home I can spill the beans...this was not just a personal trip, but a research one as well. I’m excited to announce we’re bringing our patient style of investing to a place where it resonates so well; Motley Fool Bahamas is a go! See you soon 🇧🇸.  ",1,1,1,11,0,35,0.3961684,0.010873262,0.59295833,Neu,0.38529515,tmfjmo
11,2018-04-01 03:41:01,Given it’s built a user base on a cool factor these Snapchat commercials so abjectly pander to getting older people (yes myself included) to use it that they may end up actually losing users after this campaign due to its uncoolness. $SNAP  ,1,1,1,1,0,5,0.013290972,0.87644625,0.110262826,Neg,-0.86315525,tmfjmo
17,2018-03-30 17:44:04,"Hey thanks for the reminder  Would have loved to see this one run...had a lot of room for sure. Oh well, at least I still own $PYPL shares. Still a bit tilting... cc:   ",1,1,1,0,0,6,0.11976197,0.03768861,0.8425495,Neu,0.08207336,tmfjmo
28,2018-03-28 19:08:03,1. Leftron makes sensationalist claim backed by specious research. 2. CNBC has him on. 3. Rinse & repeat.  If I felt like he was trying to help people at least there would be that. Seems pretty obvious he’s not.  ,1,1,1,1,2,8,0.045694355,0.100891165,0.8534144,Neu,-0.05519681,tmfjmo
29,2018-03-28 15:57:01," I’ve never even really entertained the idea (too much self-loathing I reckon). Maybe one day, but for now I’d rather give them to friends who actually want them. Lemme try painting from this drawing & you can choose...work?",1,1,1,1,0,1,0.04620976,0.033637382,0.9201529,Neu,0.012572378,tmfjmo
37,2018-03-27 21:59:05,Now more than ever it’s crucial investors be aligned w/good companies run by good people. Any asshole can get on Twitter & cry wolf. If you own the aforementioned businesses then you don’t care what the asshole says. Feels like that last sentence could be a fortune cookie.,1,1,1,3,6,27,0.033703458,0.061188042,0.9051085,Neu,-0.027484585,tmfjmo
49,2018-03-27 14:39:00,"Can’t recall when I last logged into Linkedin. Don’t even keep the app on my phone. Twitter has turned into my business card along the way. Not to say Linkedin doesn’t have its place, but daily engagement ain’t one of ‘em & for networking that matters. Just my $0.02. $TWTR  ",1,1,1,7,0,34,0.033503197,0.038460955,0.92803586,Neu,-0.004957758,tmfjmo
65,2018-03-24 21:44:04,Nassau ✈️ Eleuthera & it’s a lock  would love this puddlejumper.  ,0,1,1,2,0,5,0.089136586,0.014491249,0.89637214,Neu,0.07464534,tmfjmo
69,2018-03-24 16:17:00,I can assure you we will keep doing it until they shut us down Russell (which is hopefully never). Thanks so much for sticking with us! 🍻  ,0,1,1,0,0,11,0.4918293,0.059259623,0.4489111,Pos,0.43256968,tmfjmo
76,2018-03-23 15:15:04,If you’re a small-to-medium-sized business Zuckergate should be a wake up call to assess your reliance on the social network ASAP so as to not be totally beholden. Much like investing having all your eggs in one basket is a risky proposition that limits options. $FB  ,0,1,1,0,1,8,0.042954326,0.06757008,0.8894756,Neu,-0.024615757,tmfjmo
87,2018-03-21 23:56:04,If given the chance as CEO of the Jangler I will introduce chicken & waffles with the chicken fried in a breading made of crushed up Waffle Crisp cereal. That’s the kind of menu innovation Chipotle only dreams about.  ,1,1,1,4,0,17,0.0698671,0.015879763,0.9142531,Neu,0.05398733,tmfjmo
88,2018-03-21 21:41:03,I should throw my hat in the ring for the Jangler CEO gig. Primary focus on scratch biscuits & long-term success. Here’s my resume  DM me.  ,0,0,1,4,0,24,0.05690725,0.018814394,0.9242784,Neu,0.03809286,tmfjmo
89,2018-03-21 17:37:01,"SMB’s are in a tough spot; Facebook is their livelihood in many cases. But this goes way beyond any administration & regulations are most certainly coming, just a matter of when. Those who rely on $FB to bring home the bacon would be wise to diversify a bit.  ",0,1,1,0,0,3,0.072575,0.03870449,0.8887205,Neu,0.033870514,tmfjmo
92,2018-03-21 14:45:02,Couple of thoughts on $FB challenges from the investor’s perspective. Facebook ain’t going to zero. But future returns will be a bit more challenging. 👇  ,0,1,1,6,1,17,0.17773941,0.04705819,0.7752024,Neu,0.13068122,tmfjmo
101,2018-03-20 17:46:00,Apps you will not find on my phone:  Facebook Instagram Messenger Whatsapp Uber Linkedin  How this makes me feel:  ,0,1,1,6,1,21,0.032318454,0.031471178,0.9362104,Neu,0.0008472763,tmfjmo
105,2018-03-20 14:16:00,Zuck choosing to stay quiet is a really bad look. He doesn't even need to get out there & talk details (I'm sure litigation concerns have him scared sh**less & rightly so). But a little acknowledgement & empathy would go a long way. $FB  ,1,1,1,3,0,18,0.053276014,0.5131047,0.43361932,Neg,-0.45982867,tmfjmo
108,2018-03-19 21:04:00, You can just bookmark stuff now. Have you seen that new functionality? It’s f***ing great.,1,1,1,0,0,2,0.29334262,0.012507548,0.6941498,Neu,0.28083506,tmfjmo
110,2018-03-19 16:42:05, My guess is it will be fine. But for investors it's about how this all ultimately limits opportunities for $FB going forward & I think that's where the problem lies. Acquisitions are going to be tougher as is diversifying revenue streams.,0,1,1,0,0,1,0.026866931,0.86866045,0.10447258,Neg,-0.84179354,tmfjmo
111,2018-03-19 16:36:00,Another potentially big problem for $FB: Not sure I ever saw them as a serious payments business before but how could you ever consider moving money around with these guys?  ,1,1,1,2,0,5,0.042138536,0.17522109,0.7826404,Neu,-0.13308255,tmfjmo
114,2018-03-19 14:25:03,Biggest challenge $FB probably faces from this fallout is the scrutiny of potential future acquisitions. Given what we know today it's hard to imagine they should ever be cleared to buy another meaningful network going forward. Downside far outweighs any potential upside.  ,1,1,1,1,0,1,0.2845071,0.2969499,0.41854304,Neu,-0.012442797,tmfjmo
118,2018-03-18 15:00:00," I’m a former PGA club professional & the change tech has had on the game & teaching is amazing. Even just w/smartphones, can diagnose & fix more quickly & efficiently than ever.",1,1,1,0,0,2,0.20699435,0.009808723,0.783197,Neu,0.19718564,tmfjmo
122,2018-03-18 02:54:00,It took a while (been busy) but I learned a lot from this one. I guess I like it OK but I’m going to have to give it another shot; I’m certain I can do better.  ,1,1,1,4,0,41,0.52828974,0.037978303,0.43373197,Pos,0.49031144,tmfjmo
127,2018-03-16 22:31:01,  Should have never gone public. Greedy bankers knew better.,1,0,1,0,0,1,0.034570955,0.104142815,0.8612863,Neu,-0.06957186,tmfjmo
138,2018-03-16 13:27:03,"  Yeah I imagine with time & feedback like this it will continue to improve, albeit slowly.",0,1,1,0,0,0,0.95146865,0.015967863,0.032563508,Pos,0.9355008,tmfjmo
140,2018-03-16 12:25:01,I’m starting to buy into  vision of machine learning personalizing the platform. Great in theory but execution is another story. Based on what I’m seeing in my timeline/Explore tab they are really making some progress. Sounds like you may be in the same boat. $TWTR  ,1,1,1,1,0,10,0.22815566,0.0093046725,0.76253974,Neu,0.21885099,tmfjmo
141,2018-03-16 12:13:04," Not really concerned. It’s an option but  it’s pretty clunky. Either way, the nature of the space insists there will be many winners & I don’t look to the banks for innovation.",1,1,1,0,0,1,0.07991066,0.023661507,0.89642787,Neu,0.05624915,tmfjmo
142,2018-03-16 03:29:04, Seems like it would appear to fans to help speed the game up but in reality probably fairly meaningless. Also seems like a bear to actually umpire.,0,1,1,1,0,0,0.054341484,0.03776407,0.90789443,Neu,0.016577415,tmfjmo
