,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2018-04-06 14:33:04," Can I ""double-like"" this one?",0,0,1,0,0,1,0.046310455,0.028959222,0.92473036,Neu,0.017351232,tylercowen
5,2018-04-05 20:14:05,What should I ask    please leave your suggestions in the MR comments.,0,0,1,2,2,12,0.030398827,0.026044935,0.9435563,Neu,0.004353892,tylercowen
8,2018-04-05 14:48:05,"Trump vs. Bezos should make you more libertarian,  ",0,0,1,10,47,95,0.10808134,0.02236108,0.86955756,Neu,0.08572026,tylercowen
13,2018-04-04 16:02:03," I would go long Florida, in any case.",0,0,1,0,0,1,0.0435487,0.0388711,0.9175802,Neu,0.004677601,tylercowen
14,2018-04-04 00:59:05," The piece implies DC will swat down SF, owl of Minerva flies at dusk, etc.",0,1,1,2,0,3,0.018808497,0.07142816,0.9097633,Neu,-0.05261966,tylercowen
16,2018-04-01 21:59:02,"Oddly, you cannot catch an Uber standing right before the headquarters of...Uber. nowheretopullover",0,0,1,5,7,48,0.031302236,0.1252919,0.8434059,Neu,-0.09398966,tylercowen
17,2018-04-01 16:18:05, It will make it easier to get a cab?,0,0,1,1,0,0,0.07789816,0.023327066,0.89877474,Neu,0.054571092,tylercowen
18,2018-03-30 22:27:00,"Evidence that Amazon will in fact move to out near Dulles?,   HT ",0,0,1,11,12,25,0.108831726,0.014075865,0.87709236,Neu,0.09475586,tylercowen
23,2018-03-29 21:37:00,"   He has many books, has changed points of view, and I have published lots in the history of economic thought and I can assure you that talking to people is nonetheless essential when possible.",1,1,1,2,1,17,0.09637111,0.016736645,0.8868922,Neu,0.07963446,tylercowen
24,2018-03-29 21:00:01,"   His ""libertarian solution"" would have a lot of other forms of redistribution. Most of all, I suggest talking to him. I don't agree with him on this, I should add.",0,1,1,1,0,11,0.06277461,0.20477836,0.7324471,Neu,-0.14200374,tylercowen
36,2018-03-26 22:50:00,"Why we won't have a trade war with China (yet),  ",0,0,1,1,12,14,0.05607435,0.07121778,0.8727079,Neu,-0.015143432,tylercowen
42,2018-03-25 13:40:05," You could have slipped in a ruder replacement word there, too...",1,0,1,2,0,2,0.031946912,0.7023929,0.2656602,Neg,-0.670446,tylercowen
45,2018-03-24 14:31:01,"Shouldn't ""they"" just put this book out right now?,  ",0,0,1,1,0,5,0.029701715,0.1537962,0.8165021,Neu,-0.12409448,tylercowen
49,2018-03-23 20:24:01," Has to be one of the world's worst web page systems, no? From a company like Amazon, with otherwise the world's best web page? It would be better to make it easy for customers to contact you, and I hope a thousand other people tell you this.",0,1,1,0,0,0,0.074359685,0.09691328,0.82872707,Neu,-0.022553593,tylercowen
51,2018-03-23 18:50:02, Note that you frequently will send me packages of say $50 of value in books and not make anyone sign for that.,0,1,1,1,0,0,0.033281624,0.06268798,0.9040304,Neu,-0.029406354,tylercowen
52,2018-03-23 18:50:00," The desired response actually is ""We know you live in a safe neighborhood and are only ordering items of small value and you don't want to disturb your elderly father-in-law. We will remove this condition on the shipping.""",0,1,1,0,0,0,0.033735204,0.28281146,0.6834533,Neu,-0.24907626,tylercowen
53,2018-03-23 18:48:00," I don't on that page see a way to do either chat or phone, sorry...someone could email me at tcowen if that is easier.",0,1,1,0,0,0,0.041269396,0.03127938,0.9274512,Neu,0.009990014,tylercowen
54,2018-03-23 18:28:04," These are $20 books, and UPS claims the whole thing is simply a mistake, but they have directions from you...I am rarely home and a doorbell ring means my 85-year-old father-in-law will try to run down the stairs to get it, not good.",0,1,1,1,0,0,0.016524995,0.80706465,0.17641039,Neg,-0.7905397,tylercowen
55,2018-03-23 17:43:02,"  Dear Amazon, no reason why my order 111-5265241-4458619 should require a signature -- you have been doing this to me for months! Have called UPS, problem continues, please fix this!",1,1,1,1,0,1,0.026267258,0.67779565,0.29593703,Neg,-0.6515284,tylercowen
56,2018-03-23 11:45:04,"  Conversations with Tyler is the series,  will tell you when it is up and available...",0,1,1,1,0,0,0.03607421,0.019323852,0.9446019,Neu,0.016750358,tylercowen
73,2018-03-15 01:08:03,"  will be back in touch, will ponder that, also think if there are others...",0,1,1,1,0,0,0.11860356,0.020376552,0.86101985,Neu,0.09822701,tylercowen
74,2018-03-15 00:51:01,"  If you ever have ideas for a Haiti podcast guest, I would love to know, and I am willing to travel to do it, including to Haiti (I've been five times and collect Haitian art).",1,1,1,1,0,0,0.07512534,0.026579397,0.8982952,Neu,0.04854594,tylercowen
80,2018-03-13 13:17:04,"What might game theory tell us about Trump talking to Kim?,  ",0,1,1,0,13,15,0.03536838,0.033787522,0.9308441,Neu,0.0015808567,tylercowen
87,2018-03-12 12:47:02,"  Not sure what you mean by those words, Karl. I'll just say this: I believe if you have dozens of off-the-record chats with univ. administrators, and I mean Dems here, you would write a very different piece.",0,1,1,3,0,5,0.04087039,0.041916724,0.9172129,Neu,-0.0010463335,tylercowen
88,2018-03-12 12:26:05," I've been at this for 31 years, and the difference is just *enormous*, and not without some benefits I might add. Poll data don't capture what a minority have achieved. And so many Dems in academia experience the same.",1,1,1,2,1,24,0.15746601,0.081194095,0.7613399,Neu,0.076271914,tylercowen
103,2018-03-07 01:03:04," I'd be delighted with a steady 2%, frankly...",1,0,1,0,0,6,0.76291645,0.0148755945,0.2222079,Pos,0.74804085,tylercowen
106,2018-03-06 18:17:00,"  Losing to anyone but her would have been humiliating, so now I am really happy!",1,1,1,0,0,34,0.21740788,0.04487554,0.7377166,Neu,0.17253235,tylercowen
108,2018-03-06 13:23:00,"  Would gladly do a Conversations with Tyler with you, are you game? In NYC is fine.",0,1,1,9,2,110,0.0784652,0.026926717,0.89460814,Neu,0.051538482,tylercowen
114,2018-03-05 14:25:00," Good! (But that does mean it is radical...you could have just written ""This doesn't seem so radical."")",1,1,1,0,0,10,0.037645563,0.06045254,0.90190196,Neu,-0.022806976,tylercowen
117,2018-03-04 19:42:05,  I would even take Latin American pizza over NYC or Chicago...,0,0,1,1,1,5,0.048913907,0.027537234,0.9235488,Neu,0.021376673,tylercowen
132,2018-03-01 12:22:05,"Why fascism won't come to America anytime soon,  ",0,0,1,26,37,80,0.037118647,0.20610695,0.75677437,Neu,-0.1689883,tylercowen
138,2018-02-26 15:24:01,"At first I thought *Annihilation* would collapse into another sci-fi horror sludgy manipulation-fest, but in fact it gets better and ends up as surprisingly conceptual. Good visuals and soundtrack too.",1,1,1,2,4,33,0.37968546,0.018741352,0.6015732,Neu,0.36094412,tylercowen
139,2018-02-25 12:58:00,"Could the tech companies run *everything* better?, or just some things?,  ",0,1,1,7,12,29,0.08545332,0.017901849,0.89664483,Neu,0.067551464,tylercowen
142,2018-02-24 15:29:02," Better yet, don't call them ""Aztecs."" ""Original members of the Aztec Triple Alliance"" might be OK.",0,1,1,0,0,4,0.07951883,0.03976257,0.88071865,Neu,0.03975626,tylercowen
147,2018-02-23 19:03:04," That is not what I claim, though, only that such forms will dominate *if* Caplanian signaling is the dominant motive...",0,1,1,3,1,4,0.06285809,0.014675714,0.9224662,Neu,0.048182376,tylercowen
151,2018-02-21 18:21:00,  My talk produces learning...Bryan can answer as to his!,0,1,1,0,0,3,0.1480186,0.01478748,0.83719397,Neu,0.13323112,tylercowen
152,2018-02-21 17:58:03,"""...there is a more concentrated core of more active users that may serve an  information broadcast function for larger cities, an emerging group of  “town tweeters” as it were.""   HT Kevin Lewis",1,1,1,0,5,15,0.07637683,0.013691957,0.9099312,Neu,0.06268488,tylercowen
