,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
14,2017-12-29 16:03:01,"(3) But most importantly, were the new friends I made and the old friendships rekindled. And you never know, Diogenes may come back reincarnated as a Modern Cynic. Be well, and keep searching for the truth. Dio",1,1,1,28,7,173,0.091564335,0.02217439,0.8862612,Neu,0.06938995,wallstcynic
16,2017-12-29 15:57:01,"Dear FinTwit: It is with a heavy heart that I must leave Twitter to return to Ancient Greece on December 31st. The SEC, beginning in 2018, is requiring registered investment advisors to disclose any social media anonymous accounts, on Form ADV.",1,1,1,81,129,600,0.018464642,0.29379302,0.68774235,Neu,-0.27532837,wallstcynic
18,2017-12-28 21:03:01, What will happen to my frequent diner points?,0,0,1,1,0,3,0.018420294,0.68411213,0.29746762,Neg,-0.66569185,wallstcynic
22,2017-12-28 18:47:00, So is every other private investor going to mark Uber at this new price at year-end? They should.,0,1,1,1,0,2,0.051576097,0.019164735,0.9292591,Neu,0.03241136,wallstcynic
23,2017-12-28 16:21:05," Possibly, but their leverage ratio will actually increase after this deal (that’s why their bonds sold off). I really think they don’t know any other play than “buy and hike”. $MNK",1,1,1,0,0,3,0.2873322,0.061599,0.65106887,Neu,0.2257332,wallstcynic
33,2017-12-27 17:33:00," Again, can anyone show me data supporting the claim that overall private equity returns to investors has been any better than public market returns?",1,1,1,4,0,1,0.68905544,0.07988199,0.2310625,Pos,0.6091735,wallstcynic
34,2017-12-27 16:37:02,"I wonder if the White House will trumpet this announcement as they did the $1,000 Tax Cut Bonus checks.  ",1,1,1,2,11,31,0.04911468,0.06382772,0.88705754,Neu,-0.0147130415,wallstcynic
42,2017-12-26 19:19:00," Not so sure...If you thought the British/Americans/Russians were clumsy colonial hegemons, wait till you meet the Chinese. Many African nations can already attest to that.  ",1,1,1,1,0,3,0.09374899,0.04124873,0.8650023,Neu,0.052500255,wallstcynic
45,2017-12-26 17:35:00,"(2) It looks like Sucampo’s primary drug Amitiza will face generic competition from Par in 2021 (profits split w/Sucampo) and Dr. Reddy in 2023. So an economic life of 4-6 years. Same old, same old. $MNK",1,1,1,2,1,3,0.15892494,0.018355772,0.8227193,Neu,0.14056917,wallstcynic
47,2017-12-26 15:28:02, I assume it will be by cutting the $40MM annual run-rate R&D budget. Same old spec pharma playbook. $MNK,0,1,1,0,0,2,0.08591234,0.63816035,0.2759274,Neg,-0.552248,wallstcynic
48,2017-12-26 15:18:00,"$MNK is levering-up to buy Sucampo at 17x pre-tax earnings (3Q $17.5MM, annualized), yet the deal will be “accretive”? How?",1,1,1,5,3,16,0.18545945,0.013926811,0.8006137,Neu,0.17153265,wallstcynic
64,2017-12-23 16:03:05,"I’m sorry, but this is beyond corrupt. And quite frankly, pretty “small potatoes” as the President would say. So why do it?    ",0,1,1,15,116,169,0.031017726,0.2717928,0.69718945,Neu,-0.24077508,wallstcynic
65,2017-12-23 00:38:01," Why would you think a compound that goes for $44,000/dose and that may not do much of anything, would have a downside? $MNK",0,1,1,1,1,5,0.045317702,0.17554852,0.7791338,Neu,-0.13023081,wallstcynic
74,2017-12-21 20:44:02, That also haven’t  figured out that the Western-listed (and financed) digital giants will be “asked” to invest in a variety of Chinese SOE’s. $BABA,1,0,1,0,0,1,0.14212959,0.011284868,0.8465856,Neu,0.13084471,wallstcynic
85,2017-12-20 17:55:04," It may be, but I love how it’s couched as some sort of decision. If China truly “cut” its debt load absolutely, the world would slide into recession.",1,1,1,1,0,5,0.014662738,0.9470001,0.038337138,Neg,-0.93233734,wallstcynic
