,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 23:31:00,It's important to get away regularly. Not just for the mind and body but for the portfolio!  ,0,1,0,1,0,15,0.067231745,0.05097087,0.8817974,Neu,0.016260874,allstarcharts
3,2018-04-01 02:44:03,sounds depressing. The data suggests to me they will be on the losing side of this second quarter move. I like buying strong stocks here  ,0,1,1,3,5,12,0.046235394,0.7569653,0.19679935,Neg,-0.7107299,allstarcharts
4,2018-04-01 02:01:01,I'm getting saturday night tweets @ me about how I need to start being more bearish of stocks....,0,1,0,9,3,25,0.089690536,0.15628009,0.75402933,Neu,-0.06658955,allstarcharts
5,2018-03-31 22:47:05,a lot of charts for me this weekend. It's been very eye opening. J Pierpont Morgan was right: Stocks will fluctuate,1,1,1,3,3,26,0.041355707,0.84208655,0.116557695,Neg,-0.8007308,allstarcharts
6,2018-03-30 19:38:01,"6 hours per year will make you a better investor. Take 30 minutes at the end of every month to go thru monthly charts, 30 min x 12 months. It will be the most valuable 6 hours of your entire year. Here's my list, I encourage everyone to make their own  ",0,1,1,3,48,257,0.053835474,0.021315606,0.9248489,Neu,0.03251987,allstarcharts
7,2018-03-30 19:00:04,"This is the perfect time to re-evaluate any prior thesis you may have had: 3 day weekend, end of week, end of month, end of quarter. What is Q2 going to look like and will you win or will you complain like the losers do?",1,1,1,1,6,20,0.048114445,0.111489765,0.8403958,Neu,-0.063375324,allstarcharts
8,2018-03-30 18:58:03, All good. You're right.,0,1,0,0,0,0,0.6023562,0.03849936,0.35914442,Pos,0.56385684,allstarcharts
9,2018-03-30 18:52:04,I'm really looking forward to this! Who's coming with me?  ,0,1,0,0,0,3,0.080357276,0.023449427,0.8961933,Neu,0.056907848,allstarcharts
10,2018-03-30 18:36:00," you're right, closed down 2.4% for the month. my fault",1,1,0,0,0,2,0.009650787,0.9679961,0.022353105,Neg,-0.95834535,allstarcharts
11,2018-03-30 18:22:05,[Premium] All Monthly Candlestick Charts are now updated in the Chartbook    $AAPL $SPX $DJIA $AMZN $FB $JPM $GS  ,1,1,0,0,1,3,0.026288997,0.029123444,0.9445875,Neu,-0.0028344467,allstarcharts
12,2018-03-30 17:34:00,"for those keeping track at home, Semiconductors went out at new all-time monthly closing highs, again. That's 3 months in a row of all-time highs. To me that is evidence of relative strength compared to other sectors that didn't do that $SOX $SMH",1,1,0,2,10,29,0.8924823,0.07228376,0.035233926,Pos,0.82019854,allstarcharts
13,2018-03-30 17:29:02,"Interesting that broker dealers & exchanges $IAI closed down just 1.2% for the month of March, and flat for February after all-time closing highs in Nov, Dec & Jan. Seems like a healthy digestion, not a crash. Relative strength is what we call that where I grew up",1,1,0,1,3,21,0.010162976,0.95939636,0.030440638,Neg,-0.9492334,allstarcharts
14,2018-03-30 16:59:04,"Crude Oil is going out at fresh mulit-year monthly closing highs, which to me is not evidence of a downtrend $CL_F $USO",0,1,0,10,3,37,0.24831179,0.5423038,0.20938444,Neg,-0.293992,allstarcharts
15,2018-03-30 16:59:00,yes because those guys grew up listening to their parents music (i.e. funk). Today's artists grew up listening to 90s. So it's a derivative of a derivative....  ,1,1,0,2,0,8,0.04278895,0.07241825,0.8847928,Neu,-0.029629301,allstarcharts
16,2018-03-30 16:42:00,"90s hip hip and a lot of candlesticks. Forget good friday, this is a great friday!",0,1,0,3,2,20,0.19836928,0.029354163,0.7722766,Neu,0.16901511,allstarcharts
21,2018-03-30 03:15:05,"OH at   ""Don't worry about the next dollar. Worry about the next 1000 dollars"" - ",0,1,0,1,2,11,0.06658397,0.023135722,0.9102803,Neu,0.043448247,allstarcharts
22,2018-03-30 03:11:00,"OH at   ""The best companies are never cheap""",0,1,0,1,0,5,0.07043095,0.053522605,0.8760464,Neu,0.016908344,allstarcharts
23,2018-03-29 23:53:00,On my way to San Francisco! Are you coming to hang with  and me tonight? Should be a lot of fun!      ,0,1,1,2,1,9,0.093535684,0.027644778,0.87881947,Neu,0.06589091,allstarcharts
24,2018-03-29 23:26:03, Not if it doesn't fit your narrative,0,1,0,0,0,0,0.039481994,0.054345734,0.9061723,Neu,-0.014863741,allstarcharts
26,2018-03-29 23:13:02,Yea just give your money to a robot. I'm sure that will end well. What could possibly go wrong?,0,1,1,3,5,22,0.033539582,0.34352928,0.6229312,Neu,-0.3099897,allstarcharts
27,2018-03-29 19:33:00,Meetings in Laguna Beach are the best kind of meetings,0,1,0,6,0,25,0.05787819,0.020319311,0.92180246,Neu,0.037558876,allstarcharts
29,2018-03-29 16:44:00,"I like the ""Michael explains Technical Analysis to Ben"" segment. Keep that going!    ",0,1,0,1,3,24,0.067237444,0.020269945,0.9124926,Neu,0.0469675,allstarcharts
31,2018-03-29 16:13:01,"We've wanted to be buying stocks and sectors this week showing both relative strength and positive momentum. I think if the 14-day RSI has stayed above 30 this year, it's a good place to start looking",1,1,0,1,1,20,0.59744304,0.026398811,0.37615812,Pos,0.5710442,allstarcharts
33,2018-03-29 15:46:05, I like extremes in sentiment. Options are one example. I hate data mining. This isn't that,0,1,0,0,0,0,0.030447097,0.24927914,0.7202738,Neu,-0.21883205,allstarcharts
34,2018-03-29 15:38:05,Put/Call ratio signaling fear.  also pointed this out on the podcast this week  ,1,1,0,2,3,12,0.07632915,0.09954671,0.82412416,Neu,-0.023217559,allstarcharts
36,2018-03-28 23:28:00,Why are so many of you so mad and angry all the time? When in history have things ever been this good with this many opportunities? Mix in a smile...,1,1,0,9,10,110,0.08777187,0.06502448,0.8472036,Neu,0.02274739,allstarcharts
37,2018-03-28 21:26:01,"Guys just do yourselves a favor and stop. Just stop. Whatever you're doing, stop it. And look at price. Even for just a minute. I promise you it will help.   Ok now go back to whatever less valuable work you were doing before.",1,1,1,6,3,36,0.044818595,0.071376964,0.88380444,Neu,-0.02655837,allstarcharts
38,2018-03-28 15:50:02,Who is in charge of making up the excuses?  ,0,1,0,0,0,5,0.026591556,0.069521196,0.9038873,Neu,-0.042929642,allstarcharts
39,2018-03-28 04:08:01,The Greek Freak in the house 🇬🇷 @ Staples Center  ,0,1,0,1,0,9,0.040935423,0.040356774,0.9187078,Neu,0.00057864934,allstarcharts
40,2018-03-28 02:50:00, Has to be unsolicited,0,1,0,0,0,2,0.019011524,0.061274115,0.91971433,Neu,-0.04226259,allstarcharts
41,2018-03-28 01:23:03,I don't have the heart to tell my grandmother she is the greatest contrarian indicator in stock market history. Plus if I tell her I lose the data right?,0,1,0,13,3,100,0.02150191,0.7077397,0.27075845,Neg,-0.6862378,allstarcharts
42,2018-03-27 23:09:00,Don't let level-headed quality analysis like this get lost among all the noise. Nice work     ,1,1,0,2,4,25,0.06478076,0.03743733,0.89778197,Neu,0.027343426,allstarcharts
43,2018-03-27 22:47:01,Sentiment follows price. Funny how I'm not getting random phone calls from friends asking me which (not if) coins they should buy  ,0,1,1,1,2,14,0.063512884,0.06040325,0.87608385,Neu,0.003109634,allstarcharts
44,2018-03-27 22:15:01,"I'm here in L.A. at the  HQ and found a copy of the very first issue Vol. 1, No. 1 - April 9, 1984 very cool!  ",1,1,0,7,15,80,0.06829286,0.024154872,0.90755224,Neu,0.044137992,allstarcharts
45,2018-03-27 20:14:00,"If you really think or even tell people that yesterday was the third best day in history, you're an idiot.",1,1,0,4,11,58,0.034925506,0.4791772,0.48589736,Neu,-0.44425172,allstarcharts
48,2018-03-27 19:33:03,"The way I learned it, the only way to make sure you own the strongest stocks is to buy the strongest stocks ¯\_(ツ)_/¯",1,1,0,3,6,44,0.039349034,0.03223022,0.9284207,Neu,0.0071188137,allstarcharts
49,2018-03-27 19:31:01, Blind? You mean $INTC didn't close at new highs?,1,1,0,2,0,0,0.086582474,0.3036734,0.6097441,Neu,-0.2170909,allstarcharts
53,2018-03-27 15:33:04,The New Poscast Episode is out! This week's guest is  talking Options and Bitcoin on   $SPY $DJIA $CCL $WYNN $VIX $UPS $BCOIN $BTCUSD Bitcoin,0,1,0,0,1,4,0.04587624,0.02267075,0.931453,Neu,0.023205489,allstarcharts
54,2018-03-27 14:49:02,Who thinks Euro resolution is higher &gt; 126? That would set the stage for a move towards 1.40 right? How would Precious Metals do in that environment? Pretty good I'd say.... $GC_F $GLD $SI_F $SLV $EURUSD $UUP $DXY  ,0,1,1,0,10,33,0.45128548,0.020141004,0.5285735,Neu,0.43114448,allstarcharts
57,2018-03-27 04:27:04,  no. is that a thing?,0,1,0,1,0,0,0.034966804,0.11937334,0.8456598,Neu,-0.08440653,allstarcharts
58,2018-03-27 03:39:01,New  came in today. I do some of my best charting in these!  ,1,1,0,7,1,20,0.16056266,0.03581932,0.80361795,Neu,0.12474334,allstarcharts
59,2018-03-27 03:11:02,"Makes it hard to be bearish precious metals, that's for sure  ",0,1,0,1,10,34,0.049200032,0.09120002,0.85959995,Neu,-0.041999985,allstarcharts
60,2018-03-27 02:53:01,  We're all talking about the Nasdaq 100 Index. Not sure if you read the post.,0,1,0,1,0,0,0.03311447,0.04902777,0.91785777,Neu,-0.0159133,allstarcharts
