,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-29 20:23:02,Our weekly Sector Snapshot is now posted:  ,1,1,0,0,0,2,0.023904402,0.090396464,0.88569915,Neu,-0.066492066,bespokeinvest
2,2018-03-29 16:48:03,Investors Retreat From Undecided As Bears Become More Common   via ,0,1,0,0,4,2,0.025218397,0.8960865,0.07869514,Neg,-0.8708681,bespokeinvest
3,2018-03-29 16:45:04,"Big bounce back for Alphabet $GOOGL today, now up 3%.  $1,000 has acted as pretty strong support a couple of times now.",1,1,0,0,0,3,0.93188405,0.020363256,0.047752757,Pos,0.9115208,bespokeinvest
4,2018-03-29 16:43:04,"New lows for Initial Jobless Claims this week.  Only 215,000 Americans filed for jobless benefits vs. expectations for 230,000.  Here's a closer look:  ",1,1,0,0,2,1,0.020121971,0.88888246,0.09099561,Neg,-0.86876047,bespokeinvest
5,2018-03-29 16:28:03,Here's a look at how the various commodities ETFs have historically performed during the month of April:    $UNG $SLV $GLD $USO $DBC $MOO $$,1,1,0,0,0,0,0.074829586,0.06244784,0.8627226,Neu,0.012381747,bespokeinvest
6,2018-03-29 15:22:04,"Energy $XLE, Materials $XLB and Consumer Staples $XLP leading the way higher today.",0,1,0,0,0,2,0.8371958,0.01275808,0.15004607,Pos,0.82443774,bespokeinvest
7,2018-03-29 13:07:05,Today's Bespoke Morning Lineup is now available:  ,0,1,0,0,0,1,0.029968105,0.020553721,0.94947815,Neu,0.009414384,bespokeinvest
8,2018-03-29 12:31:03,"Good morning.  Nasdaq futures up about double the $SPY ahead of then open (+80 bps vs. +40 bps).  Note internals below, S&P 500 oversold, rolling over vs. Treasuries.  ",0,1,0,0,9,9,0.17423727,0.78792715,0.037835635,Neg,-0.6136899,bespokeinvest
9,2018-03-28 20:30:01,Consumer Staples ETF $XLP up huge today at +1.6%.,0,1,0,0,1,7,0.9330664,0.02800866,0.03892494,Pos,0.9050578,bespokeinvest
11,2018-03-28 18:01:05,Nasdaq has already seen five intraday swings of 1%+,1,1,0,0,13,20,0.87880796,0.08328272,0.037909336,Pos,0.79552525,bespokeinvest
12,2018-03-28 16:28:05,Here's a list of the most volatile stocks in the S&P 1500...  ,0,1,0,0,0,2,0.026586985,0.122929275,0.85048366,Neu,-0.09634229,bespokeinvest
13,2018-03-28 16:18:04,"With these moves lower, Amazon's $AMZN trailing 12-month P/E is down to 306, while Netflix's is down to 216.  So there's that.",0,1,0,5,16,39,0.00963463,0.94753236,0.042833105,Neg,-0.93789774,bespokeinvest
14,2018-03-28 14:40:02,Looks like it's finally Amazon's $AMZN turn to take it on the chin today.  Down 5%+.,0,1,0,5,4,6,0.025878642,0.9255592,0.048562028,Neg,-0.89968055,bespokeinvest
15,2018-03-28 13:45:04,"Merrill has reiterated its ""Buy"" rating on $FB twice in the last week but lowered its price target each time. Was $265 now $210.",1,1,0,6,6,18,0.16683109,0.23304068,0.6001283,Neu,-0.066209584,bespokeinvest
