,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 23:42:05,"Waymo CEO says 20,000 people have signed up for their early riders program in Phoenix w $0 spent on marketing the service",1,1,0,1,8,44,0.49712762,0.010070301,0.49280205,Pos,0.48705733,bluegrasscap
2,2018-04-03 21:56:02,"Best part of this SWCH slide is how they notate the most impt data center locations in the US, but arent operating in any of them  ",0,1,0,4,1,7,0.068464704,0.16951667,0.7620187,Neu,-0.101051964,bluegrasscap
3,2018-04-03 21:45:01,"""US domestic organic focus brands shipment volume""... seems like a reach, & your comps are negative  ",0,1,0,0,0,4,0.33161646,0.015854722,0.65252876,Neu,0.31576174,bluegrasscap
4,2018-04-03 21:25:03, damn you have convinced me to read this book,1,1,0,3,0,4,0.6162574,0.014403122,0.3693394,Pos,0.6018543,bluegrasscap
12,2018-04-03 18:58:05,"DWDP trading for 10.9x forward FCF projection, & thats assuming debt balance goes to almost $0  ",0,1,0,4,9,64,0.42804515,0.046480395,0.52547437,Neu,0.38156477,bluegrasscap
16,2018-04-03 17:47:04," no, but thank you for pointing that out",0,1,0,0,0,0,0.67269087,0.024826314,0.30248278,Pos,0.6478646,bluegrasscap
20,2018-04-03 16:37:03,"BOMN's property mgmt invested capital / 2017 operating cash flow = 3.0x; a lot of that is nonrecurring commissions, but still an impressive return on capital thus far  ",1,1,0,0,0,2,0.9504176,0.018947998,0.030634413,Pos,0.93146956,bluegrasscap
30,2018-04-01 13:48:05,""" 'I dont have any interest in regulating [companies like Facebook, Twitter, & Google] into oblivion,” Dem Sen. Mark Warner of VA said at the Robin Toner Prize journalism dinner in D.C. Monday night. "" ",1,1,0,1,1,17,0.052690536,0.21985735,0.7274521,Neu,-0.16716681,bluegrasscap
31,2018-04-01 13:40:02, great book; great post; mgmt capital allocation skills = the holy grail for investment returns,0,1,0,2,0,11,0.144639,0.013507577,0.84185344,Neu,0.13113143,bluegrasscap
33,2018-03-31 17:43:02,"  winning biz model: the software+AI layer; also, a TAM expanding move for core GOOG... how much more searching, YT watching, emailing etc will Google users do when a self driving vehicle frees up 30-60min of their day?",0,1,1,3,1,6,0.0948538,0.011175064,0.8939711,Neu,0.08367874,bluegrasscap
35,2018-03-31 15:00:01,"   ""If you want the best fat-margin pitch you can think of, it is telling a middleclass woman that if she takes this her baby will be smart and healthy.""",0,1,1,0,0,6,0.12901394,0.016828725,0.8541573,Neu,0.11218522,bluegrasscap
37,2018-03-30 18:00:03,Nygren on evaluating declining ROIC in a high quality business  ,0,1,0,2,3,24,0.76215744,0.14220552,0.09563706,Pos,0.6199519,bluegrasscap
38,2018-03-30 17:57:03,"Yesterday a friend detailed their recent trip abroad & the bundled travel package they got via Expedia. I asked if they also looked on Booking. ""What is booking dot com?"" US penetration still a ways to go.",1,1,0,7,1,10,0.03755306,0.04054804,0.9218989,Neu,-0.0029949807,bluegrasscap
