,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-02 21:53:03,See which stocks are hot...Today's Biggest Breakouts    1:53pm pst,0,1,0,0,0,0,0.03694584,0.06706866,0.89598554,Neu,-0.03012282,breakoutstocks
2,2018-04-02 17:06:01,Top Performing Breakout Stocks in the last 7 days    9:06am pst,0,1,0,0,1,1,0.14508085,0.23046379,0.6244554,Neu,-0.08538294,breakoutstocks
3,2018-04-02 14:12:00,Don't get left behind...Stocks to Watch     6:11am pst  stocks,1,1,0,0,1,0,0.02375189,0.062014915,0.9142332,Neu,-0.038263023,breakoutstocks
4,2018-04-02 01:16:00,Stocks Watch     5:15pm pst  stocks,0,1,0,0,1,2,0.019948065,0.07445742,0.9055945,Neu,-0.054509357,breakoutstocks
6,2018-03-31 22:55:04,Top 5 Performing Breakout Stocks within the last Month    $AMTX $SMRT $OMEX,0,1,0,0,3,5,0.071335055,0.031208463,0.89745647,Neu,0.040126592,breakoutstocks
7,2018-03-31 20:11:01,Tired of market opinions? Get the facts   stocks,0,1,0,0,0,1,0.04207851,0.0332755,0.92464596,Neu,0.00880301,breakoutstocks
8,2018-03-31 15:35:01,Top Performing Breakout Stocks of the Week    7:35am pst,0,1,0,0,0,2,0.114598565,0.1075733,0.7778281,Neu,0.007025264,breakoutstocks
9,2018-03-31 13:25:04,Create a system or add on to an exisiting system using our data  ,0,1,0,0,0,1,0.049364965,0.013886714,0.93674827,Neu,0.03547825,breakoutstocks
10,2018-03-31 06:56:03,What are Breakout Stocks?  ,0,1,0,0,0,2,0.022138298,0.108874254,0.86898744,Neu,-0.08673596,breakoutstocks
12,2018-03-31 01:46:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
13,2018-03-30 21:47:05,Stocks Close to Breaking Out     1:47pm pst,0,1,0,0,0,1,0.07146112,0.07621037,0.85232854,Neu,-0.0047492534,breakoutstocks
20,2018-03-30 02:02:02,Active stocks breaking out     6:02pm pst,0,1,0,0,2,1,0.025990183,0.08479294,0.8892169,Neu,-0.05880276,breakoutstocks
26,2018-03-29 12:20:05,"""Believing your thoughts is the primary cause of all suffering"" - trading coach Van Tharp",0,1,0,0,0,0,0.05480821,0.24159071,0.70360106,Neu,-0.1867825,breakoutstocks
31,2018-03-28 19:22:02,Top Performing Breakout Stocks within the last Week   $OMEX $SHOS $CDNA,0,1,0,0,1,1,0.5474454,0.027819898,0.4247347,Pos,0.51962554,breakoutstocks
38,2018-03-27 21:54:04,5 stocks getting crushed  ,1,1,0,0,1,0,0.12209574,0.6106218,0.26728246,Neg,-0.48852608,breakoutstocks
43,2018-03-27 13:08:05,Active stocks breaking out     5:08am pst,0,1,0,0,0,1,0.026934804,0.075890556,0.89717466,Neu,-0.048955753,breakoutstocks
44,2018-03-27 07:40:01,"""It never was my thinking that made the big money for me. It always was my sitting...my sitting tight!"" - Jesse Livermore stocks",1,1,0,0,1,2,0.04321048,0.05353668,0.9032528,Neu,-0.010326199,breakoutstocks
46,2018-03-27 02:17:05,5 stocks that breakout often    6:17pm pst,0,1,0,0,1,0,0.04012543,0.23489814,0.7249764,Neu,-0.1947727,breakoutstocks
48,2018-03-26 19:20:03,Active stocks breaking out    $PBR $LOW $FINL,0,1,0,0,1,0,0.084755756,0.7673039,0.14794034,Neg,-0.6825481,breakoutstocks
52,2018-03-26 01:38:03,Top Stocks Close to Breaking Out     5:38pm pst,0,1,0,2,0,3,0.05815041,0.07729644,0.86455315,Neu,-0.019146033,breakoutstocks
54,2018-03-25 19:06:02,Stocks that breakdown often   11:06am pst,0,1,0,0,0,0,0.017919127,0.222642,0.75943893,Neu,-0.20472288,breakoutstocks
56,2018-03-24 18:32:01,See which stocks do the best after breaking out  ,0,1,0,0,0,1,0.068433136,0.020868598,0.9106983,Neu,0.047564536,breakoutstocks
57,2018-03-24 14:37:03,Top Performing Breakout Stocks of the Week    7:37am pst,0,1,0,0,1,0,0.105535425,0.1263189,0.7681457,Neu,-0.020783477,breakoutstocks
61,2018-03-24 00:34:01,Best performing breakout stocks of the day    5:34pm pst,0,1,0,0,1,1,0.22526258,0.18460225,0.5901352,Neu,0.040660337,breakoutstocks
69,2018-03-23 04:23:00,Big Dropping Breakdowns    $ANTH $EVEP $ARDM,0,1,0,0,0,0,0.06482565,0.29277554,0.6423988,Neu,-0.22794989,breakoutstocks
70,2018-03-23 01:14:04,Don't get left behind...Stocks to Watch - Breakdowns     6:14pm pst,1,1,0,0,2,0,0.022595309,0.14759222,0.82981247,Neu,-0.12499691,breakoutstocks
72,2018-03-22 18:24:02,Active stocks breaking out    $GRPN $P $GES $OMER,0,1,0,1,0,0,0.3103794,0.06985848,0.6197622,Neu,0.24052091,breakoutstocks
76,2018-03-22 12:17:00,Stocks that breakout often    5:17am pst,0,1,0,0,0,0,0.024207754,0.17099704,0.8047952,Neu,-0.14678928,breakoutstocks
77,2018-03-22 06:51:01,See which stocks are hot...Today's Biggest Breakouts   11:51pm pst,0,1,0,0,0,0,0.04029703,0.06630583,0.89339715,Neu,-0.0260088,breakoutstocks
80,2018-03-21 21:48:01,Stocks that breakout often   $BMO $WEN $ETN,0,1,0,0,0,0,0.06786355,0.20956494,0.7225715,Neu,-0.1417014,breakoutstocks
81,2018-03-21 18:25:05,Active stocks breaking out    $JNUG $MRO $CHK $USO $RIG $LIQT,0,1,0,0,2,1,0.38859826,0.08919526,0.5222064,Neu,0.299403,breakoutstocks
86,2018-03-21 06:47:05,"""Risk comes from not knowing what you are doing"" - Warren Buffett",0,1,0,0,0,2,0.033505194,0.08766486,0.87883,Neu,-0.054159664,breakoutstocks
