,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-02 00:41:01, ?? You mean cherry coke and mcdonalds with extra salt is not a wise diet plan?,0,1,0,0,0,5,0.041456148,0.046472847,0.912071,Neu,-0.0050166994,callum_thomas
2,2018-04-01 20:21:00,"On the bond side looks like investors slowly reassessing their bearish fundamentals view...  if these guys are right, could see a rally in bonds... 10-year to dip below 2.5??  ",0,1,1,2,0,4,0.10047744,0.8167629,0.08275962,Neg,-0.71628547,callum_thomas
4,2018-04-01 20:05:00," thanks, appreciate you saying!",0,1,0,0,0,0,0.72614574,0.026271105,0.24758315,Pos,0.69987464,callum_thomas
7,2018-04-01 19:40:00,  mentioned here:   may well just be a contrarian signal.... shows at least heightened bearishness/fear,1,1,1,0,1,2,0.074771,0.29172257,0.6335065,Neu,-0.21695156,callum_thomas
8,2018-04-01 19:36:02," elements of truth, but a number of indicators are truly in fear mode. we shall see!",0,1,1,0,0,0,0.072449215,0.21554954,0.71200126,Neu,-0.14310032,callum_thomas
9,2018-04-01 19:35:00,  seems to be less skittish to noise than stocks...,0,1,0,0,0,2,0.106644176,0.5014103,0.3919456,Neg,-0.39476612,callum_thomas
10,2018-04-01 06:00:04, here you go  ,0,1,0,0,1,0,0.06238356,0.034113064,0.9035034,Neu,0.028270494,callum_thomas
13,2018-03-31 20:13:01,Your *bonds* view/positioning is (primary reason in brackets): [Bearish = rising yields] [Bullish = falling yields],0,1,0,1,4,5,0.0429661,0.58009136,0.37694257,Neg,-0.53712523,callum_thomas
14,2018-03-31 20:12:02,Your equities view/positioning is (primary reason in brackets):,0,1,0,4,5,5,0.028929437,0.022533905,0.9485367,Neu,0.006395532,callum_thomas
17,2018-03-31 20:06:04,9. Tying in with that previous divergence is another gap here - catch up time for credit spreads?    $JNK $HYG  ,0,1,0,0,15,11,0.09488429,0.108402684,0.7967131,Neu,-0.013518393,callum_thomas
19,2018-03-31 20:02:04,7. Trump tweets vs the market... maybe he's just busy with other things.......  h/t   $SPX $SPY  ,0,1,0,3,12,46,0.029666124,0.23893982,0.731394,Neu,-0.2092737,callum_thomas
20,2018-03-31 20:00:01,6. Put-call-panic: are put buyers going to get caught wrong-footed? or are they justifiably fearful?  h/t @ WillieDelwiche  $SPX $SPY  ,1,1,0,2,13,25,0.026817545,0.58644634,0.38673615,Neg,-0.5596288,callum_thomas
21,2018-03-31 19:57:04,5. The surge in inverse ETF demand shows a element of panic in the market - contrarian indicator?  h/t   ,0,1,0,3,24,44,0.048559856,0.8103087,0.14113146,Neg,-0.76174885,callum_thomas
22,2018-03-31 19:56:03,"4. Thanks to the drop in prices and rise in forward earnings, the forward PE ratio looks cheaper...  h/t   $SPX $SPY  ",0,1,0,1,22,51,0.8827661,0.026919123,0.0903147,Pos,0.855847,callum_thomas
23,2018-03-31 19:54:03,"3. North American institutional investors appear to be ""buying the dip""    $SPX $SPY  ",0,1,0,1,14,20,0.4416708,0.023241632,0.5350876,Neu,0.41842917,callum_thomas
25,2018-03-31 19:51:03,1. First up is some perspective on corrections - they can take anywhere from 97 to 417 days to fully run their course. h/t  $SPX  ,0,1,1,2,53,69,0.046166435,0.017738717,0.9360948,Neu,0.028427718,callum_thomas
27,2018-03-31 05:14:01,A few key macro variables rolling over...  ,0,1,0,0,1,8,0.12485545,0.24721436,0.62793016,Neu,-0.12235891,callum_thomas
28,2018-03-30 03:55:00,Sneak preview of the latest weekly report (warning: goldbugs - parental guidance is recommended)  ,1,1,0,0,1,1,0.037782665,0.036109302,0.92610806,Neu,0.0016733631,callum_thomas
29,2018-03-30 03:53:05,"You've heard of the PMI, but what about the CMI?  ",1,1,0,0,0,2,0.032979067,0.042187426,0.92483354,Neu,-0.009208359,callum_thomas
30,2018-03-29 12:01:01, Gold is on borrowed time,0,1,0,1,0,1,0.19666404,0.050622344,0.7527136,Neu,0.14604169,callum_thomas
32,2018-03-29 11:23:04,"Theory on KJU: -He started listening to podcasts --started to improve his diet, lift weights, intermittent fasting --set goals --massive action plan --reinvents self --normalizes global diplomatic relations --brings NK into a cn-style econ miracle ---then he starts a podcast",1,1,0,1,0,6,0.10238825,0.01349046,0.88412124,Neu,0.08889779,callum_thomas
33,2018-03-28 22:49:04," Markets party talk: BTFD = buy the feta dip BTFAH = bring the fruit alcohol, homie STFR = snag that french rye",0,1,0,1,0,2,0.0981714,0.012666987,0.88916165,Neu,0.08550441,callum_thomas
