,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-05 13:05:04,"  Good tips. I just found an awesome new app that I am using called screen time. I can tracks apps, time and I can award additional usage time to each kid based on achievements (clean room, chores, etc.)",1,1,1,0,0,1,0.13120912,0.013937638,0.8548532,Neu,0.11727148,fainvestors
1,2018-04-05 12:20:01,7 Ways to Help You Cut College Costs! Read the Article...    ,0,1,0,0,0,0,0.09182807,0.019850248,0.88832164,Neu,0.071977824,fainvestors
2,2018-04-04 20:38:03,I added a video to a  playlist   Stock Market Volatility: Is This A Red Dot Moment?,1,1,0,0,0,0,0.037582893,0.080572814,0.8818443,Neu,-0.04298992,fainvestors
3,2018-04-04 20:34:01,Stock Market Volatility: Is This A Red Dot Moment?:   via ,0,1,0,0,0,0,0.039660785,0.078071535,0.88226765,Neu,-0.03841075,fainvestors
4,2018-04-04 16:17:00,But this time it’s different- lol  ,0,1,0,0,0,0,0.051706318,0.040242754,0.9080509,Neu,0.011463564,fainvestors
8,2018-04-04 01:09:01,Interesting idea  ,0,1,0,0,0,0,0.17484598,0.0168238,0.80833024,Neu,0.15802218,fainvestors
9,2018-04-03 12:20:00,Opportunity is missed by most people because it is dress in overalls and looks like work. $quote    ,1,1,0,0,0,0,0.032684352,0.08635122,0.8809644,Neu,-0.05366687,fainvestors
10,2018-04-02 12:20:00,"Thought: If you are not criticized, you may not be doing much. quote motivation  ",1,1,1,0,0,0,0.04513369,0.14837635,0.8064899,Neu,-0.10324265,fainvestors
11,2018-04-01 17:55:05, I bet I could use that prop wash on my boat. Anything to make it go faster. Lol,0,1,1,0,0,0,0.083854534,0.019506916,0.8966386,Neu,0.06434762,fainvestors
12,2018-04-01 17:29:02, Be sure to get blinker fluid while you are there! I thought mine had a flux capacitor but I was too scared to go above 88 mph...  ,1,1,0,1,0,0,0.069259964,0.08861773,0.8421223,Neu,-0.019357763,fainvestors
13,2018-04-01 14:15:00,"Need to remember this one: The key is not to prioritize what is on the schedule, but to schedule your priorities. motivate quote  ",0,1,0,0,0,0,0.05370652,0.017809024,0.92848444,Neu,0.035897493,fainvestors
14,2018-03-31 14:15:00,Happiness doesn't depend on what we have... $quote    ,0,1,0,0,0,0,0.05725869,0.024174506,0.91856676,Neu,0.033084184,fainvestors
15,2018-03-31 00:40:00,"Steve, my time machine is broken... how about yours? Lol everydayisanewday  ",1,1,0,0,0,4,0.032385077,0.22503503,0.7425799,Neu,-0.19264995,fainvestors
16,2018-03-30 12:20:00,Stream vs. Rock - Stream always wins. Why you ask?  Motivation  ,0,1,0,0,0,0,0.067122474,0.021790987,0.91108656,Neu,0.045331486,fainvestors
17,2018-03-29 12:20:01,"Whether it's praise, love, criticism, money, time, power, punishment, space, sorrow, laughter... quote $spy    ",0,1,0,0,0,1,0.037200917,0.030603975,0.9321952,Neu,0.0065969415,fainvestors
19,2018-03-28 04:10:02,"Growing and engaging with the right tweeps - gained 16 new followers in the past week, courtesy  ",1,1,0,0,0,1,0.8304175,0.008337086,0.16124532,Pos,0.82208043,fainvestors
20,2018-03-27 14:59:00,"What goes up, must come down...  ",0,1,1,0,0,0,0.04554409,0.16085586,0.7936,Neu,-0.11531177,fainvestors
21,2018-03-27 12:20:01,A real decision is measured by the fact... quote  ,1,1,0,0,0,0,0.062108446,0.028541684,0.90934986,Neu,0.03356676,fainvestors
22,2018-03-27 12:03:03, Not to mention all of the shares MZ has dumped over the past 90 days.,1,1,0,1,0,2,0.02036716,0.63880223,0.34083062,Neg,-0.6184351,fainvestors
24,2018-03-25 14:15:00,"There is little difference in the people, but that little difference makes a big difference... $quote    ",0,1,0,0,0,0,0.09189992,0.02505557,0.88304454,Neu,0.066844344,fainvestors
25,2018-03-24 20:48:02, I’m hoping for K State. Never saw them play before tournament but my game picking system has them winning it all so I am riding it for all it’s worth.,1,1,0,1,0,0,0.11492552,0.015647564,0.8694269,Neu,0.09927796,fainvestors
26,2018-03-24 13:15:00,There is only one you... Don't change just because you're outnumbered! -- Charles Swindoll lifelesson motivation selflove  ,0,1,0,0,0,0,0.04614408,0.04885838,0.9049976,Neu,-0.0027143024,fainvestors
27,2018-03-23 11:20:00,"As soon as you trust yourself, you will know how to live. Johann Wolfgang von Goethe life, trust quote follow  ",0,1,1,0,0,1,0.053978145,0.025460571,0.92056125,Neu,0.028517574,fainvestors
28,2018-03-22 11:20:00,It's not how much we give but how much love we put into giving. motivation quote  ,1,1,0,0,0,1,0.05086876,0.02051741,0.92861384,Neu,0.03035135,fainvestors
29,2018-03-21 11:20:00,Few of us ever live in the present. We are forever anticipating what is to come or remebering what has gone. -- Louis L'Amour quote life follow  ,1,1,0,0,0,2,0.03953182,0.050034765,0.9104334,Neu,-0.010502946,fainvestors
30,2018-03-20 11:20:00,"Of all the gifts You have offered to God, Your happiness-gift He treasures most. -- Sri Chinmoy quote God Love  ",1,1,0,0,0,0,0.08919021,0.017863018,0.8929468,Neu,0.07132719,fainvestors
32,2018-03-19 19:35:04," Rhett, did you see all of the shares unloaded by MZ?",1,1,0,0,0,1,0.06207797,0.055312913,0.88260907,Neu,0.0067650564,fainvestors
33,2018-03-19 19:32:01,Is bitcoin a “tulip mania”? What’s your view?,1,1,0,0,0,0,0.030150766,0.1427619,0.8270873,Neu,-0.11261114,fainvestors
34,2018-03-19 19:32:01,A weaker dollar hurts Japan and Germany (savers) and helps US and UK (spenders). What do you think Will the weaker US dollar trend continue? $USD $SPY,0,1,0,0,0,1,0.07013719,0.7088811,0.22098172,Neg,-0.6387439,fainvestors
35,2018-03-19 11:20:01,The only place where your dreams become impossible is in your own thinking. -- Robert H. Schuller quote retweet motivation  ,0,1,0,0,0,0,0.025953475,0.06906413,0.90498245,Neu,-0.043110657,fainvestors
36,2018-03-18 13:15:00,"They always say time changes things, but you actually have to change them yourself. -- Andy Warhol quote life follow  ",0,1,0,0,0,1,0.028993526,0.06171046,0.90929604,Neu,-0.03271693,fainvestors
37,2018-03-17 13:15:01,"Love is a force more formidable than any other. It is invisible, it cannot be seen or measured, yet it is powerful enough to transform you in a moment, and offer you more joy than any material possession could. -- Barbara DeAngelis love quote follow  ",1,1,1,0,0,0,0.046100643,0.029635943,0.92426336,Neu,0.016464699,fainvestors
38,2018-03-16 19:04:04,"Greg, wrecked cars are flying too - Copart $cprt  ",1,1,0,0,0,0,0.055576794,0.22054099,0.72388226,Neu,-0.1649642,fainvestors
39,2018-03-16 11:20:01,"Many of our fears are tissue paper thin, and a single courageous step would carry us clear through them. -- Brendan Francis quote life motivation  ",0,1,1,0,0,0,0.08130644,0.021705566,0.896988,Neu,0.059600875,fainvestors
40,2018-03-16 02:26:00,"Gained 18 new followers in the past week. I’m growing my account the right way, are you? Do it with  ",1,1,0,0,1,0,0.1611207,0.011773783,0.8271056,Neu,0.14934692,fainvestors
43,2018-03-14 11:20:01,"It has to start someplace, it has to start sometime, what better place than here, what better time than now. -- Mellow Yellow quote life motivation  ",0,1,0,0,0,0,0.039278917,0.030865405,0.92985564,Neu,0.008413512,fainvestors
45,2018-03-13 21:05:02, Completely understand. I’ve been pinging friends and family with older kids to get ahead of the curve. LifeofDad,1,1,0,0,0,1,0.068728186,0.029002419,0.9022694,Neu,0.039725766,fainvestors
46,2018-03-13 15:46:04," Art you have to see the insider selling in $FB. I’m out of my position for other reasons, but that’s a lot of shares sold in last 60 Days... worth noting. Thanks for all your Market commentary. longtimefollower",1,1,0,0,0,0,0.06949228,0.058130734,0.872377,Neu,0.011361547,fainvestors
47,2018-03-13 15:41:03, I’m looking at app “OurPact” based on article —  ,1,1,0,1,0,0,0.035346612,0.021261577,0.9433918,Neu,0.014085036,fainvestors
48,2018-03-13 15:39:05, Following...,0,1,0,0,0,0,0.06035649,0.036522847,0.90312064,Neu,0.023833644,fainvestors
49,2018-03-13 11:20:00,The most valuable thing you can make is a mistake - you can't learn anything from being perfect. Adam Osborne quote life motivation  ,0,1,1,0,0,0,0.033703066,0.1610062,0.8052907,Neu,-0.12730312,fainvestors
50,2018-03-13 03:24:02," Did you see all of the insider selling at $FB ? MZ is dropping tons of shares. Interesting. — I don’t own any right now, rolled out a few weeks back. Maybe that was a good thing.",1,1,0,0,0,0,0.08776272,0.25244662,0.6597907,Neu,-0.16468391,fainvestors
51,2018-03-12 11:20:00,"Whatever you want to do, do it now. There are only so many tomorrows. Michael Landon quote life motivation  ",0,1,0,0,0,0,0.03268872,0.041965645,0.92534566,Neu,-0.0092769265,fainvestors
53,2018-03-12 02:38:01, See attached -- Saw your March 6 $FB chart. I noticed Mark Zuckerberg has unloaded a lot of shares. OVER $200M  since 3/1. Total of 5.3M shares sold in last 60 days from insiders. Will be watching this one.  Disclosure: No current postion in $FB  ,1,1,1,0,0,0,0.051838294,0.0313577,0.916804,Neu,0.020480596,fainvestors
54,2018-03-11 13:15:01,Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon. Susan Ertz quote life motivation  ,0,1,0,0,0,0,0.027472198,0.09938246,0.8731454,Neu,-0.07191026,fainvestors
55,2018-03-10 14:15:00,"What you believe yourself to be, you are. Claude M. Bristol quote life motivation  ",0,1,0,0,0,1,0.041040238,0.03128471,0.927675,Neu,0.009755529,fainvestors
