,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 23:35:01,$VNO has some interesting disclosures related to 666 Fifth Ave. and includes property in its forward-looking statements.  ,1,1,0,0,0,1,0.06766356,0.012368289,0.9199681,Neu,0.05529527,footnoted
2,2018-04-02 02:50:02,  Wow. Reading the transcript makes me realize how much I say the words “you know”.,0,1,0,1,0,1,0.052356604,0.034887128,0.91275626,Neu,0.017469477,footnoted
4,2018-03-28 21:44:02,Not true! Our name says it all!  ,0,1,0,0,0,4,0.037201267,0.09629948,0.86649925,Neu,-0.05909821,footnoted
6,2018-03-19 18:54:01,"Now that  finance has been made over (not for the better), what’s your favorite free tool for tracking both real portfolios and a watchlist? Prefer it all on one page.",1,1,0,5,0,6,0.035050474,0.025878763,0.9390707,Neu,0.009171711,footnoted
7,2018-03-19 18:48:04,Walked into my local  to pick up a few things and they were shooting  Big Little Lies. Saw  at the bulk foods area. mydayinla,1,1,0,1,0,3,0.027829936,0.16559342,0.8065766,Neu,-0.13776349,footnoted
8,2018-03-19 15:30:02,Lovely way to start my Monday!  alerts me to fraud from  Guy says there seems to be issue with Hulu security.,0,1,0,1,0,2,0.015026776,0.9315526,0.05342063,Neg,-0.91652584,footnoted
9,2018-03-16 23:16:03,"For companies on a calendar year, it’s April 30, so about 45 days left.  ",1,1,0,0,0,1,0.017775998,0.24498947,0.7372346,Neu,-0.22721347,footnoted
10,2018-03-16 23:14:04," I will, but now that my blood has thinned from being in LA, it might have to wait until late spring!",1,1,1,1,0,0,0.047708046,0.4864286,0.46586338,Neg,-0.43872055,footnoted
11,2018-03-16 22:41:01,Awww…makes me miss the Hudson Valley!  ,0,1,0,1,0,2,0.098045096,0.12861337,0.77334154,Neu,-0.030568272,footnoted
12,2018-03-16 20:15:00,Today’s D-day for those companies who are on a Dec. 31 year and didn’t get their Ks in on March 2.,0,1,0,1,2,6,0.03439415,0.5351116,0.43049428,Neg,-0.50071746,footnoted
13,2018-03-16 01:28:01,  Yes. Agreed. I once talked to someone who was involved who worked there and he said nobody really cared about the finance site. It shows.,1,1,0,0,0,0,0.059862394,0.03077168,0.90936595,Neu,0.029090714,footnoted
14,2018-03-16 01:20:01,Looks like  finally pulled the plug on the new Google Finance site. But not all the tabs are working for some odd reason.,1,1,0,4,0,2,0.038116824,0.20738621,0.75449693,Neu,-0.16926938,footnoted
16,2018-03-15 18:48:03,"Agreed. We only went there when some relative sent my son a gift card. And even then, it was a fight between my dislike for the store and the thought of leaving money on the table!  ",1,1,0,1,0,2,0.054277286,0.39217064,0.55355203,Neu,-0.33789337,footnoted
18,2018-03-14 22:12:05,"There are a number of options, but most of them cost money. Free ones include   and    ",0,1,0,0,3,8,0.0352596,0.020972246,0.9437682,Neu,0.014287354,footnoted
19,2018-03-14 16:43:01,"SEC been on a bit of a spree this week. Wondering what tomorrow will bring! RT  File under, “If it appears to be too good to be true…”",1,1,1,1,0,4,0.029077731,0.37959576,0.5913265,Neu,-0.35051802,footnoted
20,2018-03-13 04:03:02,"Interesting letter from $RGR after being approached by “some shareholders” seeking to meet with the Board. Ends with “we note again that we manufacture a lawful product, the ownership of which is constitutionally protected.”  ",1,1,0,0,1,4,0.35503316,0.01583957,0.62912726,Neu,0.33919358,footnoted
21,2018-03-11 18:46:05,Interesting story by  on CEO pay ratios. Am guessing this rule will disappear soon.  ,0,1,1,2,9,15,0.03081771,0.49535704,0.47382528,Neg,-0.46453932,footnoted
22,2018-03-09 22:50:02,"Reality TV king Mark Burnett decides to leave board of $NH, the company controlled by future  owner Patrick Soon-Shiung. Seems like a story here. fridayngithdump  ",1,1,0,0,3,0,0.025542375,0.15314351,0.8213141,Neu,-0.12760113,footnoted
24,2018-03-07 20:21:03,"Ha! Mr. Footnoted worked on this show for years and I often reference the show when I do presentations on SEC filings, since I also have to put seemingly obvious clues together!  ",1,1,0,1,0,5,0.0394635,0.04160556,0.91893095,Neu,-0.0021420568,footnoted
25,2018-03-06 20:12:04,"If you read financial content online, please read this story. Trolls not limiting their efforts to politics, as this  story points out. Sites such as    have published these articles!  ",1,1,0,0,3,8,0.03971819,0.026445964,0.9338358,Neu,0.013272224,footnoted
