,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-20 13:34:03,"If Criteo were to experience 1% of the scrutiny that Facebook currently is, for their privacy violations, most of the company's revenues would simply go away, At least Facebook gives back something to users and has their affirmative consent. cc:  $CRTO $FB",1,1,1,1,6,12,0.027199024,0.12139898,0.8514019,Neu,-0.094199955,gothamresearch
2,2018-03-15 12:49:02,Theranos is still facing a criminal investigation led by the U.S. attorney’s office in San Francisco (unclear if fraudster CEO Elizabeth Holmes is facing criminal charges):  ,1,1,0,2,3,8,0.024604956,0.5658943,0.4095007,Neg,-0.5412893,gothamresearch
4,2018-03-15 12:46:03,"In October 2015, we wrote: ""Regarding Theranos: the last time we saw a company's customers publicly disputing & questioning its relationship with the company was Gowex.""  Yesterday, the SEC announced it had charged Theranos, CEO Holmes, & ex President Balwani with massive fraud.  ",1,1,0,2,6,6,0.03112805,0.54566604,0.42320594,Neg,-0.514538,gothamresearch
5,2018-01-23 14:20:05,"In case you missed it, this was our Quindell PLC report released April 22, 2014:     In it, we wrote: ""41% of Quindell’s 2011 revenues came from an undisclosed related party (controlled by a QPP executive)""  (News today relates to Quindell's 2011 accounts)",1,1,0,0,1,6,0.019916091,0.035381857,0.944702,Neu,-0.015465766,gothamresearch
6,2018-01-23 11:17:00,The UK Serious Fraud Office’s criminal investigation of Quindell remains ongoing as referred to below:  ,1,1,0,1,2,5,0.020143898,0.14614126,0.83371484,Neu,-0.12599736,gothamresearch
7,2018-01-23 11:12:02,"UK’s Financial Reporting Council has fined £700,000 a former auditor of Quindell. Gotham City Research exposes Quindell’s dubious practices in April of 2014.    ",1,1,0,1,5,10,0.017401386,0.86136377,0.1212348,Neg,-0.8439624,gothamresearch
9,2017-12-18 16:54:02,"On Criteo's HSTS supercookie: ""Here's a description of how it works. Implementing this for real takes some impressive amount of evil.""  ",0,1,0,0,4,3,0.053902,0.031799823,0.9142982,Neu,0.022102177,gothamresearch
10,2017-12-18 15:18:02,"Here's what self described ""Privacy engineer at Google, privacy researcher at the ETH"" has to say about Criteo $CRTO :  ",1,1,0,1,3,7,0.033767104,0.030844962,0.93538797,Neu,0.002922142,gothamresearch
11,2017-12-14 16:33:00,"On September 21st we wrote ""Criteo: The true Fraudster in the Adtech Industry?""    $CRTO stock promoters dismiss us for being wrong about Criteo & ad fraud. If so, why did Criteo start offering domain level transparency, starting November?",1,1,0,0,5,14,0.03219011,0.26688173,0.70092815,Neu,-0.23469162,gothamresearch
12,2017-12-14 16:12:03,"On October 12th we wrote a report titled: ""Criteo SA (NASDAQ: $CRTO): Why We Believe Criteo’s Undisclosed Practices are Illegal and Harmful to Advertisers""    Reposting, for those who did not get a chance to read it (FYI there are more shoes to drop).",1,1,0,0,6,26,0.022388266,0.6184706,0.3591411,Neg,-0.5960823,gothamresearch
