,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 21:44:03, It's dropping January now,0,1,0,0,0,0,0.033204462,0.91381234,0.05298319,Neg,-0.8806079,hmeisler
4,2018-03-31 14:59:00, many other sentiment indicators are not at extremes the way they might normally be but i am not a fan of rydex since i simply think it doesn't much matter anymore. just IMHO,0,1,1,1,0,1,0.037552096,0.061283085,0.9011648,Neu,-0.02373099,hmeisler
5,2018-03-31 14:48:05, this is what happens in Banana Republics. Does Congress even give a crap?,0,1,0,0,0,2,0.027296698,0.18683404,0.78586924,Neu,-0.15953735,hmeisler
6,2018-03-31 14:29:05, Here's my issue with this. How much is Rydex still used? With the advent of ETFs and their enormous growth I'm not so sure this is still a great tell.,1,1,0,1,0,0,0.096970536,0.04507889,0.85795057,Neu,0.051891647,hmeisler
7,2018-03-31 14:28:03,  ROFL I have been waiting for months. To no avail.,1,1,0,0,0,0,0.058338605,0.27053678,0.67112464,Neu,-0.21219817,hmeisler
8,2018-03-31 14:27:03,  smalls doing better than bigs.,0,1,0,1,0,1,0.9404115,0.020877367,0.038711123,Pos,0.91953415,hmeisler
11,2018-03-31 14:03:00,This is for  (Yes sometimes I take requests!!)  IWM:QQQ  ,0,1,0,4,2,8,0.034595296,0.029326575,0.93607813,Neu,0.005268721,hmeisler
12,2018-03-31 13:32:00, I think we have called them reluctant in the past :),1,1,0,0,1,0,0.054772437,0.11109436,0.8341332,Neu,-0.056321926,hmeisler
13,2018-03-31 13:31:03," it can be interpreted anyway you would like it to be. I say nothing like price to change sentiment. bulls at highs, not so much anymore.",1,1,1,0,0,0,0.05900537,0.028434094,0.9125606,Neu,0.030571274,hmeisler
18,2018-03-30 22:07:03,  1987 had plenty of other issues. one indicator on its own does not tell the whole story.,1,1,0,1,0,2,0.024693782,0.12949981,0.8458064,Neu,-0.10480603,hmeisler
19,2018-03-30 22:06:00, a) thank you. b) not overbought is how I would now term it,1,1,1,1,0,2,0.08844101,0.014706687,0.8968524,Neu,0.07373432,hmeisler
20,2018-03-30 22:05:01, yes but a much shorter time frame so the implications are not the same for the big trend,0,1,0,0,0,0,0.043500096,0.039620787,0.9168791,Neu,0.0038793087,hmeisler
22,2018-03-30 16:14:01, OMG. Hah. that's great.,0,1,0,0,0,1,0.7119295,0.014441664,0.27362883,Pos,0.69748783,hmeisler
23,2018-03-30 16:13:04," No, they meant NOW.",0,1,0,1,0,0,0.05621299,0.08529305,0.858494,Neu,-0.029080056,hmeisler
24,2018-03-30 16:12:05, You are stronger than I could ever hope to be!,0,1,1,0,0,0,0.48372945,0.022757586,0.49351296,Neu,0.46097186,hmeisler
26,2018-03-30 13:04:00,    Oh sorry. I don't know.,0,1,0,0,0,0,0.04832916,0.26438418,0.68728673,Neu,-0.21605502,hmeisler
27,2018-03-30 13:03:04, Sure is. Send pencils!,0,1,0,0,0,1,0.05974879,0.028666021,0.9115853,Neu,0.03108277,hmeisler
28,2018-03-30 13:02:03, Look at the bright side. At least you don't need to add a symbol too.,0,1,0,0,0,1,0.08111373,0.020087492,0.8987988,Neu,0.06102624,hmeisler
31,2018-03-30 12:57:00, Right. Don't let facts get in the way of a good story.,0,1,0,1,0,0,0.04950491,0.054258205,0.8962369,Neu,-0.0047532953,hmeisler
32,2018-03-30 12:56:01, gaining valuable sentiment tells!,0,1,0,0,0,1,0.3583469,0.016300043,0.62535304,Neu,0.34204686,hmeisler
33,2018-03-29 22:57:03, I hear you. I just wish they would shut up and speak about what they know and not make it up because folks who don't know charts would look and wonder what am i missing,0,1,1,1,0,1,0.027566481,0.37868252,0.593751,Neu,-0.35111603,hmeisler
34,2018-03-29 22:55:05, I am lazy :),0,1,0,0,0,0,0.032887224,0.46977246,0.49734023,Neu,-0.43688524,hmeisler
35,2018-03-29 22:55:00, at least you get it!,0,1,0,0,0,0,0.34936854,0.021222979,0.6294085,Neu,0.32814556,hmeisler
36,2018-03-29 22:54:04," even at that they weren't. AMZN did not take out yesterday's high and TSLA did.  As I said, not the same. They should stop making stuff up",1,1,1,2,0,2,0.056348577,0.0735678,0.8700837,Neu,-0.017219223,hmeisler
40,2018-03-29 22:28:03, He is not on so I don't know.,0,1,0,0,0,0,0.03596416,0.18871924,0.7753166,Neu,-0.15275508,hmeisler
41,2018-03-29 22:28:00, I missed the beginning. did he explain what/how he gets FV?,1,1,0,1,0,0,0.03736292,0.068742186,0.89389485,Neu,-0.031379268,hmeisler
42,2018-03-29 22:19:01, then say that. don't say they have the same chart. two different things. makes a mockery out of chart reading which clearly they have zero skills at.,1,1,0,0,0,0,0.023003636,0.67459285,0.30240345,Neg,-0.6515892,hmeisler
43,2018-03-29 22:14:03, either way it's stupid and ignorant to even say that,0,1,0,1,0,1,0.029693786,0.43431172,0.53599447,Neu,-0.40461794,hmeisler
44,2018-03-29 22:14:00, 1) it's pouring rain 2) then i would have missed grasso selling all his stocks last nite which was bullish for today!,1,1,1,1,0,1,0.12256569,0.12781525,0.74961907,Neu,-0.00524956,hmeisler
45,2018-03-29 22:10:05," Seriously, did you hear that? what are they looking at",1,1,0,2,0,1,0.027753294,0.12844856,0.8437982,Neu,-0.10069527,hmeisler
46,2018-03-29 22:09:04,Fast Money just said AMZN and TSLA are the 'same chart'.  WTF are they looking at? Someone help me.,1,1,0,25,4,88,0.04968418,0.026850883,0.92346495,Neu,0.022833299,hmeisler
47,2018-03-29 21:38:01,This is an evergreen tweet.  ,0,1,0,4,0,13,0.022139292,0.04695468,0.930906,Neu,-0.024815388,hmeisler
49,2018-03-29 19:33:05,These are on sale at COST this week. I bought them. I am weak.  ,1,1,0,17,0,51,0.018974792,0.8780209,0.10300434,Neg,-0.8590461,hmeisler
52,2018-03-29 18:52:05,  Now you're talking Ramp!,0,1,0,0,0,1,0.10214984,0.16571273,0.73213744,Neu,-0.06356289,hmeisler
54,2018-03-29 18:49:03, did you ever consider how often i do?!,1,1,0,0,0,0,0.047998425,0.14998557,0.802016,Neu,-0.10198714,hmeisler
56,2018-03-29 16:22:04,Welp I hate to say this but I am stepping out for a while. Please do try and keep it together while I'm gone.,1,1,0,2,1,13,0.06870797,0.10218408,0.82910794,Neu,-0.033476107,hmeisler
57,2018-03-29 16:17:02,Market rallies to celebrate Opening Day,0,1,0,5,0,22,0.3609967,0.099419735,0.53958356,Neu,0.26157695,hmeisler
58,2018-03-29 16:15:01,This is shaping up to be the best breadth day since 2/23 (NYSE),0,1,0,1,7,12,0.24286458,0.029685823,0.7274496,Neu,0.21317875,hmeisler
60,2018-03-29 16:13:01,I don't know  looks like a good indicator to me.  ,0,1,0,0,2,13,0.11420785,0.025818504,0.85997367,Neu,0.088389345,hmeisler
61,2018-03-29 16:11:00, how's that volume indicator?,0,1,0,1,0,0,0.049597077,0.028510854,0.9218921,Neu,0.021086223,hmeisler
63,2018-03-29 15:42:05,  It's opening day. it's all about the pitch!,0,1,0,0,0,1,0.050519437,0.037685215,0.9117953,Neu,0.012834221,hmeisler
67,2018-03-29 15:18:05,"How vulnerable are 401(k)s to tech stock selloff that has hit Facebook, Amazon shares?   via ",1,1,0,0,0,2,0.028102575,0.46024516,0.51165223,Neu,-0.4321426,hmeisler
