,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-08 00:07:02,Zuma sees his future.  It’s what he deserves.  (ht   ,0,1,0,3,17,48,0.0554707,0.03559445,0.90893483,Neu,0.019876253,ianbremmer
1,2018-04-07 22:08:03,"Moose, stop trying to make fetch happen. It’s not going to happen.  ",1,1,0,8,4,87,0.035041206,0.3661945,0.5987643,Neu,-0.33115327,ianbremmer
2,2018-04-07 21:53:00, And I’m not even an academic.  But I appreciate the thought.,0,1,1,0,0,10,0.086904414,0.03493402,0.8781615,Neu,0.051970392,ianbremmer
3,2018-04-07 21:42:00,Those who study neither history nor politics are doomed to sound really stupid.  ,1,1,0,280,3848,12160,0.022054622,0.56705815,0.4108872,Neg,-0.54500353,ianbremmer
5,2018-04-07 20:38:01,"  But if we colonize Baja, could just make it.",0,1,1,2,0,1,0.1891503,0.008870859,0.8019788,Neu,0.18027945,ianbremmer
6,2018-04-07 20:36:04,Working against tariffs is Working for China? or Working for US economy? and Working for US consumers?  Wholly possible that  doesn’t understand the economy.  ,0,1,0,13,31,92,0.04381179,0.11949424,0.83669394,Neu,-0.07568245,ianbremmer
8,2018-04-07 20:24:03,"If US troops join hands along the Mexico border, that’s kinda like a Wall.   Plus it will look friendly.",1,1,1,25,53,274,0.22733693,0.021654153,0.751009,Neu,0.20568277,ianbremmer
11,2018-04-07 20:05:03,5th time? WhosCounting  ,0,1,0,4,16,56,0.04023392,0.05231665,0.9074495,Neu,-0.0120827295,ianbremmer
13,2018-04-07 14:08:03,BREAKING: “Trump doubles down on...”,0,1,0,20,8,82,0.13668005,0.12681401,0.7365059,Neu,0.009866044,ianbremmer
14,2018-04-07 03:31:04,Kimmel has 3x followers of Hannity. No reason to engage him in a twitter war.   Could make him Troll of the Week.,0,1,0,25,19,202,0.018488964,0.69703066,0.28448033,Neg,-0.6785417,ianbremmer
15,2018-04-07 03:14:00,Moose has seen the future.  ,1,1,0,13,18,250,0.1289432,0.0140185915,0.85703826,Neu,0.11492461,ianbremmer
