,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 23:00:05,"RETWEET if you had a profitable trading week.  If not, what's one lesson you learned from your losses?  ",1,1,0,19,24,41,0.08059491,0.04653814,0.8728669,Neu,0.03405677,investorslive
3,2018-04-06 19:32:00,$RNVA been a while since the Nasdaq delisters came on radar w/ a chart -- will be a watch if .02 breaks next week that'd be only spot that is exciting.,1,1,1,0,4,9,0.1282091,0.020184394,0.85160655,Neu,0.1080247,investorslive
8,2018-04-06 18:50:01, I gotta tell you -- this $LFIN Venkat Meenavalli makes Petit Parker look like a stellar CEO.,1,1,0,1,0,0,0.23188195,0.012432175,0.75568587,Neu,0.21944977,investorslive
9,2018-04-06 18:39:00,WTF It's snowing again.,0,1,0,1,0,0,0.01951097,0.8664755,0.114013374,Neg,-0.84696454,investorslive
10,2018-04-06 18:32:04,$LFIN consolidating,0,1,0,5,0,13,0.17150581,0.0278524,0.8006418,Neu,0.14365341,investorslive
11,2018-04-06 18:32:01,$BLFS been nice - swing idea from 4/2 in room - chart turning up nicely.,1,1,0,0,0,1,0.938742,0.021292541,0.039965477,Pos,0.9174494,investorslive
12,2018-04-06 18:12:00,$MU dip buyers getting smacked.,1,1,0,0,0,1,0.11768891,0.45915568,0.42315537,Neg,-0.34146678,investorslive
14,2018-04-06 17:47:01,In case you missed the other day --  speaks out on SEC Investigation.  ,1,1,0,1,1,1,0.041964028,0.045962416,0.9120736,Neu,-0.0039983876,investorslive
15,2018-04-06 17:43:00,$PTN perks up -- will have to watch into close if they get over $1.30s w/ that $5 PT out this AM (granted -- you need to realize who the PT is from hehe),1,1,1,0,0,0,0.13245888,0.038603865,0.82893723,Neu,0.093855016,investorslive
16,2018-04-06 17:37:02,I think they finally may have figured it out.  ,1,1,1,1,0,2,0.13126814,0.032535568,0.83619636,Neu,0.098732576,investorslive
17,2018-04-06 17:27:00,$I nice off scan so far slow/steady,0,1,0,1,0,5,0.12430789,0.81718224,0.058509864,Neg,-0.6928744,investorslive
18,2018-04-06 17:10:02,Trading is about narrowing your focus so you can keep your eyes on the BEST setups. Here are a few tips    ,0,1,1,0,2,16,0.03515751,0.044198338,0.9206442,Neu,-0.009040829,investorslive
22,2018-04-06 16:37:00,$NVCN ripping,0,1,0,1,0,4,0.03301008,0.038991127,0.9279988,Neu,-0.0059810467,investorslive
23,2018-04-06 15:57:00,"Yo  any chance you have a client ""Venkat Meenavalli"" today on your plane?   Asking for a friend.   $LFIN",0,1,0,3,4,20,0.05179733,0.020240556,0.9279621,Neu,0.031556774,investorslive
24,2018-04-06 15:49:05,Brings new meaning to calculating the incalculable $LFIN   ,0,1,0,4,2,31,0.19584237,0.014451961,0.78970563,Neu,0.1813904,investorslive
