,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-30 07:22:02,"AUDIO: Here's a Q1 overview call into this extended weekend, courtesy of the  GFXI desk. All are welcome to subscribe to their new youtube channel for daily calls, animated technical analysis and special reports. Wishing everyone a meaningful holiday. 👊😎  ",1,1,0,0,0,0,0.07346701,0.01363615,0.9128968,Neu,0.05983086,joelkruger
1,2018-03-30 06:26:04, Vinny - Definitely great for opportunity. We're looking at exactly that - A group of segmented assets within a space that right now..has it all (Crypto Ex-Stable Coins) clumped into 1 trade. Really cool to be eliminating fiat and looking at relative performance crypto to crypto.  ,1,1,0,0,0,3,0.0991399,0.01701737,0.88384277,Neu,0.08212253,joelkruger
2,2018-03-29 16:48:02,Bitcoin's little cousin extends 2018 decline   ether eth $ETH $ETHBTC ethereum,0,1,0,0,0,0,0.028026925,0.9547017,0.017271314,Neg,-0.9266748,joelkruger
4,2018-03-29 11:38:05,When you think you've caught the bottom.....and then you realize you haven't...  ,1,1,0,0,0,1,0.054100864,0.41413933,0.5317598,Neu,-0.36003846,joelkruger
5,2018-03-29 11:36:04,Bitcoin and Ether are falling but what some call bcash (bitcoincash) is falling harder. See $BCHBTC and $BCHETH $BCH BCH,0,1,0,1,0,0,0.04264474,0.8179005,0.13945481,Neg,-0.77525574,joelkruger
6,2018-03-29 11:08:01,Looking forward to catching up. Always good stuff.  ,0,1,0,0,0,0,0.21103875,0.02250721,0.76645404,Neu,0.18853155,joelkruger
8,2018-03-29 10:34:05,"GOLD: Has consolidated sebacks overnight but is still under pressure intraday based on hourly RSI reading. Looks there's room to see declines extend down towards $1300 BUT.....there has been a lot of good support around the barrier, which could set another nice bounce. $XAUUSD  ",1,1,1,0,0,0,0.6038527,0.35715047,0.03899684,Pos,0.24670222,joelkruger
10,2018-03-29 10:30:02,$USDJPY Technicals - Bulls beware  ,0,1,0,0,1,1,0.050880127,0.14675044,0.8023694,Neu,-0.09587031,joelkruger
11,2018-03-29 10:29:05,$GBPUSD Technicals - Taking a step back  ,0,1,0,0,0,0,0.1148753,0.11399307,0.7711317,Neu,0.0008822307,joelkruger
12,2018-03-29 10:29:03,$EURUSD Technicals - Up and down we go  ,0,1,0,0,0,1,0.5197853,0.09674828,0.38346642,Pos,0.423037,joelkruger
14,2018-03-28 19:46:02,What's Really Behind the Drop in Stocks  ,0,1,0,0,0,1,0.043131094,0.319496,0.6373729,Neu,-0.27636492,joelkruger
15,2018-03-28 14:00:04,"Every time you think it's about to break out, it stalls out. GOLD is under quite a bit of pressure intraday, though the market has also been equally well supported on dips. $XAUUSD  ",1,1,0,0,0,0,0.44855,0.28165752,0.2697925,Pos,0.16689247,joelkruger
16,2018-03-28 13:55:03,"$AUDNZD continues to show signs of putting in a longer term bottom, with risk building for a very big bullish reversal.  ",0,1,0,3,1,7,0.507361,0.46655014,0.026088774,Pos,0.040810853,joelkruger
17,2018-03-28 10:35:03,"AUDIO: If it weren't global trade tension from US protectionism, it would be something else....listen in to this  GFXI special report on the state of markets as Q1 2018 winds down. markets stocks sentiment normalization  ",1,1,1,0,0,0,0.06748555,0.07618562,0.8563289,Neu,-0.008700073,joelkruger
18,2018-03-27 20:52:05, Look at that profile photo! There he is!,0,1,0,0,0,0,0.098997705,0.028873537,0.8721288,Neu,0.070124164,joelkruger
20,2018-03-27 20:39:04," Sure. But this doesn't make the Yen a safe haven. It's a funding currency behaving like a safe haven. Initial wave of risk liquidation goes to Yen, but then the correlation should break down on rotation from Yen to real safe haven assets. So eventually USDJPY up even in risk off.",1,1,1,0,0,0,0.43424276,0.1584661,0.40729117,Pos,0.27577665,joelkruger
21,2018-03-27 20:23:00,"  US equities had nearly a decade of immunity to bad news on account of central bank policy that incentivized excessive risk taking, in an effort to artificially prop global sentiment. It's fair to assume the reversal of this policy is triggering the opposite reaction.",1,1,0,1,0,4,0.03298933,0.7959671,0.17104362,Neg,-0.7629778,joelkruger
22,2018-03-27 20:14:03,"FX traders have been having a hard time calling for US Dollar upside despite flight to safety, given US protectionism. But if the Yen, which isn't even a safe haven, can rally in risk off, I think it's fair to assume the Dollar, which is a safe haven, should be able to find bids.",1,1,1,1,0,0,0.83370435,0.055087678,0.11120797,Pos,0.77861667,joelkruger
23,2018-03-27 20:05:05,"One of the best ways to identify an early stage of a bear market is to watch how the market behaves into rallies. The way a trend will go from well supported on dips, to all of a sudden, well capped into rallies, is one of those things that really drives home the change going on.",1,1,1,3,12,50,0.06902582,0.03273632,0.8982378,Neu,0.036289502,joelkruger
24,2018-03-27 12:09:03,This latest $GBPUSD pullback will be more legitimate in terms of signalling a meaningful top if $EURUSD breaks back below 1.2350.,0,1,1,0,1,2,0.4447342,0.412977,0.14228882,Pos,0.031757176,joelkruger
25,2018-03-27 11:28:01,$GBPUSD: I've been skeptical about the Pound's ability to extend much more than what we've already seen at this point in 2018 and have been looking for the market to go through a more significant correction before bullish continuation. Still think 1.3600 area pullback realistic.,1,1,0,0,1,3,0.1011013,0.8569151,0.041983537,Neg,-0.75581384,joelkruger
26,2018-03-26 14:11:01,"FLASHBACK: Analysis from Feb 1 highlighting why $ETHBTC would put in a major top. Technicals were highly compelling, while the anticipated distress in global equities added to the lure of this play that would result in Eth's intense relative underperformance. ethereum bitcoin  ",1,1,1,0,3,1,0.8579302,0.038251363,0.10381845,Pos,0.81967884,joelkruger
27,2018-03-26 12:06:04,"US protectionism has been a US Dollar killer over the past several months, though I believe we'll soon see an intensification of selling in the equities market that will invite renewed USD interest on traditional safe haven flow. Look for Euro upside to be limited to 1.2700 area.",1,1,1,0,2,3,0.40747178,0.12562571,0.46690252,Neu,0.28184605,joelkruger
28,2018-03-23 10:55:05,"If you’re wondering if soft USD policy will prevent the Buck from rallying in fight to safety, just look at the Yen. The Japanese currency is nothing more than a funding currency and yet it still rallies in risk off. So YES..the Dollar can rally in risk off despite US policy IMO.",0,1,1,0,0,6,0.2987256,0.04405752,0.65721685,Neu,0.2546681,joelkruger
30,2018-03-23 09:55:04,5 MINUTE CHART TEST: Did this back in early February using the S&P 500 as the example. spx spx500 $spx ES_F stocks equities markets trading technicalanalysis charts fun learning  ,0,1,0,1,0,0,0.033614036,0.036949143,0.92943686,Neu,-0.0033351071,joelkruger
31,2018-03-22 14:12:00,"  Into 2017 dovish meant the Fed delivering less than expected on rates  In 2018 dovish now means the Fed delivering as expected on rates...ie 3 and not going to 4  So at a minimum, we can say dovish is a lot less dovish than what it used to be..  With any luck this will bring vol",1,1,1,0,1,0,0.23712,0.120977245,0.64190274,Neu,0.11614276,joelkruger
32,2018-03-22 13:58:03,  Prob more fitting to have the headline read...  Bank of England leaves interest rates on hold but moves closer to raising them in May-be,0,1,0,0,0,1,0.18015087,0.05137294,0.7684762,Neu,0.12877792,joelkruger
33,2018-03-22 12:21:02,"Re BOE: Back in September 2017, it was very clear the BOE was signaling a hike in November. Today, much less clear there is any guarantee of a hike in May. As far as the two dissents go, both come from noted hawks. So on net, not the result many were looking for. $GBPUSD",1,1,0,0,1,0,0.2290547,0.2113566,0.55958873,Neu,0.01769811,joelkruger
34,2018-03-22 07:16:05," Algos have unquestionably contributed to the momentum. But at the same time, I believe this should not be misconstrued as something more than what it is. Sure, it may have extended the duration of the cycle, but the trajectory should ultimately still be the same as always.",1,1,1,0,0,1,0.2691206,0.017292188,0.7135872,Neu,0.2518284,joelkruger
35,2018-03-22 07:02:03,"AUDIO: GFXI desk reflects on latest Fed decision, questions the reaction in the currency market and looks ahead to the Bank of England.   All welcome to subscribe to the new GFXI youtube channel for daily updates and insights. 👊😎  ",0,1,0,1,0,1,0.03893773,0.024741624,0.93632066,Neu,0.014196105,joelkruger
36,2018-03-22 06:07:02,"Important to recognize shift going on. What might be dovish today is completely different than past. Dovish used to be the Fed delivering less than expected, but now, dovish is the Fed not delivering more than expected.    So let down not about 2 instead of 3 but 3 instead of 4.",1,1,1,0,0,2,0.05727881,0.15119417,0.79152703,Neu,-0.09391536,joelkruger
37,2018-03-22 05:55:01,"Not too sure there was so much in the Fed message to justify aggressive selling of the US Dollar. It's true, growth language was downgraded to 'moderate' and dot plot still showed 3 hikes...BUT actual growth forecasts raised and more hikes projected beyond 2018.   Dovish? 🤔",1,1,0,2,0,4,0.21982172,0.40749592,0.37268245,Neg,-0.1876742,joelkruger
38,2018-03-22 05:48:03,"I like watching crypto when in recovery mode. While many are focused on the price of bitcoin, it's some of the others that stand out. EOS is +60% against bitcoin since the March low. ICON is +102% against bitcoin over that time. $EOSBTC $ICXBTC.  Some others: $LRCBTC $REQBTC",1,1,0,0,0,2,0.047602616,0.032821663,0.91957575,Neu,0.0147809535,joelkruger
39,2018-03-21 15:01:04, Cheers Brannigan. I suppose I'm the foolish one that's still worried about the financial stability risk if the market continues to shoot up. 🙈   Have a good one.,1,1,0,1,0,0,0.168622,0.118438765,0.7129392,Neu,0.050183237,joelkruger
40,2018-03-21 11:43:00,PREVIEW: Some background and takeaways as we head into the FOMC decision  ,0,1,0,1,1,2,0.033838775,0.029497854,0.9366633,Neu,0.0043409206,joelkruger
41,2018-03-21 06:35:02,What you need to know for Wednesday. Listen in to the  GFXI opening call below. All are welcome to subscribe to the new GFXI youtube channel. 👊😎  ,0,1,0,0,0,0,0.034286257,0.019461993,0.94625175,Neu,0.014824264,joelkruger
43,2018-03-20 12:58:05,"The most exciting calendar event in North America today is the New Zealand GDT auction. But there are signs of volatility with stocks coming under pressure and the Euro range contracting. Clearly, tomorrow's FOMC risk could be a catalyst.",0,1,1,0,0,2,0.09422985,0.80703205,0.09873812,Neg,-0.7128022,joelkruger
44,2018-03-20 10:28:03,"Softer Eurozone and German sentiment components in the ZEW surveys have weighed on the Euro, while the cooler than expected UK inflation readings have put a cap on the Pound. $EURUSD $GBPUSD",1,1,0,0,0,0,0.04968542,0.8209983,0.12931627,Neg,-0.7713129,joelkruger
46,2018-03-19 10:29:03,"$GBPUSD: Still think the Pound remains well capped for now and believe we could soon see a topside failure ahead of a continuation of the correction off the 2018 high, down towards 1.3600 area bull channel support.",1,1,1,0,0,4,0.013950353,0.9673187,0.018730965,Neg,-0.95336837,joelkruger
47,2018-03-18 17:34:00,Ahhh the beautiful Marin County! Definitely worth getting over there if you're anywhere near. Dave is a wonderful resource and great guy!  ,0,1,0,0,1,1,0.28516242,0.017109875,0.69772774,Neu,0.26805255,joelkruger
48,2018-03-18 16:57:00," Thanks for the many years of beautiful music.  👊😎  Here’s my 13 year old daughter and her friend giving “Darling Do Not Fear” a go.   She’s a big fan of the 3 ‘D’s - Dylan, Dead and Dennen!  ",1,1,0,0,0,0,0.0820369,0.019703394,0.89825964,Neu,0.062333502,joelkruger
51,2018-03-16 07:45:04,White House drama weighs on sentiment  ,0,1,0,0,0,1,0.06458226,0.5178585,0.41755927,Neg,-0.45327625,joelkruger
53,2018-03-15 11:03:01,"Market volatility is still a big problem into 2018. There were some rumblings in late January/early February, but things have since been rather dull. It all comes down to when the US equity market rolls over. But we need vol and vol should be coming soon.",1,1,1,1,1,1,0.043508485,0.45652336,0.49996817,Neu,-0.4130149,joelkruger
55,2018-03-13 05:54:04,US inflation data is the big one on Tuesday  ,0,1,0,0,0,2,0.046288118,0.050926402,0.9027855,Neu,-0.0046382844,joelkruger
56,2018-03-12 21:05:05, Markets tend to move where the pain is....in this case = lower before higher.,1,1,0,0,0,1,0.10878185,0.58748436,0.3037338,Neg,-0.47870252,joelkruger
57,2018-03-12 14:25:04,Let's go $AUDNZD....get back through 1.0830! Long 1.0672 but need to see that 1.0830 break to get this thing going. Looking at longer term bottom on monthly chart.,0,1,0,0,0,2,0.08897711,0.24837317,0.6626497,Neu,-0.15939605,joelkruger
59,2018-03-12 11:41:04,"TRADING TIP:  Good risk management won't mean much if you think you can trade whenever you want..  The same way..  Wearing a safety helmet won't mean much, if you think you're completely immune to injury  Always make sure the trade is there first..otherwise FUHGEDDABOUDIT 👊😎  ",0,1,1,0,3,9,0.03909172,0.03529743,0.9256109,Neu,0.0037942901,joelkruger
60,2018-03-12 07:46:03, Let's just stop talking in riddles. Does this mean you are bullish?,0,1,0,0,0,1,0.04387913,0.21180338,0.74431753,Neu,-0.16792426,joelkruger
62,2018-03-12 07:23:04, GFXI makes a case for the US Dollar in its opening call. Listen in  ,0,1,0,0,0,0,0.08610948,0.016892307,0.8969982,Neu,0.069217175,joelkruger
63,2018-03-12 06:53:02, REVISION  an app that warns you when you're about to walk into someone you don’t want to see!!!!,0,1,0,0,0,0,0.033924177,0.13025995,0.83581585,Neu,-0.09633577,joelkruger
65,2018-03-09 10:02:05,US Jobs Report Preview.....please don't look at the NFPs!!!!!!!!!!  ,0,1,0,0,0,1,0.020512031,0.50935465,0.47013327,Neg,-0.4888426,joelkruger
68,2018-03-08 10:26:00,AUDIO PREVIEW: Considering the ECB Decision and possible $EURUSD fallout  ,0,1,0,0,0,0,0.037635665,0.03402338,0.928341,Neu,0.0036122836,joelkruger
70,2018-03-08 07:35:03,"$EURUSD on the Chart - What you need to know ahead of the ECB decision   All welcome to subscribe to the NEW GFXI youtube channel for animated technicals of the major FX pairs and Bitcoin, daily calls, special reports and more 👊😎  ",0,1,0,0,1,0,0.03896574,0.01814818,0.942886,Neu,0.02081756,joelkruger
71,2018-03-08 06:23:03,Settling in Ahead of Central Bank Risk  ,0,1,0,0,0,0,0.18204097,0.06216588,0.75579315,Neu,0.119875096,joelkruger
72,2018-03-07 16:26:05, Are those jail bars or are you talking about the weather? askingforafriend,0,1,0,0,0,1,0.033946708,0.076670684,0.8893826,Neu,-0.042723976,joelkruger
73,2018-03-07 15:55:04,Markets in red have exceeded their respective average daily ranges.  ,1,1,0,1,0,3,0.9304228,0.03936259,0.030214574,Pos,0.8910602,joelkruger
74,2018-03-07 14:55:05,Let's go $AUDNZD! I'm giving you one more chance here. You've done great into dips but need ya to push back through 1.0770 right now.....and then 1.0830....and then...,1,1,0,1,0,5,0.6884421,0.03357754,0.2779804,Pos,0.65486455,joelkruger
