,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2018-03-29 16:24:04,I was looking for webbed fingers!  ,1,1,0,0,0,2,0.043876324,0.08043345,0.8756902,Neu,-0.036557127,lizannsonders
5,2018-03-29 16:20:01, I remember it well,0,1,0,1,0,1,0.05835205,0.033261545,0.9083864,Neu,0.025090504,lizannsonders
6,2018-03-29 13:55:01,Rising percentage of smaller cap companies that aren’t profitable vs. falling percentage for larger caps   ,0,1,0,1,12,13,0.07731145,0.90405464,0.01863395,Neg,-0.8267432,lizannsonders
10,2018-03-29 12:14:02,"So far in this bull market, it’s taken an average of 200 days to recover from corrections   ",1,1,0,11,70,106,0.17137104,0.37176886,0.45686013,Neu,-0.20039782,lizannsonders
11,2018-03-29 12:09:05,Bitcoin no longer insulated from traditional risk assets like stocks (or is it the other way around?)     ,1,1,0,6,21,37,0.10549892,0.021180531,0.8733205,Neu,0.084318385,lizannsonders
12,2018-03-29 12:00:01,Deficit as far as the eye can see: a YAWNING gap between the expected CBO budget path vs. the path we are actually on      ,0,1,1,0,8,9,0.027530866,0.87001634,0.10245279,Neg,-0.8424855,lizannsonders
13,2018-03-29 11:42:01, I think it will drive out a lot of the “FOMO” (fear of missing out) investors who plowed in in December/January; but won’t necessarily freak out the longer-term investors,1,1,1,0,0,1,0.69350606,0.15193897,0.15455492,Pos,0.5415671,lizannsonders
14,2018-03-29 11:39:04,Looking forward to seeing everyone and being on the panel  ,0,1,0,0,1,7,0.1891871,0.01070995,0.80010295,Neu,0.17847714,lizannsonders
15,2018-03-29 11:39:00,Older consumers are now much more confident than younger ones   ,0,1,0,5,7,16,0.35048372,0.019440593,0.63007563,Neu,0.33104312,lizannsonders
19,2018-03-28 16:24:01,Widening divergence b/t 2 popular GDP models:   doesn’t directly use sentiment surveys (soft data)—they use them to estimate latent factor to indirectly forecast many of GDP’s components vs.  which uses surveys as direct inputs in model   ,1,1,0,0,10,5,0.037664082,0.026225254,0.9361106,Neu,0.011438828,lizannsonders
21,2018-03-28 12:37:04,I thought it was just my phone’s texts bending the space-time continuum  ,1,1,0,1,2,8,0.031319667,0.19190791,0.77677244,Neu,-0.16058825,lizannsonders
22,2018-03-28 12:34:02,"And if it does, history also shows it will likely close at 4pm  ",0,1,1,6,3,49,0.038000222,0.05014438,0.91185534,Neu,-0.0121441595,lizannsonders
23,2018-03-28 12:29:04," Market fundamentals are strong (but expectations bar is now set high) ... when it comes to fundamentals, better or worse (trend/direction) matters more for the stock market than good or bad (level)",1,1,0,1,0,0,0.5527574,0.08646377,0.36077884,Pos,0.4662936,lizannsonders
24,2018-03-28 11:17:04,Volatility is back with a vengeance  ,0,1,0,5,30,72,0.59002554,0.07308394,0.33689046,Pos,0.5169416,lizannsonders
