,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-03-30 16:45:00,Going to the Berkshire AGM this year?   brka,0,1,0,0,0,4,0.05854878,0.015708387,0.92574286,Neu,0.04284039,manualofideas
5,2018-03-27 22:25:02,The Zurich Project Podcast: Enjoy conversations on investing and the business of investing.   The Zurich Project focuses on what it takes to build a great investment firm for the long term while staying true to your principles.   T…   ,0,1,0,0,1,6,0.07192151,0.012558329,0.91552013,Neu,0.059363183,manualofideas
6,2018-03-27 11:32:04,Newly Featured: A Snail’s View on Investing  ,1,1,0,0,3,10,0.07462871,0.023701223,0.90167004,Neu,0.05092749,manualofideas
10,2018-03-24 23:01:04,"  Gautam, welcome — we look forward to learning from and with you!",0,1,0,0,0,3,0.39945975,0.012767568,0.58777267,Neu,0.38669217,manualofideas
11,2018-03-17 17:12:05,MOI Global members have learned so much from Howard Marks over the years. Listen to Howard's take on the criteria for long-term success in investing (see more at    ,1,1,0,0,7,33,0.09994588,0.010428104,0.88962597,Neu,0.08951778,manualofideas
13,2018-03-13 22:31:00,Always learn something from Ray.  ,0,1,0,0,1,0,0.08088759,0.02061031,0.8985021,Neu,0.060277283,manualofideas
20,2018-02-26 19:44:03,"From the MOI Global archives, a wonderful insight from Reimar Scholz, CEO of Bavaria Industries Group, on dealing with unions at distressed companies in Europe (Members, watch the full video at    ",0,1,0,0,2,6,0.109524705,0.01332185,0.87715346,Neu,0.09620285,manualofideas
21,2018-02-23 17:28:03,Not just about sports -- wisdom for life and competing in any endeavor:  ,0,1,0,0,3,11,0.07834838,0.014080165,0.9075714,Neu,0.06426822,manualofideas
22,2018-02-22 17:04:02,"Here's an excerpt of Dan Abrahams' insightful presentation on Ocado at European Investing Summit 2015, the online conference hosted by MOI Global. I am thrilled to welcome Dan to The Zurich Project in June!  ",1,1,0,0,1,4,0.27449822,0.0110390885,0.7144627,Neu,0.26345915,manualofideas
23,2018-02-20 15:04:02,"Charlie Munger at DJCO meeting: “If you trade an apple for an apple, then you still have one apple. But if you trade an idea for an idea, then you have two ideas.”   (H/T Sanjay Voleti)",0,1,0,0,9,33,0.033789895,0.030395852,0.93581426,Neu,0.003394043,manualofideas
