,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-04 23:43:04, Yes. It has a very good batting average.,0,1,0,1,0,1,0.74548054,0.010947278,0.24357209,Pos,0.73453325,mark_dow
2,2018-04-04 23:39:03," They think about asset prices in the context of financial conditions--and think abt the stock market much less (and differently) than we think they do. Read  book ""Paradox of Risk"" if you want a deeper understanding of the reaction function of the major CBs",0,1,0,0,0,2,0.040188998,0.03672677,0.9230842,Neu,0.003462229,mark_dow
4,2018-04-04 21:21:02,If she does this again I'm going to strap her to the top of the car. GIK,0,1,0,0,0,6,0.030657262,0.23533686,0.73400587,Neu,-0.2046796,mark_dow
5,2018-04-04 21:17:01,Still blaming the pup for my poor tactical execution yesterday and this overnight. Behold the face of zero conscience:  ,0,1,0,4,0,50,0.0501487,0.5451331,0.40471822,Neg,-0.49498442,mark_dow
7,2018-04-04 20:42:00,"Go ahead, ask me what it feels like to be short $TSLA today ;)",0,1,0,4,0,26,0.026497232,0.07555703,0.8979457,Neu,-0.0490598,mark_dow
14,2018-04-04 19:22:05," Fortunately, it is. Not very likely at all. Recession? Sure. Bear market? Sure. Those things will eventually happen. But the bar is really, really high for another meltdown of our financial system.",0,1,1,1,0,1,0.10432475,0.43519136,0.46048382,Neu,-0.3308666,mark_dow
15,2018-04-04 18:28:03, His style often grates. But that shouldn’t blind us to thinking thru unpleasant arguments that might be true IMO,0,1,1,0,0,0,0.04607362,0.32162604,0.6323003,Neu,-0.27555242,mark_dow
16,2018-04-04 18:21:03,I'll make one more point wrt  the ppl who understand economics least tend to be the ones that hate him the most.,0,1,1,2,6,34,0.02351646,0.61838746,0.35809597,Neg,-0.594871,mark_dow
17,2018-04-04 18:17:02,   The good part was the costing out of a trade war if it were to happen. The stock market part was just the fluffy lead-in to it,1,1,0,1,0,2,0.048340786,0.04654086,0.90511835,Neu,0.0017999262,mark_dow
18,2018-04-04 18:15:04,It seems there are only two accepted viewpoints for strategists on TV: 'Cautiously optimistic' and 'You just wait: This is gonna end badly',1,1,0,0,1,10,0.083279036,0.22651052,0.69021046,Neu,-0.14323148,mark_dow
19,2018-04-04 18:11:05,  Thanks for proving my point,0,1,0,1,0,0,0.69330734,0.033310406,0.27338222,Pos,0.6599969,mark_dow
20,2018-04-04 18:09:03," It's not a relevant point to the hypothetical ""Assume a trade war, this is the cost"". No one believes Trump wants a trade war. And nowhere does he suggest that--tho he does say he is going about it irresponsibly, which is a fair debate to have.",0,1,0,0,0,1,0.06039447,0.105449796,0.83415574,Neu,-0.045055326,mark_dow
22,2018-04-04 17:56:02," He was analyzing the downside costs IF a trade war happened, not the probability of a trade war. So, not dumb. And his point about stranded assets is a huge one that doesn't occur to most ppl.",1,1,0,2,0,0,0.043939523,0.12303154,0.8330289,Neu,-0.07909202,mark_dow
24,2018-04-04 17:46:04," Yeah, he often infuriated me during the Bush years. But I have enormous respect for his econ skill set. 1st class mind. And, sometimes, a 2nd class temperament.",1,1,0,1,0,5,0.12197319,0.02576511,0.8522618,Neu,0.09620808,mark_dow
25,2018-04-04 17:44:05," The basics, yes. i'll leave it to others to debate the minutia, but the basic notion that monpol is pushing on a string when there is a credit overhang is a very robust one",0,1,1,0,0,1,0.23254375,0.02563666,0.7418196,Neu,0.2069071,mark_dow
29,2018-04-04 17:38:05,"It's a pity that so many miss out on the excellent economic arguments Krugman often makes just bc they are blinded to them by his politics. Besides, on the big issues since the GFC, Krugman has kinda nailed the diagnosis  ",1,1,0,15,19,102,0.27574727,0.06900791,0.6552448,Neu,0.20673937,mark_dow
33,2018-04-04 17:01:02,Zero chance of winning the paddle-battle  ,0,1,0,1,0,4,0.17253318,0.025362238,0.8021046,Neu,0.14717095,mark_dow
35,2018-04-04 16:46:04," And the financial system is not leveraged to the hilt, either. Systemic propagation mechanism is just not there. PTSD",1,1,0,1,0,2,0.03482089,0.06178191,0.90339726,Neu,-0.026961021,mark_dow
36,2018-04-04 16:26:01,Struggling to find new ways to lose money.,0,1,0,6,0,32,0.02283841,0.72543603,0.25172552,Neg,-0.7025976,mark_dow
37,2018-04-04 15:12:04,Is someone putting tariffs on bitcoin? $XBT $BTC,0,1,0,0,1,4,0.063427635,0.025689656,0.9108828,Neu,0.03773798,mark_dow
38,2018-04-04 14:32:03, Everything for the past 6 years has been a value trap for precious metal bulls,1,1,0,1,0,0,0.030076675,0.39581504,0.5741083,Neu,-0.36573836,mark_dow
39,2018-04-04 14:15:01,$PL_F is officially dead. RIP,0,1,0,2,1,4,0.019339079,0.3464816,0.6341793,Neu,-0.3271425,mark_dow
40,2018-04-04 11:02:00,TFW you suck at iteratated games.,0,1,0,0,0,5,0.034056377,0.29342365,0.67252,Neu,-0.2593673,mark_dow
43,2018-04-04 00:27:01, Does a sea lion pup count darth?  ,0,1,0,2,2,154,0.033655144,0.06660752,0.8997373,Neu,-0.032952376,mark_dow
44,2018-04-03 20:18:00," Nah, man. Ppl need to take responsibility for their vote And for being punked and milked by talk radio and Fox news",1,1,0,1,0,0,0.04031197,0.4384276,0.52126044,Neu,-0.39811563,mark_dow
46,2018-04-03 19:49:04,  He's using it as cover for a personal vendetta. Wake up. You're being conned.,1,1,0,1,0,2,0.024847208,0.7276486,0.2475042,Neg,-0.7028014,mark_dow
47,2018-04-03 19:44:02, I will claim that it was if $TSLA goes belly up. ;) But was referring to the squeeeeeze an hour or so ago,1,1,1,0,0,1,0.0347795,0.14463326,0.8205872,Neu,-0.10985376,mark_dow
50,2018-04-03 19:07:03,You haven't been paying attention to presidential politics then Grover.  ,1,1,0,1,0,3,0.035337366,0.14911927,0.81554335,Neu,-0.11378191,mark_dow
