,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-06 15:25:02,"1 in 5 gun owners take drugs, have mental illness: study       ",0,1,0,6,0,5,0.022391018,0.48692915,0.49067974,Neu,-0.46453813,markflowchatter
4,2018-04-06 12:19:02,"Genius move by Goldman Sachs initiating on $CRSP with a lofty tgt, this will help that 15M + shares that hit the lockup today",1,1,1,2,0,8,0.9365197,0.012726497,0.050753824,Pos,0.9237932,markflowchatter
8,2018-04-03 14:48:03,Amazon news is a clear cut positive for $GME :),0,1,0,1,0,2,0.11662679,0.022130063,0.8612431,Neu,0.09449673,markflowchatter
9,2018-04-03 14:42:03,"If you didn't see it, now you do:  $EHTH massive news, clear cut positive for $EHTH  ,   The FY 2019 Budget proposes to wind down the Federal Exchanges for plan year 2020, as states transition to new Market-based health care grants.”    ",1,1,0,0,0,4,0.08481544,0.10272951,0.81245506,Neu,-0.017914064,markflowchatter
10,2018-04-03 12:31:03,"“TRUMP IS LIKE, ‘HOW CAN I F--K WITH HIM?’”: TRUMP’S WAR WITH AMAZON (AND THE WASHINGTON POST) IS PERSONAL           $AMZN",0,1,0,1,0,6,0.026291246,0.13522245,0.8384863,Neu,-0.108931206,markflowchatter
11,2018-04-03 12:05:02,"$SRNE price tgt to $40 (street high) at the infamous HC WAIN , guess they didnt see the.........  ",0,1,0,0,0,1,0.11019396,0.15255757,0.7372485,Neu,-0.042363606,markflowchatter
12,2018-04-03 12:01:00,"$FLXN  I see you, but Im already in you, so let's do some magic   ",0,1,0,0,0,2,0.058804598,0.034038037,0.9071574,Neu,0.02476656,markflowchatter
14,2018-03-30 14:43:05,"What a disgrace this country has turned into......you can't say anything without any kind of backlash. CNN vs FOX talking heads = pure hatred towards each other. The public believes this rubbish. Not to mention, politicians trying to capture the moment = more disgusting Peace out",1,1,1,2,0,33,0.01763185,0.81187063,0.17049748,Neg,-0.7942388,markflowchatter
17,2018-03-23 19:54:04,"  Called pure class, that's why the Pats are a winning organization....take notes Stephen Ross",1,1,0,0,0,0,0.10178198,0.014550762,0.88366723,Neu,0.08723122,markflowchatter
18,2018-03-23 15:21:02,The patent guys in Bal Harbor always win!,0,1,0,0,0,1,0.15192722,0.017635535,0.83043724,Neu,0.13429168,markflowchatter
19,2018-03-22 20:11:04,Crazy crazy story   The story behind the unconventional beverage company that makes LaCroix   $FIZZ        ,0,1,0,0,0,6,0.038675655,0.030418405,0.930906,Neu,0.008257249,markflowchatter
22,2018-03-21 15:09:02,The data analytics boyz on Madison  with the headlock on $CRTO today,0,1,0,0,0,1,0.049393475,0.16534832,0.78525823,Neu,-0.115954846,markflowchatter
23,2018-03-21 11:00:02,Canaccord on $HMNY say what,0,1,0,1,0,0,0.042118784,0.024541676,0.9333395,Neu,0.017577108,markflowchatter
24,2018-03-20 22:28:05,$FIZZ  you don' say.............,0,1,0,1,0,4,0.049040645,0.057520576,0.8934388,Neu,-0.00847993,markflowchatter
