,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-31 22:24:00,“In life you need either inspiration or desperation.” - ,0,1,0,0,10,43,0.0726447,0.04259589,0.8847595,Neu,0.030048814,sjosephburns
1,2018-03-31 22:22:05,"World’s greatest job?   Netflix is now hiring someone to binge-watch TV shows and movies, then categorize and rate them. Via ",0,1,0,6,9,33,0.07363284,0.01205739,0.91430974,Neu,0.061575446,sjosephburns
2,2018-03-31 22:19:01,Too many people read tweets from their own preconceived beliefs & emotional filters.,1,1,0,7,1,29,0.02181013,0.37293246,0.60525745,Neu,-0.35112232,sjosephburns
3,2018-03-31 22:11:00,Twitter is one of the few places where posting facts can be highly controversial.,0,1,1,8,11,93,0.020307776,0.5606927,0.41899946,Neg,-0.54038495,sjosephburns
4,2018-03-31 20:18:01,"How Bitcoin buyers feel having bought at each price level:   $19,000 🤮 $17,500 🤬 $15,000 🤢 $10,000 💩 $7,500 😑 $5,000 😬 $1,000 😏 $100 🤑 $10 🤥",1,1,0,12,36,174,0.03258795,0.028196856,0.9392152,Neu,0.004391093,sjosephburns
5,2018-03-31 20:00:02,How Traders Rebound From Losses  ,0,1,0,2,14,29,0.066809796,0.059344776,0.8738454,Neu,0.00746502,sjosephburns
10,2018-03-31 14:50:05, They create millionaires out of there investors over the long term.,0,1,0,1,0,3,0.048813146,0.019092415,0.93209445,Neu,0.029720731,sjosephburns
11,2018-03-31 14:50:00, That’s not true. You just had to save that amount up in an account.,1,1,1,1,0,6,0.043938264,0.13890426,0.8171575,Neu,-0.094965994,sjosephburns
12,2018-03-31 13:21:01," Thanks, an edge is something you do better than others so cash flows to you over the long term. Casinos have an edge over gamblers as an example.   Two of my Michael  Interviews:  ",0,1,0,1,0,2,0.10042653,0.025845861,0.8737276,Neu,0.07458067,sjosephburns
14,2018-03-31 12:42:00,Very few things in life really matter. Finding what really matters & focusing your time & energy on those things can change everything.,0,1,1,1,35,95,0.034615036,0.037916195,0.9274688,Neu,-0.0033011585,sjosephburns
15,2018-03-31 12:40:05,11 ways to go broke:  Bad relationships Drinking Drugs Addictions Materialism Trying to show off Lack of self control Gambling Big ruinous financial bets No career path No financial education,0,1,0,33,204,564,0.021438353,0.16977164,0.80878997,Neu,-0.14833328,sjosephburns
16,2018-03-31 12:39:04,"80% of Americans have less than a $100,000 net worth. They don’t have a liquid $10,000 in their bank account. That’s very sad.",0,1,0,36,79,261,0.013700708,0.85912865,0.12717062,Neg,-0.84542793,sjosephburns
17,2018-03-31 12:39:01,"A lot of people become rich by saving and investing their money instead of just spending it on things they don’t need. It doesn’t matter how much money you make, you’ll never build wealth if you just spend it all.",0,1,0,4,52,144,0.040635593,0.053524677,0.90583974,Neu,-0.0128890835,sjosephburns
19,2018-03-31 09:00:01,Things I Wished I Knew When I Started Trading  ,1,1,0,2,13,43,0.030796867,0.05951596,0.9096872,Neu,-0.028719094,sjosephburns
21,2018-03-31 05:50:00,About 500 movies are made in the US and 800 in India annually.,1,1,0,7,5,61,0.03400514,0.025516879,0.9404779,Neu,0.00848826,sjosephburns
22,2018-03-31 03:46:03," You are right, your mind has to be right first.   My book 👉🏻 Calm Trader: Win in the Stock Market without losing your mind   via ",0,1,0,2,0,3,0.090114266,0.022914274,0.8869715,Neu,0.06719999,sjosephburns
28,2018-03-31 01:28:04,The biggest wealth building stocks from 1926-2016. 👇🏻  ,0,1,0,1,13,41,0.038715653,0.018887108,0.9423973,Neu,0.019828545,sjosephburns
30,2018-03-31 00:38:05,"Hindsight is one of the worst trading tools. We trade based on current reality. Woulda, shoulda, coulda, are for traders with time machines.",1,1,0,5,13,103,0.024804214,0.30538532,0.6698105,Neu,-0.28058112,sjosephburns
31,2018-03-31 00:38:02,Hindsight is a mental and emotional parasite.,0,1,0,0,4,23,0.024020445,0.46933475,0.50664485,Neu,-0.44531432,sjosephburns
33,2018-03-30 18:55:03, You are correct.,0,1,0,0,0,2,0.14811829,0.07349237,0.7783893,Neu,0.07462592,sjosephburns
35,2018-03-30 16:15:00,There are twice as many U.S. tax preparers as police officers.,0,1,0,3,6,31,0.041638564,0.04299937,0.9153621,Neu,-0.0013608038,sjosephburns
36,2018-03-30 16:00:03,Six in ten Americans say they would continue to work if they won $10 million in the lottery.,1,1,1,20,5,66,0.24524516,0.014884223,0.7398706,Neu,0.23036094,sjosephburns
40,2018-03-30 13:41:01, Thanks for the expanded explanation. Too many don’t understand the importance of position sizing & the power of compounding. Also the destruction of drawdowns.,0,1,0,1,1,4,0.045804475,0.17166026,0.78253525,Neu,-0.12585579,sjosephburns
41,2018-03-30 13:39:05, Have better stop placement based on volatility.,1,1,0,1,0,0,0.106296055,0.024194086,0.8695099,Neu,0.08210197,sjosephburns
42,2018-03-30 13:38:05, 10 Things A Trader Needs to START DOING if They Want to Make Money  ,0,1,0,1,0,1,0.046479486,0.025475184,0.92804533,Neu,0.021004302,sjosephburns
52,2018-03-30 09:00:01,George Soros ‘ 10 Trading Principles    …,1,1,0,0,13,27,0.06373862,0.024885194,0.9113762,Neu,0.03885343,sjosephburns
53,2018-03-30 05:55:00,10 Things A Trader Needs to Give Up if they want to Make Money    …,0,1,0,3,19,37,0.027493717,0.07293803,0.89956826,Neu,-0.045444317,sjosephburns
54,2018-03-30 00:32:05,Why You Need to Red Team Your Trading   Guest Post by ,0,1,0,0,2,6,0.0323325,0.069771156,0.8978963,Neu,-0.037438657,sjosephburns
55,2018-03-29 21:34:02, The 200 day moving average,0,1,0,0,0,0,0.04551475,0.05825029,0.896235,Neu,-0.012735538,sjosephburns
56,2018-03-29 20:51:01,   That is great to hear.,0,1,0,0,0,1,0.35093826,0.013842024,0.6352197,Neu,0.33709624,sjosephburns
60,2018-03-29 20:09:05,When crypto value is cut in half...  ,1,1,0,2,4,37,0.0325865,0.78401494,0.18339854,Neg,-0.7514284,sjosephburns
67,2018-03-29 15:30:01,The Australian $5 to $100 notes are made of plastic.,1,1,0,6,3,14,0.023891527,0.040759545,0.935349,Neu,-0.016868018,sjosephburns
68,2018-03-29 15:15:00,"“Only 5 to 10 percent of startups today will land a second round of funding, because the majority have closed their doors by then. Investors aren’t going to pony up the cash unless they think you’re the next Uber.” - ",1,1,1,0,5,16,0.03781542,0.039571263,0.9226133,Neu,-0.0017558411,sjosephburns
69,2018-03-29 15:05:00,"Bill Gates has donated over $28 billion since 2007, saving more than an estimated 6 million lives.   via ",1,1,0,4,31,143,0.22961588,0.01546543,0.7549187,Neu,0.21415046,sjosephburns
70,2018-03-29 15:00:04,"Bill Gates’ first business was Traff-O-Data, a company that created machines which recorded the number of cars passing a given point on a road.",1,1,0,0,1,18,0.040165376,0.030079601,0.92975503,Neu,0.010085775,sjosephburns
72,2018-03-29 11:21:04,When you’re not smart but you’re not a sissy either.. ThursdayThoughts  ,0,1,0,2,12,44,0.031727504,0.07716624,0.89110625,Neu,-0.045438733,sjosephburns
73,2018-03-29 11:19:02,When you have to be ready to buy the dip at any moment....  ,0,1,0,12,54,177,0.061516177,0.0362701,0.9022137,Neu,0.025246076,sjosephburns
74,2018-03-29 11:17:01,"The market prediction knowledge path:  New trader: I know nothing.  Lucky trader: I’m an expert.   Rich trader : I know nothing, I react.  ",0,1,0,8,78,228,0.046102833,0.034512267,0.91938496,Neu,0.0115905665,sjosephburns
76,2018-03-29 11:06:05,The bulls every time Dennis Gartman says he’s short the market.  ,0,1,0,1,6,41,0.02910511,0.19572164,0.7751732,Neu,-0.16661653,sjosephburns
81,2018-03-29 00:08:01,When the Easter Bunny sees his stock portfolio on break.  ,0,1,0,1,20,77,0.027181951,0.23371854,0.7390995,Neu,-0.20653659,sjosephburns
82,2018-03-29 00:06:00,Trying to trade in March 2018 like...  ,0,1,0,15,71,344,0.0895591,0.016724432,0.8937165,Neu,0.07283467,sjosephburns
83,2018-03-28 23:58:04,"“Always remember, you're not going to get rich overnight in the stock market, but you can go broke overnight.” - ",0,1,1,0,20,78,0.05060361,0.08562783,0.8637686,Neu,-0.035024222,sjosephburns
84,2018-03-28 23:57:05,"""In my investing career the best gains usually come in the third or fourth year, not the third or fourth week.""- Peter Lynch",0,1,0,0,15,87,0.0472806,0.02601693,0.92670244,Neu,0.021263668,sjosephburns
86,2018-03-28 23:52:03,This robot uses AI to shoot hoops better than the pros.   via ,0,1,0,4,20,37,0.22096014,0.009274846,0.769765,Neu,0.2116853,sjosephburns
87,2018-03-28 23:48:00,"“Once you’ve truly controlled your own fate, for better or for worse, you’ll never let anyone else tell you what to do - ",1,1,0,1,11,64,0.0448339,0.046299037,0.9088671,Neu,-0.001465138,sjosephburns
89,2018-03-28 23:46:04,Never give up.  BetterYourselfIn3Words,0,1,0,4,5,23,0.09181246,0.018635683,0.88955194,Neu,0.07317678,sjosephburns
90,2018-03-28 23:45:03,😂😂😂Mark Zuckerberg Prepares For Congressional Testimony By Poring Over Lawmakers’ Personal Data&lt;em&gt;&lt;/em&gt;   via ,0,1,0,3,15,38,0.031365026,0.024018342,0.94461656,Neu,0.007346684,sjosephburns
92,2018-03-28 20:00:04,Ten Ways To Improve Your Trading Tomorrow  ,0,1,0,1,5,11,0.36531642,0.010724616,0.62395895,Neu,0.35459182,sjosephburns
95,2018-03-28 15:00:04,The Power of Quitting  ,0,1,0,0,7,12,0.030876217,0.071163975,0.8979598,Neu,-0.040287755,sjosephburns
98,2018-03-28 12:15:05, Movement of a stock is not the same as percent risk of an account. You are not understanding it.,0,1,0,0,0,3,0.027297856,0.15989067,0.8128115,Neu,-0.13259281,sjosephburns
101,2018-03-28 11:20:04,“Stress comes from making things more important than they are. Failure comes from making things less important than they are.” -    WednesdayWisdom,0,1,0,2,31,103,0.033492103,0.20798166,0.7585262,Neu,-0.17448956,sjosephburns
102,2018-03-28 11:17:05,Twitter makes us want to have drinks with people we don't know-Facebook makes us want to drink because of the people we do know.   ThoughtsWhileScrollingTwitter,0,1,0,3,12,69,0.0281006,0.038857162,0.9330423,Neu,-0.0107565615,sjosephburns
103,2018-03-28 11:16:03,"Facebook is the people you went to school with, Twitter is the people you wish you went to school with.   ThoughtsWhileScrollingTwitter",1,1,0,40,427,1557,0.019450646,0.063927576,0.91662174,Neu,-0.04447693,sjosephburns
105,2018-03-28 09:00:02,How To Adapt To Surprises: When Trading   Guest Post by ,0,1,0,0,4,17,0.039218683,0.025832422,0.93494886,Neu,0.013386261,sjosephburns
108,2018-03-27 21:41:04, I don’t know first shared by ,1,1,0,1,0,0,0.03408743,0.047162976,0.9187496,Neu,-0.013075545,sjosephburns
109,2018-03-27 21:40:05,   We are in a volatile rangebound market now. I’m watching how the oversold 30 RSI holds on tests. Under that & $SPY could plunge,0,1,1,1,0,4,0.021313826,0.89433277,0.084353425,Neg,-0.8730189,sjosephburns
110,2018-03-27 21:09:05," True story, I’m about 50/50 1/3 risk reward ratio",0,1,0,0,0,3,0.060943913,0.026541917,0.9125142,Neu,0.034401998,sjosephburns
112,2018-03-27 20:36:03,I exited $GOOGL here @ $1005 for an almost 1% loss of total trading capital. Counting my blessings in this plunge.,1,1,0,6,3,49,0.022522759,0.93017435,0.047302973,Neg,-0.9076516,sjosephburns
116,2018-03-27 20:17:02,Insurance for traders against big trading losses:  Position sizing Stop losses Put options Diversification of positions Diversification of systems Flexibility Opinions held with an open mind Discipline Okay holding cash,1,1,0,0,6,40,0.056360558,0.023390396,0.9202491,Neu,0.03297016,sjosephburns
117,2018-03-27 20:14:02,New traders watching intra-day price action like this-&gt;   ,0,1,0,23,185,522,0.17045492,0.0264879,0.8030572,Neu,0.14396702,sjosephburns
118,2018-03-27 20:10:03,When you buy the big rallies near the top this week...  ,0,1,0,18,74,287,0.091828324,0.02560105,0.8825706,Neu,0.06622727,sjosephburns
119,2018-03-27 20:00:05,How Bad Losses Improve Your Trading   Guest Post by ,0,1,0,1,3,21,0.21179049,0.033627238,0.7545823,Neu,0.17816325,sjosephburns
121,2018-03-27 19:42:02,$TWTR price heading down into the gap courtesy of   ,0,1,0,2,5,16,0.1769762,0.41574728,0.40727642,Neg,-0.23877108,sjosephburns
125,2018-03-27 17:55:00,The Top 12 Dumb Things That Traders Do  ,0,1,0,1,6,18,0.03239795,0.099316195,0.8682859,Neu,-0.06691825,sjosephburns
126,2018-03-27 16:59:04, That’s great!,0,1,0,0,0,2,0.7655368,0.016958946,0.21750423,Pos,0.74857783,sjosephburns
127,2018-03-27 16:36:00, Moving Averages 101  Trading Habits,0,1,0,0,0,2,0.031001706,0.052661173,0.9163371,Neu,-0.021659467,sjosephburns
128,2018-03-27 16:35:03, That is price action.,0,1,0,0,0,0,0.033994224,0.062581144,0.9034247,Neu,-0.02858692,sjosephburns
129,2018-03-27 16:00:04,"Price action trading: The oak that resists the wind loses its branches one by one, and with nothing left to protect it, the trunk finally snaps. The oak that bends lives longer, its trunk growing wider, its roots deeper and more tenacious.",1,1,0,2,9,71,0.038672645,0.33204442,0.62928295,Neu,-0.29337177,sjosephburns
135,2018-03-27 12:18:02,"“You can be wrong on a lot of decisions if you are really right on a few huge ones.  Optimize for the magnitude of your good decisions, not the percentage of the time you are right.” - ",0,1,1,1,10,44,0.05852607,0.05090881,0.89056516,Neu,0.0076172575,sjosephburns
136,2018-03-27 12:16:02,“My favorite things in life don't cost any money. It is really clear that the most precious resource we all have is time.” - Steve Jobs   TuesdayThoughts,0,1,0,0,28,103,0.046853434,0.035918497,0.91722804,Neu,0.010934938,sjosephburns
144,2018-03-27 01:32:01,"Chess is a descendant of an Indian game known as Chatur-Anga, played in the seventh century.",1,1,0,4,4,41,0.03449441,0.04366821,0.9218374,Neu,-0.009173799,sjosephburns
145,2018-03-27 01:28:02,   I see that message but the blog is below it. I’m getting with my web developer. Thanks for the info.,0,1,0,0,0,0,0.07045731,0.028459586,0.9010831,Neu,0.041997723,sjosephburns
