,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-04-08 23:29:00,Chart: China quietly easing monetary policy -  ,0,1,0,1,22,27,0.057619303,0.85241824,0.08996245,Neg,-0.794799,soberlook
2,2018-04-08 21:45:02," This is incorrect. China can easily roll longer-term debt into bills, steepening the Treasury curve and boosting US mortgage rates.",0,1,1,3,1,6,0.8238941,0.015324339,0.16078152,Pos,0.8085697,soberlook
7,2018-04-05 03:57:05,  I think your core and ex-wireless CPI labels are inverted.,1,1,0,0,0,0,0.041008875,0.5020111,0.45698008,Neg,-0.46100223,soberlook
8,2018-04-05 03:31:01,Chart: The UK construction sector is shrinking again (PMI &lt; 50) -  ,0,1,0,0,9,5,0.014243775,0.97357154,0.012184607,Neg,-0.95932776,soberlook
9,2018-04-05 01:21:01,Chart: So much for rising rates. Portugal's 5yr bond yield below 0.3% -  ,0,1,0,1,20,19,0.022809545,0.9248166,0.052373942,Neg,-0.90200704,soberlook
10,2018-04-04 07:02:04,"Instead of inflation, Japan’s extremely tight labor markets are translating into reduced-quality services for consumers. The US is starting to experience this trend as well.   Source:   ",0,1,0,1,17,18,0.018134918,0.9328308,0.049034245,Neg,-0.9146959,soberlook
13,2018-04-02 22:54:04,Chart ( The S&P 500 valuations are back to the early-2016 levels. Are earnings projections way off?  ,0,1,0,4,26,33,0.019629046,0.8998586,0.08051228,Neg,-0.88022953,soberlook
14,2018-04-02 21:11:01,Chart: Breaking down LIBOR into its components (an estimate) -  ,0,1,0,2,87,112,0.025631323,0.06871592,0.90565276,Neu,-0.0430846,soberlook
15,2018-04-02 04:05:02,"Chart: Shares of the Swiss National Bank (yes, the central bank is a public company) have gone vertical -  ",1,1,0,9,81,115,0.2040789,0.4285489,0.3673722,Neg,-0.22447,soberlook
21,2018-03-29 20:46:05,Chart: The MNI Chicago PMI index is often a good proxy for national economic activity in the US -  ,0,1,0,2,18,16,0.07999963,0.024534829,0.8954655,Neu,0.055464804,soberlook
22,2018-03-28 22:35:03,US federal budget projections vs. reality explained -  ,1,1,0,0,11,11,0.0576162,0.09563092,0.8467529,Neu,-0.03801472,soberlook
23,2018-03-28 22:32:00,Chart: The Turkish lira selloff continues - now 4 to the dollar.  ,0,1,0,0,17,22,0.067718,0.868649,0.06363289,Neg,-0.800931,soberlook
25,2018-03-28 03:52:02,Chart: The Treasury curve flattening -  ,0,1,0,2,48,31,0.27354237,0.1384841,0.58797354,Neu,0.13505827,soberlook
27,2018-03-26 21:05:05,It's remarkable that we have data going this far back ...  ,0,1,0,1,2,14,0.29989618,0.01627811,0.68382573,Neu,0.28361806,soberlook
28,2018-03-25 21:22:04,Chart ( Job hopping pays -  ,0,1,0,0,16,18,0.05333178,0.14416602,0.80250216,Neu,-0.090834245,soberlook
30,2018-03-23 01:27:01,Chart: The John Bolton news boosts oil prices on higher geopolitical risks IranDeal -  ,0,1,0,3,17,25,0.9248349,0.024059093,0.05110604,Pos,0.9007758,soberlook
32,2018-03-22 22:43:00,Chart: The yen climbs past 105 to the dollar amid heightened risk aversion -  ,1,1,0,1,15,9,0.9030656,0.070188634,0.02674571,Pos,0.832877,soberlook
33,2018-03-22 22:14:04,Chart: The Hong Kong dollar is approaching the boundary on the weak side of its HKMA permitted trading range. Will the central bank intervene?  ,1,1,1,1,15,16,0.01735639,0.91638726,0.06625644,Neg,-0.89903086,soberlook
38,2018-03-20 21:34:02,"Chart: The Pakistani government said last year that it's done with its currency devaluations. And yet, here is the Pakistani rupee -  ",1,1,0,1,6,5,0.059011932,0.19649374,0.74449426,Neu,-0.13748181,soberlook
41,2018-03-16 22:06:01,Chart: The NYMEX crude oil wedge is still holding -  ,0,1,0,2,14,15,0.90389884,0.04209731,0.054003842,Pos,0.8618015,soberlook
43,2018-03-16 21:07:05,Chart: US capacity utilization and the dollar. This is why countries that rely on manufacturing fear a strong currency -  ,0,1,0,0,21,29,0.21127333,0.038184747,0.750542,Neu,0.17308858,soberlook
44,2018-03-16 00:06:01,Chart: 30yr - 2yr Treasury spread lowest since 2007 as the curve flattens further -  ,0,1,0,2,37,29,0.0073626507,0.9650907,0.027546741,Neg,-0.957728,soberlook
45,2018-03-15 21:33:00,Chart: Bank deregulation (  getting investors excited about regional bank stocks -  ,1,1,0,0,11,12,0.5146884,0.015295096,0.4700166,Pos,0.49939328,soberlook
47,2018-03-15 01:28:04,Chart: The US Treasury is flooding the market with T-bills since the debt ceiling has been lifted. The T-Bill - OIS spread is normally negative -  ,1,1,0,2,44,50,0.027660629,0.73088944,0.24145001,Neg,-0.70322883,soberlook
48,2018-03-13 22:23:02,Chart: The Treasury curve flattening again -  ,0,1,0,0,21,14,0.79559106,0.11270284,0.09170611,Pos,0.6828882,soberlook
49,2018-03-13 16:45:01,"Chart: On a 3-month basis, US core CPI growth hit the highest level in over a decade -  ",1,1,0,3,20,18,0.94856143,0.021875633,0.029562932,Pos,0.9266858,soberlook
50,2018-03-13 01:37:02,Chart: Relative performance of the S&P500 Equal-Weighted Index vs. S&P 500; large caps have been driving gains lately -  ,1,1,0,0,20,27,0.94487864,0.035407536,0.019713832,Pos,0.9094711,soberlook
53,2018-03-11 23:13:00,Chart: US LIBOR-OIS spread widens to the highest level since 2012 as tax-driven capital repatriation leaves a shortage of dollars outside of the US -  ,0,1,0,5,75,78,0.8603428,0.12039174,0.01926549,Pos,0.7399511,soberlook
54,2018-03-11 19:49:02, Amsterdam gets the biggest circle.,0,1,0,0,0,0,0.083105646,0.01359662,0.9032977,Neu,0.06950903,soberlook
55,2018-03-09 02:15:00,"Chart: Bitcoin down 10%, dips below $9k again -  ",0,1,0,1,8,7,0.011557112,0.97076124,0.017681709,Neg,-0.95920414,soberlook
62,2018-03-04 22:38:04,"Chart: On a harmonized basis, US inflation is not too different from Germany's -  ",0,1,0,1,11,13,0.23090973,0.023707833,0.7453825,Neu,0.2072019,soberlook
63,2018-03-04 22:02:03,Chart: Speculative accounts turn net bearish on silver for the first time in over a decade -  ,0,1,0,7,55,75,0.033712115,0.94457734,0.021710489,Neg,-0.91086525,soberlook
68,2018-02-28 20:54:03,Chart: Not much concern in the market about the Italian elections. Here is the 1-week EUR/USD risk reversal (cc  -  ,0,1,0,1,13,9,0.030620689,0.10239858,0.86698073,Neu,-0.071777895,soberlook
69,2018-02-27 20:32:02,Will high lithium prices create a production glut?    ,0,1,1,1,6,8,0.010216806,0.940399,0.04938417,Neg,-0.93018216,soberlook
70,2018-02-27 20:04:02,Chart: No evidence thus far that companies are taking advantage of the new tax law to make investments -  ,0,1,0,0,15,13,0.24830538,0.12808459,0.6236101,Neu,0.120220795,soberlook
72,2018-02-27 01:36:02,"Suprised to see all the hype about margin debt hitting records, etc.     The amount of debt is NOT the same thing as leverage. Margin debt as a fraction of market capitalization hasn't moved much in years -  ",1,1,0,2,37,57,0.07008251,0.043553364,0.88636416,Neu,0.026529144,soberlook
73,2018-02-27 01:03:00,"Chart: The ""premium"" on premium gasoline keeps climbing -  ",0,1,0,0,1,4,0.8402658,0.016327158,0.14340703,Pos,0.82393867,soberlook
