,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-31 22:10:00,"The ""Saga"" token is a good start to backing cryptocurrencies with actual assets. Low volatility makes it attractive to investors, who will also be assuaged by real value. I look forward to seeing how it progresses  ",1,1,1,0,4,11,0.1619383,0.009240134,0.8288216,Neu,0.15269816,steve_hanke
1,2018-03-31 21:30:00,"The U.S. military is once again involved in foreign conflicts they shouldn't be. This time, the consequences were grim -- and civilians had to pay the price  ",1,1,1,2,15,11,0.03690423,0.75124115,0.21185462,Neg,-0.71433693,steve_hanke
3,2018-03-31 19:30:00,"Maduro's plan to fight inflation is utter stupidity. ""It makes a joke out of the deadly serious humanitarian crisis in Venezuela,"" says  who hits the nail on the head in his recent Forbes article:  ",0,1,0,6,31,24,0.025565963,0.7935681,0.18086605,Neg,-0.7680021,steve_hanke
4,2018-03-31 18:52:00,"Unbacked cryptocurrencies will continue to oscillate wildly until something is done to back them up. The tech is innovative, yet it needs to be paired with tangible assets if it is to be adopted universally  ",1,1,1,7,29,32,0.113667525,0.013416337,0.87291616,Neu,0.10025119,steve_hanke
5,2018-03-31 16:33:00,"Per Kelly Cunningham, at the SD Institute for Economic Research, ""Anti-trade policies lead to fewer jobs and weaken the economy. Tariffs... leave American consumers, workers, and businesses bearing the costs of higher prices."" Trade wars hurt all sides.  ",0,1,0,0,8,8,0.010170116,0.95586795,0.033961955,Neg,-0.94569784,steve_hanke
6,2018-03-31 15:34:00,Corruption was rampant under Zuma's reign. Data featured in the South African Survey‚ published by the SA Institute of Race Relations‚ has SA’s ranking on the Corruption Perceptions Index dropping from 21 to 64 between 1995 and 2016. Not a good look.  ,1,1,0,0,9,8,0.007992139,0.96822876,0.023779051,Neg,-0.9602366,steve_hanke
7,2018-03-31 14:40:00,"Since its inception, the fed funds rate has been a point of obsession for the markets. This view is misguided and often leads to overcorrections. By my estimates, through Divisia M4, the economy seems to be doing just fine.  ",1,1,0,2,8,9,0.5307264,0.2373018,0.23197186,Pos,0.29342458,steve_hanke
8,2018-03-31 13:21:00,There are no winners in a trade war.  ,0,1,0,1,38,50,0.06078716,0.065412164,0.8738007,Neu,-0.004625004,steve_hanke
9,2018-03-31 12:07:00,"“What protectionism teaches us, is to do to ourselves in time of peace what enemies seek to do to us in time of war”. -Henry George  ",0,1,0,3,67,102,0.046083957,0.028933024,0.924983,Neu,0.017150933,steve_hanke
10,2018-03-30 22:44:02,Happy Holidays to all celebrating Passover and Easter.,0,1,0,0,8,38,0.1516886,0.022722438,0.82558894,Neu,0.12896617,steve_hanke
