,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 23:20:03,"    Hey thx, in observance of caturday here’s another video  ",0,1,0,0,1,5,0.04197367,0.03134613,0.92668027,Neu,0.010627538,stockcats
2,2018-03-31 23:10:03, this is from January 2000  ,0,1,0,0,0,1,0.02520413,0.059512418,0.9152835,Neu,-0.03430829,stockcats
3,2018-03-31 23:08:00," yeah, I'd love to tweak that a bit but it has so many likes already... not bad considering it's 4 yrs later",0,1,1,0,0,0,0.1458492,0.017111186,0.83703965,Neu,0.12873802,stockcats
5,2018-03-31 15:03:04," this is along the lines of my thinking too, we haven't seen anything that resembles a capitulation low yet",1,1,0,1,0,1,0.058916997,0.18971287,0.75137013,Neu,-0.13079587,stockcats
6,2018-03-31 14:59:00,"  ""catnipulation"" = a cross between capitulation and manipulation",0,1,0,0,0,2,0.026142342,0.14105193,0.8328057,Neu,-0.11490959,stockcats
7,2018-03-31 04:45:05," I'll work on that, in the mean time I have this ""collection""  ",0,1,1,1,0,0,0.10964518,0.011593936,0.8787609,Neu,0.09805124,stockcats
9,2018-03-30 20:08:01," I'm actually not, but if I ever am thx for the recommendation - I just want to see a feed of sequential Tweets from people I follow",0,1,0,1,0,0,0.034907617,0.03171065,0.93338174,Neu,0.003196966,stockcats
11,2018-03-30 20:01:05,   ...adds Comedy FinTwit to résumé,0,1,0,1,0,5,0.09462948,0.028686423,0.8766841,Neu,0.06594306,stockcats
12,2018-03-30 19:59:01,"  beautiful ""free range"" cats you have there",0,1,0,1,0,1,0.060268596,0.031846706,0.9078847,Neu,0.02842189,stockcats
16,2018-03-30 19:09:01,"   occasionally I notice a follow by a well respected individual with a blue check mark and think to myself ""I should probably start adding value"" then shortly thereafter it devolves back to me just being me",1,1,1,1,0,1,0.04540038,0.052781224,0.90181834,Neu,-0.007380843,stockcats
17,2018-03-30 19:05:00," nope, I'm under the radar on that acct.",0,1,0,0,0,0,0.098684855,0.01641383,0.88490134,Neu,0.082271025,stockcats
18,2018-03-30 19:02:04," it's convenient at times, but I prefer a sequential timeline of just the people I follow - it doesn't work like that",0,1,0,0,0,1,0.024714716,0.10178544,0.8734998,Neu,-0.07707073,stockcats
19,2018-03-30 18:59:00,   now I think I'm beginning to understand things  ,0,1,0,2,0,0,0.19480751,0.022219868,0.78297263,Neu,0.17258765,stockcats
21,2018-03-30 18:34:01," thx, it's my little way of observing when a certain topic starts getting tedious coverage in the media",0,1,0,0,0,0,0.026774645,0.2020236,0.7712017,Neu,-0.17524895,stockcats
22,2018-03-30 18:10:00, it's too bad I used up most of my best material a few years back,1,1,0,1,0,1,0.095193304,0.21600048,0.6888062,Neu,-0.12080718,stockcats
23,2018-03-30 18:06:05," absolutely, it makes all the difference in the world",0,1,0,0,0,1,0.11481262,0.013447641,0.8717397,Neu,0.10136498,stockcats
24,2018-03-30 18:06:00," all in jest my good man, I generally prefer the company of dogs to random humans out in the real world anyway",0,1,0,1,0,1,0.038902204,0.06296078,0.89813703,Neu,-0.024058577,stockcats
