,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-03-31 15:29:03,"Over the last two months, the S&P 500 has seen 20 MOVES of 1% or more. $SPY $SPX $VOO  This fact from     ",1,1,0,0,14,22,0.17035057,0.059829637,0.7698198,Neu,0.11052093,stocktwits
2,2018-03-30 20:53:00,"When Bitcoin keeps dropping, and you have to look for that ultra rare stegosaurus pattern no one has ever seen before. $BTC.X     ",1,1,0,23,118,306,0.026495975,0.082218826,0.89128524,Neu,-0.05572285,stocktwits
3,2018-03-30 20:49:00,"Bitcoin is getting slammed again today. It’s down 7% right now, and trading BELOW $7,000    $BTC.X",1,1,0,2,13,31,0.00759433,0.9646153,0.027790325,Neg,-0.95702094,stocktwits
5,2018-03-30 14:47:04,"The US stock market is closed today for Good Friday. The first quarter of 2018 is over, and the S&P 500 finished DOWN 1.2%. That ends a winning streak of nine straight green quarters. $SPY $VOO $SPX     ",1,1,0,2,40,54,0.0089181205,0.961585,0.029496929,Neg,-0.9526669,stocktwits
6,2018-03-29 21:47:04,Everyone loses money in markets at some point. Even David Tepper. Here's a quote about his biggest loss ever.  Shout-out to  for sharing this with everyone here    ,0,1,0,1,20,32,0.037743367,0.09050879,0.87174785,Neu,-0.05276542,stocktwits
7,2018-03-29 20:41:02,"Yo NYC, we're hosting a meetup TONIGHT at New York Beer Company. Let's talk markets and the recent correction 😎 🍻 ",0,1,0,0,1,6,0.051522233,0.047885876,0.90059185,Neu,0.0036363564,stocktwits
8,2018-03-29 20:08:04,Facebook is putting in an epic bounce today. It's up 5%. THIS is the trendline it hit and exploded higher off    $FB,1,1,0,2,9,10,0.9347536,0.02077659,0.044469737,Pos,0.913977,stocktwits
9,2018-03-29 18:30:01,There's been a massive shift in tech stock gains. Tesla is now down 17% year-to-date. Facebook is down 14% YTD. But stocks like Netflix are still UP 48% this year. $NFLX $TSLA $FB      ,1,1,0,0,21,16,0.017503886,0.9533999,0.029096276,Neg,-0.93589604,stocktwits
10,2018-03-29 18:16:00,Remember that obscure cryptocurrency stock Longfin? It's getting smoked today. It's down 40% as of this writing    $LFIN  ,1,1,0,4,13,14,0.008237428,0.96579105,0.02597155,Neg,-0.9575536,stocktwits
11,2018-03-29 18:10:00,Here's the average revenue per user for Snapchat by region of the world. They earn the majority of their revenue in the US. $SNAP     ,0,1,0,1,6,4,0.025029095,0.042390306,0.9325806,Neu,-0.01736121,stocktwits
12,2018-03-29 17:31:01,Whoa. Snapchat is laying off 100 more employees. That's the second time this month. They let go of 120 engineers a few weeks ago    $SNAP,1,1,0,2,18,14,0.0074737114,0.96481776,0.027708521,Neg,-0.95734406,stocktwits
13,2018-03-29 17:14:00,"At 2 PM ET today, we're hosting a Q&A with a pro trader and former professional poker player. Ask him anything about market drops, risk management and more. Get here  ",0,1,0,0,4,3,0.039412506,0.024463134,0.9361244,Neu,0.014949372,stocktwits
14,2018-03-29 17:12:04,Tesla management is now asking its workers and production team to prove the haters wrong    $TSLA,0,1,0,1,16,21,0.08792822,0.30312857,0.6089432,Neu,-0.21520035,stocktwits
15,2018-03-29 16:57:03,Stocktoberfest East is only 4 weeks away. Here’s what WON’T happen at the year's biggest social finance event:    ,0,1,0,0,7,6,0.027623333,0.079797566,0.8925791,Neu,-0.052174233,stocktwits
18,2018-03-29 13:52:02,"Will it happen this year? The S&P 500 has not had a 20% correction in 2,274 trading days. That's its longest streak since the DotCom Bubble. $SPY $VOO $SPX  Fact from     ",1,1,1,1,15,26,0.021192996,0.91472447,0.06408255,Neg,-0.8935315,stocktwits
19,2018-03-29 13:50:03, We can thank  for dropping this one on the $TSLA stream,0,1,1,1,2,1,0.022859413,0.8469361,0.13020448,Neg,-0.8240767,stocktwits
