,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 00:30:04,"Learn to swing trade,best for those that work full time!!! Alerts / Chat   or complete training   ",0,1,0,0,1,2,0.06995092,0.014855302,0.9151938,Neu,0.05509562,super_trades
2,2018-04-02 20:56:01,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,0,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
3,2018-04-02 17:13:03,With my strategy you do not need to be glued to a computer. Perfect for those that work full time.  Newsletter   or complete training   ,1,1,0,0,1,3,0.0383152,0.025369657,0.9363151,Neu,0.012945542,super_trades
4,2018-04-02 15:54:01,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,1,2,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
8,2018-04-02 02:10:00,Work a full time job???  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,2,0.20452327,0.009189001,0.7862877,Neu,0.19533427,super_trades
9,2018-04-01 20:43:00,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,1,1,3,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
12,2018-03-31 21:44:04,Work a full time job????  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,3,4,0.21492949,0.009119008,0.77595145,Neu,0.20581049,super_trades
13,2018-03-31 19:29:00,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,2,1,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
14,2018-03-31 18:19:00,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,2,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
16,2018-03-30 22:52:02,With my strategy you do not need to be glued to a computer. Perfect for those that work full time.  Newsletter   or complete training   ,1,1,0,0,1,4,0.0383152,0.025369657,0.9363151,Neu,0.012945542,super_trades
17,2018-03-30 19:15:04,Work a full time job?  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,2,7,0.2095724,0.009083659,0.78134394,Neu,0.20048875,super_trades
18,2018-03-30 15:20:01,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,1,2,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
21,2018-03-29 20:40:04,Work a full time job???  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,0,0.20452327,0.009189001,0.7862877,Neu,0.19533427,super_trades
24,2018-03-29 18:23:04,With my strategy you do not need to be glued to a computer. Newsletter   or complete training   ,1,1,0,0,1,1,0.027580405,0.028406892,0.9440127,Neu,-0.0008264873,super_trades
25,2018-03-29 14:59:04,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,1,0,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
30,2018-03-29 01:39:01,Work a full time job???  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,0,0.20452327,0.009189001,0.7862877,Neu,0.19533427,super_trades
32,2018-03-28 19:03:05,With my strategy you do not need to be glued to a computer. Newsletter   or complete training   ,1,1,0,0,1,1,0.027580405,0.028406892,0.9440127,Neu,-0.0008264873,super_trades
33,2018-03-28 15:58:04,"Learn to swing trade,best for those that work full time. Alerts / Chat   or complete training   ",0,1,0,0,2,3,0.054288514,0.01643282,0.9292787,Neu,0.037855692,super_trades
35,2018-03-28 03:10:00,  - Posted a New Video Lesson: Video 790  Don't Forget To Check This Metric In Volatile Market !!!,1,1,0,0,1,1,0.07632325,0.02573595,0.8979408,Neu,0.050587296,super_trades
36,2018-03-28 02:58:00,  - Posted a New Watchlist: Wednesday Focus List !!! Stocks That Remain Strong !!!,1,1,0,0,1,0,0.49113244,0.11819693,0.3906706,Pos,0.3729355,super_trades
37,2018-03-28 02:50:01,Work a full time job????  My stock strategy is IDEAL for you !WatchList/Chat/Educational Alerts-&gt;    & Be Personally Mentored By Me-&gt;  ,1,1,0,0,1,1,0.21492949,0.009119008,0.77595145,Neu,0.20581049,super_trades
