,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 20:42:00,"Behind the long-term average returns lurks plenty of volatility, as we have been reminded. Yes, on a month-to-month basis this volatility can be daunting.  ",1,1,1,0,2,1,0.10670348,0.17204425,0.72125226,Neu,-0.065340765,timmerfidelity
1,2018-04-06 20:03:00,"Q1 earnings estimates, which will start being reported next week, call for about 17% earnings growth. If the Q1 numbers are correct, it may offset negative headlines.",1,1,1,0,6,18,0.9431432,0.020434342,0.036422458,Pos,0.92270887,timmerfidelity
2,2018-04-06 19:28:02,"Yep,  Things have been almost too good to be true for investors for a long time. It’s time for us to lower our expectations. Here’s what that means:  ",1,1,0,1,1,1,0.07195973,0.40630844,0.52173185,Neu,-0.3343487,timmerfidelity
4,2018-04-06 15:38:00,"Chart of the week—and a gentle reminder: Over the long term, the stockmarket tends to go up. The price for those returns? Volatility. data dataviz SP500  ",0,1,0,1,26,29,0.17260125,0.058771063,0.76862776,Neu,0.113830194,timmerfidelity
5,2018-04-06 15:04:00,"It may not look like spring in Boston, but sometimes it’s fun to add spring color to my charts!  ",0,1,1,3,0,9,0.051599864,0.03433349,0.9140666,Neu,0.017266374,timmerfidelity
7,2018-04-05 21:52:00,"At current valuations, the stockmarket has to really thread the needle—to stay up while valuations come down. This means a tug of war between earnings growth in the numerator and liquidity conditions in the denominator. Together, they drive valuation.",0,1,0,1,1,8,0.051981777,0.34055287,0.6074653,Neu,-0.2885711,timmerfidelity
8,2018-04-05 19:43:00,"The economy is creeping closer toward a late cycle and the Fed has signaled an even tighter policy path than the markets expected. That’s a headwind for equity valuations and, given the Fed’s policy, bonds.",1,1,0,2,2,7,0.015959729,0.95014715,0.033893187,Neg,-0.9341874,timmerfidelity
9,2018-04-05 18:04:00,Time for lower market expectations: The consistent strong returns and low volatility we’ve enjoyed in recent years now seem unsustainable. What to expect? My take:  ,1,1,0,0,1,7,0.062456407,0.22198611,0.7155575,Neu,-0.15952972,timmerfidelity
10,2018-04-05 16:58:00,"What does trade news mean for the US market? I enjoyed the discussion yesterday morning. Thanks for having me,    China trade",1,1,0,1,0,0,0.19132467,0.013279934,0.7953954,Neu,0.17804474,timmerfidelity
11,2018-04-05 14:47:00,"Trade tariffs are making headlines and rattling markets but the good news is, with earnings booming, the market’s valuation can reset without doing too much price damage.",0,1,1,2,1,4,0.9007551,0.04031464,0.058930192,Pos,0.8604405,timmerfidelity
12,2018-04-05 13:42:05,Looking forward to discussing what’s driving global financial markets at  today. ,1,1,0,0,0,1,0.063365005,0.018212643,0.91842234,Neu,0.045152362,timmerfidelity
13,2018-04-04 21:46:03,"For months the market was too expensive while ignoring a reset in the bond market. The forward P/E just made a new correction low of 16.1, down 3.3 points since late January. This is good news! bonds bondmarket stocks dataviz data SP500  ",1,1,0,25,109,287,0.018597983,0.93568283,0.04571924,Neg,-0.9170849,timmerfidelity
14,2018-04-03 23:30:00,Ready to talk markets early tomorrow morning with  at 5:30 am ET.,0,1,0,0,1,1,0.04750308,0.016830781,0.93566614,Neu,0.030672299,timmerfidelity
15,2018-04-03 22:13:00,A bear market scenario is difficult to imagine when earnings growth expectations for Q1 and Q2 are in the high teens and holding steady. data dataviz  ,0,1,0,0,15,21,0.042871375,0.06954738,0.88758117,Neu,-0.026676003,timmerfidelity
16,2018-04-03 21:23:00,"Beyond the market pullback for US stocks: Earnings, which start coming out next week, should offer a clue to what’s ahead, and, specifically, forward-looking guidance will be interesting given tax reform and some uncertainty ahead. SP500 volatility tech",1,1,1,0,3,9,0.4017047,0.017891824,0.5804035,Neu,0.38381287,timmerfidelity
17,2018-04-03 20:35:04,"Yes, tech is down sharply, but it continues to be the overall sector leader since the election. data dataviz  ",0,1,0,0,9,9,0.1009225,0.46086943,0.4382081,Neg,-0.35994694,timmerfidelity
18,2018-04-02 20:06:00,"The latest U.S. labor market data comes out this week. It is expected to hold steady, showing that employers added 189,000 workers in March, the average for the past year.",1,1,0,0,2,1,0.16489103,0.8008,0.03430897,Neg,-0.63590896,timmerfidelity
19,2018-04-02 17:15:00,Stock market volatility has caused some repricing in the bondmarket. A look at the 10-year Treasury (black line) and hikes anticipated by the Fed. data dataviz stocks bonds  ,1,1,0,2,7,6,0.19108179,0.24830526,0.560613,Neu,-0.05722347,timmerfidelity
20,2018-04-02 16:07:02,"No warm and fuzzies as we teeter near February lows lately.  But technically speaking, the stage appears set for a best-case “correction-in-a-bull-market” scenario.  ",1,1,0,0,10,18,0.28652918,0.07168259,0.6417882,Neu,0.2148466,timmerfidelity
21,2018-04-02 15:54:01,  Apologies for misinterpreting your work.  I’m a huge fan.,0,1,0,1,0,0,0.075177714,0.032104123,0.89271814,Neu,0.04307359,timmerfidelity
22,2018-03-30 21:02:00,Just in time for the weekend! Contemplating yoga around the world:   ,0,1,0,1,1,2,0.09740849,0.022034928,0.8805566,Neu,0.07537356,timmerfidelity
23,2018-03-30 20:32:00,The possibility of trade tariffs could put pressure on stock valuations. What does that mean for investors? My take:   ,0,1,1,0,4,3,0.040724188,0.34381944,0.61545634,Neu,-0.30309525,timmerfidelity
24,2018-03-30 19:24:00,  His number is the discount rate.  You have to subtract the 10yr treasury yield to get the IERP.,0,1,0,1,0,0,0.030330637,0.06365067,0.90601873,Neu,-0.033320032,timmerfidelity
25,2018-03-30 19:23:00,Chart of the week: A look at financial conditions. They have been tightening since the January stock peak. data dataviz  SP500 USD  ,1,1,0,0,20,26,0.052305713,0.47347534,0.474219,Neu,-0.42116964,timmerfidelity
26,2018-03-29 21:35:00,"Stocks on track to close first quarter with losses. The  takes stock on a choppy Q1, with rising rates, trade tensions and tech frets:  ",0,1,0,0,0,1,0.016416254,0.9545118,0.029071957,Neg,-0.93809557,timmerfidelity
27,2018-03-29 20:03:00,"Remember: If you overlay earnings & the SP500 over the last 100+ years there is basically a perfect correlation. So double-digit earnings growth can cover up other issues, like high valuations and tightening liquidity conditions.",0,1,1,0,6,16,0.3974434,0.049303744,0.5532529,Neu,0.34813967,timmerfidelity
29,2018-03-29 18:44:00," This is the number on a trailing EPS basis, so no future growth implied",1,1,0,1,0,0,0.034480114,0.029099,0.93642086,Neu,0.005381113,timmerfidelity
31,2018-03-29 17:21:00,"Looks like we saw a retest of the low last Friday. More to come? We’ll have to see. Chances are, there is more volatility ahead, even with a rising market.",1,1,0,1,2,4,0.3923258,0.3985847,0.20908952,Neg,-0.006258905,timmerfidelity
32,2018-03-29 16:29:00,"The discount rate (used to discount future earnings for the stockmarket) is only 4.7%, an all-time low. If that were to go up by 100 basis points that would theoretically shave about 4 P/E points off the markets valuation. Offsetting that? Earnings growth.",1,1,1,3,4,3,0.29349682,0.5399541,0.16654903,Neg,-0.24645731,timmerfidelity
34,2018-03-29 13:56:02,"Looking at the spread between the real funds rate & the natural rate (R*), it doesn’t look like even another 100 bps increase in the funds rate would be enough to invert the yield curve. But when factoring in the Fed’s balance sheet reduction? That looks to be another story.  ",1,1,1,26,87,244,0.09357685,0.13159536,0.7748278,Neu,-0.03801851,timmerfidelity
35,2018-03-28 20:13:00,Tech stock turmoil: A reminder that market volatility is back—and that the market isn’t immune to news and moves in D.C.,0,1,0,0,0,0,0.14189625,0.53379244,0.32431135,Neg,-0.3918962,timmerfidelity
36,2018-03-28 19:45:03,"Economic data beats forecasts: Q4 GDP growth revised higher, coming in at an annual rate of 2.9%. Consumer spending, biggest part of market up too, at 4%. A hard act for Q1 to follow?",1,1,0,0,0,1,0.77401114,0.13986562,0.08612328,Pos,0.6341455,timmerfidelity
37,2018-03-28 19:43:00," None, just having fun with colors!",1,1,0,1,0,0,0.051546913,0.048650555,0.89980257,Neu,0.0028963573,timmerfidelity
38,2018-03-27 21:57:00,"Trade watch: Tariffs & other protectionist measures are a form of de-globalization. If the era of globalization brought stronger growth & lower inflation, then the reversal of globalization should bring the opposite—less growth and more inflation.",1,1,1,0,4,11,0.58118147,0.05514052,0.36367795,Pos,0.526041,timmerfidelity
39,2018-03-27 21:03:00,"Good to remember: Historically, a 10% correction is nothing for stocks. The odds of it happening are one in three and they are par for the course when it comes to the stock market’s value proposition---the price for higher returns is higher vol. stockmarket data",0,1,0,0,5,11,0.10277354,0.05189861,0.8453278,Neu,0.05087493,timmerfidelity
40,2018-03-27 20:14:00,"An encouraging testament to strong earnings growth? Since the January high, the SPX is now down 10% but the forward P/E is down 16% already, from a high of 19.4x on Jan. 26 to Friday’s close of 16.3x.  ",1,1,0,1,10,20,0.010045934,0.9726625,0.017291587,Neg,-0.96261656,timmerfidelity
41,2018-03-27 19:48:04,"What happens to stock prices during a late cycle?  It’s hard to predict. This one will likely come down to the juxtaposition of earnings growth relative to financial conditions, not to mention the prevailing level of P/Es. Expect a tug of war.",0,1,1,0,0,5,0.039484072,0.17956841,0.7809475,Neu,-0.14008434,timmerfidelity
42,2018-03-26 21:42:00,"…The not-so-good news? When valuations are this high (21x trailing and 19x forward at the recent peak) and the recent risk-free rate & ERP are this low (21.8% and 1.8%, respectively), financial conditions matter a lot.",0,1,0,2,1,4,0.06094461,0.27628997,0.66276544,Neu,-0.21534535,timmerfidelity
43,2018-03-26 21:37:00,"…So what’s next? The good news: Over the long haul, stocks prices follow earnings and earnings are still going up. They are expected to grow 21% this year and another 11% in 2019. Growth is a tailwind that can forgive many sins.",1,1,1,0,5,11,0.8951299,0.036675517,0.068194665,Pos,0.8584544,timmerfidelity
44,2018-03-26 21:32:00,A new normal for investors: The economy is moving toward a late cycle and the Fed is tightening policy even faster than the markets expected. This isn’t good for equity P/Es and the term premium for bonds…,1,1,0,0,2,3,0.03740815,0.8532149,0.10937694,Neg,-0.81580675,timmerfidelity
46,2018-03-26 17:47:00,"The stockmarket, at a crossroads: Tightening financial conditions from a more hawkish Fed & potentially higher tariffs could start to offset the earnings boom. But can this happen without triggering a decline in stocks?",0,1,1,1,1,3,0.10290843,0.78392196,0.1131695,Neg,-0.6810135,timmerfidelity
48,2018-03-23 19:10:00,"…But that doesn’t mean a bear market—not at all. It just means that price can only go up less than earnings. Fortunately, with earnings growing double digits, that’s a pretty low hurdle.",1,1,1,0,1,7,0.6484397,0.046097018,0.30546322,Pos,0.60234267,timmerfidelity
49,2018-03-23 19:08:00,"In my opinion, we have to lower our expectations: We’re likely not going to see a repeat of the past 2 years, where the market was up over 50% with no volatility…",1,1,0,0,3,10,0.81601644,0.12657182,0.0574118,Pos,0.6894446,timmerfidelity
50,2018-03-23 18:16:00,"There’s a tug-of-war going on: earnings are driving valuations up, while trade issues & a more hawkish Fed are pushing them down. That means we’re now seeing more of a two-sided stockmarket where, until January, it was more like a one-way street.",1,1,0,1,2,9,0.061820365,0.85998356,0.07819612,Neg,-0.7981632,timmerfidelity
52,2018-03-23 12:40:04,"Chart of the week: After a 404 day run without a 5% decline, volatility has returned.  ",1,1,0,0,7,7,0.90979904,0.071080275,0.019120727,Pos,0.8387188,timmerfidelity
53,2018-03-22 20:58:00,"The Fed Funds curve in focus: If it’s right, & both inflation & the natural rate (R*) stay relatively stable, the curve will likely not invert & the Fed won’t cause a recession. But if we factor in quantitative tightening (QT), the Fed could enter the danger zone by mid-2019.  ",1,1,1,2,6,8,0.27454826,0.2932483,0.43220338,Neu,-0.018700033,timmerfidelity
54,2018-03-22 20:42:01," It’s an estimate put out by the San Francisco Fed, so it’s a derived indicator, not observed.  Thanks.",1,1,0,0,0,0,0.0673185,0.02872879,0.9039527,Neu,0.03858971,timmerfidelity
56,2018-03-21 21:05:00,"So far there has been no erosion in the earnings estimates for Q1 & Q2, or for calendar years 2018 & 2019. Someday, when earnings growth starts to dwindle, there may well be more pain for the markets. But we’re not there yet.",1,1,1,3,7,14,0.021213563,0.8509046,0.12788188,Neg,-0.829691,timmerfidelity
57,2018-03-21 20:08:00,"How tight is too tight? Historically, inflation has driven the Fed to tighten policy so much that it eventually caused a recession. Add excessive leverage to the mix & the unwinding becomes that much more painful.  ",1,1,0,4,12,8,0.018867785,0.76348245,0.21764973,Neg,-0.74461466,timmerfidelity
58,2018-03-21 14:12:02,"  Sorry about that.  Try this link:    (Chrome seems to work best, and you'll want to be logged into LinkedIn).",1,1,1,0,0,0,0.036679383,0.031113006,0.9322076,Neu,0.005566377,timmerfidelity
60,2018-03-21 12:50:02,"Looking at the markets recently, I’m reminded of the power of strong earnings growth.  Over the long term, stocks follow earnings.  ",1,1,0,37,68,311,0.1804796,0.020710664,0.79880977,Neu,0.15976894,timmerfidelity
61,2018-03-20 20:47:00,"My  colleague, Denise Chisholm, looked back on past corrections for some historical perspective on pullbacks. Here’s her smart take:   stocks",1,1,0,3,2,6,0.057074305,0.035340283,0.90758544,Neu,0.021734022,timmerfidelity
62,2018-03-20 19:56:05,   Sorry about that.  Try this link:    (Chrome seems to work best).,0,1,0,1,0,0,0.053193234,0.026282908,0.9205239,Neu,0.026910326,timmerfidelity
63,2018-03-20 19:07:05,"Coming out of tomorrow’s FOMC meeting, the Fed could add an additional hike for 2018. But I am more interested in the terminal dot & how many more hikes are coming over the remainder of the cycle.",0,1,1,1,4,2,0.111441456,0.03890188,0.8496567,Neu,0.072539575,timmerfidelity
64,2018-03-20 13:32:00,Eyes on the dots: A quick explainer on the Fed’s dot plot & why it matters:   ,1,1,0,0,3,5,0.03227518,0.03977179,0.927953,Neu,-0.0074966103,timmerfidelity
