,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-02-28 20:30:01,Well there we have it... Badger will go Bust..  ,0,1,1,0,1,5,0.059437554,0.45247647,0.488086,Neu,-0.39303893,alderlaneeggs
1,2018-02-28 20:17:02,There is a day out there that Badger Daylight is down 80% Illegal Toxic Dumping in California will Bankrupt them.. $BAD now they are selling trucks? Burning the furniture to heat the house is not a strategy,0,1,1,0,3,14,0.014268051,0.8095128,0.1762192,Neg,-0.79524475,alderlaneeggs
2,2018-02-28 20:13:04,The Long Arm of the Law will Wind Sheer these Lowlifes.. $MDXG  ,1,0,1,0,0,1,0.055564906,0.096977875,0.84745723,Neu,-0.04141297,alderlaneeggs
3,2018-02-28 19:05:02,Auroras Diamond Winning the MiMedx 1.40 at Thermal   via  Told The Mare I am counting on a Win today and she did it by 6 seconds..  ,1,1,0,1,0,9,0.50559455,0.02143437,0.47297114,Pos,0.48416018,alderlaneeggs
4,2018-02-28 18:58:05,  wil be Operating The Crane $MDXG mdxgisfucked  ,1,1,0,0,1,3,0.06774436,0.0111673465,0.9210883,Neu,0.056577012,alderlaneeggs
5,2018-02-28 18:58:00,Sooner the Better... Hopefully anyday  ,0,1,0,0,0,8,0.23363322,0.013038631,0.75332814,Neu,0.22059458,alderlaneeggs
6,2018-02-28 17:56:01,"If Badger Daylight’s business is So Good, why are they having a firesale on used trucks? $BAD... I think I will buy one and drive it to Marietta to do a little “clean” up.     ",1,1,1,2,1,10,0.082641274,0.05099725,0.86636144,Neu,0.031644024,alderlaneeggs
7,2018-02-28 17:52:02,He spent 50 million Researching it though... How many slanderous articles by his Flack as well.. Just pathetic...  ,1,1,0,1,3,7,0.0153502915,0.79128784,0.19336182,Neg,-0.77593756,alderlaneeggs
8,2018-02-28 17:28:05,Quite sure its the last we will hear from the Rented Mule  in $HLF... OFF to take dictation in another name...   ,0,0,1,1,0,11,0.023143182,0.14157428,0.8352825,Neu,-0.1184311,alderlaneeggs
9,2018-02-28 17:24:01,"Amazing what comes at me.. what say you   ? Are you spiking the VA Investigation into $MDXG? Asking for the ""Cabal"".     ",0,1,0,0,3,13,0.040061608,0.13471425,0.82522416,Neu,-0.09465264,alderlaneeggs
10,2018-02-28 17:15:05,The ship of Fools is sailing in a Sea of Sterno... This is going to get exciting... just saying   ,0,1,0,0,2,11,0.0988753,0.02236348,0.87876123,Neu,0.076511815,alderlaneeggs
11,2018-02-28 16:20:03,$MDXG is functionally Bankrupt... When the Channel Stuffing  winds and the lawsuits of the formers including their me2 issues Cash becomes a serious issue.. Already is..   mdxgisfucked,0,1,0,0,2,17,0.011177303,0.9219724,0.06685038,Neg,-0.9107951,alderlaneeggs
12,2018-02-28 16:06:03,"CPM is now going by Leap in Dallas.. The Heat is so High they have to do a Name change but this just never gets past ""People close to the situation""$MDXG   mdxgisfucked",1,1,0,0,0,7,0.021589136,0.05914425,0.9192666,Neu,-0.037555113,alderlaneeggs
13,2018-02-28 02:31:03, I am not worried in the least,1,1,0,1,0,3,0.1432246,0.05026527,0.80651015,Neu,0.09295933,alderlaneeggs
15,2018-02-28 01:54:01,She and Cockrell are special and take their orders from parker... just like   where the hell is she?  ,0,1,0,0,0,2,0.031592984,0.20140912,0.7669979,Neu,-0.16981614,alderlaneeggs
16,2018-02-28 01:14:00,"I wonder what her connection is to $MDXG , Nascar and Cockrell? The Feds will figure it out one day      ",0,1,1,4,1,12,0.030975474,0.031781275,0.9372432,Neu,-0.0008058008,alderlaneeggs
17,2018-02-28 01:08:00,Those Poor Poor Bastards.. Oh well  ,0,0,0,2,2,11,0.041176945,0.49937832,0.4594448,Neg,-0.45820138,alderlaneeggs
18,2018-02-28 01:07:02,Great idea questioning the ethics of  and   ,0,1,0,0,0,1,0.09532945,0.021468382,0.88320214,Neu,0.07386106,alderlaneeggs
19,2018-02-27 20:35:05,  Parker’s play was getting his political operstives to get the   to “pay me a visit” ... That failed badly... $MDXG ,1,1,0,1,0,3,0.11601374,0.10561526,0.778371,Neu,0.010398485,alderlaneeggs
20,2018-02-27 20:25:03,One day soon there will be a Periscope on $MDXG shipments without Purchase Orders at quarter end...  mdxgisfucked    Problem is it was never shipped to a Customer..,1,1,1,3,4,18,0.0131448535,0.9218611,0.0649941,Neg,-0.90871626,alderlaneeggs
22,2018-02-27 18:51:05,"$MDXG is getting kicked out of Vegas Hospitals left and right and the Dirty Doctors and Reps who are involved with PODS are all talking about each other.. Last man left, turn out the lights...    ",1,1,0,1,4,27,0.024041124,0.4484563,0.5275026,Neu,-0.42441517,alderlaneeggs
23,2018-02-27 18:49:04,"Ricky Palmer former ABH employee now a wheel in the $MDXG Fraud is actively trying to recruit distributors  in the Las Vegas Area.. Things in  Vegas are falling apart for Mdxg, Will Lenz is also Dirty. just give up guys Parker is going to Prison.  ",0,1,0,0,2,12,0.019214818,0.77820784,0.20257734,Neg,-0.758993,alderlaneeggs
24,2018-02-27 16:31:04,Starring Parker Petite as the Warden $MDXG     ,0,1,0,0,1,3,0.040074512,0.062468044,0.8974574,Neu,-0.022393532,alderlaneeggs
25,2018-02-27 16:29:03,More Parker Petite Bullshit...  $mdxg    . He is like a little child..   and  are News organizations who dont print unless they can prove.   Question is when does  run out of Cash which is at hand,0,1,1,1,2,13,0.024902927,0.15063614,0.8244609,Neu,-0.12573321,alderlaneeggs
26,2018-02-27 16:07:00,Nascar is a paid shill from $MDXG Pr firm..  ,1,1,0,1,0,4,0.049658284,0.021487359,0.92885435,Neu,0.028170925,alderlaneeggs
27,2018-02-27 15:26:01,"I first mentioned $MDXG at the   Confernece on October 10th.Thats actually when the Floodgate of information came my way.The  visit on December 1 put my Efforts into Turbo, while the Skeptics said, “why am I so quiet”.Parker H Petite needs to go. ",1,1,0,1,3,17,0.08710894,0.09295223,0.81993884,Neu,-0.005843289,alderlaneeggs
28,2018-02-27 15:21:01,$MDXG selling against  spread is also illegal and proof exists...  ,0,1,0,0,0,13,0.039183997,0.10125682,0.8595592,Neu,-0.06207282,alderlaneeggs
29,2018-02-27 14:53:05,The silence on the Medicare/Medicaid Fraud committed by $MDXG from the Bulls is just Deafening..    mdxgisfucked,1,1,0,2,3,17,0.042249467,0.12799783,0.8297527,Neu,-0.08574836,alderlaneeggs
