,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 23:35:01,$VNO has some interesting disclosures related to 666 Fifth Ave. and includes property in its forward-looking statements.  ,1,1,0,0,0,1,0.06766356,0.012368289,0.9199681,Neu,0.05529527,footnoted
1,2018-04-02 02:51:01, Fair enough. Should have noted the large lot.,1,0,1,0,0,1,0.18231378,0.028270245,0.78941596,Neu,0.15404354,footnoted
2,2018-04-02 02:50:02,  Wow. Reading the transcript makes me realize how much I say the words “you know”.,0,1,0,1,0,1,0.052356604,0.034887128,0.91275626,Neu,0.017469477,footnoted
3,2018-03-28 22:19:05,"Ah! LA, where you can spend $550k for a literal shack!  ",0,0,1,2,0,1,0.060632873,0.019960616,0.91940653,Neu,0.040672258,footnoted
4,2018-03-28 21:44:02,Not true! Our name says it all!  ,0,1,0,0,0,4,0.037201267,0.09629948,0.86649925,Neu,-0.05909821,footnoted
5,2018-03-20 19:11:01,Very interesting paper. Look forward to reading.  ,0,0,0,1,0,1,0.0913816,0.013715955,0.89490247,Neu,0.07766565,footnoted
6,2018-03-19 18:54:01,"Now that  finance has been made over (not for the better), what’s your favorite free tool for tracking both real portfolios and a watchlist? Prefer it all on one page.",1,1,0,5,0,6,0.035050474,0.025878763,0.9390707,Neu,0.009171711,footnoted
7,2018-03-19 18:48:04,Walked into my local  to pick up a few things and they were shooting  Big Little Lies. Saw  at the bulk foods area. mydayinla,1,1,0,1,0,3,0.027829936,0.16559342,0.8065766,Neu,-0.13776349,footnoted
8,2018-03-19 15:30:02,Lovely way to start my Monday!  alerts me to fraud from  Guy says there seems to be issue with Hulu security.,0,1,0,1,0,2,0.015026776,0.9315526,0.05342063,Neg,-0.91652584,footnoted
9,2018-03-16 23:16:03,"For companies on a calendar year, it’s April 30, so about 45 days left.  ",1,1,0,0,0,1,0.017775998,0.24498947,0.7372346,Neu,-0.22721347,footnoted
10,2018-03-16 23:14:04," I will, but now that my blood has thinned from being in LA, it might have to wait until late spring!",1,1,1,1,0,0,0.047708046,0.4864286,0.46586338,Neg,-0.43872055,footnoted
11,2018-03-16 22:41:01,Awww…makes me miss the Hudson Valley!  ,0,1,0,1,0,2,0.098045096,0.12861337,0.77334154,Neu,-0.030568272,footnoted
12,2018-03-16 20:15:00,Today’s D-day for those companies who are on a Dec. 31 year and didn’t get their Ks in on March 2.,0,1,0,1,2,6,0.03439415,0.5351116,0.43049428,Neg,-0.50071746,footnoted
13,2018-03-16 01:28:01,  Yes. Agreed. I once talked to someone who was involved who worked there and he said nobody really cared about the finance site. It shows.,1,1,0,0,0,0,0.059862394,0.03077168,0.90936595,Neu,0.029090714,footnoted
14,2018-03-16 01:20:01,Looks like  finally pulled the plug on the new Google Finance site. But not all the tabs are working for some odd reason.,1,1,0,4,0,2,0.038116824,0.20738621,0.75449693,Neu,-0.16926938,footnoted
15,2018-03-16 01:07:00, Yeah. Legos and a giant crayon bank.,0,0,0,0,0,0,0.056253847,0.025027342,0.91871876,Neu,0.031226505,footnoted
16,2018-03-15 18:48:03,"Agreed. We only went there when some relative sent my son a gift card. And even then, it was a fight between my dislike for the store and the thought of leaving money on the table!  ",1,1,0,1,0,2,0.054277286,0.39217064,0.55355203,Neu,-0.33789337,footnoted
17,2018-03-14 23:28:03,Very excited to participate in this program on May 2 with    and other smart folks!  ,0,0,0,0,0,10,0.48038045,0.015186343,0.5044332,Neu,0.4651941,footnoted
18,2018-03-14 22:12:05,"There are a number of options, but most of them cost money. Free ones include   and    ",0,1,0,0,3,8,0.0352596,0.020972246,0.9437682,Neu,0.014287354,footnoted
19,2018-03-14 16:43:01,"SEC been on a bit of a spree this week. Wondering what tomorrow will bring! RT  File under, “If it appears to be too good to be true…”",1,1,1,1,0,4,0.029077731,0.37959576,0.5913265,Neu,-0.35051802,footnoted
20,2018-03-13 04:03:02,"Interesting letter from $RGR after being approached by “some shareholders” seeking to meet with the Board. Ends with “we note again that we manufacture a lawful product, the ownership of which is constitutionally protected.”  ",1,1,0,0,1,4,0.35503316,0.01583957,0.62912726,Neu,0.33919358,footnoted
21,2018-03-11 18:46:05,Interesting story by  on CEO pay ratios. Am guessing this rule will disappear soon.  ,0,1,1,2,9,15,0.03081771,0.49535704,0.47382528,Neg,-0.46453932,footnoted
22,2018-03-09 22:50:02,"Reality TV king Mark Burnett decides to leave board of $NH, the company controlled by future  owner Patrick Soon-Shiung. Seems like a story here. fridayngithdump  ",1,1,0,0,3,0,0.025542375,0.15314351,0.8213141,Neu,-0.12760113,footnoted
24,2018-03-07 20:21:03,"Ha! Mr. Footnoted worked on this show for years and I often reference the show when I do presentations on SEC filings, since I also have to put seemingly obvious clues together!  ",1,1,0,1,0,5,0.0394635,0.04160556,0.91893095,Neu,-0.0021420568,footnoted
25,2018-03-06 20:12:04,"If you read financial content online, please read this story. Trolls not limiting their efforts to politics, as this  story points out. Sites such as    have published these articles!  ",1,1,0,0,3,8,0.03971819,0.026445964,0.9338358,Neu,0.013272224,footnoted
27,2018-03-06 19:50:05,Managed to read the first 2 pages of  story before  was forcing me to register. Would like to see pg. 3.  ,1,1,1,0,0,1,0.030962199,0.07787225,0.89116555,Neu,-0.046910048,footnoted
28,2018-03-05 19:48:05,Interesting update on the $MTW  steel tariffs story. Worth reading.  ,0,1,0,0,0,1,0.09248684,0.016362913,0.8911503,Neu,0.07612393,footnoted
29,2018-03-03 22:29:01,It’s not too often that you run across an SEC filing that mentions the place you spent virtually every Saturday as a pre-teen. kingsplaza  ,0,1,0,1,0,3,0.021144725,0.119144194,0.85971105,Neu,-0.09799947,footnoted
30,2018-03-02 22:24:02,"Third year in a row that $SCOR ha filed an NT-10K. No new information in it on delays, but still qualifies as a fridaynightdump  ",1,1,0,1,0,3,0.024774035,0.1418638,0.8333622,Neu,-0.117089756,footnoted
31,2018-03-02 21:37:03,"Live tweeting the fridaynightdump over  This is a paid service, but you can get a free month trial by signing up here:  ",0,1,1,0,0,0,0.03308336,0.02357662,0.94334006,Neu,0.009506742,footnoted
32,2018-03-02 21:33:03,Wow. Very interesting. Am guessing it has something to do with the rampant house-flipping here.  ,0,1,0,0,1,3,0.047244344,0.07100745,0.88174814,Neu,-0.023763109,footnoted
33,2018-03-02 19:25:00,    Interesting. Thanks for taking a look. I try to stay in my lane when it comes to filings.,0,1,0,0,0,1,0.042451747,0.09457566,0.8629726,Neu,-0.05212391,footnoted
34,2018-03-02 19:06:01,    Another good source on this is Ben Silverman of InsiderScore. But he’s apparently quit twitter!,0,1,0,0,0,0,0.029359875,0.38704342,0.58359677,Neu,-0.35768354,footnoted
35,2018-03-02 18:57:05,"    Yeah. I’m not really an expert on 13Ds/Gs or Forms 3,4,5 and tend to stick to my knitting.",0,1,0,0,0,0,0.040089633,0.0731247,0.8867857,Neu,-0.033035066,footnoted
36,2018-03-02 18:52:01,Hey  You’re very knowledgable about these filings. What do you think of   story on   ,0,1,0,0,1,2,0.037230343,0.035613146,0.9271565,Neu,0.001617197,footnoted
37,2018-03-01 23:58:00, Tomorrow.,0,0,0,1,0,1,0.034835234,0.057902355,0.9072624,Neu,-0.02306712,footnoted
38,2018-03-01 23:52:01,Not sure how $RDUS made today’s 10K deadline since they filed at 5:31 and the cut-off is 5:30.  ,1,1,0,0,1,4,0.023140147,0.1789394,0.79792047,Neu,-0.15579925,footnoted
39,2018-03-01 21:58:03,Watching both the 10Ks and the NTs coming in. Just 30 minutes left for large filers to get them in. 78 companies have filed their 10Ks since 4 pm.,1,1,0,1,2,1,0.02216254,0.07146642,0.90637106,Neu,-0.04930388,footnoted
40,2018-03-01 21:46:05,New from   A Friday Night Dump from Community Health  ,0,0,0,0,1,1,0.08215151,0.119526975,0.79832155,Neu,-0.037375465,footnoted
